CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14025
NOMBRE    : CALERA
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.498°
LONGITUD  : -102.586°
ALTITUD   : 1,800 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    40     17 
02/02/2008  0     Nulo    41     18 
03/02/2008  0     Nulo    39     18 
04/02/2008  0     Nulo    39     19 
05/02/2008  0     Nulo    40     18 
06/02/2008  0     Nulo    39     18 
07/02/2008  0     Nulo    40     19 
08/02/2008  0     Nulo    41     18 
09/02/2008  0     Nulo    41     18 
10/02/2008  0     Nulo    41     19 
11/02/2008  0     Nulo    42     19 
12/02/2008  0     Nulo    41     21 
13/02/2008  0     Nulo    41     21 
14/02/2008  0     Nulo    31     21 
15/02/2008  0     Nulo    40     21 
16/02/2008  0     Nulo    37     20 
17/02/2008  0     Nulo    38     21 
18/02/2008  0     Nulo    39     19 
19/02/2008  0     Nulo    37     22 
20/02/2008  0     Nulo    32     21 
21/02/2008  0     Nulo    32     19 
22/02/2008  0     Nulo    39     19 
23/02/2008  0     Nulo    39     19 
24/02/2008  0     Nulo    38     21 
25/02/2008  0     Nulo    36     19 
26/02/2008  0     Nulo    34     22 
27/02/2008  0     Nulo    33     21 
28/02/2008  0     Nulo    41     20 
29/02/2008  0     Nulo    40     20 
01/03/2008  0     Nulo    39     19 
02/03/2008  0     Nulo    39     19 
03/03/2008  0     Nulo    43     19 
04/03/2008  0     Nulo    44     22 
05/03/2008  0     Nulo    44     21 
06/03/2008  0     Nulo    44     17 
07/03/2008  0     Nulo    45     18 
08/03/2008  0     Nulo    32     17 
09/03/2008  0     Nulo    34     20 
10/03/2008  0     Nulo    36     21 
11/03/2008  0     Nulo    39     20 
12/03/2008  0     Nulo    38     19 
13/03/2008  0     Nulo    41     21 
14/03/2008  0     Nulo    40     14 
15/03/2008  0     Nulo    39     14 
16/03/2008  0     Nulo    41     13 
17/03/2008  0     Nulo    42     14 
18/03/2008  0     Nulo    41     13 
19/03/2008  0     Nulo    42     13 
20/03/2008  0     Nulo    43     18 
21/03/2008  0     Nulo    42     19 
22/03/2008  0     Nulo    43     19 
23/03/2008  0     Nulo    42     20 
24/03/2008  0     Nulo    42     20 
25/03/2008  0     Nulo    41     19.5 
26/03/2008  0     Nulo    42     20 
27/03/2008  0     Nulo    40     20 
28/03/2008  0     Nulo    41     19 
29/03/2008  0     Nulo    39     19 
30/03/2008  0     Nulo    40     20 
31/03/2008  0     Nulo    40     19 
01/04/2008  0     Nulo    42     21 
02/04/2008  0     Nulo    43     20 
03/04/2008  0     Nulo    42     21 
04/04/2008  0     Nulo    42     21 
05/04/2008  0     Nulo    43     19 
06/04/2008  0     Nulo    41     19 
07/04/2008  0     Nulo    45     19 
08/04/2008  0     Nulo    44     21 
09/04/2008  0     Nulo    43     20 
10/04/2008  0     Nulo    46     20 
11/04/2008  0     Nulo    45     18.5 
12/04/2008  0     Nulo    45     19 
13/04/2008  0     Nulo    45     19 
14/04/2008  0     Nulo    46     19 
15/04/2008  0     Nulo    46     18 
16/04/2008  0     Nulo    42     19 
17/04/2008  0     Nulo    41     22 
18/04/2008  0     Nulo    40     21 
19/04/2008  0     Nulo    41     20 
20/04/2008  0     Nulo    42     21 
21/04/2008  0     Nulo    41     21 
22/04/2008  0     Nulo    41     20 
23/04/2008  0     Nulo    43     21 
24/04/2008  0     Nulo    42     22 
25/04/2008  0     Nulo    43     22 
26/04/2008  0     Nulo    41     21 
27/04/2008  0     Nulo    40     21 
28/04/2008  0     Nulo    43     19 
29/04/2008  0     Nulo    42     22 
30/04/2008  0     Nulo    43     20 
01/05/2008  0     Nulo    42     21 
02/05/2008  0     Nulo    41     20 
03/05/2008  0     Nulo    42     19 
04/05/2008  0     Nulo    39     21 
05/05/2008  0     Nulo    39     21 
06/05/2008  0     Nulo    41     19 
07/05/2008  0     Nulo    41     20 
08/05/2008  0     Nulo    41     20 
09/05/2008  0     Nulo    40     18 
10/05/2008  0     Nulo    41     19 
11/05/2008  0     Nulo    44     19 
12/05/2008  0     Nulo    42     20 
13/05/2008  0     Nulo    46     20 
14/05/2008  3     Nulo    45     21 
15/05/2008  0     Nulo    46     21 
16/05/2008  0     Nulo    47     19 
17/05/2008  0     Nulo    47     21 
18/05/2008  0     Nulo    42     20 
19/05/2008  0     Nulo    47     20 
20/05/2008  0     Nulo    47     20 
21/05/2008  0     Nulo    46     19 
22/05/2008  0     Nulo    47     18 
23/05/2008  0     Nulo    46     20 
24/05/2008  0     Nulo    46     20 
25/05/2008  0     Nulo    45     19 
26/05/2008  0     Nulo    47     18 
27/05/2008  0     Nulo    46     20 
28/05/2008  0     Nulo    47     19 
29/05/2008  0     Nulo    46     19 
30/05/2008  0     Nulo    47     20 
31/05/2008  0     Nulo    46     21 
01/06/2008  0     Nulo    45     21 
02/06/2008  0     Nulo    47     21 
03/06/2008  0     Nulo    47     21 
04/06/2008  0     Nulo    46     20 
05/06/2008  0     Nulo    47     20 
06/06/2008  0     Nulo    48     19 
07/06/2008  0     Nulo    45     19 
08/06/2008  2     Nulo    47     21 
09/06/2008  4     Nulo    46     19 
10/06/2008  7     Nulo    47     21 
11/06/2008  9     Nulo    46     19 
12/06/2008  0     Nulo    47     22 
13/06/2008  0     Nulo    45     20 
14/06/2008  0     Nulo    49     21 
15/06/2008  0     Nulo    47     21 
16/06/2008  0     Nulo    48     22 
17/06/2008  0     Nulo    47     19 
18/06/2008  0     Nulo    47     19 
19/06/2008  0     Nulo    47     19 
20/06/2008  0     Nulo    47     20 
21/06/2008  0     Nulo    47     21 
22/06/2008  0.1   Nulo    42     20 
23/06/2008  0     Nulo    46     20 
24/06/2008  0     Nulo    47     20 
25/06/2008  0     Nulo    47     19 
26/06/2008  7     Nulo    46     20 
27/06/2008  9     Nulo    48     20 
28/06/2008  3     Nulo    48     19 
29/06/2008  0     Nulo    48     20 
30/06/2008  0     Nulo    48     21 
01/07/2008  0     Nulo    47     21 
02/07/2008  0     Nulo    48     20 
03/07/2008  2     Nulo    47     20 
04/07/2008  7     Nulo    48     21 
05/07/2008  5     Nulo    47     20 
06/07/2008  9     Nulo    48     19 
07/07/2008  8     Nulo    47     19 
08/07/2008  6     Nulo    48     20 
09/07/2008  9     Nulo    47     19 
10/07/2008  0     Nulo    47     19 
11/07/2008  0     Nulo    41     19 
12/07/2008  0     Nulo    39     19 
13/07/2008  0     Nulo    39     20 
14/07/2008  0     Nulo    37     20 
15/07/2008  0     Nulo    37     19 
16/07/2008  0     Nulo    40     19 
17/07/2008  0     Nulo    40     22 
18/07/2008  0     Nulo    38     22 
19/07/2008  0     Nulo    39     20 
20/07/2008  0     Nulo    38     21 
21/07/2008  2     Nulo    39     20 
22/07/2008  0     Nulo    39     22 
23/07/2008  0     Nulo    38     21 
24/07/2008  0     Nulo    37     19 
25/07/2008  0     Nulo    37     19 
26/07/2008  0     Nulo    38     19 
27/07/2008  0     Nulo    38     20 
28/07/2008  7     Nulo    37     19 
29/07/2008  0     Nulo    39     20 
30/07/2008  0     Nulo    36     24 
31/07/2008  0     Nulo    38     25 
01/08/2008  0     Nulo    38     22 
02/08/2008  0     Nulo    37     24 
03/08/2008  6     Nulo    36     24 
04/08/2008  0     Nulo    37     23 
05/08/2008  0     Nulo    34     22 
06/08/2008  0     Nulo    33     22 
07/08/2008  0     Nulo    35     22 
08/08/2008  0     Nulo    32     24 
09/08/2008  0     Nulo    33     23 
10/08/2008  0     Nulo    36     23 
11/08/2008  0     Nulo    34     23 
12/08/2008  11    Nulo    36     23 
13/08/2008  9     Nulo    36     22 
14/08/2008  14    Nulo    35     21 
15/08/2008  6     Nulo    33     22 
16/08/2008  0     Nulo    36     23 
17/08/2008  11    Nulo    33     23 
18/08/2008  0     Nulo    37     21 
19/08/2008  13    Nulo    38     23 
20/08/2008  9     Nulo    36     24 
21/08/2008  16    Nulo    35     24 
22/08/2008  12    Nulo    36     22 
23/08/2008  7.5   Nulo    35     22 
24/08/2008  0     Nulo    34     22 
25/08/2008  0     Nulo    37     22 
26/08/2008  0     Nulo    34     22 
27/08/2008  0     Nulo    33     24 
28/08/2008  11    Nulo    33     24 
29/08/2008  6     Nulo    36     24 
30/08/2008  6     Nulo    34     23 
31/08/2008  0     Nulo    36     23 
01/09/2008 Nulo   Nulo    33     24 
02/09/2008 Nulo   Nulo    34     21 
03/09/2008 Nulo   Nulo    37     22 
04/09/2008 Nulo   Nulo    36     22 
05/09/2008 Nulo   Nulo    36     21 
06/09/2008 Nulo   Nulo    37     22 
07/09/2008 Nulo   Nulo    37     22 
08/09/2008 Nulo   Nulo    36     23 
09/09/2008 Nulo   Nulo    35     23 
10/09/2008 Nulo   Nulo    36     20 
11/09/2008 Nulo   Nulo    38     21 
12/09/2008 Nulo   Nulo    39     23 
13/09/2008 Nulo   Nulo    38     22 
14/09/2008 Nulo   Nulo    37     21 
15/09/2008 Nulo   Nulo    34     22 
16/09/2008 Nulo   Nulo    34     22 
17/09/2008 Nulo   Nulo    37     20 
18/09/2008 Nulo   Nulo    33     22 
19/09/2008 Nulo   Nulo    35     21 
20/09/2008 Nulo   Nulo    36     21 
21/09/2008 Nulo   Nulo    33     22 
22/09/2008 Nulo   Nulo    36     20 
23/09/2008 Nulo   Nulo    34     20 
24/09/2008 Nulo   Nulo    33     20 
25/09/2008 Nulo   Nulo    34     20 
26/09/2008 Nulo   Nulo    34     21 
27/09/2008 Nulo   Nulo    33     20 
28/09/2008 Nulo   Nulo    34     20 
29/09/2008 Nulo   Nulo    37     20 
30/09/2008 Nulo   Nulo    37     20 
01/10/2008 Nulo   Nulo    37     19 
02/10/2008 Nulo   Nulo    38     19 
03/10/2008 Nulo   Nulo    39     19 
04/10/2008 Nulo   Nulo    40     19 
05/10/2008 Nulo   Nulo    40.5   20 
06/10/2008 Nulo   Nulo    40     19 
07/10/2008 Nulo   Nulo    41     20 
08/10/2008 Nulo   Nulo    39     19.5 
09/10/2008 Nulo   Nulo    39     21 
10/10/2008 Nulo   Nulo    40     19 
11/10/2008 Nulo   Nulo    41     22 
12/10/2008 Nulo   Nulo    41     20 
13/10/2008 Nulo   Nulo    39     23 
14/10/2008 Nulo   Nulo    40     21 
15/10/2008 Nulo   Nulo    40     20.5 
16/10/2008 Nulo   Nulo    38     22 
17/10/2008 Nulo   Nulo    40     24.5 
18/10/2008 Nulo   Nulo    39     23 
19/10/2008 Nulo   Nulo    39     22 
20/10/2008 Nulo   Nulo    39.5   21 
21/10/2008 Nulo   Nulo    39     21.5 
22/10/2008 Nulo   Nulo    40     21.5 
23/10/2008 Nulo   Nulo    39     22 
24/10/2008 Nulo   Nulo    41     20 
25/10/2008 Nulo   Nulo    42     22 
26/10/2008 Nulo   Nulo    41     22 
27/10/2008 Nulo   Nulo    41     21 
28/10/2008 Nulo   Nulo    39     21 
29/10/2008 Nulo   Nulo    40     21 
30/10/2008 Nulo   Nulo    40     20 
31/10/2008 Nulo   Nulo    40     21 
01/11/2008  0     Nulo    40     21 
02/11/2008  0     Nulo    41     20.5 
03/11/2008  0     Nulo    40     21 
04/11/2008  0     Nulo    41     20 
05/11/2008  0     Nulo    40     21 
06/11/2008  0     Nulo    41     20 
07/11/2008  0     Nulo    40     20 
08/11/2008  0     Nulo    40.5   21 
09/11/2008  0     Nulo    39     20 
10/11/2008  0     Nulo    41     20 
11/11/2008  0     Nulo    41     20 
12/11/2008  0     Nulo    41     19 
13/11/2008  0     Nulo    42     18 
14/11/2008  0     Nulo    43     19 
15/11/2008  0     Nulo    42.5   18.5 
16/11/2008  0     Nulo    40     19 
17/11/2008  0     Nulo    39     21 
18/11/2008  0     Nulo    38     19 
19/11/2008  0     Nulo    39     19 
20/11/2008  0     Nulo    38.5   18.5 
21/11/2008  0     Nulo    41     19 
22/11/2008  0     Nulo    41     19 
23/11/2008  0     Nulo    40     18 
24/11/2008  0     Nulo    40     18 
25/11/2008  0     Nulo    39     17 
26/11/2008  0     Nulo    40     17 
27/11/2008  0     Nulo    41     16 
28/11/2008  0     Nulo    40     16 
29/11/2008  0     Nulo    41     16 
30/11/2008  0     Nulo    40     17 
01/12/2008  0     Nulo    41     18 
02/12/2008  0     Nulo    40     15 
03/12/2008  0     Nulo    43     17 
04/12/2008  0     Nulo    42     17 
05/12/2008  0     Nulo    41     16 
06/12/2008  0     Nulo    42     16 
07/12/2008  0     Nulo    42     15 
08/12/2008  0     Nulo    41     16 
09/12/2008  0     Nulo    41     17 
10/12/2008  0     Nulo    40     16 
11/12/2008  0     Nulo    39.5   17 
12/12/2008  0     Nulo    39     14 
13/12/2008  0     Nulo    40     14 
14/12/2008  0     Nulo    39     15 
15/12/2008  0     Nulo    34     15 
16/12/2008  0     Nulo    39     16 
17/12/2008  0     Nulo    39     16 
18/12/2008  0     Nulo    39     16 
19/12/2008  0     Nulo    40     16 
20/12/2008  0     Nulo    41     17 
21/12/2008  0     Nulo    41     17 
22/12/2008  0     Nulo    41     17 
23/12/2008  0     Nulo    40     16 
24/12/2008  0     Nulo    43     15 
25/12/2008  0     Nulo    43     16 
26/12/2008  0     Nulo    44     14 
27/12/2008  0     Nulo    42     14 
28/12/2008  0     Nulo    43     14 
29/12/2008  0     Nulo    41     16 
30/12/2008  0     Nulo    40     16 
31/12/2008  0     Nulo    40.5   15 
01/01/2009  0     Nulo    40     15 
02/01/2009  0     Nulo    40     15 
03/01/2009  0     Nulo    39     16 
04/01/2009  0     Nulo    39     16 
05/01/2009  0     Nulo    42     16 
06/01/2009  0     Nulo    40     14 
07/01/2009  0     Nulo    40     14 
08/01/2009  0     Nulo    39     16 
09/01/2009  0     Nulo    40     13 
10/01/2009  0     Nulo    40     15 
11/01/2009  0     Nulo    42     15 
12/01/2009  0     Nulo    41     14 
13/01/2009  0     Nulo    43     16 
14/01/2009  0     Nulo    44     13 
15/01/2009  0     Nulo    43     14 
16/01/2009  0     Nulo    43     14 
17/01/2009  0     Nulo    42     13 
18/01/2009  0     Nulo    43     15 
19/01/2009  0     Nulo    43     15 
20/01/2009  0     Nulo    41     15 
21/01/2009  0     Nulo    42     16 
22/01/2009  0     Nulo    41     14 
23/01/2009  0     Nulo    40     16 
24/01/2009  0     Nulo    43     16 
25/01/2009  0     Nulo    41     16 
26/01/2009  0     Nulo    42     16 
27/01/2009  0     Nulo    42     17 
28/01/2009  0     Nulo    40     17 
29/01/2009  0     Nulo    41     16 
30/01/2009  0     Nulo    41     17 
31/01/2009  0     Nulo    42     16 
01/02/2009  0     Nulo    42     18 
02/02/2009  0     Nulo    40     17 
03/02/2009  0     Nulo    40     17 
04/02/2009  0     Nulo    41     19 
05/02/2009  0     Nulo    39     19 
06/02/2009  0     Nulo    40     18 
07/02/2009  0     Nulo    41     17 
08/02/2009  0     Nulo    42     17 
09/02/2009  0     Nulo    42     18 
10/02/2009  0     Nulo    42     18 
11/02/2009  0     Nulo    42     18 
12/02/2009  0     Nulo    43     19 
13/02/2009  0     Nulo    43     19 
14/02/2009  0     Nulo    42     20 
15/02/2009  0     Nulo    44     19 
16/02/2009  0     Nulo    43     19 
17/02/2009  0     Nulo    43     20 
18/02/2009  0     Nulo    42     19 
19/02/2009  0     Nulo    44     19.5 
20/02/2009  0     Nulo    42.5   20.5 
21/02/2009  0     Nulo    42     19 
22/02/2009  0     Nulo    44     21 
23/02/2009  0     Nulo    43     19 
24/02/2009  0     Nulo    42     20 
25/02/2009  0     Nulo    41     19 
26/02/2009  0     Nulo    43     18 
27/02/2009  0     Nulo    42     20 
28/02/2009  0     Nulo    42     18 
01/03/2009  0     Nulo    42     19 
