CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14028
NOMBRE    : CIHUATLAN (DGE)
ESTADO    : JALISCO
MUNICIPIO : CIHUATLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.238°
LONGITUD  : -104.562°
ALTITUD   : 20 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.4    32.5   17.5 
02/02/2008  0      5.1    33.5   17.5 
03/02/2008  0      5.2    33     17 
04/02/2008  0      5.2    34     16.5 
05/02/2008  0      5.3    33     16 
06/02/2008  0      3.1    32     15.5 
07/02/2008  0      4.8    32     15 
08/02/2008  0      3.7    32.5   16 
09/02/2008  0      4      33     17 
10/02/2008  0      4.2    33     17 
11/02/2008  0      4.1    33.5   17.5 
12/02/2008  0      3.8    33     16.5 
13/02/2008  0      4.1    34     15.5 
14/02/2008  0      3.8    33     15 
15/02/2008  0      5      33.5   15.5 
16/02/2008  0      5      34     13.5 
17/02/2008  0      4.9    34.5   13 
18/02/2008  0      4.1    28     14.5 
19/02/2008  0      4.1    30     15 
20/02/2008  0      4.5    30     13.5 
21/02/2008  0      4.1    31     14 
22/02/2008  0      4.5    31.5   12.5 
23/02/2008  0      3.9    30     11.5 
24/02/2008  0      4.9    31.5   13 
25/02/2008  0      4.7    32.5   14 
26/02/2008  0      4.1    31.5   13 
27/02/2008  0      5.7    29     13 
28/02/2008  0      5.3    33     13.5 
29/02/2008  0      5.9    32.5   15.5 
01/03/2008  0      5.7    33     14 
02/03/2008  0      5.8    33.5   12 
03/03/2008  0      4.8    32.5   13.5 
04/03/2008  0      4      33     14.5 
05/03/2008  0      5.4    31.5   13.5 
06/03/2008  0      5      31.5   13.5 
07/03/2008  0      5.7    32     12.5 
08/03/2008  0      5.8    32.5   11 
09/03/2008  0      6      32.5   12 
10/03/2008  0      7.9    35     13.5 
11/03/2008  0      6.1    35     17.5 
12/03/2008  0      7.1    33     14.5 
13/03/2008  0      6.3    31.5   12.5 
