CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14030
NOMBRE    : CIUDAD GUZMAN (OBS)
ESTADO    : JALISCO
MUNICIPIO : ZAPOTLAN EL GRANDE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   :  76656 
LATITUD   : 0019.718°
LONGITUD  : -103.465°
ALTITUD   : 1,515 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0      9.1    26.8   7 
02/01/2008  0      9.6    21     8.8 
03/01/2008  0      3      20     5 
04/01/2008  0      3      23.3   3 
05/01/2008  0     Nulo    26.8   4 
06/01/2008  0     Nulo    24.7  Nulo
07/01/2008  0      4      27     3.2 
08/01/2008  0      3.8    26.8   2 
09/01/2008  0      4.1    26.2   2.3 
10/01/2008  0      3.2    26.5   3 
11/01/2008  0      3.4    24.3   4 
12/01/2008  0     Nulo    25     1 
13/01/2008  0      3.1    29     6 
14/01/2008  0      3.1    24     6 
15/01/2008  0      3.3    23     7.3 
16/01/2008  0      3.2    22.7   3.5 
17/01/2008  0      3      22.5   4 
18/01/2008  0      3      23.7   4.7 
19/01/2008  0      5.6    27.4   8 
20/01/2008  0     Nulo    26     5.4 
21/01/2008  0      3.5    26.3   4.8 
22/01/2008  0      3      27     5 
23/01/2008  0      4.3    30     6.6 
24/01/2008  0      4.1    28.8   6.8 
25/01/2008  0      3.5    27.5   7.4 
26/01/2008  0      4.4    29     9 
27/01/2008  0      4.2    28.5   8.2 
28/01/2008  0      3.9    28.5   7 
29/01/2008  0      4.7    28.5   8 
30/01/2008  0      4.6    27.3   7.8 
31/01/2008  0      4.6    27.2   5 
01/02/2008  0      4.2    26.8   5.4 
02/02/2008  0      4.6    27     4.8 
03/02/2008  0      4.4    28     5 
04/02/2008  0      4.9    27.6   5 
05/02/2008  0      4.8    26.5   3.6 
06/02/2008  0      5.2    27     4 
07/02/2008  0      4.2    26.8   3.4 
08/02/2008  0      4.2    27.6   8 
09/02/2008  0      4      29     5.6 
10/02/2008  0      3.8    26.6   7 
11/02/2008  0      3.8    26.6   7 
12/02/2008  0      3.8    27     4.6 
13/02/2008  0      5.6    28     4.4 
14/02/2008  0      5.9    27     3.2 
15/02/2008  0      6      28.4   3.2 
16/02/2008  0      5.5    30     3.8 
17/02/2008  0      6.1    28.5   4 
18/02/2008  0      6.1    4      2.4 
19/02/2008  0      5.7    28     3.2 
20/02/2008  0      5.5    29     3 
21/02/2008  0      4.9    28.8   3.8 
22/02/2008  0      5.1    30.5   4 
23/02/2008  0      6.9    33     5 
24/02/2008  0     Nulo    29.8  Nulo
25/02/2008  0      6.4    29.6   9 
26/02/2008  0      6.3    30.6   5 
27/02/2008  0      5.9    28.5   4.6 
28/02/2008  0      6.4    28     6 
29/02/2008  0      5.4    29.2   5.6 
01/03/2008  0      5.5    31     7.4 
02/03/2008  0      5.2    29     5 
03/03/2008  0      5.2    29     5 
04/03/2008  0      4.2    26.8   8.6 
05/03/2008  0      6.4    30.8   4.8 
06/03/2008  0      6.6    29.3   3.4 
07/03/2008  0      5.1    28.3   3.4 
08/03/2008  0      7.6    26     2.2 
09/03/2008  0      6.8    26.8   2.6 
10/03/2008  0      6.1    27.3   3.8 
11/03/2008  0      5.9    30.7   6 
12/03/2008  0      6.3    31.2   6 
13/03/2008  0      6.7    29.8   6 
14/03/2008  0      7      31     4 
15/03/2008  0      7      31.5   4 
16/03/2008  0      7      30.5   4.6 
17/03/2008  0      6.8    28     4.8 
18/03/2008  0      8.8    27     5.3 
19/03/2008  0      5.9    30.3   3.5 
20/03/2008  0      6.2    31     6.8 
21/03/2008  0      6.6    33     7 
22/03/2008  0      7.4    32.3   8 
23/03/2008  0     Nulo    32.1   7 
24/03/2008  0      6.4    31.8   6.7 
25/03/2008  0      5.3    31.7   7.3 
26/03/2008  0      6.3    33     8.2 
27/03/2008  0      6.3    33.4   8.3 
28/03/2008  0      7.7    32.3   8 
29/03/2008  0      7.2    32     7 
30/03/2008  0     Nulo    36.2   7 
31/03/2008  0      7      39.7   6.2 
01/04/2008  0      7.8    34.2   7.8 
02/04/2008  0      7.2    35.5   8.2 
03/04/2008  0      7.1    36.3   9 
04/04/2008  0      6.7    34.2   8.3 
05/04/2008  0      6.6    30     10.3 
06/04/2008  0      6.6    30     10.3 
07/04/2008  0      6.6    34     8.8 
08/04/2008  0      7      32.5   9.2 
09/04/2008  0      7.4    32.8   6.7 
10/04/2008  0      6.3    33.5   7 
11/04/2008  0      6.2    34.8   9 
12/04/2008  0      6.4    35.3   11.3 
13/04/2008  0      4.7    29     14.2 
14/04/2008  0      9.7    29     14.2 
15/04/2008  0      5.6    32.6   12 
16/04/2008  0      6.5    35     12 
17/04/2008  0      7.4    33.5   8 
18/04/2008  0      6.1    36.5   7 
19/04/2008  0      7.7    35.4   9.2 
20/04/2008  0      6.8    35     9.4 
21/04/2008  0      7.6    37.3   9.8 
22/04/2008  0      7.4    37.5   10.8 
23/04/2008  0      7.3    35     13 
24/04/2008  0      8.3    33.7   12 
25/04/2008  0      7.5    36.7   9.6 
26/04/2008  0      6.2    35.5   10.3 
27/04/2008  0      6.5    35.5   11 
28/04/2008  0      5.2    35.2   12 
29/04/2008  0      7.9    33.4   12.8 
30/04/2008  0      7.3    32.2   11 
01/05/2008  0      6.4    34.6   8 
02/05/2008  0      6.8    34.5   9 
03/05/2008  0      7.1    35     10 
04/05/2008  0      6.8    35     11.4 
05/05/2008  0      7      34.5   13 
06/05/2008  0      6.2    33     13.4 
07/05/2008  0      4.2    31.3   13.6 
08/05/2008  0      6.5    34.2   11.4 
09/05/2008  0      6.3    34     12.2 
10/05/2008  0      6.3    34.6   14 
11/05/2008  0      6.2    35.5   15 
12/05/2008  0      6.7    35.5   16.4 
13/05/2008  0      7.4    33.3   12.2 
14/05/2008  0      7      39.8   12 
15/05/2008  0      6.6    34     15 
16/05/2008  0      5.6    33     12.4 
17/05/2008  0      5.2    32.5   11 
