CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14032
NOMBRE    : COLOTLAN (OBS)
ESTADO    : JALISCO
MUNICIPIO : COLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   :  76519 
LATITUD   : 0022.107°
LONGITUD  : -103.268°
ALTITUD   : 1,675 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0      3.3    28.2  -0.5 
02/01/2008  0      5.9    21.6  -1.4 
03/01/2008  0      4.3    23     2.9 
04/01/2008  0      3.7    27.1   2.4 
05/01/2008  0      3.2    27.6   1.7 
06/01/2008  0      4      26.8   2.7 
07/01/2008  0      4.2    26.4   2.7 
08/01/2008  0      3.7    26.2   1.2 
09/01/2008  0      3.7    27.1   1.6 
10/01/2008  0      3.7    25.8   1.5 
11/01/2008  0      3.8    25.7   2.7 
12/01/2008  0      3.9    26.7  -1.2 
13/01/2008  0      4      25.3  -0.8 
14/01/2008  0      3.8    25.1   4.9 
15/01/2008  0      4.8    24.8   6.5 
16/01/2008  0      3.9    24.9   5.4 
17/01/2008  0      3.6    25     0.4 
18/01/2008  0      3.4    22.7   0.2 
19/01/2008  0      3.5    25.1   0.8 
20/01/2008  0      3.5    24.4   3 
21/01/2008  0      3.6    25.9   0.2 
22/01/2008  0      3.8    26.4   3.7 
23/01/2008  0      4.5    29.8   5.9 
24/01/2008  0      4.5    29     7.2 
25/01/2008  0      3.9    29     4.8 
26/01/2008  0      4.6    29.4   7.3 
27/01/2008  0      5.3    30.2   9.8 
28/01/2008  0      4.5    27.9   6 
29/01/2008  0      3.8    26     4.6 
30/01/2008  0      4.5    26.1   3.2 
31/01/2008  0      6.1    26.5   1.9 
01/02/2008  0      4.2    24.9   2 
02/02/2008  0      4.1    24.2   4.1 
03/02/2008  0      4      25     5.3 
04/02/2008  0      4.1    27     2.1 
05/02/2008  0      4.7    25.5   1.2 
06/02/2008  0      4.3    26.4   1.4 
07/02/2008  0      4.1    27     1.9 
08/02/2008  0      4.1    27     4.3 
09/02/2008  0      3.1    28.4   3.2 
10/02/2008  0.2    3.6    27     7.2 
11/02/2008  0.2    4.1    25.7   7.2 
12/02/2008  0      3.8    26.1   5.6 
