CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14033
NOMBRE    : COMANJA DE CORONA
ESTADO    : JALISCO
MUNICIPIO : LAGOS DE MORENO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.326°
LONGITUD  : -101.714°
ALTITUD   : 2,244 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      6.2    22     1 
02/02/2008  0      11.9   24    -1 
03/02/2008  0      4      24    -1 
04/02/2008  0      5.5    23     0 
05/02/2008  0      7.1    24    -1 
06/02/2008  0      6.1    23    -2 
07/02/2008  0      6.1    23    -1 
08/02/2008  0      4.1    23    -2 
09/02/2008  0      4      25    -1 
10/02/2008  3      11.1   24     1 
11/02/2008  2.3    1      21     5 
12/02/2008  0      2      21     2 
13/02/2008  0      11     21    -1 
14/02/2008  0      2      23    -1 
15/02/2008  0      6.5    25    -1 
16/02/2008  0      7.1    25    -1 
17/02/2008  0      8.1    25    -1 
18/02/2008  0      7.1    26    -1 
19/02/2008  0      4.1    25     0 
20/02/2008  0      3.6    25    -1 
21/02/2008  0      3.1    24    -1 
22/02/2008  0      1.1    25     0 
23/02/2008  0      9.1    27     0 
24/02/2008  0      6.2    28     1 
25/02/2008  0      13.1   28     1 
26/02/2008  0      8.1    22     2 
27/02/2008  0      6.1    22    -1 
28/02/2008  0      6.2    24     0 
29/02/2008  0      9.7    24     2 
01/03/2008  0      5.1    25     2 
02/03/2008  0      4.1    23     3 
03/03/2008  0      8.1    25     0 
04/03/2008  0      9.1    24     1 
05/03/2008  0      7.7    23    -1 
06/03/2008  0      8.2    22    -1 
07/03/2008  0      9.1    21    -1 
08/03/2008  0      5.2    24    -5.5 
09/03/2008  0      6.1    21    -2 
10/03/2008  0      8.2    23    -3 
11/03/2008  0      6.1    24    -1 
12/03/2008  0      6.1    25    -1 
13/03/2008  0      7.1    24     1 
14/03/2008  0      2.1    26    -1 
15/03/2008  0      3.3    27     0 
16/03/2008  0      1.1    26     1 
17/03/2008  0      9.1    26     2 
18/03/2008  0      11.6   24     3 
19/03/2008  0      10.9   24     4 
20/03/2008  0      6.9    24     3 
21/03/2008  0      7.9    26     2 
22/03/2008  0      6.2    26     2 
23/03/2008  0      6.3    25     3 
24/03/2008  0      6.1    23     4 
25/03/2008  0      10     26     1 
26/03/2008  0      5.1    26     2 
27/03/2008  0      7      27     3 
28/03/2008  0      12.4   28     3.5 
29/03/2008  0      2.9    28     4 
30/03/2008  0      9      29     3 
31/03/2008  0      10.2   29     3 
01/04/2008  0      8.1    31     3 
02/04/2008  0      7.1    30     7 
03/04/2008  0      8.1    31     12 
04/04/2008  0      11.5   30     9 
05/04/2008  0      9.1    28     8 
06/04/2008  0      9.1    29     1 
07/04/2008  0      9.1    28     2 
08/04/2008  0      3      30     5 
09/04/2008  0      7.8    29     4 
10/04/2008  0      8.2    29     2 
11/04/2008  0      12.1   30     2.5 
12/04/2008  1.3    8.1    29     5 
13/04/2008  5.3    13.1   23     9 
14/04/2008  0      1      24     7 
15/04/2008  0      6.1    25     7 
16/04/2008  0      6.2    23     5 
17/04/2008  0      7.1    29     5 
18/04/2008  0      6.1    27     5 
19/04/2008  0      4.5    30     5 
20/04/2008  0      3.1    30     5 
21/04/2008  0      8.4    32     5 
22/04/2008  0      9.9    32     5.5 
23/04/2008  0      9.1    31     8 
24/04/2008  0      7.5    30     7 
25/04/2008  0      6.1    31     8 
26/04/2008  0      7.6    30     5 
27/04/2008  0      9.1    28     5 
28/04/2008  0      8.1    28     5.5 
29/04/2008  1.7    8.1    27     5 
30/04/2008  0      4.1    28     5.5 
01/05/2008  0      12     27     7.5 
02/05/2008  0      12     28     5 
03/05/2008  0      9.1    29     5 
04/05/2008  0      7.2    29     6 
05/05/2008  0      7.2    28     9.5 
06/05/2008  0      5.1    31     9 
07/05/2008  0      9      28     8.5 
08/05/2008  0      5.1    32     6.5 
09/05/2008  0      8.1    33     8 
10/05/2008  0      8.1    32     8 
11/05/2008  0      14.6   34     9 
12/05/2008  0      12.2   31     10 
13/05/2008  0      4.1    30     9 
14/05/2008  2      7.1    28     10 
15/05/2008  1.5    6.7    33     7 
16/05/2008  0      12.7   30     8 
17/05/2008  0      12.7   27     10 
18/05/2008  0      10.2   27     10 
19/05/2008  0      2      25     11 
20/05/2008  0      5.1    26     10 
21/05/2008  0      8.1    27     10 
22/05/2008  0      6.9    26     9 
23/05/2008  0      10.1   28     5 
24/05/2008  0      8.1    32     5 
