CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14036
NOMBRE    : CUAUTITLAN
ESTADO    : JALISCO
MUNICIPIO : CUAUTITLAN DE GARCIA BARRAGAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.451°
LONGITUD  : -104.359°
ALTITUD   : 600 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.8    36.5   16.5 
02/02/2008  0      4.2    37.5   17 
03/02/2008  0      4.1    37     16 
04/02/2008  0      3.7    37     15.5 
05/02/2008  0      4      36.5   15 
06/02/2008  0      3.9    36.5   15.5 
07/02/2008  0      3.1    37     15 
08/02/2008  0      3.1    35.5   17 
09/02/2008  0      4.2    36     17.5 
10/02/2008  0      3.7    38     18 
11/02/2008  0      3.8    38     17.5 
12/02/2008  0      3.9    37     17 
13/02/2008  0      4.5    37.5   16 
14/02/2008  0      4.6    37.5   13.5 
15/02/2008  0      4.5    38.5   13.5 
16/02/2008  0      4.8    39.5   14.5 
17/02/2008  0      4.2    38.5   14 
18/02/2008  0      4.4    36.5   14 
19/02/2008  0      4.2    36     13.5 
20/02/2008  0      4.6    37.5   13 
21/02/2008  0      4.1    38.5   14.5 
22/02/2008  0      5      39     15 
23/02/2008  0      4.8    40     15.5 
24/02/2008  0      5.1    39.5   17 
25/02/2008  0      5.1    39.5   15.5 
26/02/2008  0      5.2    38.5   14.5 
27/02/2008  0      4.9    36.5   14 
28/02/2008  0      5      37     14.5 
29/02/2008  0      5.2    39     15.5 
01/03/2008  0      5.1    40     16 
02/03/2008  0      4.7    38.5   14.5 
03/03/2008  0      5.2    38.5   14 
04/03/2008  0      4.1    36.5   18.5 
05/03/2008  0      5.9    38.5   14 
06/03/2008  0      6.2    38.5   13 
07/03/2008  0      6.2    38     11.5 
08/03/2008  0      5.9    37     10 
09/03/2008  0      5.4    38.5   11.5 
10/03/2008  0      5.5    39.5   14.5 
11/03/2008  0      6.7    40     17 
12/03/2008  0      6.6    41     16 
13/03/2008  0      6.3    39     15 
14/03/2008  0      6.1    39.5   12.5 
15/03/2008  0      5.1    39     13 
16/03/2008  0      5.4    39.5   13.5 
17/03/2008  0      6.1    38.5   13.5 
18/03/2008  0      6.4    37.5   16 
19/03/2008  0      6.5    38     13.5 
20/03/2008  0      5.9    38.5   16.5 
21/03/2008  0      6.9    41     17.5 
22/03/2008  0      7      41.5   17 
23/03/2008  0      6.1    40.5   13.5 
24/03/2008  0      5.3    40     14.5 
25/03/2008  0      5.9    40     17.5 
26/03/2008  0      7.1    41     17 
27/03/2008  0      7.6    41.5   16.5 
28/03/2008  0      7.4    41     15.5 
29/03/2008  0      7.1    41.5   13.5 
30/03/2008  0      6.6    40.5   15 
31/03/2008  0      6.2    41.5   15.5 
01/04/2008  0      6.4    40.5   17 
02/04/2008  0      6.2    40     17.5 
03/04/2008  0      5.9    41     19 
04/04/2008  0      6.1    39.5   17.5 
05/04/2008  0      5.6    38     20.5 
06/04/2008  0      6.2    40     19.5 
07/04/2008  0      6.6    40.5   21.5 
08/04/2008  0      5.2    39     20 
09/04/2008  0      6.8    40     21.5 
10/04/2008  0      5      39     19.5 
11/04/2008  0      6.1    36     22 
12/04/2008  0      5.7    40.5   19 
13/04/2008  0      5.8    40.5   20.5 
14/04/2008  0      7      40.5   21 
15/04/2008  0      7.1    41     20 
16/04/2008  0      7.9    42     21 
17/04/2008  0      6.4    40     17 
18/04/2008  0      7.4    42     18 
19/04/2008  0      6.4    40.5   19 
