CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14037
NOMBRE    : PRESA ACHIMEC
ESTADO    : JALISCO
MUNICIPIO : HUEJUCAR
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 0022.325°
LONGITUD  : -103.228°
ALTITUD   : 1,825 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2009  0      2.8    27     3 
02/01/2009  0      3.5    25.5   2.5 
03/01/2009  0      3      24.5   1.5 
04/01/2009  0      3      27.5   3 
05/01/2009  0      3.5    26     3 
06/01/2009  0      2.5    23.5   4 
07/01/2009  0      3.3    27.5   0.5 
08/01/2009  0      4.3    29.5   0 
09/01/2009  0      2.9    28.5   0.5 
10/01/2009  0      4.3    29.5  -2 
11/01/2009  0      1.4    22.5  -0.5 
12/01/2009  0      3.6    26.5   2.5 
13/01/2009  0      2.2    23.5   2 
14/01/2009  0      3.1    26.5   0.5 
15/01/2009  0      3      23     3 
16/01/2009  0      2.7    19.5   8 
17/01/2009  0      2.7    25.5   2.5 
18/01/2009  0      2.5    25     3 
19/01/2009  0      3.6    25.5   5.5 
20/01/2009  0      3.7    25     7.5 
21/01/2009  0      4      26.5   2.5 
22/01/2009  0      3.8    28     4 
23/01/2009  0      3.6    28.5   4.5 
24/01/2009  0      3.8    29.5   4.5 
25/01/2009  0      4      29.5   5 
26/01/2009  0      4      29.5   5 
27/01/2009  0      3.9    28.5   5.5 
28/01/2009  0      4.1    30     2 
29/01/2009  0      5.4    28.5   2 
30/01/2009  0      4      27.5   2.5 
31/01/2009  0      4.3    26.5   2 
01/02/2009  0      4.7    25     2.5 
02/02/2009  0      4.5    25     1.5 
03/02/2009  0      3.8    25.5   1.5 
04/02/2009  0      3.7    25.5   2.5 
05/02/2009  0      4.6    26     0.5 
06/02/2009  0      5.4    27.5   1.5 
07/02/2009  0      4.4    31     2 
08/02/2009  0      3.1    24.5   1.5 
09/02/2009  0      4.1    26.5   1.5 
10/02/2009  0      5.8    26.5   1.5 
11/02/2009  0      4.7    29    -1.5 
12/02/2009  0      3.8    29     2 
13/02/2009  0      4.6    28.5   2 
14/02/2009  0      5.1    28     1.5 
15/02/2009  0      5.3    30     1.5 
16/02/2009  0      5.5    31     2.5 
17/02/2009  0      5.5    30.6   5.5 
18/02/2009  0      5.8    30.5   4.5 
19/02/2009  0      5.7    32.5   4 
20/02/2009  0      5.1    30.5   3.5 
21/02/2009  0      6      29     6 
22/02/2009  0      5.2    26.5   9 
23/02/2009  0      6.4    27.5   4.5 
24/02/2009  0      5.7    30     5.5 
25/02/2009  0      6.2    31.5   3.5 
26/02/2009  0      6      33.5   4.5 
27/02/2009  0      6.4    33.5   6 
28/02/2009  0      7      34     5 
01/03/2009  0      5.7    28     12 
02/03/2009  0      6.3    30.5   3 
03/03/2009  0      7.6    32     3.5 
04/03/2009  0      6.5    28.5   3.5 
05/03/2009  0      5.6    28.5   4.5 
06/03/2009  0      6.4    33     5.5 
07/03/2009  0      7      30     5.5 
08/03/2009  0      6.8    31.5   4 
09/03/2009  0      6.8    31     5 
10/03/2009  0      6.6    29.5   5.5 
11/03/2009  0      5.7    30     9 
12/03/2009  0      7      29     4.5 
13/03/2009  0      7      29     6 
14/03/2009  0      5.8    28.5   6.5 
15/03/2009  0      7.3    29.5   6 
16/03/2009  0      4.8    30.5   6.5 
17/03/2009  0      5.7    31.5   8 
18/03/2009  0      7      31.5   8 
19/03/2009  0      6.7    32.5   6 
20/03/2009  0      6.3    31.5   6.5 
21/03/2009  0      7.6    33.5   7.5 
22/03/2009  0      6.6    32.5   8 
23/03/2009  0      7.1    33.5   6 
24/03/2009  0      8.9    33.5   6 
