CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14038
NOMBRE    : CUIXTLA
ESTADO    : JALISCO
MUNICIPIO : SAN CRISTOBAL DE LA BARRANCA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.052°
LONGITUD  : -103.439°
ALTITUD   : 1,000 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      5.8    33     8.5 
02/02/2008  0      4.2    34     8 
03/02/2008  0      4.4    33.5   11 
04/02/2008  0      5.1    33     10 
05/02/2008  0      5.5    33.5   10 
06/02/2008  0      6      33.5   9 
07/02/2008  0      4.9    33     9.5 
08/02/2008  0      5.4    33     9 
09/02/2008  0      4.7    34.5   8 
10/02/2008  0      5.2    34     10.5 
11/02/2008  0      5.5    34     11.5 
12/02/2008  0      6.1    33     12 
13/02/2008  0      5.3    34     10.5 
14/02/2008  0      5.5    33     10 
15/02/2008  0      5.4    34     9 
16/02/2008  0      5.2    36     8.5 
17/02/2008  0      6.4    35.5   8 
18/02/2008  0      5.8    36     8 
19/02/2008  0      5.9    36     7.5 
20/02/2008  0      5.6    35     9 
21/02/2008  0      5.6    35     10 
22/02/2008  0      6.3    36.5   9.5 
23/02/2008  0      7.2    38     9 
24/02/2008  0      6.5    40.5   9 
25/02/2008  0      6.8    38.5   9.5 
26/02/2008  0      6.4    39     11 
27/02/2008  0      6.7    39     11 
28/02/2008  0      5.5    35     11.5 
29/02/2008  0      6.5    35.5   11.5 
01/03/2008  0      5.8    37     13 
02/03/2008  0      7.1    35.5   11 
03/03/2008  0      7.6    35     9.5 
04/03/2008  0      1.3    35     9.5 
05/03/2008  0      6.9    36     11 
06/03/2008  0      5.3    32     8 
07/03/2008  0      6.8    31.5   6 
08/03/2008  0      6.6    31     5.5 
09/03/2008  0      6.7    33.5   5.5 
10/03/2008  0      6.9    34     6 
11/03/2008  0      6.5    35     9 
12/03/2008  0      6.2    37     12 
13/03/2008  0      7.8    35.5   12.5 
14/03/2008  0      6.9    37     9.5 
15/03/2008  0      8      37     9.5 
16/03/2008  0      8.2    38.5   11 
17/03/2008  0      7.5    36     11.5 
18/03/2008  0      9      34     12 
19/03/2008  0      7      36     10.5 
20/03/2008  0      7.5    37     11 
21/03/2008  0      5.8    37.5   12 
22/03/2008  0      8      36     12 
23/03/2008  0      8.5    27     12 
24/03/2008  0      7.9    37     13 
25/03/2008  0      7.2    35.5   14.5 
26/03/2008  0      8.7    37     15.5 
27/03/2008  0      8.4    38     15 
28/03/2008  0      8.9    38.5   12.5 
29/03/2008  0      8.9    39     12.5 
30/03/2008  0      8.7    39.5   13 
31/03/2008  0      8.2    40     13.5 
01/04/2008  0      8.4    41.5   12.5 
02/04/2008  0      9      42     12.5 
03/04/2008  0      8.9    41.5   14 
04/04/2008  0      8.4    39.5   13.5 
05/04/2008  0      8.4    40     12 
06/04/2008  0      8.5    40.5   12.5 
07/04/2008  0      8.6    41.5   13 
08/04/2008  0      1.1    40.5   13 
09/04/2008  0      9.1    39.5   13.5 
10/04/2008  0      8.5    39     13 
11/04/2008  0      8.3    40.5   12.5 
12/04/2008  0      8.5    41     13 
13/04/2008  1.6    9.6    41     15 
14/04/2008  2.1    7      31.5   20 
15/04/2008  1.3    6      37     18 
16/04/2008  0      6.6    37     15.5 
17/04/2008  0      11.8   39     16 
18/04/2008  0      8.6    40     12 
19/04/2008  0      9.6    40.5   12 
20/04/2008  0      9.6    41     15 
21/04/2008  0      9.8    41.5   15.5 
22/04/2008  0      4.9    42     15.5 
23/04/2008  0      9.9    42.5   16 
24/04/2008  0      10.7   41.5   16 
25/04/2008  0      1.1    42     16 
26/04/2008  0.4    10.7   40     16 
27/04/2008  0      11.3   40.5   16 
28/04/2008  0      9.2    40     15.5 
29/04/2008  0      8.2    39     15.5 
30/04/2008  0      10.5   38     18 
01/05/2008  0      9.6    38     15.5 
02/05/2008  0      10.2   38     15 
03/05/2008  0      8.4    39     13.5 
04/05/2008  0      8.4    41     15 
05/05/2008  0      9.6    40     17 
06/05/2008  0      9.5    40.5   19 
07/05/2008  0      9.6    40     19 
08/05/2008  0      4.6    41     21 
09/05/2008  0      9.7    43     18 
10/05/2008  0      9.9    43     19 
11/05/2008  0      12     44     20 
12/05/2008  0      10.2   42.5   21 
13/05/2008  0      10.8   41     22 
14/05/2008  0      10.1   39.5   22 
15/05/2008  0      4.4    35.5   21.5 
16/05/2008  0      9      38     19.5 
17/05/2008  0      9.6    38     19.5 
18/05/2008  0      10.2   38     19 
19/05/2008  0      7.2    37     19 
20/05/2008  0      9.4    37     18 
21/05/2008  0      9.6    37     18 
22/05/2008  0      8.5    37     16 
23/05/2008  0      9.6    37     16 
24/05/2008  0      8.9    40.5   17 
25/05/2008  0      9.4    42.5   19 
26/05/2008  0      12.5   41.5   21.5 
27/05/2008  0      10.5   43     21.5 
28/05/2008  0      11.6   42     24.5 
29/05/2008  0      13.2   41.5   23 
30/05/2008  0      8.6    41     23 
31/05/2008  0      9.6    42     22.5 
01/06/2008  0      10.2   43     24.5 
02/06/2008  0      10.5   44     25 
03/06/2008  0      10.2   44     24 
04/06/2008  0      10.7   41     24.5 
05/06/2008  0      9.7    40     26.5 
06/06/2008  33.2   11.7   40     24 
07/06/2008  39     10.3   38.5   22 
08/06/2008  2.7    6.5    36.5   22 
09/06/2008  11.9   5.4    31     23 
10/06/2008  12.3   2      28     22 
11/06/2008  2.3    3.3    31     22 
12/06/2008  0.3    3.7    32.5   21.5 
13/06/2008  0.2    7.2    36     21.5 
14/06/2008  0.3    7.6    36.5   23 
15/06/2008  9.4    7.7    38     21.5 
16/06/2008  20.4   7.8    35     21 
17/06/2008  0      4.6    34     20 
18/06/2008  7.9    7.9    37.5   20 
19/06/2008  0      4.2    35     23 
20/06/2008  7.9    5.3    35     22.5 
21/06/2008  24.3   8      34.5   20.5 
22/06/2008  6.2    5.2    34.5   21 
23/06/2008  3.8    6.5    35     20.5 
24/06/2008  5.3    5.9    33.5   20.5 
25/06/2008  12.4   6.8    34     20.5 
26/06/2008  14.8   8      34.5   21 
27/06/2008  25.9   5.8    32     18.5 
28/06/2008  0      4.8    33     19 
29/06/2008  26.3   10.6   35     19 
30/06/2008  2.9    4.9    29.5   21 
01/07/2008  22.1   3.9    30     21 
02/07/2008  0      5.4    32.5   21 
03/07/2008  0      5.1    30     21 
04/07/2008  94.2   11.2   34.5   22 
05/07/2008  16.9   6.4    33     20.5 
06/07/2008  24.1   3.6    31     20 
07/07/2008  25.3   4      29     21 
08/07/2008  6.9    2      28     21 
09/07/2008  12.2   0.9    24     21 
10/07/2008  15.7   3.6    29.5   20.5 
11/07/2008  7.5    2.8    28     20 
12/07/2008  1.8    3.9    31.5   20 
13/07/2008  1.2    5.5    32     20.5 
14/07/2008  0.5    2.9    29     21 
15/07/2008  0.2    6.4    34     20.5 
16/07/2008  0.5    5.5    34     21 
17/07/2008  0      6.2    34     21.5 
18/07/2008  0.5    2.8    31     22 
19/07/2008  16.2   6.5    33     21 
20/07/2008  3.6    5.4    33.5   20 
21/07/2008  0      6.1    33     20 
22/07/2008  0      5.7    34     20.5 
23/07/2008  0      5.8    34     20 
24/07/2008  1.5    5.9    34     21 
25/07/2008  11.7   4.5    33     21 
26/07/2008  27.9   8.2    33     20.5 
27/07/2008  0      5.1    32     18.5 
28/07/2008  0      3.6    33     18.5 
29/07/2008  20.7   9.4    33     19.5 
30/07/2008  5.8    5.7    33     20.5 
31/07/2008  4.3    4.2    33     20 
01/08/2008  0      4.7    33     20 
02/08/2008  0.5    3.9    33     17.5 
03/08/2008  5.6    3.6    31     20 
04/08/2008  7.6    4      32     20 
