CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14040
NOMBRE    : CHAPALA
ESTADO    : JALISCO
MUNICIPIO : CHAPALA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.290°
LONGITUD  : -103.189°
ALTITUD   : 1,530 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.5    24     14 
02/02/2008  0      3.9    23     13.5 
03/02/2008  0      4      24.5   12.5 
04/02/2008  0      4.8    25     12.5 
05/02/2008  0      4.7    26.5   12 
06/02/2008  0      4.7    23     12.5 
07/02/2008  0      3.7    24     13 
08/02/2008  1.1    2.9    23     12.5 
09/02/2008  0      3.7    24     12 
10/02/2008  0      4      24     12.5 
11/02/2008  0      3.9    23     13 
12/02/2008  0      5.6    27     13.5 
13/02/2008  0      4.2    23     13 
14/02/2008  0      5.7    27     12.5 
15/02/2008  0      4.2    25.5   13 
16/02/2008  0      5.9    27     13.5 
17/02/2008  0      5.3    27.5   14 
18/02/2008  0      5      26     13.5 
19/02/2008  0      5.3    26.5   14 
20/02/2008  0      6.1    27.5   13.5 
21/02/2008  0      5      26     13 
22/02/2008  0      4.9    24     13.5 
23/02/2008  0      4.4    25.5   13.5 
24/02/2008  0      5.5    28     14 
25/02/2008  0      5.1    27     15 
26/02/2008  0      5.9    28     14 
27/02/2008  0      5      23     14 
28/02/2008  0      5      23.5   14.5 
29/02/2008  0      4.9    25     14 
01/03/2008  0      4.7    26     14.5 
02/03/2008  0      6.9    29     15 
03/03/2008  0      5.9    28     14 
04/03/2008  0      5.7    27     14.5 
05/03/2008  0      6.3    28.5   14 
06/03/2008  0      8.5    27     13.5 
07/03/2008  0      6.5    25.5   12 
08/03/2008  0      6.8    22.5   11 
09/03/2008  0      7.1    27     12 
10/03/2008  0      5      25.5   12.5 
11/03/2008  0      4.9    23     13 
12/03/2008  0      6.7    28     13.5 
13/03/2008  0      7.2    29     14 
14/03/2008  0      5.7    24.5   13 
15/03/2008  0      5.5    26     13 
16/03/2008  0      6.4    27     13.5 
17/03/2008  0      7.4    27.5   13 
18/03/2008  0      9.3    27     14.5 
19/03/2008  0      7.3    24.5   13 
20/03/2008  0      5.6    23     13.5 
21/03/2008  0      5.7    26     14 
22/03/2008  0      6.3    27.5   14.5 
23/03/2008  0      7.4    29     14 
24/03/2008  0      5.8    25     14.5 
25/03/2008  0      4.9    23     15 
26/03/2008  0      5.7    27     15 
27/03/2008  0      6.9    29.5   15.5 
28/03/2008  0      7.4    30     16 
29/03/2008  0      7.1    29.5   15.5 
30/03/2008  0      6.9    28     15 
31/03/2008  0      6.2    33     15.5 
01/04/2008  0      6.8    30     16 
02/04/2008  0      6.8    29     16.5 
03/04/2008  0      7.2    31     16 
04/04/2008  0      6.8    30.5   16.5 
05/04/2008  0      6.5    30     17 
06/04/2008  0      6.9    29.5   16.5 
07/04/2008  0      5.9    28.5   16 
08/04/2008  0      8.4    32     16.5 
09/04/2008  0      7.5    31.5   16 
10/04/2008  0      7.4    32     15.5 
11/04/2008  0      6.7    31     15 
12/04/2008  0      6.6    28.5   16 
13/04/2008  3.3    6.1    27.5   18 
14/04/2008  0      6      24.5   16 
15/04/2008  0      6.4    26.5   15.5 
16/04/2008  0      7.1    28.5   16.5 
17/04/2008  0      8.9    31     16 
18/04/2008  0      7.2    28.5   15.5 
19/04/2008  0      6.7    29     16 
20/04/2008  0      6.9    30     17 
21/04/2008  0      7.8    30.5   17.5 
22/04/2008  0      7.6    32.5   17.5 
23/04/2008  0      7.7    34     18 
24/04/2008  0      8.4    33     18.5 
25/04/2008  0      7.2    32.5   18 
26/04/2008  0      7.4    31     17.5 
27/04/2008  0      9      32.5   17.5 
28/04/2008  0      8.4    29     17 
29/04/2008  0      7.6    28     17.5 
30/04/2008  0      8.1    30.5   18 
01/05/2008  0      8.6    30.5   17 
02/05/2008  0      8.5    29     16.5 
03/05/2008  0      6.9    28.5   17 
04/05/2008  0      6.7    29.5   17 
05/05/2008  0      7.2    31.5   18 
06/05/2008  0      6.8    29.5   18.5 
07/05/2008  0      6.9    31     18.5 
08/05/2008  0      6.4    33.5   18 
09/05/2008  0      7.5    33     17.5 
10/05/2008  0      7.8    33.5   18 
11/05/2008  0      7.3    33     19 
12/05/2008  4.1    4.1    29     19.5 
13/05/2008  0      6.3    32     18.5 
14/05/2008  0      6.5    30     18 
15/05/2008  0      4.1    28     18.5 
16/05/2008  1.7    6      28     18 
17/05/2008  0      7.5    30     18.5 
18/05/2008  0      6.7    28.5   18 
19/05/2008  0      7.2    28     17.5 
20/05/2008  0      7.1    28.5   17 
21/05/2008  0      7.7    30     16.5 
22/05/2008  0      7.2    29     16 
23/05/2008  0      6.9    29.5   15 
24/05/2008  0      6.6    30     15.5 
25/05/2008  0      7.4    31     16.5 
26/05/2008  0      6.8    32     18.5 
27/05/2008  0      7      31     19 
28/05/2008  0      7.6    31.5   18.5 
29/05/2008  0      7.2    30     18.5 
30/05/2008  0      7.2    29.5   18 
31/05/2008  0      5.9    30     18.5 
01/06/2008  0      7      31.5   18.5 
02/06/2008  0      7.6    33     19 
03/06/2008  0      7      31.5   18.5 
04/06/2008  0      8      30     19 
05/06/2008  0      9.5    31.5   18.5 
06/06/2008  47.7   6.1    32     18 
07/06/2008  8.7    7.2    29.5   17.5 
08/06/2008  12.4   2.9    26     18 
09/06/2008  57.2   2.5    27.5   17.5 
10/06/2008  7.8    1.6    23     17 
11/06/2008  15.2   2.6    25     17.5 
12/06/2008  1.1    1.6    23     17 
13/06/2008  7.6    4.4    27     17.5 
14/06/2008  6.9    6.1    28     18 
15/06/2008  5.2    4.9    27     17.5 
16/06/2008  0      6.4    27     17 
17/06/2008  0      6.3    28     17.5 
18/06/2008  0      6.3    28.5   19 
19/06/2008  0      4.8    27     18.5 
20/06/2008  24.2   5.4    28.5   19 
21/06/2008  20.5   6.8    28     18 
22/06/2008  10.5   2.9    26.5   17.5 
23/06/2008  0      5      26     18 
24/06/2008  23.1   6.6    28     18.5 
25/06/2008  0      5.8    27     17 
26/06/2008  0      5.2    26.5   17.5 
27/06/2008  12.1   6.1    28     18 
28/06/2008  5.1    6.3    27     17 
29/06/2008  33.1   5.8    27.5   16.5 
30/06/2008  2.4    3.5    26     17 
01/07/2008  5.6    2.7    23.5   17.5 
02/07/2008  0.2    5.2    27     18 
03/07/2008  0      5.4    27.5   19 
04/07/2008  33.9   6.7    27     18.5 
05/07/2008  45.2   5.7    27     18 
06/07/2008  17.8   3.1    25.5   17 
07/07/2008  51.2   2.8    23     17 
08/07/2008  53.5   0.3    21.5   17.5 
09/07/2008  55.9   2.5    22     17 
10/07/2008  5.1    3.2    23     17.5 
11/07/2008  0.5    3.8    24     17 
12/07/2008  0      4      25.5   17.5 
13/07/2008  23.6   4.5    25     17 
14/07/2008  14.7   4.2    25.5   17.5 
15/07/2008  0      4.6    25     18 
16/07/2008  0      4.8    26.5   17.5 
17/07/2008  0.2    5.5    28     18 
18/07/2008  0      4.1    26     17.5 
19/07/2008  0      4.9    25.5   17 
20/07/2008  0      5.7    27     17.5 
21/07/2008  0      4.8    24.5   18 
22/07/2008  0      4.9    26.5   17.5 
23/07/2008  0      5.2    27     18 
24/07/2008  31.7   5.5    27.5   18.5 
25/07/2008  0.4    3.4    26     18 
26/07/2008  17.3   4.9    25     17.5 
27/07/2008  0      3.3    25.5   16.5 
28/07/2008  0      5.3    29     16 
29/07/2008  1.7    5.6    28.5   17 
30/07/2008  0      5.7    27     17 
31/07/2008  0.6    4.5    26.5   17 
01/08/2008  0      5.6    27     18 
02/08/2008  0      4.4    26.5   18.5 
03/08/2008  1.4    4.7    25     18 
04/08/2008  18.5   2.5    24.5   17.5 
05/08/2008  0      4.7    26.5   18 
06/08/2008  27.3   4.9    27     17.5 
07/08/2008  1.3    1.9    23.5   17 
08/08/2008  0      4.8    24.5   16.5 
09/08/2008  0      4.5    27     17 
10/08/2008  0      5.1    28     17.5 
11/08/2008  0      3.9    27     18 
12/08/2008  10.1   5.4    26     18 
13/08/2008  13.4   6.3    27.5   17.5 
14/08/2008  0      4.7    26     17 
15/08/2008  0      4.6    27     17.5 
16/08/2008  0      5.1    26.5   18 
17/08/2008  0      3.4    25.5   18.5 
18/08/2008  0.2    3.4    27     19 
19/08/2008  2.4    4.4    28     18.5 
20/08/2008  6.9    2.8    26     18 
21/08/2008  32.1   4.9    26.5   17.5 
22/08/2008  0.5    2.8    24     18 
23/08/2008  4.7    5.6    25.5   18.5 
24/08/2008  0      5      27     18 
25/08/2008  5.2    4.9    27     18.5 
26/08/2008  62.8   4.1    22.5   18 
27/08/2008  17.9   1.7    22     17.5 
28/08/2008  20.2   5.2    25.5   17 
29/08/2008  5.6    2.1    25     17.5 
30/08/2008  7.2    5.1    25.5   18 
31/08/2008  0.1    3.8    25.5   17 
01/09/2008  4.8    5.6    26     18 
02/09/2008  19.9   6.3    27.5   18 
03/09/2008  0      4.5    26.5   17.5 
04/09/2008  0      5.6    27     18 
05/09/2008  0      5.7    26     18 
06/09/2008  0      6.7    26.5   18.5 
07/09/2008  6.2    3.3    25     19 
08/09/2008  7.8    3      25.5   18.5 
09/09/2008  7.1    4.8    27     18 
10/09/2008  0.8    3.3    26.5   18.5 
11/09/2008  0      4.1    28     18 
12/09/2008  0      4.6    26.5   18.5 
13/09/2008  20.3   5.5    28.5   19 
14/09/2008  1.9    3.3    25.5   18 
15/09/2008  23.7   0.6    22     17.5 
16/09/2008  0      3      23.5   17 
17/09/2008  0      5      24     18 
18/09/2008  5.8    4.1    24.5   17.5 
19/09/2008  20.5   3.9    24     17 
20/09/2008  0      4.7    25.5   16.5 
21/09/2008  0      5.9    25     17 
22/09/2008  2.9    2.8    24.5   17.5 
23/09/2008  12.2   3.7    25     18 
24/09/2008  0      3.4    27     18 
25/09/2008  0      4.8    24.5   17.5 
26/09/2008  0      5.4    24     17 
27/09/2008  2.2    4.3    25     16.5 
28/09/2008  0      5.3    25.5   16 
29/09/2008  0      5.5    24     15.5 
30/09/2008  0      5.3    24.5   15 
01/10/2008  0      5.5    24     14 
02/10/2008  0      4.8    23.5   13.5 
03/10/2008  0      4.4    25     14 
04/10/2008  0      5.2    25.5   14.5 
05/10/2008  0      4.2    26     15 
06/10/2008  0      3.9    25.5   16.5 
07/10/2008  1.8    3.3    26     17.5 
08/10/2008  0      2.5    24     18 
09/10/2008  0      3.9    25     17.5 
10/10/2008  5.2    2.9    25.5   17.5 
11/10/2008  10.9   2.1    23     18.5 
12/10/2008  0      4.4    26     18 
