CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14044
NOMBRE    : EL BRAMADOR
ESTADO    : JALISCO
MUNICIPIO : TALPA DE ALLENDE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.310°
LONGITUD  : -105.050°
ALTITUD   : 1,704 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    33     14 
02/02/2008  0     Nulo    34     14 
03/02/2008  0     Nulo    33     15 
04/02/2008  0     Nulo    33     14 
05/02/2008  0     Nulo    32     14 
06/02/2008  0     Nulo    32     13 
07/02/2008  0     Nulo    32     14 
08/02/2008  0     Nulo    31     14 
09/02/2008  0     Nulo    32     14 
10/02/2008  0     Nulo    32     15 
11/02/2008  0     Nulo    34     15 
12/02/2008  0     Nulo    33     14 
13/02/2008  0     Nulo    34     14 
14/02/2008  0     Nulo    33     13 
15/02/2008  0     Nulo    32     13 
16/02/2008  0     Nulo    33     13 
17/02/2008  0     Nulo    35     15 
18/02/2008  0     Nulo    33     13 
19/02/2008  0     Nulo    31     14 
20/02/2008  0     Nulo    31     12 
21/02/2008  0     Nulo    32     12 
22/02/2008  0     Nulo    33.5   14 
23/02/2008  0     Nulo    35     14 
24/02/2008  0     Nulo    33.5   14 
25/02/2008  0     Nulo    34     15 
26/02/2008  0     Nulo    34     14 
27/02/2008  0     Nulo    33     12 
28/02/2008  0     Nulo    32     13 
29/02/2008  0     Nulo    35     13 
01/03/2008  0     Nulo    35     13 
02/03/2008  0     Nulo    33     14 
03/03/2008  0     Nulo    34     13 
04/03/2008  0     Nulo    34     13 
05/03/2008  0     Nulo    33     12 
06/03/2008  0     Nulo    34     14 
07/03/2008  0     Nulo    31     13 
08/03/2008  0     Nulo    35     12 
09/03/2008  0     Nulo    34     11 
10/03/2008  0     Nulo    35     13 
