CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14046
NOMBRE    : EL CHANTE
ESTADO    : JALISCO
MUNICIPIO : AUTLAN DE NAVARRO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.719°
LONGITUD  : -104.203°
ALTITUD   : 900 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      5      28     9 
02/02/2008  0      3.4    29     10 
03/02/2008  0      3.3    27     9 
04/02/2008  0      3      28     8 
05/02/2008  0      4.7    26     9 
06/02/2008  0      3.9    29     8 
07/02/2008  0      5.9    28     10 
08/02/2008  0      6.9    29     9 
09/02/2008  0      3.9    28     10 
10/02/2008  0      5.6    30     9 
11/02/2008  0      5.8    28     11 
12/02/2008  0      3.2    27     10 
13/02/2008  0      4      28     9 
14/02/2008  0      7.1    29     10 
15/02/2008  0      5      28     9 
16/02/2008  0      5.6    26     8 
17/02/2008  0      5.2    28     11 
18/02/2008  0      3.1    27     10 
19/02/2008  0      3.8    29     9 
20/02/2008  0      3.8    30     10 
21/02/2008  0      5.1    29     12 
22/02/2008  0      3.8    28     10 
23/02/2008  0      4.9    30     11 
24/02/2008  0      4.9    29     12 
25/02/2008  0      6.1    28     10 
26/02/2008  0      4.1    27     9 
27/02/2008  0      8.5    29     8 
28/02/2008  0      5.2    28     9 
29/02/2008  0      6      29     8 
01/03/2008  0      3.2    30     12 
02/03/2008  0      4.6    29     14 
03/03/2008  0      4.7    28     13 
04/03/2008  0      4.2    29     12 
05/03/2008  0      5.1    30     14 
06/03/2008  0      4.4    30     13 
07/03/2008  0      4.6    29     12 
08/03/2008  0      4.6    28     10 
09/03/2008  0      5.3    30     13 
10/03/2008  0      1.7    31     14 
11/03/2008  0      3.1    30     13 
12/03/2008  0      3.8    32     12 
13/03/2008  0      4.4    30     13 
14/03/2008  0      5.2    29     12 
15/03/2008  0      5.5    29     10 
16/03/2008  0      4.1    31     11 
17/03/2008  0      3.5    32     13 
18/03/2008  0      8.6    30     14 
19/03/2008  0      4.2    31     11 
20/03/2008  0      6.9    30     13 
21/03/2008  0      4.8    31     12 
22/03/2008  0      4.3    32     11 
23/03/2008  0      4.2    31     12 
24/03/2008  0      4.2    29     13 
25/03/2008  0      5.1    30     14 
26/03/2008  0      4.6    34     13 
27/03/2008  0      5.8    32     15 
28/03/2008  0      4.2    30     13 
29/03/2008  0      2.9    33     16 
30/03/2008  0      4.7    31     13 
31/03/2008  0      8.4    34     12 
01/04/2008  0      3.4    33     14 
02/04/2008  0      8.1    34     15 
03/04/2008  0      5.2    32     14 
04/04/2008  0      5.7    33     13 
05/04/2008  0      2.7    32     14 
06/04/2008  0      2.7    31     13 
07/04/2008  0      7.9    34     16 
08/04/2008  0      7.9    34     16 
09/04/2008  0      6.4    32     15 
10/04/2008  0      3.9    31     14 
11/04/2008  0      6.7    33     16 
12/04/2008  0      5.6    35     15 
13/04/2008  0      4.9    32     17 
14/04/2008  0      4.8    31     16 
15/04/2008  0      5.5    32     15 
16/04/2008  0      4.7    31     14 
17/04/2008  0      4.3    30     15 
18/04/2008  0      4.7    32     14 
19/04/2008  0      4.4    30     13 
20/04/2008  0      4.3    31     15 
21/04/2008  0      4.3    32     14 
22/04/2008  0      5.1    30     13 
23/04/2008  0      3.2    31     16 
24/04/2008  0      4.9    30     14 
25/04/2008  0      4.2    34     15 
26/04/2008  0      7.1    32     16 
27/04/2008  0      2.2    32     14 
28/04/2008  0      6.2    31     15 
29/04/2008  0      4.1    34     14 
30/04/2008  0      4.8    33     16 
01/05/2008  0      4.9    32     16 
02/05/2008  0      7.1    34     15 
03/05/2008  0      3.1    31     16 
04/05/2008  0      3.9    30     14 
05/05/2008  0      4.7    32     15 
06/05/2008  0      5.1    34     14 
07/05/2008  0      3.9    32     15 
08/05/2008  0      5.9    30     14 
09/05/2008  0      5.4    31     15 
10/05/2008  0      4.5    32     14 
11/05/2008  0      4.2    31     16 
12/05/2008  0      4.1    32     15 
13/05/2008  0      4.8    33     14 
14/05/2008  0      9.9    32     15 
15/05/2008  0      5.8    31     14 
16/05/2008  0      4.4    32     15 
17/05/2008  0      4.9    31     14 
18/05/2008  0      4.1    30     13 
19/05/2008  0      4.2    33     15 
20/05/2008  0      9.4    32     16 
21/05/2008  0      4.1    30     15 
22/05/2008  0      5.2    33     14 
23/05/2008  0      5.8    31     16 
24/05/2008  0      3      32     13 
25/05/2008  0      4.8    33     14 
26/05/2008  0      5.9    32     15 
27/05/2008  0      6.3    34     13 
28/05/2008  0      5.8    32     16 
29/05/2008  0      8.8    32     14 
30/05/2008  0      4.2    31     13 
31/05/2008  3      5.4    35     15 
01/06/2008  0      6.3    34     16 
02/06/2008  0      4.7    33     15 
03/06/2008  0      4.2    33     14 
04/06/2008  0      4.8    32     16 
05/06/2008  0      5.1    33     15 
06/06/2008  0      3.9    35     14 
07/06/2008  3.6    5.5    34     16 
08/06/2008  25.9   2.6    33     15 
09/06/2008  20.5   2.8    32     14 
10/06/2008  0      7.6    30     15 
11/06/2008  0      4.6    31     14 
12/06/2008  0      6.4    30     13 
13/06/2008  9.5    6.1    32     14 
14/06/2008  0      3.3    34     15 
15/06/2008  0      5.3    32     16 
16/06/2008  0      4.8    33     14 
17/06/2008  0      6.6    30     15 
18/06/2008  2.5    5.7    31     14 
19/06/2008  0      1.2    32     16 
20/06/2008  15.3   2.8    31     15 
21/06/2008  0      3.5    30     16 
22/06/2008  30.9   4.2    30     14 
23/06/2008  5.7    3.8    31     15 
24/06/2008  0      3.3    32     16 
25/06/2008  9      2.1    30     15 
26/06/2008  0      4.1    32     14 
27/06/2008  4.5    3.5    31     16 
28/06/2008  10.4   2.1    32     15 
29/06/2008  0      10.6   31     16 
30/06/2008  0      2.5    34     15 
01/07/2008  10.5   2.5    32     17 
02/07/2008  15.7   2.4    33     15 
03/07/2008  10.4   3.3    31     16 
04/07/2008  9.6    2.3    32     15 
05/07/2008  5.5    1      34     14 
06/07/2008  9.3    5.1    33     17 
07/07/2008  8      4.3    31     16 
08/07/2008  0      3.1    33     14 
09/07/2008  0      5.3    31     16 
10/07/2008  0      4.1    33     15 
11/07/2008  0      4.1    30     16 
12/07/2008  4.7    4.7    33     15 
13/07/2008  3.5    4      35     16 
14/07/2008  2.9    3.5    34     17 
15/07/2008  47.5   1      31     16 
16/07/2008  29.6   3.1    33     14 
17/07/2008  20.4   3      35     16 
18/07/2008  25.6   1.1    33     13 
19/07/2008  6.3    4.4    32     14 
