CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14048
NOMBRE    : EL CHIFLON
ESTADO    : JALISCO
MUNICIPIO : CIHUATLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.292°
LONGITUD  : -104.558°
ALTITUD   : 360 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.3    34.5   15.5 
02/02/2008  0      5      35.5   15 
03/02/2008  0      5.1    35.5   12 
04/02/2008  0      4.9    35.5   11.5 
05/02/2008  0      4.4    34     11 
06/02/2008  0      4.7    34     11.5 
07/02/2008  0      4      34     12 
08/02/2008  0      3.5    33     13 
09/02/2008  0      4.5    34.5   14.5 
10/02/2008  0      4.2    36     14.5 
11/02/2008  0      5.4    37     14 
12/02/2008  0      4.5    34.5   12.5 
13/02/2008  0      5.2    36     11 
14/02/2008  0      5.9    35.5   9 
15/02/2008  0      5.6    37.5   9 
16/02/2008  0      5.5    37.5   9 
17/02/2008  0      5.2    36     9.5 
18/02/2008  0      4.9    34     10 
19/02/2008  0      4.2    34     10.5 
20/02/2008  0      4.8    34.5   10 
21/02/2008  0      4.7    35.5   10 
22/02/2008  0      5.7    36     11.5 
23/02/2008  0      5.6    38     10.5 
24/02/2008  0      5.9    37.5   11 
25/02/2008  0      6.1    37.5   11.5 
26/02/2008  0      5.6    36.5   10 
27/02/2008  0      5.6    33.5   10 
28/02/2008  0      5.6    34.5   10 
29/02/2008  0      6.2    36.5   10.5 
01/03/2008  0      5.3    38     11.5 
02/03/2008  0      5.6    36.5   9.5 
03/03/2008  0      5.4    36.5   10.5 
04/03/2008  0      6      35.5   10.5 
05/03/2008  0      6.5    37     9.5 
06/03/2008  0      6.9    37     8 
07/03/2008  0      6.8    36.5   6 
08/03/2008  0      7      36     4 
09/03/2008  0      6.7    35.5   5 
10/03/2008  0      6.4    37.5   6 
11/03/2008  0      7.1    37.5   9.5 
12/03/2008  0      7.3    38.5   11 
13/03/2008  0      7.4    37.5   8.5 
14/03/2008  0      6.9    37.5   7 
15/03/2008  0      6.5    37     7 
16/03/2008  0      7.2    36.5   8.5 
17/03/2008  0      6.3    36     9 
18/03/2008  0      6.6    34     9.5 
19/03/2008  0      7.3    36     8.5 
20/03/2008  0      6.9    36.5   9 
21/03/2008  0      7.6    39.5   12.5 
22/03/2008  0      7.4    40     11.5 
23/03/2008  0      7.2    39     9.5 
24/03/2008  0      7.2    38     9 
25/03/2008  0      7.5    38     10.5 
26/03/2008  0      7.2    39.5   12.5 
27/03/2008  0      7.9    40     11.5 
28/03/2008  0      8.3    39     9.5 
29/03/2008  0      8.4    39     8.5 
30/03/2008  0      7.4    38     8.5 
31/03/2008  0      7.5    39     9 
01/04/2008  0      6.9    38.5   11 
02/04/2008  0      6.9    37.5   11.5 
03/04/2008  0      7.5    38.5   13.5 
04/04/2008  0      6.4    38.5   12 
05/04/2008  0      7.1    35.5   12.5 
06/04/2008  0      6.7    37     16 
07/04/2008  0      7.4    38     16.5 
08/04/2008  0      6.7    36.5   15.5 
09/04/2008  0      7.1    37     15 
10/04/2008  0      6.9    36.5   15 
11/04/2008  0      7.7    39     15.5 
12/04/2008  0      6.9    39     13.5 
13/04/2008  0      6.5    38.5   14 
14/04/2008  0      8.2    38.5   18 
15/04/2008  0      8.8    39     15.5 
16/04/2008  0      8.4    40     15 
