CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14052
NOMBRE    : EL NOGAL
ESTADO    : JALISCO
MUNICIPIO : TAPALPA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.897°
LONGITUD  : -103.787°
ALTITUD   : 2,000 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      2      23     2 
02/02/2008  0      2.1    24     2 
03/02/2008  0      2.8    21     2 
04/02/2008  0      2      22    -2 
05/02/2008  0      3.9    21    -2 
06/02/2008  0      2.1    22    -2 
07/02/2008  0      2.2    26    -1 
08/02/2008  0      2.6    24     4 
09/02/2008  0      2.1    25     9 
10/02/2008  0      3.1    25     9 
11/02/2008  0      2      22     7 
12/02/2008  0      3.8    21     2 
13/02/2008  0      4      22     1 
14/02/2008  0      6.1    21.5   0 
15/02/2008  0      5.5    23.5   0.5 
16/02/2008  0      4.4    25     1.5 
17/02/2008  0      5.4    24     1 
18/02/2008  0      6      23.5   1.5 
19/02/2008  0      5.4    22.5  -1 
20/02/2008  0      5.2    24    -1 
21/02/2008  0      6.1    23     0 
22/02/2008  0      4.4    25     2 
23/02/2008  0      6.7    26.5   2.5 
24/02/2008  0      6.3    29     3.5 
25/02/2008  0      5.4    25     5 
26/02/2008  0      6.2    25.5   1.5 
27/02/2008  0      5.2    25.5   2 
28/02/2008  0      5.8    22.5   3 
29/02/2008  0      5.4    23     1 
01/03/2008  0      5.3    25     2 
02/03/2008  0      5.6    24     2.5 
03/03/2008  0      7.4    24    -1 
04/03/2008  0      4.7    23     1 
05/03/2008  0      7.4    24     1.5 
06/03/2008  0      6.9    23     0.5 
07/03/2008  0      6.1    22    -3 
08/03/2008  0      7.6    20    -2 
09/03/2008  0      6.3    21    -0.5 
10/03/2008  0      6      23     1 
11/03/2008  0      5.9    23     2.5 
12/03/2008  0      6.8    24     2.5 
13/03/2008  0      6.7    24     3 
14/03/2008  0      6.9    24.5   0.5 
15/03/2008  0      7.1    24.5   0.5 
16/03/2008  0      7.1    25     1 
17/03/2008  0      7.2    23     1 
18/03/2008  0      7.1    21.5   2.5 
19/03/2008  0      6.8    24.5   8 
20/03/2008  0      6.6    25     3 
21/03/2008  0      6.3    25.5   4 
22/03/2008  0      6.7    25     5 
23/03/2008  0      6.4    25     3 
24/03/2008  0      5.2    24.5   3.5 
25/03/2008  0      5.8    24     3.5 
26/03/2008  0      7.1    25.5   5 
27/03/2008  0      7.4    25.5   4 
28/03/2008  0      7.9    25     3 
29/03/2008  0      7.8    25.5   3.5 
30/03/2008  0      7.8    25.5   4 
31/03/2008  0      8.6    28     3.5 
01/04/2008  0      7.8    23     5 
02/04/2008  0      8.4    23.5   6 
03/04/2008  0      8.1    28.5   6.5 
04/04/2008  0      8.1    28     7 
05/04/2008  0      7.8    24     4.5 
06/04/2008  0      7.3    24.5   4.5 
07/04/2008  0      7.3    27     4.5 
08/04/2008  0      7.3    26.5   5.5 
09/04/2008  0      7.8    26.5   3.5 
10/04/2008  0      8.1    27     4 
11/04/2008  0      7.8    28     4.5 
12/04/2008  0      7.3    27.5   9.5 
13/04/2008  18.8   6.8    27     11 
14/04/2008  0      6.8    23.5   12.5 
15/04/2008  0.9    2.5    24     9 
16/04/2008  0      6.2    27     8 
17/04/2008  0      6.4    27     4.5 
18/04/2008  0      7.3    28     3.5 
19/04/2008  0      7.4    28.5   8 
20/04/2008  0      7.3    29.5   8 
21/04/2008  0      7.6    30.5   7 
22/04/2008  0      9.4    30.5   7.5 
23/04/2008  0      8.8    29     8 
24/04/2008  0      7.9    27     6 
25/04/2008  0      7.9    27     6 
26/04/2008  0      7.8    25     7 
27/04/2008  0      8.1    30     8 
28/04/2008  0      6.8    28.5   7 
29/04/2008  0      8      26     8.5 
30/04/2008  0      8.1    26     5.5 
01/05/2008  0      8.9    27     4.5 
02/05/2008  0      8.4    27     5 
03/05/2008  0      8.6    28     5.5 
04/05/2008  0      8.6    28.5   5 
05/05/2008  0      8.2    28     10 
06/05/2008  0      4.2    27.5   10 
07/05/2008  0      6.8    26.5   9.5 
08/05/2008  0      8.3    28.5   8 
09/05/2008  0      8.1    29     9 
10/05/2008  0      7.7    30     11 
11/05/2008  0      8.1    29.5   10.5 
12/05/2008  0.2    5.4    28     10 
13/05/2008  0      8.1    27     8 
14/05/2008  0      7.5    27     9 
