CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14053
NOMBRE    : EL PINITO
ESTADO    : JALISCO
MUNICIPIO : HUEJUQUILLA EL ALTO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0022.609°
LONGITUD  : -103.948°
ALTITUD   : 1,684 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.7    26.5  -2 
02/02/2008  0      4.2    26    -1 
03/02/2008  0      5.4    25     3 
04/02/2008  0      3.3    26.5   3 
05/02/2008  0      5.7    25     3.5 
06/02/2008  0      4.9    25    -1 
07/02/2008  0      3.4    26    -1.5 
08/02/2008  0      4.7    27    -1 
09/02/2008  0      5.8    27.5   3 
10/02/2008  0      5.2    28     3.5 
11/02/2008  1      2      27     3 
12/02/2008  0      4.9    25.5   3.5 
13/02/2008  0      4.1    25     0.5 
14/02/2008  0      6.9    26     0.5 
15/02/2008  0      7.1    25.5   1 
16/02/2008  0      5.1    27     1.5 
17/02/2008  0      5.7    27     2 
18/02/2008  0      4.9    28     0.5 
19/02/2008  0      5.5    28.5   0.5 
20/02/2008  0      5.7    28     0.5 
21/02/2008  0      6.5    28     1.5 
22/02/2008  0      6.1    26.5   0 
23/02/2008  0      3.8    28.5   0.5 
24/02/2008  0      5      31.5   2.5 
25/02/2008  0      6.2    33.5   4 
26/02/2008  0      6.5    32     3.5 
27/02/2008  0      6.7    31.5   4 
28/02/2008  0      3.6    29     5.5 
29/02/2008  0      5      28.5   5 
01/03/2008  0      6.4    29     4.5 
02/03/2008  0      4.6    30     5 
03/03/2008  0      6.2    27     3 
04/03/2008  0      6.1    27.5   4 
05/03/2008  0      7.4    27.5   4.5 
06/03/2008  0      7.7    26     5 
07/03/2008  0      5.4    24    -1 
08/03/2008  0      5.5    25.5  -0.5 
09/03/2008  0      8.5    26     2 
10/03/2008  0      6.8    24     1 
11/03/2008  0      5.7    27     1.5 
12/03/2008  0      5.8    28.5   4.5 
13/03/2008  0      7      29     2 
14/03/2008  0      6.9    28     2 
15/03/2008  0      5.9    31.5   3 
16/03/2008  0      5.6    32     5 
17/03/2008  0      8      28.5   6 
18/03/2008  0      7.1    26     7 
19/03/2008  0      5.7    22     2 
20/03/2008  0      5.2    25.5   2.5 
21/03/2008  0      5.2    29     4 
22/03/2008  0      9.3    31     5.5 
23/03/2008  0      6.7    30     5 
24/03/2008  0      6.8    30     7 
25/03/2008  0      5.5    30     11 
26/03/2008  0      6.8    30     11 
27/03/2008  0      5.5    30.5   8 
28/03/2008  0      8.6    30     5 
29/03/2008  0      6.3    30.5   5 
30/03/2008  0      8.6    30     2.5 
31/03/2008  0      9.7    31     4 
01/04/2008  0      7.4    33     5 
02/04/2008  0      9.4    35     7 
03/04/2008  0      7.5    35     8 
04/04/2008  0      8.1    33     9 
05/04/2008  0      8.6    32.5   7.5 
06/04/2008  0      8.9    30.5   6 
07/04/2008  0      6.6    31     4 
08/04/2008  0      8.3    33     4 
09/04/2008  0      7.5    33     6 
10/04/2008  0      8.4    31     7 
11/04/2008  0      7.6    31     7 
12/04/2008  0      6      32     7 
13/04/2008  0      8.3    33.5   10.5 
14/04/2008  0      6      32.5   9.5 
15/04/2008  0      4      32     10 
16/04/2008  0      4.9    30     8.5 
17/04/2008  0      8.3    31     9 
18/04/2008  0      8      32     5.5 
19/04/2008  0      6.3    33     6 
20/04/2008  0      9.7    34     7.5 
21/04/2008  0      9.4    33.5   11 
22/04/2008  0      9.6    35     9 
23/04/2008  0      9      36     9 
24/04/2008  0      9.1    37     8 
25/04/2008  0      10.2   33.5   8.5 
26/04/2008  0      7.8    34     9 
27/04/2008  0      9.3    33.5   9.5 
28/04/2008  0      9.4    32     9.5 
29/04/2008  0      6.9    32     10 
30/04/2008  0      9.5    32.5   10.5 
01/05/2008  0      6.8    31     8 
02/05/2008  0      9      30     7.5 
03/05/2008  0      9      31.5   7.5 
04/05/2008  0      8.6    33     9 
05/05/2008  0      10.1   34     11 
06/05/2008  0      11.1   33     11 
07/05/2008  0      9.4    33.5   13 
08/05/2008  0      6.5    31     9 
09/05/2008  0      8.3    35     9 
10/05/2008  0      8      35     9.5 
11/05/2008  0      9.7    36     12 
12/05/2008  0      8.9    37.5   14.5 
13/05/2008  0      8.7    37     13.5 
14/05/2008  0      8.7    34     13.5 
15/05/2008  0      9.5    33     17 
16/05/2008  1.7    11.8   24     13.5 
17/05/2008  0      7.8    30     11.5 
18/05/2008  0      6.8    30.5   11.5 
19/05/2008  0      6.4    30.5   10 
20/05/2008  3      5.5    31     9 
21/05/2008  0      8.1    31     10 
22/05/2008  0      7.5    29.5   11 
23/05/2008  0      7.7    29.5   11 
24/05/2008  0      5.1    30     9 
25/05/2008  0      9.6    34.5   10.5 
26/05/2008  0      14.8   35     13 
27/05/2008  0      9.5    35     14 
28/05/2008  0      7.9    30.5   14.5 
29/05/2008  0      8.9    36     16.5 
30/05/2008  0      7.7    35     12 
31/05/2008  0      8.6    36     14 
01/06/2008  0      8.1    37     14.5 
02/06/2008  0      7.7    38     15 
03/06/2008  0      8.5    38     15.5 
04/06/2008  0      9.9    39     16.5 
05/06/2008  0      7.5    35.5   16 
06/06/2008  0      8      34     16 
07/06/2008  0.2    8.8    35.5   16 
08/06/2008  20     4.1    30.5   16 
09/06/2008  8      4      30     17 
10/06/2008  8.7    2.1    26     17 
11/06/2008  16.2   0.1    23.5   15.5 
12/06/2008  3.3    3.8    26     16 
13/06/2008  0      3.1    28.5   17 
14/06/2008  0.4    4.3    30.5   17.5 
15/06/2008  0      4.4    32     17.5 
16/06/2008  0      4.6    32.5   18 
17/06/2008  0      4.5    31     15.5 
18/06/2008  0      4.8    31.5   15.5 
19/06/2008  0      6.8    34     16 
20/06/2008  0      6.3    34     17.5 
21/06/2008  1      3.3    29     14.5 
22/06/2008  0      3.9    33.5   16 
23/06/2008  0      4.7    29.5   17.5 
24/06/2008  0      4.9    31     17 
25/06/2008  1      6.6    31     16 
26/06/2008  0      5.4    33     16 
27/06/2008  3.8    7.3    34     17 
28/06/2008  0      3.4    29.5   17 
29/06/2008  0      10.2   31.5   16 
30/06/2008  0      7.7    32     14.5 
01/07/2008  17.8   7.6    31     15 
02/07/2008  1.5    2.1    28     16 
03/07/2008  11.8   3.3    28     16.5 
04/07/2008  6.6    1.6    25     16 
05/07/2008  9.3    2.5    28.5   16.5 
06/07/2008  1.3    4.2    27.5   17 
07/07/2008  12.8   3.2    27     17.5 
08/07/2008  10.8   3.3    28     17 
09/07/2008  24     3.2    25.5   17 
10/07/2008  11     0.8    22     16.5 
11/07/2008  4.2    2.8    26     15.5 
12/07/2008  33.5   6.2    27     16 
13/07/2008  29.8   6.3    26     13 
14/07/2008  5.2    3.2    28     13.5 
15/07/2008  0      4.2    29     15 
16/07/2008  0      5.8    30     16 
17/07/2008  0      3.8    31     17.5 
18/07/2008  7.7    5.4    27.5   15.5 
19/07/2008  2.2    3.5    26     16 
20/07/2008  9.1    4.2    26     15 
21/07/2008  9.4    3.6    28     15 
22/07/2008  0      3.4    29     14 
23/07/2008  0      5.4    30     14.5 
24/07/2008  12.7   5.2    29.5   16.5 
25/07/2008  0      3.4    29     17 
26/07/2008  1.7    4.2    29     16.5 
27/07/2008  1      4      29.5   14 
28/07/2008  0      4.4    27.5   13 
29/07/2008  0      5.2    30     13.5 
30/07/2008  0      1.5    27     16.5 
31/07/2008  14.2   4.4    28     14.5 
01/08/2008  1.3    3.6    26     14.5 
02/08/2008  4.3    1.6    28     14.5 
03/08/2008  36.3   3.7    28     12.5 
04/08/2008  0      3.4    28.5   13 
05/08/2008  0      5.4    30     15 
06/08/2008  0      1.4    28     15.5 
07/08/2008  8.8    5.7    29     16 
08/08/2008  2      3.7    26     15.5 
09/08/2008  2.5    2.6    26.5   15.5 
10/08/2008  0      3.6    28     14 
11/08/2008  0.2    4.7    29     14.5 
12/08/2008  0      4.7    39     14.5 
13/08/2008  2      3.9    30     15 
14/08/2008  18.4   5.7    31     15.5 
15/08/2008  0      4.7    27.5   16 
16/08/2008  0.4    1.8    29     15.5 
17/08/2008  19     3.6    30     15 
18/08/2008  0      4.1    26     15 
19/08/2008  39     4.4    27     16 
20/08/2008  6.3    2.4    26     16 
21/08/2008  5.8    1.7    24.5   17 
22/08/2008  1      1      25     15.5 
23/08/2008  9.2    4.8    27     16 
24/08/2008  0      3.2    27.5   15 
25/08/2008  0      5.7    27     15.5 
26/08/2008  18.2   4.2    25.5   16 
27/08/2008  2      2.6    25     16.5 
28/08/2008  0.4    1.7    25     17.5 
29/08/2008  6.7    2.8    27     17.5 
30/08/2008  7.6    2.1    26.5   16 
31/08/2008  6.8    3.6    27     16 
01/09/2008  0.3    2.8    26.5   14 
02/09/2008  20.2   5.6    29     14.5 
03/09/2008  20.5   4      27     16.5 
04/09/2008  11.8   4.6    27     16.5 
05/09/2008  3.5    2.8    26.5   15 
06/09/2008  0      3      29     12 
07/09/2008  0      3.8    29     12.5 
08/09/2008  3.5    4      28     14.5 
09/09/2008  2.1    1.9    29     15 
10/09/2008  1.5    4.8    27     16.5 
11/09/2008  0.4    3.3    23.5   16.5 
12/09/2008  0      4.6    27.5   15 
13/09/2008  0      4.7    28.5   15 
14/09/2008  2.9    2.7    29     15.5 
15/09/2008  9.5    3.3    27.5   16 
16/09/2008  0      2.1    24     16 
17/09/2008  19.3   3      24.5   15 
18/09/2008  7      2.9    27     15.5 
19/09/2008  4.8    4.5    28.5   15.5 
20/09/2008  0.9    1.8    26     15.5 
21/09/2008  2.2    2.2    26     14 
22/09/2008  0      4.1    26     13.5 
23/09/2008  2.5    0.8    26.5   13.5 
24/09/2008  0.5    1.9    26     14.5 
25/09/2008  0.6    4      27     15 
26/09/2008  0      2.4    25     14 
27/09/2008  0      2.7    25     11 
28/09/2008  0      2.1    28     11 
29/09/2008  0      4.6    27.5   10 
30/09/2008  0      2.9    28     9 
01/10/2008  0      5.1    28     7 
02/10/2008  0      3.2    27.5   5 
03/10/2008  0      3.8    26.5   5 
04/10/2008  0      2.9    28     5.5 
05/10/2008  0      3      27     6.5 
06/10/2008  0      3.8    29     7 
07/10/2008  0      4.5    29     8.5 
08/10/2008  0      2.5    30     13.5 
09/10/2008  0      2.8    27     12 
10/10/2008  0      3      30     12 
11/10/2008  6.4    1.9    29     12.5 
12/10/2008  12     5.2    30     15 
13/10/2008  0.2    0.9    26     13 
14/10/2008  11.2   4.4    29.5   13 
15/10/2008  0      1.6    28     12 
16/10/2008  0      3.2    26.5   12 
17/10/2008  0.2    1.8    28     12.5 
18/10/2008  0      3.4    26     10.5 
19/10/2008  0      3.3    28.5   10.5 
20/10/2008  0      2.5    28     9 
21/10/2008  0      3.6    29     9 
22/10/2008  0      3.3    29     10 
23/10/2008  0      4.3    28.5   10.5 
24/10/2008  0      2.4    29.5   9 
25/10/2008  0      2.5    24.5   10 
26/10/2008  0      1.7    26.5   10.5 
27/10/2008  0      2.8    29     11.5 
28/10/2008  0      5.9    27     9.5 
29/10/2008  0      3.8    26.5   8.5 
30/10/2008  0      1.7    26     6 
31/10/2008  0      2.6    26     6.5 
01/11/2008  0      4.8    29     6.5 
02/11/2008  0      2.4    27     4.5 
03/11/2008  0      4.6    27     4.5 
04/11/2008  0      3.1    28     6 
05/11/2008  0      4.2    28     7 
06/11/2008  0      3.3    27     6 
07/11/2008  0      3.8    27     5.5 
08/11/2008  0      4.6    27.5   6 
09/11/2008  0      2.3    27.5   7 
10/11/2008  0      3.8    27     6 
11/11/2008  0      2.2    27     5.5 
12/11/2008  0      3.1    27     5.5 
13/11/2008  0      3.2    26.5   4 
14/11/2008  0      4.8    26     4.5 
15/11/2008  0      4.1    26     3 
16/11/2008  0      3.2    29     3.5 
17/11/2008  0      4.2    26.5   3 
18/11/2008  0      2.8    27     2 
19/11/2008  0      4.6    26    -1 
20/11/2008  0      2.5    25    -1.5 
21/11/2008  0      3.2    26.5  -1 
22/11/2008  0      2.8    25     2.5 
23/11/2008  0      3.5    24     2.5 
24/11/2008  0      1.3    25.5   3 
25/11/2008  0      3.3    27    -1 
26/11/2008  0      3      26    -0.5 
27/11/2008  0      2.9    27.5   4.5 
28/11/2008  0      4.2    27.5   5 
29/11/2008  0      2.6    27     6.5 
30/11/2008  0      4.5    22    -0.5 
01/12/2008  0      1.5    23    -2.5 
02/12/2008  0      3.5    25    -3 
03/12/2008  0      1.5    26    -2.5 
04/12/2008  0      3.3    23    -0.5 
05/12/2008  0      1.6    25     1 
06/12/2008  0      2.9    25.5   4 
07/12/2008  0      2.8    26.5   2.5 
08/12/2008  0      2      25     2.5 
09/12/2008  0      3.2    24.5   4 
