CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14054
NOMBRE    : EL PUESTO
ESTADO    : JALISCO
MUNICIPIO : LAGOS DE MORENO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0021.626°
LONGITUD  : -101.966°
ALTITUD   : 2,050 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    30     12 
02/02/2008  0     Nulo    30     11 
03/02/2008  0     Nulo    31.5   10 
04/02/2008  0     Nulo    31     11 
05/02/2008  0     Nulo    30     13 
06/02/2008  0     Nulo    31     9 
07/02/2008  0     Nulo    30     8.5 
08/02/2008  0     Nulo    32     10.5 
09/02/2008  0     Nulo    31     11 
10/02/2008  0     Nulo    29     13 
11/02/2008  0     Nulo    27     12 
12/02/2008  0     Nulo    29     12 
13/02/2008  0     Nulo    30     10 
14/02/2008  0     Nulo    31     11 
15/02/2008  0     Nulo    32     11 
16/02/2008  0     Nulo    32     12 
17/02/2008  0     Nulo    32     12 
18/02/2008  0     Nulo    34     12 
19/02/2008  0     Nulo    33     14 
20/02/2008  0     Nulo    33     13 
21/02/2008  0     Nulo    30     12 
22/02/2008  0     Nulo    33     12 
23/02/2008  0     Nulo    35     10 
24/02/2008  0     Nulo    34     11 
25/02/2008  0     Nulo    33     12 
26/02/2008  0     Nulo    33     12 
27/02/2008  0     Nulo    27     10 
28/02/2008  0     Nulo    32     9 
29/02/2008  0     Nulo    32     11 
01/03/2008  0     Nulo    34     12 
02/03/2008  0     Nulo    33     15.5 
03/03/2008  0     Nulo    32     13 
04/03/2008  0     Nulo    31     12 
05/03/2008  0     Nulo    32     11 
06/03/2008  0     Nulo    30     12 
07/03/2008  0     Nulo    30     8 
08/03/2008  0     Nulo    31     4 
09/03/2008  0     Nulo    30     8 
10/03/2008  0     Nulo    32     11 
11/03/2008  0     Nulo    32     13 
12/03/2008  0     Nulo    33     12 
13/03/2008  0     Nulo    32     15 
14/03/2008  0     Nulo    34     10 
15/03/2008  0     Nulo    35     12 
16/03/2008  0     Nulo    34     14 
17/03/2008  0     Nulo    33     14 
18/03/2008  0     Nulo    31     14 
19/03/2008  0     Nulo    31     7 
20/03/2008  0     Nulo    32     9 
21/03/2008  0     Nulo    34     10 
22/03/2008  0     Nulo    29     11 
23/03/2008  0     Nulo    33     14 
24/03/2008  0     Nulo    29     13 
25/03/2008  0     Nulo    31     10 
26/03/2008  0     Nulo    35     12 
27/03/2008  0     Nulo    34     16 
28/03/2008  0     Nulo    35     16 
29/03/2008  0     Nulo    36     16 
30/03/2008  0     Nulo    37     16 
31/03/2008  0     Nulo    33     15 
01/04/2008  0     Nulo    34     14 
02/04/2008  0     Nulo    38     15 
03/04/2008  0     Nulo    33     16 
04/04/2008  0     Nulo    37     15 
05/04/2008  0     Nulo    35     16 
06/04/2008  0     Nulo    35     15 
07/04/2008  0     Nulo    37     12 
08/04/2008  0     Nulo    37     13 
09/04/2008  0     Nulo    37     16 
10/04/2008  0     Nulo    37     15 
11/04/2008  0     Nulo    38     14 
12/04/2008  0     Nulo    37     14 
13/04/2008  16.8  Nulo    31     14 
14/04/2008  0     Nulo    30     17 
15/04/2008  0     Nulo    33     14 
16/04/2008  0     Nulo    33     15 
17/04/2008  0     Nulo    35     16 
18/04/2008  0     Nulo    37     14 
19/04/2008  0     Nulo    37     14 
20/04/2008  0     Nulo    37     16 
21/04/2008  0     Nulo    39     16 
22/04/2008  0     Nulo    39     17 
23/04/2008  0     Nulo    38     19 
24/04/2008  0     Nulo    38     20 
25/04/2008  0     Nulo    38     17 
26/04/2008  0     Nulo    37     17 
27/04/2008  0     Nulo    36     17 
28/04/2008  0     Nulo    34     16 
29/04/2008  0     Nulo    34     13 
30/04/2008  0     Nulo    34     14 
01/05/2008  0     Nulo    34     16 
02/05/2008  0     Nulo    35     17 
03/05/2008  0     Nulo    36     15 
04/05/2008  0     Nulo    36     17 
05/05/2008  0     Nulo    36     19 
06/05/2008  0     Nulo    38     19 
07/05/2008  0     Nulo    35     19 
08/05/2008  0     Nulo    38     17 
09/05/2008  0     Nulo    39     18 
10/05/2008  0     Nulo    41     18 
11/05/2008  0     Nulo    41     19 
12/05/2008  0     Nulo    38     19 
13/05/2008  1     Nulo    37     17 
14/05/2008  1.3   Nulo    35     14 
15/05/2008  0     Nulo    31     20 
16/05/2008  0     Nulo    34     18 
17/05/2008  0     Nulo    35     18 
18/05/2008  0     Nulo    40     17 
19/05/2008  0     Nulo    32     17 
20/05/2008  0     Nulo    34     20 
21/05/2008  0     Nulo    32     16 
22/05/2008  0     Nulo    33     16 
23/05/2008  0     Nulo    35     16 
24/05/2008  0     Nulo    38     16 
25/05/2008  0     Nulo    34     18 
26/05/2008  0     Nulo    38     20 
27/05/2008  0     Nulo    32     20 
28/05/2008  0     Nulo    35     18 
29/05/2008  0     Nulo    35     17 
30/05/2008  0     Nulo    36     16 
31/05/2008  0     Nulo    36     18 
01/06/2008  0     Nulo    36     18 
02/06/2008  0     Nulo    37     18 
03/06/2008  0     Nulo    37     17 
04/06/2008  0     Nulo    39     18 
05/06/2008  0     Nulo    38     21 
06/06/2008  0     Nulo    38     20 
07/06/2008  0     Nulo    35     20 
08/06/2008  0     Nulo    36     20 
09/06/2008  0     Nulo    36     19 
