CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14056
NOMBRE    : EL SALITRE
ESTADO    : JALISCO
MUNICIPIO : SAN MARTIN HIDALGO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.510°
LONGITUD  : -103.857°
ALTITUD   : 1,260 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.2    30.5   6 
02/02/2008  0      5.7    31     6 
03/02/2008  0      5.8    30.5   6 
04/02/2008  0      4.9    30.5   5.5 
05/02/2008  0      5.2    31     5.5 
06/02/2008  0      4.2    30.5   4.5 
07/02/2008  0      4.1    28.5   4.5 
08/02/2008  0      4.3    30.5   5.5 
09/02/2008  0      3.8    32     5.5 
10/02/2008  0      3.3    30.5   5.5 
11/02/2008  0      4.7    29     7.5 
12/02/2008  0      5.8    30.5   6 
13/02/2008  0      5.4    30.5   4.5 
14/02/2008  0      3.7    30     5 
15/02/2008  0      2.4    31.5   4.5 
16/02/2008  0      3.1    31     4 
17/02/2008  0      3.8    33.5   4 
18/02/2008  0      3.7    32.5   4 
19/02/2008  0      3.7    31.5   4 
20/02/2008  0      3.5    31.5   4 
21/02/2008  0      5.3    31.5   6 
22/02/2008  0      5.2    33.5   5.5 
23/02/2008  0      4.1    34.5   4.5 
24/02/2008  0      4.5    36.5   5.5 
25/02/2008  0      4.8    34.5   6 
26/02/2008  0      6.6    34.5   4.5 
27/02/2008  0      3.8    33     6 
28/02/2008  0      4.1    31.5   6.5 
29/02/2008  0      3.8    32.5   6.5 
01/03/2008  0      4.1    32.5   7.5 
02/03/2008  0      4.1    32.5   4.5 
03/03/2008  0      5.1    33.5   4 
04/03/2008  0      5.7    32     4.5 
05/03/2008  0      4.7    32.5   3 
06/03/2008  0      4.9    30     1 
07/03/2008  0      3.4    29     2 
08/03/2008  0      2.9    29.5   3.5 
09/03/2008  0      2.5    31.5   4.5 
10/03/2008  0      1.8    31.5   6 
11/03/2008  0      7.1    31.5   4 
12/03/2008  0      3.9    31     6 
13/03/2008  0      4.3    34     7 
14/03/2008  0      3.3    34.5   6.5 
15/03/2008  0      4.5    33.5   4.5 
16/03/2008  0      3.6    31.5   6 
17/03/2008  0      3.5    31.5   3.5 
18/03/2008  0      4      32     4 
19/03/2008  0      4.3    33     7 
20/03/2008  0      3.1    32     7.5 
21/03/2008  0      5.3    34.5   7 
22/03/2008  0      5.2    33     7 
23/03/2008  0      5.9    34.5   7.5 
24/03/2008  0      5.2    32     7 
25/03/2008  0      4.7    32.5   8.5 
26/03/2008  0      5.3    34.5   9 
27/03/2008  0      7.2    35.5   8 
28/03/2008  0      5.7    35     7.5 
29/03/2008  0      7.8    35.5   7 
30/03/2008  0      7      35.5   6.5 
31/03/2008  0      8.1    37.5   7.5 
01/04/2008  0      9.8    38.5   7.5 
02/04/2008  0      8.2    38.5   8.5 
03/04/2008  0      9.1    38     8.5 
04/04/2008  0      8.7    38     8.5 
05/04/2008  0      8.9    38.5   8.5 
06/04/2008  0      8.7    37.5   8.5 
07/04/2008  0      7.9    36.5   8 
08/04/2008  0      5.7    37.5   8 
09/04/2008  0      7.9    37.5   8.5 
10/04/2008  0      8.9    37.5   7.5 
11/04/2008  0      8.9    37.5   7.5 
12/04/2008  0      8.3    37.5   8 
13/04/2008  0      6.7    35.5   8 
14/04/2008  4.5    4.1    33.5   9 
15/04/2008  0      7      34     12.5 
16/04/2008  0      9.4    35.5   10 
17/04/2008  0      9.5    36.5   9.5 
18/04/2008  0      8.8    37     6.5 
19/04/2008  0      8.4    38.5   8 
20/04/2008  0      10.2   38     10 
21/04/2008  0      9      39.5   11 
22/04/2008  0      9.7    40.5   10.5 
23/04/2008  0      9.2    39.5   10 
24/04/2008  0      7.7    38.5   10 
25/04/2008  0      11     38.5   10.5 
26/04/2008  0      8.7    38     9.5 
27/04/2008  0      8.4    38.5   9.5 
28/04/2008  0      8.1    37.5   9.5 
29/04/2008  0      8.6    37.5   10.5 
30/04/2008  0      6      36.5   12.5 
01/05/2008  0      8.8    36.5   9.5 
02/05/2008  0      9.2    37     8.5 
03/05/2008  0      8.8    37     8.5 
04/05/2008  0      6.6    37.5   9 
05/05/2008  0      8.1    36.5   10 
06/05/2008  0      7.1    36.5   14.5 
07/05/2008  0      7.7    35.5   13.5 
08/05/2008  0      8.5    38.5   12 
09/05/2008  0      8.9    38.5   12.5 
10/05/2008  0      9.2    39.5   12.5 
11/05/2008  0      9.1    40.5   13.5 
12/05/2008  0      4.5    39.5   15.5 
13/05/2008  0      8.7    37.5   13 
14/05/2008  0      8.5    37     13.5 
15/05/2008  0      9.4    37     15.5 
16/05/2008  0      9.1    35.5   15 
17/05/2008  0      7.6    35     13.5 
18/05/2008  6      0.4    34.5   12.5 
19/05/2008  0      0.4    32.5   11.5 
