CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14059
NOMBRE    : EL TUITO
ESTADO    : JALISCO
MUNICIPIO : CABO CORRIENTES
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.320°
LONGITUD  : -105.326°
ALTITUD   : 600 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0      2.2    31     7 
02/01/2008  0      3.1    33     6.5 
03/01/2008  0      3.9    32     11 
04/01/2008  0      5.3    32     7 
05/01/2008  0      3      32     7 
06/01/2008  0      2.4    32     7 
07/01/2008  0      4.4    29     7 
08/01/2008  0      4.1    29     8.5 
09/01/2008  0      4.2    31     6 
10/01/2008  0      3.3    31     5 
11/01/2008  0      2.3    31     3.5 
12/01/2008  0      4.6    31     4.5 
13/01/2008  0      2.9    31     3.5 
14/01/2008  0      3      31     5 
15/01/2008  0      2.9    30     6 
16/01/2008  0      2.3    30.5   8 
17/01/2008  0      4.7    30     4.5 
18/01/2008  0      2.1    30     4.5 
19/01/2008  0      4      30.5   4.5 
20/01/2008  0      3.4    30.5   4.5 
21/01/2008  0      3.8    31     4.5 
22/01/2008  0      2.9    31     4.5 
23/01/2008  0      4.9    33     4.5 
24/01/2008  0      3.2    33     9.5 
25/01/2008  0      2.4    33     9.5 
26/01/2008  0      4      33     9.5 
27/01/2008  0      4      33     9.5 
28/01/2008  0      6.5    33     9.5 
29/01/2008  0      5.9    33     9.5 
30/01/2008  0      3.6    33     9.5 
31/01/2008  0      3      33     9.5 
01/02/2008  0      3.6    34     9.5 
02/02/2008  0      4.8    30     9.5 
03/02/2008  0      4.8    31.5   8 
04/02/2008  0      4.7    32     8 
05/02/2008  0      2.6    31.5   7 
06/02/2008  0      5.4    32     7.5 
07/02/2008  0      3.8    31     8 
08/02/2008  0      4.1    31     8 
09/02/2008  0      2.3    30.1   8 
10/02/2008  0      1.9    31     8 
11/02/2008  0      6.1    31.5   8 
12/02/2008  0      4.4    32     6 
13/02/2008  0      4.1    32     6 
14/02/2008  0      3.3    32     5 
15/02/2008  0      6.7    32     5 
16/02/2008  0      5      33     6 
17/02/2008  0      4.7    33     6 
18/02/2008  0      3.2    33     6 
19/02/2008  0      2.8    33     6 
20/02/2008  0      3      33     5.5 
21/02/2008  0      4.6    33     6 
22/02/2008  0      5.2    33     6 
23/02/2008  0      5.7    32     6 
24/02/2008  0      5.7    33     6 
25/02/2008  0      4.3    32     8 
26/02/2008  0      6.2    32     6 
27/02/2008  0      3.4    33     6 
28/02/2008  0      4.4    33     6 
29/02/2008  0      5.7    33     6 
01/03/2008  0      5.9    33     6 
02/03/2008  0      4.5    33     6 
03/03/2008  0      4.5    33     5 
04/03/2008  0      5.1    32     5 
05/03/2008  0      4.7    32     4 
06/03/2008  0      7.6    32     6 
07/03/2008  0      5.9    32     6 
08/03/2008  0      4.2    32     3.5 
09/03/2008  0      6.8    32     3 
10/03/2008  0      5.1    33     3 
11/03/2008  0      6.8    33     3 
12/03/2008  0      6.1    35     3 
13/03/2008  0      7      35     3 
14/03/2008  0      9.7    35     3 
15/03/2008  0      5.1    32     3 
16/03/2008  0      4.9    32     4 
17/03/2008  0      4.9    31     4 
18/03/2008  0      5.9    32     4 
19/03/2008  0      5.4    32     4 
20/03/2008  0      6.7    32     4 
21/03/2008  0      5.7    32     4 
22/03/2008  0      8.9    32     4 
23/03/2008  0      8.8    32     4 
24/03/2008  0      7.2    32.5   4 
25/03/2008  0      5.9    32.5   4 
26/03/2008  0      7.8    33.5   4 
27/03/2008  0      9.1    34     4 
28/03/2008  0      8      34     4 
29/03/2008  0      4      34     4 
30/03/2008  0      4.9    34     4 
31/03/2008  0      7.3    36     4 
01/04/2008  0      6.9    35     4 
02/04/2008  0      1.2    31     4 
03/04/2008  0      11.3   33     6 
04/04/2008  0      5.3    33.5   13.5 
05/04/2008  0      4.5    33.5   8 
06/04/2008  0      7.9    33.5   8 
07/04/2008  0      4.9    33     8 
08/04/2008  0      5.4    33     8 
09/04/2008  0      5.4    33     8 
10/04/2008  0      7.5    33     7.5 
11/04/2008  0      5.1    33     7.5 
12/04/2008  0      6      34     7.5 
13/04/2008  0      4.4    34     7.5 
14/04/2008  0      7.2    34     7.5 
15/04/2008  0      5.4    34     7.5 
16/04/2008  0      7.6    34     7 
17/04/2008  0      7.5    34     7 
18/04/2008  0      8.5    34     7 
19/04/2008  0      4.9    34     7 
20/04/2008  0      9      35     7 
