CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14065
NOMBRE    : GUADALAJARA (OBS)
ESTADO    : JALISCO
MUNICIPIO : GUADALAJARA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   :  76612 
LATITUD   : 0020.706°
LONGITUD  : -103.392°
ALTITUD   : 1,551 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0      4      27.1   5.4 
02/01/2008  0      3.4    21     8.7 
03/01/2008  0      3      20.7   2.7 
04/01/2008  0      2.3    23     2.4 
05/01/2008  0      2.5    25     3.6 
06/01/2008  0      2.9    26.5   5.5 
07/01/2008  0      4.3    27.5   4.6 
08/01/2008  0      3      27.3   4.3 
09/01/2008  0      4      27.1   4.4 
10/01/2008  0      3.6    25.5   3.9 
11/01/2008  0      3      25.8   5.1 
12/01/2008  0      3.4    25.5   5 
13/01/2008  0      3.4    25.5   1.7 
14/01/2008  0      3.5    25.4   6.3 
15/01/2008  0      3.1    27.8   11 
16/01/2008  0      3.5    22     6 
17/01/2008  0      3      22.5   4 
18/01/2008  0      1.8    21.5   6.4 
19/01/2008  0      3.1    25.2   5.2 
20/01/2008  0      3      24.1   5.9 
21/01/2008  0      2.9    27.5   6.4 
22/01/2008  0      3.9    27.5   7.5 
23/01/2008  0      3.9    30     8.1 
24/01/2008  0      3.7    28.4   8.5 
25/01/2008  0      3.4    29.5   8.8 
26/01/2008  0      4.2    29     9.4 
27/01/2008  0      3.9    28.8   9.4 
28/01/2008  0      4.5    28.5   8.7 
29/01/2008  0      4.1    26.2   7.6 
30/01/2008  0      4.9    27.5   7.9 
31/01/2008  0      3.9    28     7.4 
01/02/2008  0      4.4    27     8 
02/02/2008  0      2.8    25.5   7.5 
03/02/2008  0      5.1    27     7.4 
04/02/2008  0      4.4    27.8   7.1 
05/02/2008  0     Nulo    26.4   7.4 
06/02/2008  0      2.8    28.2   5.6 
07/02/2008  0      3.5    26.2   7.3 
08/02/2008  0      4.3    27     7.2 
09/02/2008  0      4.7    29     7 
10/02/2008  0      4.7    27.8   9.5 
11/02/2008  0      4.4    26.6   8.5 
12/02/2008  0      4      27.5   7.7 
13/02/2008  0      5.6    28     5.8 
14/02/2008  0      5.3    28     6.8 
15/02/2008  0      4.9    30     5.6 
16/02/2008  0      5.9    29     6.5 
17/02/2008  0      6.3    29     6 
18/02/2008  0      6      30.4   5.5 
19/02/2008  0      7.2    29.9   5.8 
20/02/2008  0      5.4    28.5   6 
21/02/2008  0      4.3    28.4   7.5 
22/02/2008  0      6.7    29     6.9 
23/02/2008  0      5.2    31     6.4 
24/02/2008  0      5.6    34     7.3 
25/02/2008  0      6      32     9.5 
26/02/2008  0      7.3    32     7.3 
27/02/2008  0      5      28     12 
28/02/2008  0      3.7    28.5   8.1 
29/02/2008  0      5.6    29.7   8.3 
