CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14067
NOMBRE    : HIGUERA BLANCA
ESTADO    : JALISCO
MUNICIPIO : TOMATLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.994°
LONGITUD  : -105.163°
ALTITUD   : 140 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.3    31     14 
02/02/2008  0      4.8    32.5   13 
03/02/2008  0      4.7    33     12.5 
04/02/2008  0      3.3    31.5   13 
05/02/2008  0      4.9    30     13.5 
06/02/2008  0      3.9    29.5   13.5 
07/02/2008  0      3      30.5   14.5 
08/02/2008  0      4.3    29.5   16 
09/02/2008  0      4.3    30     15.5 
10/02/2008  0      4.4    31     14.5 
11/02/2008  0      3.4    31.5   15 
12/02/2008  0      5.3    31.5   13 
13/02/2008  0      3.7    32     12 
14/02/2008  0      4.8    32.5   11 
15/02/2008  0      5.2    32     13 
16/02/2008  0      5.5    31     12 
17/02/2008  0      3.2    28.5   11 
18/02/2008  0      4.1    26     10.5 
19/02/2008  0      5.4    27.5   13 
20/02/2008  0      3      28     11 
21/02/2008  0      3.7    28.5   13 
22/02/2008  0      4.3    28     11 
23/02/2008  0      4.2    29     10 
24/02/2008  0      3.4    28     11.5 
25/02/2008  0      4.7    28.5   14 
26/02/2008  0      4.2    29     11.5 
27/02/2008  0      5.2    26.5   13 
28/02/2008  0      4.5    30     13.5 
29/02/2008  0      4.5    29.5   11.5 
01/03/2008  0      5.4    31.5   12 
02/03/2008  0      5.1    27.5   13 
03/03/2008  0      3.5    30     12.5 
04/03/2008  0      5.6    28.5   14 
05/03/2008  0      4.9    29     12.5 
06/03/2008  0      5.2    28.5   11 
07/03/2008  0      4.3    32     8 
08/03/2008  0      4.9    25     11 
09/03/2008  0      5.2    29.5   10 
10/03/2008  0      6.6    33     12.5 
11/03/2008  0      5.8    34.5   15 
12/03/2008  0      5.2    29.5   11 
13/03/2008  0      4.4    29     10.5 
14/03/2008  0      5.2    29.5   8.5 
15/03/2008  0      4.7    26.5   9 
16/03/2008  0      4.9    28     11 
17/03/2008  0      5.2    27     11.5 
18/03/2008  0      5.9    27     12 
19/03/2008  0      5.8    27.5   8.5 
20/03/2008  0      4.4    28     12 
21/03/2008  0      7.5    32.5   13 
22/03/2008  0      4.9    32     12 
23/03/2008  0      2.7    31.5   11.5 
24/03/2008  0      5.2    29     10.5 
25/03/2008  0      4.6    30.5   11 
26/03/2008  0      6.9    32     14 
27/03/2008  0      7.9    34.5   12.5 
28/03/2008  0      4.6    31     9.5 
29/03/2008  0      5.5    30.5   10 
30/03/2008  0      5.8    28     9.5 
31/03/2008  0      4.9    28     12.5 
01/04/2008  0      4.3    29     15.5 
02/04/2008  0      5.2    29.5   16 
03/04/2008  0      4.9    30.5   14.5 
04/04/2008  0      4.5    31     13 
05/04/2008  0      4.6    32     14.5 
06/04/2008  0      6.6    32.5   17 
07/04/2008  0      5.4    32     19 
08/04/2008  0      5.2    30     15.5 
09/04/2008  0      5.6    31     16 
10/04/2008  0      6.1    30.5   15.5 
11/04/2008  0      5.4    31     15 
12/04/2008  0      4.8    31.5   16 
13/04/2008  0      5.5    30.5   15 
14/04/2008  0      3.5    31.5   14 
15/04/2008  0      6.6    33     17 
16/04/2008  0      4.5    32.5   15 
17/04/2008  0      5.6    29     13 
18/04/2008  0      6.6    32     16 
19/04/2008  0      5.7    29.5   15 
20/04/2008  0      7.3    31.5   16.5 
21/04/2008  0      6.2    32     14.5 
22/04/2008  0      5.3    31     15.5 
23/04/2008  0      6.3    30.5   18 
24/04/2008  0      5.8    31     17.5 
25/04/2008  0      6.7    31.5   17 
26/04/2008  0      3.6    29.5   19 
27/04/2008  0      4.9    31     18.5 
28/04/2008  0      4.9    30     15 
29/04/2008  0      4.6    30     15 
30/04/2008  0      5.8    31.5   16.5 
01/05/2008  0      5.1    32     15 
02/05/2008  0      6.2    32.5   15.5 
03/05/2008  0      5.2    30.5   13.5 
04/05/2008  0      5.1    29.5   15.5 
05/05/2008  0      6.2    31.5   18 
06/05/2008  0      5.8    32     18 
07/05/2008  0      5.7    32.5   19.5 
08/05/2008  0      6.8    32     17 
09/05/2008  0      5.4    30.5   20 
10/05/2008  0      5.2    31     18.5 
11/05/2008  0      5.5    31.5   19 
12/05/2008  0      6.9    31.5   20 
13/05/2008  0      4.8    32.5   18.5 
14/05/2008  0      6.7    34     20.5 
15/05/2008  0      6.8    34.5   20.5 
16/05/2008  0      5.8    31.5   20 
17/05/2008  0      6.6    32.5   19 
18/05/2008  0      6.3    32     19.5 
19/05/2008  0      6.8    32.5   20 
20/05/2008  0      7.5    32     19.5 
21/05/2008  0      7.1    32.5   20 
22/05/2008  0      5.4    31     16.5 
23/05/2008  0      7.1    32     17 
24/05/2008  0      7.4    31     19.5 
25/05/2008  0      5.9    32     19 
26/05/2008  0      6.2    31.5   20 
27/05/2008  0      6      31     19.5 
28/05/2008  0      5.3    32.5   20 
29/05/2008  0      7.6    33.5   21 
30/05/2008  0      4.6    32.5   21.5 
31/05/2008  0      7.2    31.5   20.5 
01/06/2008  0      7.4    32.5   18 
02/06/2008  0      5.7    31     19 
03/06/2008  0      3.5    31     20 
04/06/2008  0      5.6    31.5   21.5 
05/06/2008  0      4.7    32     21 
06/06/2008  0      6.8    32.5   21.5 
07/06/2008  0      6.3    31.5   23 
08/06/2008  4      6.1    32     21.5 
09/06/2008  0      1.2    26     22 
10/06/2008  8      1.5    24.5   22.5 
11/06/2008  0      4.4    29.5   21 
12/06/2008  0      4.6    31.5   19.5 
13/06/2008  0      4.9    32     20 
14/06/2008  2.5    5.3    32.5   20.5 
15/06/2008  0      7.4    33     21.5 
16/06/2008  0      4.1    34.5   23.5 
17/06/2008  0      5.3    33     21.5 
18/06/2008  0      6.6    34.5   22 
19/06/2008  0      4.3    33.5   21.5 
20/06/2008  8      7.2    34     21 
21/06/2008  0      4.2    32     21 
22/06/2008  2.5    2.6    33     21.5 
23/06/2008  0      5.5    33.5   21 
24/06/2008  0      6.6    35.5   23 
25/06/2008  0      7.2    35     23.5 
26/06/2008  0      6.5    33.5   25 
27/06/2008  0      6.8    34.5   23.5 
28/06/2008  0      4.3    35     24 
29/06/2008  0      4.1    34     23.5 
30/06/2008  0      8.4    35.5   24 
01/07/2008  11     2.6    31.5   24.5 
02/07/2008  24.5   1.7    28     23.5 
03/07/2008  1.5    4.3    31.5   23 
04/07/2008  2      6.3    32     23 
05/07/2008  3      2.3    30.5   23.5 
06/07/2008  5      1.1    31.5   22 
07/07/2008  63     1.4    26.5   22.5 
08/07/2008  0      1.4    27     22 
09/07/2008  0      1.8    29.5   21.5 
10/07/2008  55     1.4    32.5   22 
11/07/2008  3.5    1.9    29     22.5 
12/07/2008  0      4.6    32     23 
13/07/2008  35     2.4    33.5   23 
14/07/2008  0.5    1.3    31.5   22.5 
15/07/2008  0.5    5.9    32.5   23 
16/07/2008  3      3.5    32     22 
17/07/2008  0      4.9    31.5   22.5 
18/07/2008  0      4.7    33     23 
19/07/2008  0      6.6    32.5   23.5 
20/07/2008  0      2.5    32     22.5 
21/07/2008  21     6.7    34.5   23.5 
22/07/2008  0      3.3    30     22.5 
23/07/2008  0      5.2    33     23 
24/07/2008  39     8.4    32.5   23.5 
25/07/2008  12     1.2    31.5   23 
26/07/2008  0      5      32     21.5 
27/07/2008  0      4.5    32.5   22 
28/07/2008  0      7.2    33     22.5 
29/07/2008  0      6.1    33.5   22.5 
30/07/2008  0      1.3    32.5   23 
31/07/2008  8      4.1    32     22 
01/08/2008  0      6.6    31.5   22.5 
02/08/2008  5      4.7    31.5   22 
03/08/2008  0      6.2    32.5   23 
04/08/2008  0      5.9    33     23 
05/08/2008  0      4.4    33.5   23.5 
06/08/2008  0      6.9    33     22.5 
07/08/2008  7      2.7    29.5   22.5 
08/08/2008  0      5.2    33     22 
09/08/2008  0      4.3    33.5   21 
10/08/2008  0      4.6    34     21 
11/08/2008  13     3.5    32.5   23.5 
12/08/2008  0      2.2    31.5   23.5 
13/08/2008  1      6.5    32.5   23 
14/08/2008  12     6.5    31     23.5 
15/08/2008  1      5.6    32     23 
16/08/2008  1.5    5.9    32.5   22.5 
17/08/2008  0      4.9    31.5   22.5 
18/08/2008  0      5.4    33.5   23 
19/08/2008  0      5.1    34     22.5 
20/08/2008  7.5    3.8    33.5   23.5 
21/08/2008  0      5.2    32     23 
22/08/2008  8      4.9    33     22.5 
23/08/2008  35     1.7    27     22.5 
24/08/2008  6      1.1    39.5   23 
25/08/2008  1.5    3.6    32.5   22.5 
26/08/2008  3      3.7    31.5   23.5 
27/08/2008  0      4.1    32.5   23 
28/08/2008  0      3.9    32     22.5 
29/08/2008  0      6.3    31.5   23 
30/08/2008  37     2.3    32.5   22.5 
31/08/2008  0      3.9    31.5   23 
01/09/2008  0      5.3    31.5   23.5 
02/09/2008  0      4.8    32     22.5 
03/09/2008  0.5    1.1    30.5   23 
04/09/2008  0      2.7    34     23.5 
05/09/2008  0      6.3    32.5   23 
06/09/2008  7      4.6    33     23.5 
07/09/2008  15     3.7    29.5   24 
08/09/2008  8      1.1    28.5   22.5 
09/09/2008  3      3.3    29.5   22.5 
10/09/2008  6      5.1    31.5   23.5 
11/09/2008  11     5.2    32     23 
12/09/2008  0      5.1    31.5   22 
13/09/2008  1      5.6    33     23.5 
14/09/2008  10.5   2      30.5   23 
15/09/2008  0      2.8    28.5   21.5 
16/09/2008  0      4.3    31.5   21 
17/09/2008  0      5.1    32.5   21 
18/09/2008  0      4.5    33     21.5 
19/09/2008  0      5.1    33     22 
20/09/2008  0      5.4    33.5   22.5 
21/09/2008  0      4.5    33     22.5 
22/09/2008  0      4.7    32.5   22 
23/09/2008  0      5.2    33     22.5 
24/09/2008  3      3.7    33.5   23 
25/09/2008  0      1.8    32     23 
26/09/2008  0      2.1    30     24 
27/09/2008  11     4.9    33     23.5 
28/09/2008  0      3      32     22.5 
29/09/2008  0      6.2    32.5   22.5 
30/09/2008  0      3.9    33     23.5 
01/10/2008  0      5.9    34     23 
02/10/2008  0      3.8    33.5   23 
03/10/2008  0      4.9    34     22 
04/10/2008  0      5.2    34     22.5 
05/10/2008  0      5.2    32.5   23 
06/10/2008  0      4.8    34     22.5 
07/10/2008  0      5.9    34.5   23 
08/10/2008  0      5.6    32     23 
09/10/2008  0      3.2    33.5   23.5 
10/10/2008  1.5    4.2    34     22.5 
11/10/2008  10     1.7    29.5   23.5 
12/10/2008  0      1.7    29.5   23 
13/10/2008  1      3.8    32.5   22.5 
14/10/2008  2      5.6    31     23 
15/10/2008  0      5.8    32.5   21 
16/10/2008  0      4.2    33     21 
17/10/2008  0      4.7    34     22 
18/10/2008  32     5.2    34     22.5 
19/10/2008  0      4.9    32.5   20.5 
20/10/2008  0      5.2    33.5   21.5 
21/10/2008  5      3.4    33.5   22.5 
22/10/2008  2      3.7    32.5   21 
