CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14068
NOMBRE    : HOSTOTIPAQUILLO
ESTADO    : JALISCO
MUNICIPIO : HOSTOTIPAQUILLO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0021.058°
LONGITUD  : -104.051°
ALTITUD   : 1,300 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      6.1    28     11 
02/02/2008  0      4      29     10 
03/02/2008  0      4.7    29     12 
04/02/2008  0      6.1    29     12 
05/02/2008  0      4.6    29     12 
06/02/2008  0      7.3    29     6 
07/02/2008  0      5.7    29     8 
08/02/2008  0      5.6    28     11 
09/02/2008  0      6.6    29     12 
10/02/2008  0      11     28     12 
11/02/2008  0      5.3    30     12 
12/02/2008  0      6.3    30     13 
13/02/2008  0      7.2    30     13 
14/02/2008  0      7.5    30     12 
15/02/2008  0      5.7    29     9 
16/02/2008  0      6.5    32     14 
17/02/2008  0      6.3    29     12 
18/02/2008  0      5.7    29     13 
19/02/2008  0      4.7    29     13 
20/02/2008  0      5.7    28     12 
21/02/2008  0      6.4    29     11 
22/02/2008  0      6.7    30     12 
23/02/2008  0      7.1    30     14 
24/02/2008  0      7.8    30     11 
25/02/2008  0      9.7    32     13 
26/02/2008  0      5.4    31     10 
27/02/2008  0      8.1    30     12 
28/02/2008  0      9      30     11 
29/02/2008  0      8.2    32     12 
01/03/2008  0      7.6    29     11 
02/03/2008  0      6.1    29     13 
03/03/2008  0      10     37     13 
04/03/2008  0      8.7    30     12 
05/03/2008  0      8.3    31     12 
06/03/2008  0      8.5    29     14 
07/03/2008  0      8.2    27     5 
08/03/2008  0      8.4    32     9 
09/03/2008  0      5.4    32     13 
10/03/2008  0      7.3    31     9 
11/03/2008  0      7.3    30     13 
