CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14069
NOMBRE    : HUEJUCAR (OBS)
ESTADO    : JALISCO
MUNICIPIO : HUEJUCAR
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   :  76518 
LATITUD   : 0022.358°
LONGITUD  : -103.210°
ALTITUD   : 1,830 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      5.6    24.5  -3 
02/02/2008  0      5.9    23.5  -2.5 
03/02/2008  0      2.4    24     0 
04/02/2008  0      4.1    23.5  -1 
05/02/2008  0      6.6    23.5  -1 
06/02/2008  0      7.4    23    -3 
07/02/2008  0      6.6    24    -3.5 
08/02/2008  0      4.8    24    -2 
09/02/2008  0      6.1    25.5   0 
10/02/2008  5.1    6.4    23     3 
11/02/2008  0      4      22.5   1.5 
12/02/2008  0      5.6    23     2.5 
13/02/2008  0      5.7    23.5   0 
14/02/2008  0      6.3    23    -1 
15/02/2008  0      6.2    24.5  -1 
16/02/2008  0      7      23.5   0 
17/02/2008  0      7.9    26    -2 
18/02/2008  0      7.9    26.5  -2 
19/02/2008  0      7.8    25.5  -1 
20/02/2008  0      8.1    25.5   0 
21/02/2008  0      7.5    25     1 
22/02/2008  0      7.8    26.5   0 
23/02/2008  0      7.6    28.5   0 
24/02/2008  0      7.2    30     1.5 
25/02/2008  0      7.8    29.5   3.5 
26/02/2008  0      5.4    29     3 
27/02/2008  0      6.8    24.5   4.5 
28/02/2008  0      7.5    24.5   2.5 
29/02/2008  0      6.2    25.5   2.5 
01/03/2008  0      5.8    26.5   2.5 
02/03/2008  0      10.3   24.5   4.5 
03/03/2008  0      9.2    25     1 
04/03/2008  0      7.6    24.5   0 
05/03/2008  0      5.8    24.5  -2 
06/03/2008  0      4.5    24     5.5 
07/03/2008  0      3.7    22.5  -3.5 
08/03/2008  0      4.8    22.5  -3.5 
09/03/2008  0      7.6    22     1.5 
10/03/2008  0      7.1    24     0 
11/03/2008  0      7.4    25     1 
12/03/2008  0      9.9    26.5   1.5 
