CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14070
NOMBRE    : HUASCATO
ESTADO    : JALISCO
MUNICIPIO : DEGOLLADO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.481°
LONGITUD  : -102.249°
ALTITUD   : 1,619 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      5.7    24     7 
02/02/2008  0      5.3    25     6.5 
03/02/2008  0      5      25     7 
04/02/2008  0      5.7    24.5   7.5 
05/02/2008  0      6.5    24.5   7.5 
06/02/2008  0      5.8    25     6.5 
07/02/2008  0      5.4    23.5   6.5 
08/02/2008  0      5.8    25     7.5 
09/02/2008  0      5.3    27     6.5 
10/02/2008  0      4.5    25     8.5 
11/02/2008  0      5.8    24     10 
12/02/2008  0      6.9    25     8.5 
13/02/2008  0      6.2    24.5   7.5 
14/02/2008  0      7.1    24     7.5 
15/02/2008  0      6.7    26.5   6.5 
16/02/2008  0      7.9    26     6.5 
17/02/2008  0      6.7    26.5   7.5 
18/02/2008  0      7.3    26     7 
19/02/2008  0      7      26     7.5 
20/02/2008  0      6.2    26     7 
21/02/2008  0      7.2    26     6.5 
22/02/2008  0      6.3    26.5   7 
23/02/2008  0      8.2    29     7.5 
24/02/2008  0      7.7    31     8 
25/02/2008  0      7.4    29     9.5 
26/02/2008  0      7.9    28.5   8.5 
27/02/2008  0      6      25     9 
28/02/2008  0      6.6    25     7 
29/02/2008  0      6.6    26.5   7.5 
01/03/2008  0      6.1    28     8.5 
02/03/2008  0      7.6    26     9.5 
03/03/2008  0      7.9    26     8.5 
04/03/2008  0      6.9    25.5   8.5 
05/03/2008  0      9.7    26     7 
06/03/2008  0      10     23.5   6.5 
07/03/2008  0      7.2    23.5   4.5 
08/03/2008  0      7      24     4.5 
09/03/2008  0      7.8    22.5   5.5 
10/03/2008  0      7      25.5   5.5 
11/03/2008  0      7      26     7 
12/03/2008  0      8.2    26.5   8.5 
13/03/2008  0      8.7    25.5   9 
14/03/2008  0      7.3    27     7.5 
15/03/2008  0      9.4    28     8 
16/03/2008  0      1      27     8 
17/03/2008  0      9.8    25.5   8.5 
18/03/2008  0      9.8    24     8.5 
19/03/2008  0      7.6    26.5   8 
20/03/2008  0      7.2    27     8 
21/03/2008  0      7.9    28     8.5 
22/03/2008  0      7.7    27.5   8.5 
23/03/2008  0      8.2    26.5   10 
24/03/2008  0      8.4    26.5   11 
25/03/2008  0      6.6    25     10 
26/03/2008  0      7.6    28     10 
27/03/2008  0      8.2    28.5   10.5 
28/03/2008  0      8.3    29.5   10.5 
29/03/2008  0      9.1    29     11 
30/03/2008  0      8.9    29.5   10 
31/03/2008  0      9.1    31.5   10 
01/04/2008  0      8.6    32     10.5 
02/04/2008  0      8.7    32     11.5 
03/04/2008  0      10.6   32.5   12 
04/04/2008  0      10.6   30.5   11.5 
05/04/2008  0      8.6    27     11.5 
06/04/2008  0      8.8    28     12 
07/04/2008  0      8.7    29.5   11.5 
08/04/2008  0      9.9    29     11 
09/04/2008  0      9.9    29.5   11.5 
10/04/2008  0      11.6   29.5   10 
11/04/2008  0      8.6    30.5   10.5 
12/04/2008  0      9.5    31.5   11 
13/04/2008  8.5    6.2    29     14 
14/04/2008  0      6.4    26.5   10.5 
15/04/2008  0      7.3    28     10.5 
16/04/2008  0      5.4    29.5   12.5 
17/04/2008  0      9.9    29     11.5 
18/04/2008  0      9.2    31.5   9.5 
19/04/2008  0      8.1    31.5   10 
20/04/2008  0      10.9   31     13 
21/04/2008  0      10.9   32.5   11 
22/04/2008  0      10.1   33     12 
23/04/2008  0      11.5   31.5   13 
24/04/2008  0      10.7   31     14.5 
25/04/2008  0      9.9    32     12.5 
26/04/2008  0      9.2    30.5   13 
27/04/2008  0      9.2    30     12.5 
28/04/2008  2.5    11.1   31     13 
29/04/2008  0      9.1    29.5   12.5 
30/04/2008  0      9.1    29     12.5 
01/05/2008  0      11.2   29.5   11 
02/05/2008  0      9.6    29     10.5 
03/05/2008  0      9.8    31.5   10.5 
04/05/2008  0      5.6    31     12 
05/05/2008  0      9.4    30.5   14.5 
06/05/2008  0      9.6    31.5   14 
07/05/2008  0      8.6    30     15 
08/05/2008  0      10.4   33     14 
09/05/2008  0      9.9    33.5   14 
10/05/2008  0      9.8    34.5   14.5 
11/05/2008  9      9.4    35     15.5 
12/05/2008  0      4.6    32     16 
13/05/2008  0      9.7    30.5   13.5 
14/05/2008  0      6.4    30     14 
15/05/2008  0      8.4    20     16 
16/05/2008  0      9.8    29.5   14.5 
17/05/2008  0      9.7    28.5   15 
18/05/2008  0      9.2    29     14 
19/05/2008  0      9.9    28.5   13 
20/05/2008  0      8.4    29     14 
21/05/2008  0      8.3    27.5   15.5 
22/05/2008  0      10.1   26.5   13.5 
23/05/2008  0      7.9    29     12.5 
24/05/2008  0      9.6    33     12.5 
25/05/2008  0      10     33     13.5 
26/05/2008  0      9.2    32     15 
27/05/2008  0      10     32.5   15.5 
28/05/2008  0      12.3   31     16.5 
29/05/2008  0      10.4   30     15.5 
30/05/2008  0      7.6    31     15 
31/05/2008  0      9.7    32     15.5 
01/06/2008  0      12.1   33     17 
02/06/2008  0      12.9   32.5   16.5 
03/06/2008  0      9.8    32.5   15.5 
04/06/2008  0      9.3    31.5   16 
05/06/2008  0      10.3   30.5   15.5 
06/06/2008  1.5    6.9    31.5   15.5 
07/06/2008  1      6.3    30.5   15.5 
08/06/2008  2.5    4.9    28.5   16.5 
09/06/2008  28.5   3.9    26.5   16.5 
10/06/2008  20.5   3.6    21     15.5 
11/06/2008  12     2.1    22     15.5 
12/06/2008  28.5   5.6    24     15 
13/06/2008  0      4.7    27     14.5 
14/06/2008  9      6      28     15 
15/06/2008  0      3.7    27.5   15.5 
16/06/2008  9      5.7    26.5   14.5 
17/06/2008  0      5.9    28     14.5 
18/06/2008  0      6      29     15 
19/06/2008  0      6.8    29     15 
20/06/2008  0      6.7    30.5   16 
21/06/2008  0      4.2    27.5   16 
22/06/2008  0      5.5    28     16.5 
23/06/2008  0      5.9    27.5   15 
24/06/2008  1.5    5.2    28     15.5 
25/06/2008  1      5.2    28     16 
26/06/2008  3      6.6    27.5   15 
27/06/2008  8      5.7    28.5   15.5 
28/06/2008  7.5    5.2    28     15 
29/06/2008  14.5   4      25.5   15 
30/06/2008  15.5   4.8    25.5   14.5 
01/07/2008  14     3.3    22.5   15 
02/07/2008  2.5    4.2    25.5   15.5 
03/07/2008  0      2.7    23.5   15 
04/07/2008  6.5    5      25.5   15 
05/07/2008  22.5   4.5    23.5   16.5 
06/07/2008  43     7      25.5   14.5 
07/07/2008  50.5   5.7    22     15.5 
08/07/2008  54.5   8      23     15.5 
09/07/2008  23.8   2.8    20     15.5 
10/07/2008  13.7   3.2    24.5   14.5 
11/07/2008  0      2.5    21.5   15 
12/07/2008  6      2.3    23     14.5 
13/07/2008  0      3.5    25     14 
14/07/2008  3      4.6    25.5   14 
15/07/2008  0      4.8    25.5   14 
16/07/2008  0      5.5    26.5   14 
17/07/2008  12     4.9    26     14 
18/07/2008  0      3.2    24     13.5 
19/07/2008  1.5    3.7    25.5   13.5 
20/07/2008  0      7.3    26     13 
21/07/2008  0      7      26     14.5 
22/07/2008  0      5.1    27     12 
23/07/2008  0      5.8    26.5   12 
24/07/2008  0      4.1    25.5   15.5 
25/07/2008  13     3.9    25.5   15 
26/07/2008  10.5   5.1    25     14 
27/07/2008  0      5.1    24.5   12.5 
28/07/2008  0      6.2    26     12.5 
29/07/2008  11.5   4.6    26     14 
30/07/2008  0      4.7    25.5   15.5 
31/07/2008  21     4.5    25     15 
01/08/2008  0      6.6    26.5   14.5 
02/08/2008  20     5.4    26     14.5 
03/08/2008  9      4.2    24     13.5 
04/08/2008  22     6.3    26     13.5 
05/08/2008  0      5.1    25.5   15 
06/08/2008  36     7.8    25.5   15 
07/08/2008  0      3.4    23.5   14.5 
08/08/2008  0      2.5    24.5   14 
09/08/2008  0      3.3    25.5   14 
10/08/2008  0      3.8    25.5   13 
11/08/2008  13     3.8    27     13 
12/08/2008  0      6.5    26     13 
13/08/2008  0      2.3    27     13.5 
14/08/2008  0      3      27     15 
15/08/2008  1      3      27     15 
16/08/2008  2      4.7    26.5   14.5 
17/08/2008  7.5    2.6    25     14.5 
18/08/2008  5      3.6    24.5   15.5 
19/08/2008  0      2.3    23     15.5 
20/08/2008  12.5   3.4    25     15.5 
21/08/2008  0      3      25     15 
22/08/2008  3.5    4.9    25.5   15 
23/08/2008  1      3.2    25     14.5 
24/08/2008  4      3.7    25     14.5 
25/08/2008  27.5   8.9    25.5   14.5 
26/08/2008  8.5    2.1    21.5   15.5 
27/08/2008  23     5.1    24.5   15.5 
28/08/2008  2      2.5    26     15 
29/08/2008  0      3.8    24.5   15.5 
30/08/2008  22     6.1    25.5   16 
31/08/2008  0      3.5    25     15.5 
01/09/2008  4      1.8    27     14.5 
02/09/2008  3.5    3.7    27     15 
03/09/2008  0      5.1    26.5   15.5 
04/09/2008  0      5.8    25.5   14 
05/09/2008  0      6.7    25.5   13.5 
06/09/2008  0      5.9    26     13 
07/09/2008  0      3.2    25.5   15.5 
08/09/2008  6      2.9    25.5   14.5 
09/09/2008  33.5   5.9    22.5   15 
10/09/2008  2      2.8    24.5   15.5 
11/09/2008  0      4.2    25     15.5 
12/09/2008  0      3.5    25.5   16.5 
13/09/2008  48.5   8.1    26.5   16 
14/09/2008  11     3.6    23     14.5 
15/09/2008  0      1.3    21.5   14.5 
16/09/2008  1.5    2.5    21     14.5 
17/09/2008  0      4.5    24     14.5 
18/09/2008  0      3.7    25     13.5 
19/09/2008  0      4.9    25     13.5 
20/09/2008  0      4.8    24.5   15 
21/09/2008  0      4.7    23.5   14.5 
22/09/2008  0      2.7    24     14 
23/09/2008  0      4.2    25.5   14.5 
24/09/2008  0      4      25.5   15 
25/09/2008  0      4      23.5   15 
26/09/2008  0      5      23.5   14 
27/09/2008  0      4      26     11.5 
28/09/2008  0      5.9    25.5   11 
29/09/2008  0      5.3    24     11 
30/09/2008  0      6.7    24.5   10 
01/10/2008  0      6.5    24     7.5 
02/10/2008  0      5.3    25.5   7.5 
03/10/2008  0      5.3    26     9.5 
04/10/2008  0      5.3    26.5   10 
05/10/2008  0      3.7    26     10 
06/10/2008  0      4.8    26.5   10.5 
07/10/2008  0      4.5    26     13.5 
08/10/2008  0      2.8    23     15 
09/10/2008  0      4.8    27     13.5 
10/10/2008  0      4      28     13.5 
11/10/2008  12.5   4.9    25.5   14.5 
12/10/2008  0      2.9    26     15.5 
13/10/2008  0      4.8    26.5   16 
14/10/2008  0      5.2    26     13 
15/10/2008  0      4.3    25     11 
16/10/2008  0      4.1    25.5   11 
17/10/2008  0      4.8    25.5   13 
18/10/2008  0      4.6    22.5   12.5 
19/10/2008  0      4.5    24     12.5 
20/10/2008  0      4      26     11.5 
21/10/2008  0      4.2    26.5   11 
22/10/2008  0      4.8    27     11 
23/10/2008  0      4.3    26.5   11.5 
24/10/2008  0      2.1    21.5   11.5 
25/10/2008  0      4.9    26.5   13 
26/10/2008  0      4.8    27     9.5 
27/10/2008  0      6.5    23     10 
28/10/2008  0      6.2    20.5   11.5 
29/10/2008  0      3.1    23.5   8.5 
30/10/2008  0      4      25.5   8.5 
31/10/2008  0      5.1    24     9 
01/11/2008  0      4.2    24.5   9 
02/11/2008  0      4      23.5   9 
03/11/2008  0      4.3    25.5   8.5 
04/11/2008  0      3.7    26     8 
