CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14072
NOMBRE    : HUERTA VIEJA
ESTADO    : JALISCO
MUNICIPIO : IXTLAHUACAN DE LOS MEMBRILLOS
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.426°
LONGITUD  : -103.242°
ALTITUD   : 1,550 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.9    26     6 
02/02/2008  0      4.1    21     5 
03/02/2008  0      5      25     5.5 
04/02/2008  0      3.2    26.5   6 
05/02/2008  0      6.1    25.5   4.5 
06/02/2008  0      5.8    26.5   6.5 
07/02/2008  0      6.1    25     5.5 
08/02/2008  0      4      26     6.5 
09/02/2008  0      3.7    25.5   6.5 
10/02/2008  0      4.1    25     6.5 
11/02/2008  0      3.9    24.5   7.5 
12/02/2008  0      5.2    26.5   5.5 
13/02/2008  0      5.2    26.5   6.5 
14/02/2008  0      5.8    27     5 
15/02/2008  0      5.8    27     4.5 
16/02/2008  0      4.7    29     5.5 
17/02/2008  0      7      27     5.5 
18/02/2008  0      6.1    28     5 
19/02/2008  0      5.4    28     6 
20/02/2008  0      6      27.5   4.5 
21/02/2008  0      4.9    27.5   6 
22/02/2008  0      6.9    27.5   6.5 
23/02/2008  0      4.6    29     7 
24/02/2008  0      7.3    31.5   7 
25/02/2008  0      6      29.5   8 
26/02/2008  0      7.3    30     6 
27/02/2008  0      6.1    29.5   7 
28/02/2008  0      5.9    29.5   7.5 
29/02/2008  0      6.3    30     7 
01/03/2008  0      5.4    27.5   7.5 
02/03/2008  0      6.2    27.5   6.5 
03/03/2008  0      7.1    28     4.5 
04/03/2008  0      6.6    28.5   5.5 
05/03/2008  0      7.9    26.5   6.5 
06/03/2008  0      8.4    25.5   6 
07/03/2008  0      6.7    25     3 
08/03/2008  0      6.9    25     3 
09/03/2008  0      6.8    26     6 
10/03/2008  0      6.2    27     6.5 
11/03/2008  0      5.6    27.5   7.5 
12/03/2008  0      5.8    30     7 
13/03/2008  0      8.7    29     7 
14/03/2008  0      5.8    29     5.5 
15/03/2008  0      8.5    29.5   7 
16/03/2008  0      6.3    30     8 
17/03/2008  0      7.6    29     7 
18/03/2008  0      8.3    27.5   10 
19/03/2008  0      6.1    26.5   6.5 
20/03/2008  0      6.2    27.5   8.5 
21/03/2008  0      5.2    28.5   9 
22/03/2008  0      7.7    30     8.5 
23/03/2008  0      7.8    30     8 
24/03/2008  0      6.2    27     9.5 
25/03/2008  0      6.6    25.5   9 
26/03/2008  0      5.6    28     10.5 
27/03/2008  0      8      29.5   8 
28/03/2008  0      7.4    31     8.5 
29/03/2008  0      7.9    32     7.5 
30/03/2008  0      6.4    32     8.5 
31/03/2008  0      5.8    33.5   9 
01/04/2008  0      9.1    33     9.5 
02/04/2008  0      7.4    22.5   10 
03/04/2008  0      8.9    32     10.5 
04/04/2008  0      10     33     10 
05/04/2008  0      6.7    29.5   10 
06/04/2008  0      7.8    29     5.5 
07/04/2008  0      6.4    31     11.5 
08/04/2008  0      7.4    31.5   10 
09/04/2008  0      8.4    31.5   9.5 
10/04/2008  0      8.9    31.5   9.5 
11/04/2008  0      8.2    31     8.5 
12/04/2008  0      8.1    32     11.5 
13/04/2008  0      6      28     12.5 
14/04/2008  0      7      23     11.5 
15/04/2008  0      7.8    28     11 
16/04/2008  0      6.8    30     12 
17/04/2008  0      7.2    28.5   10 
18/04/2008  0      7.9    30.5   6.5 
19/04/2008  0      8.4    31     9.5 
20/04/2008  0      8.8    31     9.5 
21/04/2008  0      8.6    33     10 
22/04/2008  0      10.7   33     10.5 
23/04/2008  0      8.5    33     11.5 
24/04/2008  0      8.9    31.5   12 
25/04/2008  0      9      31     8.5 
26/04/2008  0      9.7    31.5   8.5 
27/04/2008  0      8.2    30.5   9 
28/04/2008  0      9      31.5   8.5 
29/04/2008  0      7.2    30.5   11 
30/04/2008  0      10.4   30.5   9 
01/05/2008  0      6.4    30     7 
02/05/2008  0      10     30     7 
03/05/2008  0      9.1    30     7 
04/05/2008  0      9.4    31     9.5 
05/05/2008  0      7.9    31     11 
06/05/2008  0      8.6    30     11.5 
07/05/2008  0      8.5    29     11.5 
08/05/2008  0      7.9    32     9.5 
09/05/2008  0      8.1    31.5   9 
10/05/2008  0      7.6    34     11.5 
11/05/2008  0      8.1    34.5   12.5 
12/05/2008  0      4.5    33.5   12.5 
13/05/2008  0      8.7    31     11.5 
14/05/2008  0      6.4    31     11.5 
15/05/2008  1.2    5.2    27.5   12.5 
16/05/2008  0      7.1    30.5   11.5 
17/05/2008  0      6.5    30.5   10 
18/05/2008  0      8      28.5   9.5 
19/05/2008  0      6.5    26     10 
20/05/2008  0      5.6    27     10.5 
21/05/2008  0      8.6    27     10.5 
22/05/2008  0      5.8    27.5   9 
23/05/2008  0      7.8    28     7.5 
24/05/2008  0      8.3    30.5   9 
25/05/2008  0      7.2    30.5   9.5 
26/05/2008  0      8.8    30     9.5 
27/05/2008  0.1    5.5    31     13 
28/05/2008  0      8.8    29     14 
29/05/2008  0      9.6    27.5   12 
30/05/2008  0      7.6    29     12 
31/05/2008  0      8.1    29     12.5 
01/06/2008  0      8.6    30     13.5 
02/06/2008  0      9.1    30.5   14.5 
03/06/2008  0      9.1    31     13 
04/06/2008  0      10.9   31.5   11.5 
05/06/2008  0      9.2    31.5   11.5 
06/06/2008  5.7    8.1    29.5   11.5 
07/06/2008  71.8   5.2    28     11.5 
08/06/2008  19.8   4.7    26     11.5 
09/06/2008  75.7   3.8    26     14 
10/06/2008  23.5   4.8    20     12 
11/06/2008  52.4   3.8    21     13 
12/06/2008  0.1    1      20     13.5 
13/06/2008  0.2    1.8    25     12.5 
14/06/2008  5.6    7.6    26     13 
15/06/2008  9.6    8      26     14 
16/06/2008  0      5.4    26.5   13 
17/06/2008  9.9    6.8    22.5   14.5 
18/06/2008  0      6.2    26.5   12.5 
19/06/2008  0      4.7    27.5   13.5 
20/06/2008  3.3    8.6    27.5   13 
21/06/2008  26.5   6.1    25.5   12.5 
22/06/2008  8.7    5.6    24     12 
