CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14075
NOMBRE    : JAMAY
ESTADO    : JALISCO
MUNICIPIO : JAMAY
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.290°
LONGITUD  : -102.709°
ALTITUD   : 1,530 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.4    27.5   6 
02/02/2008  0      4.9    25.5   5 
03/02/2008  0      4.3    25     4.5 
04/02/2008  0      4.1    25     6.5 
05/02/2008  0      4.5    25.5   7 
06/02/2008  0      4.6    25.5   6.5 
07/02/2008  0      4.9    25.5   6.5 
08/02/2008  0      4.1    25.5   6.5 
09/02/2008  0      3.5    28.5   5 
10/02/2008  0      3.9    26     5.5 
11/02/2008  0      4.7    25.5   8 
12/02/2008  0      3.9    24.5   7.5 
13/02/2008  0      4.7    25.5   6 
14/02/2008  0      4.6    26.5   5.5 
15/02/2008  0      4.2    27     5.5 
16/02/2008  0      4.6    27     5 
17/02/2008  0      3.7    27.5   5 
18/02/2008  0      5.3    27.5   5 
19/02/2008  0      5.6    27     4.5 
20/02/2008  0      5.1    26.5   5 
21/02/2008  0      5.1    27     4 
22/02/2008  0      5.5    28     5 
23/02/2008  0      4.8    29     5 
24/02/2008  0      5      29.5   5 
25/02/2008  0      5      28.5   6 
26/02/2008  0      5.4    31     7 
27/02/2008  0      5.9    25.5   6.5 
28/02/2008  0      4.7    27     5 
29/02/2008  0      5      26.5   5 
01/03/2008  0      4.6    28     6.5 
02/03/2008  0      4.5    28     8 
03/03/2008  0      6.4    26.5   7 
04/03/2008  0      5.4    28     6 
05/03/2008  0      5.8    29     7 
06/03/2008  0      6.4    24.5   6 
07/03/2008  0      7.1    25     2.5 
08/03/2008  0      5.5    25.5   3 
09/03/2008  0      5.1    24     4 
10/03/2008  0      5.9    24     5.5 
11/03/2008  0      5.4    26     5.5 
12/03/2008  0      4.8    27.5   6 
13/03/2008  0      6.9    27.5   6.5 
14/03/2008  0      6      27     7 
15/03/2008  0      5.6    28.5   5.5 
16/03/2008  0      5.9    28     6 
17/03/2008  0      6.8    29     7 
18/03/2008  0      7.1    28     7 
19/03/2008  0      7.4    26     5 
20/03/2008  0      6.3    27     5 
21/03/2008  0      5.4    27.5   7.5 
22/03/2008  0      5.6    28.5   7.5 
23/03/2008  0      7.9    27     8 
24/03/2008  0      6.9    26.5   9 
25/03/2008  0      6.2    26     7.5 
26/03/2008  0      5      28     8 
27/03/2008  0      6.6    29.5   9.5 
28/03/2008  0      6.6    28.5   9.5 
29/03/2008  0      7.4    30.5   9.5 
30/03/2008  0      6.8    32     7.5 
31/03/2008  0      7.5    32     7.5 
01/04/2008  0      6.8    32     7.5 
02/04/2008  0      7      33     7.5 
03/04/2008  0      7.9    32.5   9 
04/04/2008  0      8.3    32.5   10 
05/04/2008  0      8.1    29     9 
06/04/2008  0      6.8    29     13 
07/04/2008  0      8.2    31     11.5 
08/04/2008  0      7.4    30.5   10.5 
09/04/2008  0      8      30.5   12 
10/04/2008  0      8.1    30.5   9.5 
11/04/2008  0      7.7    31     8.5 
12/04/2008  0      6.4    32     10 
13/04/2008  0      7.7    31     10.5 
14/04/2008  0      8.4    27.5   11.5 
