CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14076
NOMBRE    : JESUS MARIA
ESTADO    : JALISCO
MUNICIPIO : JESUS MARIA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.608°
LONGITUD  : -102.215°
ALTITUD   : 2,129 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.6    20     7 
02/02/2008  0      7      21     5 
03/02/2008  0      7.6    21     6 
04/02/2008  0      4.7    20     6 
05/02/2008  0      7.5    21     7 
06/02/2008  0      6      21     5 
07/02/2008  0      7.2    20     6 
08/02/2008  0      6.9    21     5 
09/02/2008  0      3      23     6 
10/02/2008  0      8      22     7 
11/02/2008  0      4.6    21     6 
12/02/2008  0      6.8    19     6 
13/02/2008  0      5.6    21     5 
14/02/2008  0      6.4    20     5 
15/02/2008  0      7.4    22     4 
16/02/2008  0      7.3    22     5 
17/02/2008  0      8.1    25     8 
18/02/2008  0      8.1    25     5 
19/02/2008  0      10     22     6 
20/02/2008  0      9      20     8 
21/02/2008  0      8.8    21     8 
22/02/2008  0      7.4    23     7 
23/02/2008  0      5.9    25     6 
24/02/2008  0      8.5    27     7 
25/02/2008  0      9.1    25     8 
26/02/2008  0      7.6    25     9 
27/02/2008  0      8.2    22     5 
28/02/2008  0      7.9    21     5 
29/02/2008  0      6.1    22     5 
01/03/2008  0      3.7    23     7 
02/03/2008  0      10.3   22     8 
03/03/2008  0      7.2    21     6 
04/03/2008  0      9      21     7 
05/03/2008  0      7.6    21     7 
06/03/2008  0      10.8   17     6 
07/03/2008  0      10.4   17     3 
08/03/2008  0      9.9    19     3 
09/03/2008  0      6.9    19     4 
10/03/2008  0      10.6   22     4 
11/03/2008  0      6.6    22     6 
12/03/2008  0      9      23     4 
13/03/2008  0      8.3    22     6 
14/03/2008  0      5.2    23     6 
15/03/2008  0      10.8   25     7 
16/03/2008  0      7.3    23     7 
17/03/2008  0      10.9   22     9 
18/03/2008  0      10.6   20     8 
19/03/2008  0      11.3   22     3 
20/03/2008  0      4.9    23     5 
21/03/2008  0      9.3    24     7 
22/03/2008  0      8.7    24     8 
23/03/2008  0      7.1    23     10 
24/03/2008  0      8.2    22     8 
25/03/2008  0      9.9    23     5 
26/03/2008  0      5.8    24     7 
27/03/2008  0      8.8    24     10 
28/03/2008  0      6.1    25     10 
29/03/2008  0      9.2    25     10 
30/03/2008  0      7.4    25     8 
31/03/2008  0      11.4   22     11 
01/04/2008  0      8.9    29     10 
02/04/2008  0      11     30     10 
03/04/2008  0      10.4   28     12 
04/04/2008  0      6.1    27     9 
05/04/2008  0      9.7    23     8 
06/04/2008  0      7.3    24     10 
07/04/2008  0      9.5    21     10 
08/04/2008  0      4.3    26     11 
09/04/2008  0      9.6    26     10 
10/04/2008  0      12.2   26     10 
11/04/2008  0      6      27     9 
12/04/2008  0      9.4    28     12 
13/04/2008  19     6.6    24     10 
14/04/2008  0      16     23     8 
15/04/2008  0      6.4    24     8 
16/04/2008  0      5.6    24     9 
17/04/2008  0      8.4    25     10 
18/04/2008  0      7.9    27     9 
19/04/2008  0      9.7    28     9 
20/04/2008  0      11.8   27     10 
21/04/2008  0      6.1    29     11 
22/04/2008  0      10.1   29     11 
23/04/2008  0      12.2   28     11 
24/04/2008  0      6.8    28     11.2 
25/04/2008  0      11.9   28     11 
26/04/2008  0      13     28     11 
27/04/2008  0      9.1    26     11 
28/04/2008  0      10.6   27     11 
29/04/2008  1      6.7    25     9 
30/04/2008  0      14.9   25     9 
01/05/2008  0      8.9    25     10 
02/05/2008  0      10.6   26     8 
03/05/2008  0      11     28     9 
04/05/2008  0      9      27     10 
05/05/2008  0      6.2    28     11 
06/05/2008  0      10.6   28     13 
07/05/2008  0      9.7    26     12 
08/05/2008  0      7.5    29     11 
09/05/2008  0      12.8   30     11 
10/05/2008  0      7.4    32     13 
11/05/2008  1      10     32     15 
12/05/2008  0      10.4   30     13 
13/05/2008  0      7.6    27     11 
14/05/2008  3.5    10     27     12 
15/05/2008  0      7.7    25     14 
16/05/2008  0      7.4    27     11 
17/05/2008  0      10.2   26     11 
18/05/2008  0      10.6   25     11 
19/05/2008  0      9.3    25     11 
20/05/2008  0      7.8    26     10 
21/05/2008  0      9.8    24     11 
22/05/2008  0      7.1    23     10 
23/05/2008  0      10.4   26     8 
24/05/2008  0      8.9    30     9 
25/05/2008  0      13.2   30     10 
26/05/2008  0      10.9   28     12 
27/05/2008  0      9.1    29     14 
28/05/2008  0      10.5   28     12 
29/05/2008  0      12     26     10 
30/05/2008  0      13.5   27     10 
31/05/2008  0      6.5    29     11 
01/06/2008  0      8.9    30     12 
02/06/2008  0      9.1    29     11 
03/06/2008  0      11.8   30     12 
04/06/2008  0      11.6   30     13 
05/06/2008  0      13.2   30     12 
06/06/2008  0      9.1    28     12 
07/06/2008  2.5    2.8    28     13 
08/06/2008  29     11     23     13 
09/06/2008  35     8.1    28     13 
10/06/2008  20.5   15.1   21     12 
11/06/2008  27.5   5.5    17     12 
12/06/2008  7      9.6    20     11 
13/06/2008  0      3.4    25     12 
14/06/2008  0      4.5    25     11 
15/06/2008  3      5.8    25     12 
16/06/2008  12     5.8    25     10 
17/06/2008  4      8.2    21     11 
18/06/2008  0      9      27     11 
19/06/2008  0      9.8    27     12 
20/06/2008  0      5.8    28     13 
21/06/2008  0      7.7    25     10 
22/06/2008  0      8      24     12 
23/06/2008  0      8      24     12 
24/06/2008  1      6.4    23     11 
25/06/2008  5      4.5    21     11 
26/06/2008  0      6.5    25     11 
27/06/2008  12     7.5    25     12 
28/06/2008  11.5   4.8    26     11 
