CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14078
NOMBRE    : JUCHITLAN
ESTADO    : JALISCO
MUNICIPIO : JUCHITLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.083°
LONGITUD  : -104.098°
ALTITUD   : 1,230 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      5.4    29     10 
02/02/2008  0      4.4    28     9 
03/02/2008  0      5.1    28     9 
04/02/2008  0      4.9    29     9 
05/02/2008  0      6.2    29     9 
06/02/2008  0      4.3    28     8 
07/02/2008  0      5.6    28     9 
08/02/2008  0     Nulo    28     12 
09/02/2008  0     Nulo    28     10 
10/02/2008  0     Nulo    29     10 
11/02/2008  0     Nulo    30     11 
12/02/2008  0     Nulo    29     10 
13/02/2008  0     Nulo    29     8 
14/02/2008  0     Nulo    29     8 
15/02/2008  0      5      29     8 
16/02/2008  0      5.7    29     9 
17/02/2008  0      8.7    31     9 
18/02/2008  0      7.2    30     9 
19/02/2008  0      5.9    30     8 
20/02/2008  0      5.8    29     8 
21/02/2008  0      6.8    30     8 
22/02/2008  0      4.8    30     9 
23/02/2008  0      5.4    31     10 
24/02/2008  0      9.4    33     10 
25/02/2008  0      5.8    35     11 
26/02/2008  0      7.8    31     10 
27/02/2008  0      5      33     10 
28/02/2008  0      6.6    32     9 
29/02/2008  0     Nulo    29     9 
01/03/2008  0     Nulo    30     9 
02/03/2008  0     Nulo    32     10 
03/03/2008  0     Nulo    31     8 
04/03/2008  0     Nulo    31     9 
05/03/2008  0     Nulo    30     10 
06/03/2008  0     Nulo    32     8 
07/03/2008  0     Nulo    29     6 
08/03/2008  0     Nulo    28     6 
09/03/2008  0     Nulo    28     7 
10/03/2008  0     Nulo    27     7 
11/03/2008  0     Nulo    30     7 
12/03/2008  0     Nulo    30     10 
13/03/2008  0     Nulo    31     9 
14/03/2008  0     Nulo    31     10 
15/03/2008  0     Nulo    31     10 
16/03/2008  0     Nulo    32     10 
17/03/2008  0     Nulo    31     9 
18/03/2008  0     Nulo    28     11 
19/03/2008  0     Nulo    32     8 
20/03/2008  0     Nulo    30     10 
21/03/2008  0     Nulo    30     9 
22/03/2008  0     Nulo    31     12 
23/03/2008  0     Nulo    32     12 
24/03/2008  0     Nulo    31     10 
25/03/2008  0     Nulo    31     11 
26/03/2008  0     Nulo    30     12 
27/03/2008  0     Nulo    32     12 
28/03/2008  0     Nulo    35     12 
29/03/2008  0     Nulo    31     10 
30/03/2008  0     Nulo    32     11 
31/03/2008  0     Nulo    32     11 
01/04/2008  0     Nulo    32     12 
02/04/2008  0     Nulo    35     12 
03/04/2008  0     Nulo    36     13 
04/04/2008  0     Nulo    37     14 
05/04/2008  0      8.9    35     13 
06/04/2008  0      8.7    31     14 
07/04/2008  0      10.4   31     14 
08/04/2008  0      6.6    34     14 
09/04/2008  0      13.1   34     14 
10/04/2008  0      11.6   33     13 
11/04/2008  0      10     34     13 
12/04/2008  0      12.6   34     14 
13/04/2008  0      8.3    34     14 
14/04/2008  0     Nulo    34     17 
15/04/2008  0     Nulo    32     15.5 
16/04/2008  0     Nulo    33     14 
17/04/2008  0     Nulo    34     12 
18/04/2008  0      8.4    35     12.1 
19/04/2008  0      8.9    31     12 
20/04/2008  0      10     35     12 
21/04/2008  0      7.8    35     14 
22/04/2008  0      8.4    37     15 
23/04/2008  0      10.3   38     14 
24/04/2008  0      10.9   37     15 
25/04/2008  0      10.4   35     14 
26/04/2008  0      9.1    37     14 
27/04/2008  0      7.5    36     14 
28/04/2008  0     Nulo    35     15 
29/04/2008  0     Nulo    34     14 
30/04/2008  0     Nulo    33     14 
01/05/2008  0     Nulo    33     13 
02/05/2008  0      10.8   35     14 
03/05/2008  0      10     35     13 
04/05/2008  0      10.6   35     14 
05/05/2008  0      9.1    35     16 
06/05/2008  0      7.9    33     17 
07/05/2008  0      8.9    34     16 
08/05/2008  0      6.9    32     15 
09/05/2008  0      7.1    34     15 
10/05/2008  0      8.5    31     15 
11/05/2008  0      8.2    37     17 
12/05/2008  0     Nulo    37     18 
13/05/2008  4     Nulo    35     16 
14/05/2008  0     Nulo    33     16 
15/05/2008  0     Nulo    34     17 
16/05/2008  0     Nulo    32     16 
17/05/2008  0     Nulo    33     16 
18/05/2008  0     Nulo    34     17 
19/05/2008  0     Nulo    33     15 
20/05/2008  0     Nulo    31     15 
21/05/2008  0     Nulo    31     15 
22/05/2008  0     Nulo    31     14 
23/05/2008  0      3.8    31     12 
24/05/2008  0      7.6    32     14 
25/05/2008  0      6.7    34     17 
26/05/2008  0      9      34     16 
27/05/2008  0      8.4    34     16 
28/05/2008  0      7.9    33     17 
29/05/2008  5      4.1    34     18 
30/05/2008  0      12.6   33     17 
31/05/2008  0      6.4    33     17 
01/06/2008  0      6.4    32     18 
02/06/2008  0      7.1    33     18 
03/06/2008  0      9.3    36     17 
04/06/2008  0      8.8    36     17 
05/06/2008  0     Nulo    33     18 
06/06/2008  0     Nulo    32     17 
07/06/2008  0     Nulo    32     18 
08/06/2008  0     Nulo    24     18 
09/06/2008  12    Nulo    33     17 
10/06/2008  15    Nulo    30     18 
11/06/2008  4     Nulo    22     16 
12/06/2008  0     Nulo    26     17 
13/06/2008  3     Nulo    27     16 
14/06/2008  0     Nulo    31     17 
15/06/2008  3.5   Nulo    30     17 
16/06/2008  27    Nulo    30     15 
17/06/2008  0     Nulo    30     16 
18/06/2008  0     Nulo    32     18 
19/06/2008  0     Nulo    34     18 
20/06/2008  0     Nulo    33     19 
21/06/2008  0     Nulo    32     14 
22/06/2008  65    Nulo    27     15 
23/06/2008  11    Nulo    27     15 
24/06/2008  0      4.3    28     17 
25/06/2008  2      2.7    29     17 
26/06/2008  0      0.2    29     17 
27/06/2008  0      6.7    30     18 
28/06/2008  0      6.1    30     18 
29/06/2008  0      4.8    30     19 
30/06/2008  0      6.7    30     19 
01/07/2008  0      1      30     18 
02/07/2008  0      4      29     17 
03/07/2008  0      9      28     16 
04/07/2008  2      11.4   28     17 
05/07/2008  3      3.6    30     17 
06/07/2008  55     3.6    28     17 
07/07/2008  6      4.4    26     18 
08/07/2008  4      4.4    23     17 
09/07/2008  20     1.3    23     17 
10/07/2008  10     1.3    22     17 
11/07/2008  0      2.1    26     17 
12/07/2008  0      2.1    27     16 
13/07/2008  2      2.1    28     16 
14/07/2008  8      2.1    29     16 
15/07/2008  7      1.4    27     17 
16/07/2008  0      3.9    28     16 
17/07/2008  0      5      29     17 
18/07/2008  0      6.9    28     16 
19/07/2008  0      4.1    28     18 
20/07/2008  0      5.2    28     17 
21/07/2008  13     11.2   29     16 
22/07/2008  0      5.5    29     18 
23/07/2008  0      5.6    29     17 
24/07/2008  0      5.7    29     18 
