CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14080
NOMBRE    : LA CUÑA
ESTADO    : JALISCO
MUNICIPIO : YAHUALICA DE GONZALEZ GALLO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.007°
LONGITUD  : -102.823°
ALTITUD   : 1,490 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.6    27     4 
02/02/2008  0      4.4    28     4 
03/02/2008  0      4.7    28     5 
04/02/2008  0      4.8    27     4 
05/02/2008  0      4.2    29     4 
06/02/2008  0      4.1    28     5 
07/02/2008  0      4.5    27     5 
08/02/2008  0      4.4    28     3 
09/02/2008  0      4.3    28     3 
10/02/2008  0      3.7    27     4 
11/02/2008  0      4.9    28     5 
12/02/2008  0      4.1    27     6 
13/02/2008  0      4.2    28     4 
14/02/2008  0      4.4    28     4 
15/02/2008  0      4.1    29     3 
16/02/2008  0      4.7    27     3 
17/02/2008  0      4.3    28     3 
18/02/2008  0      4.2    29     2 
19/02/2008  0      4.7    29     2 
20/02/2008  0      4.1    29     3 
21/02/2008  0      4.4    28     4 
22/02/2008  0      4.7    29     5 
23/02/2008  0      4.1    28     2 
24/02/2008  0      4      27     3 
25/02/2008  0      4.4    28     4 
26/02/2008  0      4.3    27     5 
27/02/2008  0      5.6    27     4 
28/02/2008  0      4.1    29     6 
29/02/2008  0      4.7    29     6 
01/03/2008  0      4.3    29     6 
02/03/2008  0      4.8    28     7 
03/03/2008  0      4.2    29     4 
04/03/2008  0      4.8    28     5 
05/03/2008  0      4.7    28     3 
06/03/2008  0      4.3    27     3 
07/03/2008  0      4.9    27     1 
08/03/2008  0      4.1    28     2 
09/03/2008  0      4.3    29     3 
10/03/2008  0      4.7    29     5 
11/03/2008  0      5.6    28     5 
12/03/2008  0      4.4    29     5 
13/03/2008  0      4.2    28     6 
14/03/2008  0      4.8    29     4 
15/03/2008  0      4.7    29     5 
16/03/2008  0      4.3    29     5 
17/03/2008  0      5.9    29     5 
18/03/2008  0      4.1    29     7 
19/03/2008  0      5.9    29     5 
20/03/2008  0      4.1    29     5 
21/03/2008  0      4.7    29     6 
22/03/2008  0      4.3    26     5 
23/03/2008  0      4.9    29     6 
24/03/2008  0      5.1    30     5 
25/03/2008  0      5.6    29     7 
26/03/2008  0      5.4    29     9 
27/03/2008  0      4.3    30     9 
28/03/2008  0      4.7    31     7 
29/03/2008  0      5.9    30     8 
30/03/2008  0      4.8    30     7 
31/03/2008  0      5.2    31     7 
01/04/2008  0      5.6    31     7 
02/04/2008  0      4.4    31     7 
03/04/2008  0      5.9    32     6 
04/04/2008  0      5.1    32     8 
05/04/2008  0      6.6    32     10 
06/04/2008  0      6.4    32     10 
07/04/2008  0      6.3    32     11 
08/04/2008  0      6.7    32     11 
09/04/2008  0      6.6    32     8 
10/04/2008  0      5.7    30     6 
11/04/2008  0      5.3    32     7 
12/04/2008  0      6.6    31     9 
13/04/2008  23     5.4    32     10 
14/04/2008  0      5.9    32     10 
15/04/2008  0      5.1    31     10 
16/04/2008  0      5.4    30     10 
17/04/2008  0      5.1    30     11 
18/04/2008  0      5.1    31     5 
19/04/2008  0      5.5    32     6 
20/04/2008  0      5.3    32     9 
21/04/2008  0      6.1    33     10 
22/04/2008  0      6.9    33     12 
23/04/2008  0      6.1    33     12 
24/04/2008  0      6.3    33     12 
25/04/2008  0      5.7    32     10 
26/04/2008  0      5.3    32     10 
27/04/2008  0      6.2    32     10 
28/04/2008  0      6.4    31     11 
29/04/2008  0      6.4    31     11 
30/04/2008  6      6.5    30     12 
01/05/2008  0      5.5    30     12 
02/05/2008  0      5.2    31     11 
03/05/2008  0      5.2    31     11 
04/05/2008  0      5.1    30     11 
05/05/2008  0      5.3    30     12 
06/05/2008  0      5.1    31     12 
07/05/2008  0      5.3    30     12 
08/05/2008  0      5.5    32     13 
09/05/2008  0      6.2    33     14 
10/05/2008  0      5.9    32     14 
11/05/2008  0      6.1    32     13 
12/05/2008  1      5.2    33     14 
13/05/2008  0      6.3    33     13 
14/05/2008  0      6.4    32     13 
15/05/2008  1      5.1    32     12 
16/05/2008  1      5.3    32     13 
17/05/2008  0      5.6    32     15 
18/05/2008  0      6.1    33     12 
19/05/2008  0      5.3    32     15 
20/05/2008  0      5.7    32     14 
21/05/2008  0      5.6    31     12 
22/05/2008  0      5.4    32     14 
23/05/2008  0      5.2    32     14 
24/05/2008  0      6.3    32     14 
25/05/2008  0      5.1    32     13 
26/05/2008  0      5.4    32     13 
27/05/2008  0      5.6    32     15 
28/05/2008  0      6.1    33     14 
29/05/2008  0      5.2    32     14 
30/05/2008  0      6.1    32     13 
31/05/2008  0      5.7    32     14 
01/06/2008  0      5.3    32     14 
02/06/2008  0      5.9    32     15 
03/06/2008  0      7.1    33     13 
04/06/2008  0      5.9    32     14 
05/06/2008  0      6.1    32     12 
06/06/2008  7      5.6    32     13 
07/06/2008  27     6.4    32     13 
08/06/2008  50     6.7    33     14 
09/06/2008  21     5.6    31     14 
10/06/2008  24     5.4    30     13 
11/06/2008  6      5.1    29     12 
12/06/2008  0      5.5    29     12 
13/06/2008  0      5.1    29     12 
14/06/2008  0      5.6    29     12 
15/06/2008  13     5.5    30     12 
16/06/2008  3      5.1    30     15 
17/06/2008  4      4.1    30     14 
18/06/2008  0      5.7    30     13 
19/06/2008  0      5.3    30     13 
20/06/2008  0      5.6    30     12 
21/06/2008  3      6.4    29     12 
22/06/2008  2      4.6    30     12 
23/06/2008  0      5.4    30     14 
24/06/2008  5      5.3    30     14 
25/06/2008  0      5.2    30     12 
26/06/2008  29     6.1    30     13 
27/06/2008  4      5.3    30     16 
28/06/2008  8      5.6    30     12 
29/06/2008  1      6.1    29     13 
30/06/2008  0      5.9    29     12 
01/07/2008  1      5.1    29     13 
02/07/2008  0      4.3    24     15 
03/07/2008  0      5.2    29     14 
04/07/2008  11     5.4    29     13 
05/07/2008  16     5.1    29     12 
