CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14081
NOMBRE    : LA DESEMBOCADA
ESTADO    : JALISCO
MUNICIPIO : PUERTO VALLARTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.729°
LONGITUD  : -105.207°
ALTITUD   : 19 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.6    29.5   12 
02/02/2008  0      4.3    31     15.5 
03/02/2008  0      4.4    34.5   15 
04/02/2008  0      4.3    30     14.5 
05/02/2008  0      4.7    29.5   15 
06/02/2008  0      3.9    29     14.5 
07/02/2008  0      4      31     15 
08/02/2008  0      4.4    32.5   15 
09/02/2008  0      5      33     15.5 
10/02/2008  0      5.4    32     15.5 
11/02/2008  0      3.3    32     15 
12/02/2008  0      3      31.5   15 
13/02/2008  0      5.1    32.5   14.5 
14/02/2008  0      5.2    32.5   14 
15/02/2008  0      3.7    33     13 
16/02/2008  0      4.8    30     13 
17/02/2008  0      4.9    29     13 
18/02/2008  0      4.4    29.5   13.5 
19/02/2008  0      4.7    28.5   14 
20/02/2008  0      4.2    29.5   13.5 
21/02/2008  0      4      28     13 
22/02/2008  0      4.2    29.5   14.5 
23/02/2008  0      7      31.5   11.5 
24/02/2008  0      5      30.5   11.5 
25/02/2008  0      4.4    30.5   14 
26/02/2008  0      4.5    32     14 
27/02/2008  0      4.6    29.5   14 
28/02/2008  0      3.8    30.5   14 
29/02/2008  0      5.2    33     16.5 
01/03/2008  0      4.4    31.5   15 
02/03/2008  0      4.7    30.5   15 
03/03/2008  0      5.2    32     14 
04/03/2008  0      5.2    31     14 
05/03/2008  0      6.2    32.5   16 
06/03/2008  0      5.8    31     14 
07/03/2008  0      5.4    29.5   13 
08/03/2008  0      5.6    29     12 
09/03/2008  0      5.5    31     12 
10/03/2008  0      4.8    33     12 
11/03/2008  0      5.7    31     12.5 
12/03/2008  0      6      32.5   13.5 
13/03/2008  0      7      33     14 
14/03/2008  0      5.5    31     11.5 
15/03/2008  0      5.8    31.5   12.5 
16/03/2008  0      4.9    31     12.5 
17/03/2008  0      4.9    29.5   13.5 
18/03/2008  0      3.5    27.5   15.5 
19/03/2008  0      5.8    30     9.5 
20/03/2008  0      5      31     11 
21/03/2008  0      7.3    35     13 
22/03/2008  0      7.4    35.5   15 
23/03/2008  0      6.9    33     14 
24/03/2008  0      5.6    31.5   12 
25/03/2008  0      6.1    32     13 
26/03/2008  0      7.7    33.5   15 
27/03/2008  0      8.6    35.5   14.5 
28/03/2008  0      8.4    35     12.5 
29/03/2008  0      6.2    33.5   12.5 
30/03/2008  0      4.9    33.5   13.5 
31/03/2008  0      4.9    30.5   13.5 
01/04/2008  0      6.5    33     14.5 
02/04/2008  0      6.3    32.5   14.5 
03/04/2008  0      6.3    35     15 
04/04/2008  0      6.4    33.5   14 
05/04/2008  0      6.4    34     14.5 
06/04/2008  0      7.2    34.5   15 
07/04/2008  0      7.3    33.5   18 
08/04/2008  0      6.3    33.5   15.5 
09/04/2008  0      6.6    34     15 
10/04/2008  0      5.5    33     16 
11/04/2008  0      6.3    31.5   16 
12/04/2008  0      7      33     17 
13/04/2008  0      5.4    33     16.5 
14/04/2008  0      5.9    34     16.5 
15/04/2008  0      6.6    33     20 
16/04/2008  0      7.5    35     16.5 
17/04/2008  0      8.6    37     16 
18/04/2008  0      7.2    34.5   15 
19/04/2008  0      6.4    33.5   15 
20/04/2008  0      7.1    34.5   16.5 
21/04/2008  0      8.3    36     17.5 
22/04/2008  0      7.2    34     17 
23/04/2008  0      6.6    33.5   17 
24/04/2008  0      6.3    34     17 
25/04/2008  0      8.5    35.5   17.5 
26/04/2008  0      7.2    35     17.5 
27/04/2008  0      8.7    35.5   16.5 
28/04/2008  0      8.1    36     15 
29/04/2008  0      6.2    35.5   15 
30/04/2008  0      7.5    33.5   17.5 
01/05/2008  0      7.4    36     17 
02/05/2008  0      7.9    35     17.5 
03/05/2008  0      8      36.5   16 
04/05/2008  0      6.7    33     16 
05/05/2008  0      6.7    37.5   16.5 
06/05/2008  0      6.8    35     19 
07/05/2008  0      7.7    35.5   19.5 
08/05/2008  0      7.4    36     20 
09/05/2008  0      8.4    35.5   19 
10/05/2008  0      8      36     19 
11/05/2008  0      8      36     18 
12/05/2008  0      6.9    36     18 
13/05/2008  0      6.5    35     19 
14/05/2008  0      7.2    35     19.5 
15/05/2008  0      6.4    36     23 
16/05/2008  0      8      34.5   23 
17/05/2008  0      7.3    35     23 
18/05/2008  0      7.3    36     21 
19/05/2008  0      8.1    36     21 
20/05/2008  0      8.1    35     21 
21/05/2008  0      8.1    35.5   20.5 
22/05/2008  0      6.4    32.5   18 
23/05/2008  0      7.4    35     18 
24/05/2008  0      8.5    36     23 
25/05/2008  0      7.1    34.5   21 
26/05/2008  0      5      33.5   21.5 
27/05/2008  0      3.8    33.5   24 
28/05/2008  0      7.2    34.5   24 
29/05/2008  0      6.9    35.5   23 
30/05/2008  0      7.4    35     23 
31/05/2008  0      6.2    34.5   22 
01/06/2008  0      8.3    36     22.5 
02/06/2008  0      7.3    35.5   20 
03/06/2008  0      6.3    34     20.5 
04/06/2008  0      5      33.5   22 
05/06/2008  0      6.9    34.5   24 
06/06/2008  2      7.7    35     24 
07/06/2008  1.5    2.1    29.5   23.5 
08/06/2008  0      1.2    27.5   23 
09/06/2008  5.5    2.2    30     23 
10/06/2008  29.5   1.3    24.5   22.5 
11/06/2008  1      0.2    26.5   21.5 
12/06/2008  0      2.4    29     21.5 
13/06/2008  0      7.2    32.5   21.5 
14/06/2008  0      6.5    33.5   21.5 
15/06/2008  1      7      34.5   24 
16/06/2008  5      6.2    34     25 
17/06/2008  0      5.7    35.5   24.5 
18/06/2008  0      7.4    34.5   24 
19/06/2008  0      6.9    35     24 
20/06/2008  1      5.7    35     24 
21/06/2008  0      6      36     23 
22/06/2008  6.5    6.3    35.5   24 
23/06/2008  0      6.3    35     23 
24/06/2008  4.5    6.6    37     23 
25/06/2008  15     8      35     23 
26/06/2008  0      5.7    35     22.5 
27/06/2008  28.5   8.8    35     22 
28/06/2008  0      2.8    35.5   25 
29/06/2008  37.5   7.8    34     25 
30/06/2008  0      7.8    34     22 
01/07/2008  0      3.7    33     22.5 
02/07/2008  1      3.4    34.5   24.5 
03/07/2008  6.5    7.3    36     24 
04/07/2008  97.5   5.8    32.5   24 
05/07/2008  0      4.3    33     24 
06/07/2008  17     3.1    32.5   23.5 
07/07/2008  56.5   2.1    25.5   24 
08/07/2008  21     2      29.5   22.5 
09/07/2008  4      2.2    29.5   21 
10/07/2008  0.5    2.1    32.5   21 
11/07/2008  1.5    3.2    32.5   23 
12/07/2008  1      4.4    34     23.5 
13/07/2008  1.5    4.5    34     23 
14/07/2008  2.5    2.5    32     23 
15/07/2008  0      4.1    34.5   23 
16/07/2008  11.5   7      36     23 
17/07/2008  14     5.6    33.5   24 
18/07/2008  1      5.1    35     23.5 
19/07/2008  0.5    3.4    34     23.5 
20/07/2008  0      5.4    35     23 
21/07/2008  5      7      35     23 
22/07/2008  45.5   8.2    35     24.5 
23/07/2008  15     6.7    33.5   23.5 
24/07/2008  28.5   7.2    33.5   23 
25/07/2008  8.8    5.8    34     23.5 
26/07/2008  5.5    4.5    33.5   23 
27/07/2008  0      5.7    32.5   22 
28/07/2008  0      6.3    35     22.5 
29/07/2008  8.5    7.2    36     22.5 
30/07/2008  7      2      30     24 
31/07/2008  0      2      34     23 
01/08/2008  0      4.4    34.5   23.5 
02/08/2008  5.5    6.1    35.5   23 
03/08/2008  14.5   5.5    33     23 
04/08/2008  0      5      34     22.5 
05/08/2008  3      5.4    35     22.5 
06/08/2008  6.5    6.1    35     24.5 
07/08/2008  0      1      29.5   23.5 
08/08/2008  1.5    4.5    35     20 
09/08/2008  0      5.6    35.5   22 
10/08/2008  0      6.1    35.5   22 
11/08/2008  1      5      35     24.5 
12/08/2008  0      5.7    34.5   24 
13/08/2008  16     4.3    34     24.5 
14/08/2008  71.5   4.7    34     24.5 
15/08/2008  29.5   5.1    33.5   22.5 
16/08/2008  7.5    4.6    33.5   22.5 
17/08/2008  0      3.3    33.5   24 
18/08/2008  0      6.3    34.5   24 
19/08/2008  0      4.4    35     24 
20/08/2008  10     4.3    34.5   24 
21/08/2008  18.5   5.2    34     23.5 
22/08/2008  17     4.5    34     23 
23/08/2008  0      2.2    32.5   23 
24/08/2008  2.5    4.3    33.5   23 
25/08/2008  0      5.9    33.5   23 
26/08/2008  0      4.1    34.5   23 
27/08/2008  9      5.2    34     23 
28/08/2008  0      5      33     23 
29/08/2008  95.5   4.8    34.5   23 
30/08/2008  1.5    4.5    33.5   23.5 
31/08/2008  3      4.2    34.5   21.5 
01/09/2008  0      5.4    34     23 
02/09/2008  26.5   5.4    34.5   24 
03/09/2008  0      4.8    34     24 
04/09/2008  0      5.9    35     24.5 
05/09/2008  0      6      34.5   21.5 
06/09/2008  16.5   6.4    35.5   21 
07/09/2008  13.5   4.1    34     21.5 
08/09/2008  15.5   1.3    31     24 
09/09/2008  7      3.2    32.5   23.5 
10/09/2008  0.5    4.4    33.5   23.5 
11/09/2008  0      6.3    34.5   23.5 
12/09/2008  45.5   5.7    34     23.5 
13/09/2008  1      1      32     24 
14/09/2008  25     5      33     23 
15/09/2008  31     4      32     23 
16/09/2008  6      5      31     22.5 
