CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14083
NOMBRE    : LAGOS DE MORENO (OBS)
ESTADO    : JALISCO
MUNICIPIO : LAGOS DE MORENO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   :  76573 
LATITUD   : 0021.348°
LONGITUD  : -101.941°
ALTITUD   : 1,901 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2011  0      5.6    25.4   4.8 
02/01/2011  0      2.6    25     5.6 
03/01/2011  0      3.6    25     8.6 
04/01/2011  0      3      25     6.4 
05/01/2011  0      4.3    25.5   8.2 
06/01/2011  0      6.5    25.4   7.4 
07/01/2011  0      4      25     9.2 
08/01/2011  0      5      25     6.8 
09/01/2011  0      6.7    26     7.8 
10/01/2011  0      5.2    25     4 
11/01/2011  0      5.5    25     6 
12/01/2011  0      3.7    25.5   7.6 
13/01/2011  0      3.5    26     5.4 
14/01/2011  0      4      26     4.8 
15/01/2011  0      4.6    26     5.6 
16/01/2011  0      6.3    26     5 
17/01/2011  0      3.2    26     4.8 
18/01/2011  0      4.4    26     3.8 
19/01/2011  0      6      26.3   4.6 
20/01/2011  0      4.5    26.4   4.4 
21/01/2011  0      5.6    26     4.8 
22/01/2011  0      5.1    26.4   5 
23/01/2011  0      5.3    26     4.4 
24/01/2011  0      5.3    26     3.4 
25/01/2011  0      4.7    25     4.8 
26/01/2011  0      5.1    26     3.8 
27/01/2011  0      5.4    26.4   5.8 
28/01/2011  0      3.4    26     5.4 
29/01/2011  0      4.9    26.2   6.6 
30/01/2011  0      5.9    26     6.8 
31/01/2011  0      5.9    26.5   7 
01/02/2011  0      5.6    25.5   3 
02/02/2011  0      7.1    25     4.5 
03/02/2011  0      5.4    20.5   6 
04/02/2011  0      4.7    23.5   2 
05/02/2011  0      4.4    22.5   2.5 
06/02/2011  0      6.5    24     2.5 
07/02/2011  0      5.9    23.5   1.5 
08/02/2011  0      4.8    24.5   0.5 
09/02/2011  0      4.2    26.5   1.5 
10/02/2011  0      5.1    27     1 
11/02/2011  0      5.8    27.5   3 
12/02/2011  0      5.2    26.5   4 
13/02/2011  0      4.5    25.5   3.5 
14/02/2011  0      5.5    27.5   2 
15/02/2011  0      5.4    29.5   2 
16/02/2011  0      5.4    29.5   2.5 
17/02/2011  0      5.2    29.5   3.5 
18/02/2011  0      5.8    29.5   4 
19/02/2011  0      5.1    30.5   4 
20/02/2011  0      5      31     4 
21/02/2011  0      5.1    31     4 
22/02/2011  0      4.9    30.5   3.5 
23/02/2011  0      5.1    29.5   3 
24/02/2011  0      7.8    27.5   4 
25/02/2011  0      7.4    27     4.5 
26/02/2011  0      7.2    27.5   4.5 
27/02/2011  0      6.7    28     5.5 
28/02/2011  0      8      30.5   5 
01/03/2011  0      4.9    29.5   9.4 
02/03/2011  0      6.9    30     7.2 
03/03/2011  0      6.7    30     6.4 
04/03/2011  0      7.6    30.1   8.4 
05/03/2011  0      8      30     8.4 
06/03/2011  0      5.3    29.9   9.6 
07/03/2011  0      7.4    29.6   9.6 
08/03/2011  0      7.9    30.5   5 
09/03/2011  0      6.9    30     7.2 
10/03/2011  0      7.4    30     9.4 
11/03/2011  0      6.2    30     5.6 
12/03/2011  0      5.4    30     7.4 
13/03/2011  0      6.9    30     7.8 
14/03/2011  0      8.6    30.1   9.8 
15/03/2011  0      4.3    30     9 
16/03/2011  0      4      30.8   9.4 
17/03/2011  0      6.4    30     8.4 
18/03/2011  0      8.2    29.8   8.8 
19/03/2011  0      5.8    30     7.4 
20/03/2011  0      8.7    30.4   10.4 
21/03/2011  0      9.2    30     9.4 
22/03/2011  0      7.7    30     8.2 
23/03/2011  0      7.7    30.9   10.6 
24/03/2011  0      8.4    31     11.4 
25/03/2011  0      8.4    31     10.4 
26/03/2011  0      8.3    31     10 
27/03/2011  0      7.8    30.9   10 
28/03/2011  0      8.6    31     7.4 
29/03/2011  0      7.7    31     6.8 
30/03/2011  0      0.9    31     9.2 
31/03/2011  1.1    7.1    31     9.4 
01/04/2011  0      6.9    31     9 
02/04/2011  0      6.4    31     9.8 
03/04/2011  0      8.4    31     10.4 
04/04/2011  0      8.4    31     10.6 
05/04/2011  0      6.7    31     13 
06/04/2011  0      8.6    31.3   13.2 
07/04/2011  0      8.3    30     12.4 
08/04/2011  0      7.8    31     12.4 
09/04/2011  0      8.7    32     12.2 
10/04/2011  0      9.1    32.5   12 
11/04/2011  0      9.6    33.5   11.2 
12/04/2011  0      8.8    33.5   12.5 
13/04/2011  0      7.3    33.5   14.8 
14/04/2011  0      9.7    33.5   14.6 
15/04/2011  0      8.9    33.5   13.4 
16/04/2011  4.5    2.4    33.7   15.4 
17/04/2011  0      6.4    33.5   13.8 
18/04/2011  0      9.6    33.5   13.2 
19/04/2011  0      9      33.7   11 
20/04/2011  0      8.1    33.4   10.8 
21/04/2011  0      9.5    33.5   13.4 
22/04/2011  0      9.7    33.5   13.8 
23/04/2011  0      7.7    33.7   12.6 
24/04/2011  0      8.1    33.6   12.8 
25/04/2011  0      10.8   33.8   12.4 
26/04/2011  0      10.6   33.6   10.8 
27/04/2011  0      9.7    33.6   10.2 
28/04/2011  0      9.9    33.5   11.5 
29/04/2011  0      8.1    33.5   12.5 
