CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14085
NOMBRE    : LA HUERTA
ESTADO    : JALISCO
MUNICIPIO : LA HUERTA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.481°
LONGITUD  : -104.639°
ALTITUD   : 280 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2010  0      2.3    24.5   7.5 
02/01/2010  9.1    0.9    16     8.5 
03/01/2010  0      1.6    22.5   9 
04/01/2010  0      3.2    21     2.5 
05/01/2010  0      2      19    -0.5 
06/01/2010  0      2.5    21.5   2 
07/01/2010  1.8    0.5    20     4.5 
08/01/2010  0      0.4    15     5 
09/01/2010  0      2.5    21.5   5.5 
10/01/2010  0      2.5    21    -2 
11/01/2010  0      2.8    19.5  -3 
12/01/2010  6      1.3    21    -2 
13/01/2010  0      1.5    19     6 
14/01/2010  0      3.2    20.5   5 
15/01/2010  2      1.5    17     2.5 
16/01/2010  0      1.6    19    -2 
17/01/2010  0      2.5    21    -2 
18/01/2010  0      2.8    26     0 
19/01/2010  0      3.5    26     1.5 
20/01/2010  0      3.9    26     2 
21/01/2010  0      4.1    26     0 
22/01/2010  0      4.8    28    -1.5 
23/01/2010  0      4.2    27    -0.5 
24/01/2010  0      5.3    28     0 
25/01/2010  0      4.8    28    -0.5 
26/01/2010  0      3.8    27     2 
27/01/2010  0      4.3    27     2 
28/01/2010  0      4.4    26     1.5 
29/01/2010  0      4.6    25     3.5 
30/01/2010  0      2.6    22.5   4.5 
31/01/2010  19.8   3.7    24     2.5 
--------------------------------------
