CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14086
NOMBRE    : LA MANZANILLA DE LA PAZ
ESTADO    : JALISCO
MUNICIPIO : LA MANZANILLA DE LA PAZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.004°
LONGITUD  : -103.154°
ALTITUD   : 2,050 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4      26     7 
02/02/2008  0      4.6    27     7.5 
03/02/2008  0      4.1    26     4.5 
04/02/2008  0      4.1    27     6 
05/02/2008  0      3.9    26.5   6.5 
06/02/2008  0      3.1    27.5   6 
07/02/2008  0      3.1    26     6 
08/02/2008  0      3.1    26     5.5 
09/02/2008  0      3      26     5 
10/02/2008  0      3.1    25.5   6 
11/02/2008  0      3      25.5   6 
12/02/2008  0      3.2    26     5.5 
13/02/2008  0      2.1    25     6 
14/02/2008  0      2.5    25.5   5 
15/02/2008  0      4      27     5.5 
16/02/2008  0      4.1    27.5   5 
17/02/2008  0      4      28     5.5 
18/02/2008  0      5.1    28     6 
19/02/2008  0      5.9    27.5   5.5 
20/02/2008  0      4.1    28     6 
21/02/2008  0      5.1    28     6 
22/02/2008  0      5.1    28     5.5 
23/02/2008  0      5.9    29.5   6 
24/02/2008  0      5.1    28     6.5 
25/02/2008  0      5      28.5   6 
26/02/2008  0      5.8    28     6.5 
27/02/2008  0      5.1    28.5   6 
28/02/2008  0      5.1    28.5   6 
29/02/2008  0      5.1    26     6.5 
01/03/2008  0      5      27     6 
02/03/2008  0      5.3    26.5   5 
03/03/2008  0      4.8    27     5.5 
04/03/2008  0      4.8    25.5   6 
05/03/2008  0      6.2    27     1.5 
06/03/2008  0      3.1    25     2 
07/03/2008  0      3.8    25.5   2.5 
08/03/2008  0      4      26     1.5 
09/03/2008  0      5.1    27     2 
10/03/2008  0      5.8    26.5   3 
11/03/2008  0      5.1    27     5.5 
12/03/2008  0      6.9    26     5.5 
13/03/2008  0      5.9    27     5 
14/03/2008  0      6.1    29     5 
15/03/2008  0      4.9    29     5.5 
16/03/2008  0      6.1    28.5   4.5 
17/03/2008  0      6.1    29     5 
18/03/2008  0      7.1    28     5 
19/03/2008  0      6      28.5   5 
20/03/2008  0      6.1    29     4.5 
21/03/2008  0      6.2    30     5 
22/03/2008  0      5.6    30.5   6.5 
23/03/2008  0      6.6    30.5   7.5 
24/03/2008  0      5.7    31     8 
25/03/2008  0      5.3    30.5   8 
26/03/2008  0      5.7    30.5   7.5 
27/03/2008  0      7.1    30     8 
28/03/2008  0      6      30.5   7 
29/03/2008  0      7.2    30.5   7.5 
30/03/2008  0      6.8    31     7 
31/03/2008  0      7      31     8 
01/04/2008  0      7.2    31.5   9 
02/04/2008  0      7      32     12 
03/04/2008  0      7.8    30     10 
04/04/2008  0      7      31     12.5 
05/04/2008  0      6.1    30     11.5 
06/04/2008  0      7      31     10.5 
07/04/2008  0      8      31     10 
08/04/2008  0      8.1    31.5   10.5 
09/04/2008  0      9.1    31     10.5 
10/04/2008  0      8      32     10 
11/04/2008  0      6.7    31     11 
12/04/2008  0      7.2    30.5   11 
13/04/2008  33.7   7.9    30     11.5 
14/04/2008  0      6.1    30.5   11 
15/04/2008  0      6      32     11.5 
16/04/2008  0      5.8    32.5   9.5 
17/04/2008  0      6.7    32     10 
18/04/2008  0      7.1    33     10.5 
19/04/2008  0      7      32     11 
20/04/2008  0      7.1    32.5   11.5 
21/04/2008  0      8.1    31     10 
22/04/2008  0      7.9    32.5   11 
23/04/2008  0      8.1    31.5   10 
24/04/2008  0      7      29.5   11.5 
25/04/2008  0      6      30.5   11 
26/04/2008  0      5.8    30     8.5 
27/04/2008  0      6      29     9.5 
28/04/2008  0      5.1    28     8 
29/04/2008  0      5.1    30     8.5 
30/04/2008  0      5.7    30     9 
01/05/2008  0      6.1    32     8.5 
02/05/2008  0      6      32.5   9 
03/05/2008  0      7.1    32     9.5 
04/05/2008  0      6.1    32     10 
05/05/2008  12.4   5.2    31.5   9 
06/05/2008  0      5.9    30.5   9 
07/05/2008  0      6.1    31     8.5 
08/05/2008  0      6.9    32     9 
09/05/2008  0      8.1    33     10 
10/05/2008  0      6.4    32.5   8 
11/05/2008  0      6.1    32     8.5 
12/05/2008  0      6.1    32     8 
13/05/2008  0      6.1    32.5   8 
14/05/2008  0      5.9    32     9 
15/05/2008  0      5.9    31.5   8 
16/05/2008  0      6      32     8.5 
17/05/2008  0      6.1    32.5   8 
18/05/2008  0      6      32     8.5 
19/05/2008  0      6.1    31     8 
20/05/2008  0      6.1    31.5   8.5 
21/05/2008  0      6      31     7.5 
22/05/2008  0      6.3    30     8 
23/05/2008  0      5.9    31     7.5 
24/05/2008  0      5.9    31.5   10 
25/05/2008  0      6.1    31     11.5 
26/05/2008  0      5.3    32     10.5 
27/05/2008  2.5    5.6    30     11.5 
28/05/2008  0      7.1    28.5   13 
29/05/2008  0      6      29.5   12 
30/05/2008  0      6      30     12.5 
31/05/2008  0      6.4    31     11.5 
01/06/2008  0      7.1    31     12 
02/06/2008  0      6.1    30     11.5 
03/06/2008  0      6.7    31     11 
04/06/2008  0      6.1    31.5   10.5 
05/06/2008  0      6.1    31     11.5 
06/06/2008  7.4    5.3    29.5   12 
07/06/2008  0      5.4    27     14.5 
08/06/2008  1.9    3.1    24     16 
09/06/2008  22.7   3      23     17 
10/06/2008  4.5    0.9    19.5   15 
11/06/2008  0      3.6    23     15 
12/06/2008  9.9    2.3    22.5   15.5 
13/06/2008  1.7    2.4    24     15 
14/06/2008  18.3   3.5    25     15.5 
15/06/2008  9.5    3.6    25.5   14.5 
