CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14089
NOMBRE    : LA VEGA
ESTADO    : JALISCO
MUNICIPIO : TEUCHITLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.592°
LONGITUD  : -103.858°
ALTITUD   : 1,260 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0      1.9    28.5   6 
02/01/2008  0      1.8    21.5   5 
03/01/2008  0      1.7    21     7 
04/01/2008  0      1.8    25     3.5 
05/01/2008  0      1.8    25     4 
06/01/2008  0      1.1    26.5   2.5 
07/01/2008  0      1.2    29.5   3 
08/01/2008  0      1.1    29     2 
09/01/2008  0      1.2    30     2.5 
10/01/2008  0      1.1    25.5   2 
11/01/2008  0      1.2    28     2 
12/01/2008  0      1.2    26     2 
13/01/2008  0      1      27.5   1.5 
14/01/2008  0      1.1    24.5   0.5 
15/01/2008  0      0.9    27.5   0.5 
16/01/2008  0      0.8    26.5   4 
17/01/2008  0      1      26     1.5 
18/01/2008  0      1.2    23.5   1.5 
19/01/2008  0      1.2    28.3   4.5 
20/01/2008  0      1.6    30.5   4 
21/01/2008  0      1.5    27     5 
22/01/2008  0      1.6    28     0 
23/01/2008  0      2      32     6 
24/01/2008  0      2      31.5   6 
25/01/2008  0      2.1    29     7 
26/01/2008  0      2.2    29     7 
27/01/2008  0      2.3    30     9 
28/01/2008  0      2      30     6 
29/01/2008  0      2.1    27.5   6 
30/01/2008  0      2.1    27.5   6 
31/01/2008  0      2.2    31.5   6 
01/02/2008  0      2.5    31     6.5 
02/02/2008  0      2.5    31     5.5 
03/02/2008  0      2.5    27.5   6 
04/02/2008  0      2.6    30.5   5 
05/02/2008  0      1.6    27     5 
06/02/2008  0      1.9    31     4 
07/02/2008  0      1.7    26.5   3.5 
08/02/2008  0      2.3    29.5   5.5 
09/02/2008  0      2.2    28     6.5 
10/02/2008  0      1.9    28     6 
11/02/2008  0      1.7    29     7 
12/02/2008  0      1.9    32     5.5 
13/02/2008  0      1.7    31.5   5 
14/02/2008  0      1.5    31     5 
15/02/2008  0      1.5    31.5   4.5 
16/02/2008  0      1.5    33     3.5 
17/02/2008  0      1.5    31     3 
18/02/2008  0      1.6    32.5   4.5 
19/02/2008  0      1.8    33     4 
20/02/2008  0      1.5    29     4 
21/02/2008  0      1.9    29.5   4.5 
22/02/2008  0      2.6    30     5 
23/02/2008  0      2.6    33     5 
24/02/2008  0      2.7    34     4 
25/02/2008  0      2.5    34     5 
26/02/2008  0      2.3    33.5   5 
27/02/2008  0      2.3    33     5.5 
28/02/2008  0      2.3    33     6.5 
29/02/2008  0      2.5    31     6 
01/03/2008  0      2.5    30.5   6 
02/03/2008  0      2.1    34     6.5 
03/03/2008  0      2.2    33.5   4 
04/03/2008  0      1.8    28     4.5 
05/03/2008  0      2      29.5   4 
06/03/2008  0      1.5    28     4.5 
07/03/2008  0      1.5    27     2.5 
08/03/2008  0      2      30     2 
09/03/2008  0      1.4    29.5   3 
10/03/2008  0      2      32     2.5 
11/03/2008  0      1.8    32.5   4.5 
12/03/2008  0      2.1    33     4 
13/03/2008  0      2      32     6 
14/03/2008  0      2.5    34     5 
15/03/2008  0      2.5    33.5   3 
16/03/2008  0      2.6    34     5.5 
17/03/2008  0      2.8    32.5   5.5 
18/03/2008  0      2.8    32     7 
19/03/2008  0      2.7    29.5   2.5 
20/03/2008  0      3      30     3 
21/03/2008  0      3.1    30.5   6.5 
22/03/2008  0      3.5    35     7 
23/03/2008  0      3.6    34     6.5 
24/03/2008  0      3.5    31     8 
25/03/2008  0      3.5    32     8 
26/03/2008  0      3.6    35.5   9 
27/03/2008  0      3.7    36     6 
28/03/2008  0      3.8    36     6.5 
29/03/2008  0      3.5    36     7 
30/03/2008  0      3.7    37.5   6.5 
31/03/2008  0      3.2    35     7 
01/04/2008  0      3.5    36.5   7 
02/04/2008  0      4.1    37     7 
03/04/2008  0      4      35.5   8 
04/04/2008  0      3.8    36     7.5 
05/04/2008  0      3.9    37     7 
06/04/2008  0      3.5    35     7.5 
07/04/2008  0      3.5    35     7 
