CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14090
NOMBRE    : LA YERBABUENA
ESTADO    : JALISCO
MUNICIPIO : TOTOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.582°
LONGITUD  : -102.746°
ALTITUD   : 1,588 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      5.9    31     5 
02/02/2008  0      5.2    31.5   8.5 
03/02/2008  0      5.2    29.5   7 
04/02/2008  0      5.2    29     7.5 
05/02/2008  0      5.1    31.5   6.5 
06/02/2008  0      3.4    29.5   7.5 
07/02/2008  0      3.4    29.5   7.5 
08/02/2008  6.5    4.7    28.5   6.5 
09/02/2008  0      5.4    32     7 
10/02/2008  0      6      29     8 
11/02/2008  3      4.8    29.5   6.5 
12/02/2008  0      5.1    27.5   6.5 
13/02/2008  0      4.9    27.5   7 
14/02/2008  0      4.6    28     7.5 
15/02/2008  0      6.7    30     6 
16/02/2008  0      5.2    32     7 
17/02/2008  0      5.5    29     9 
18/02/2008  0      5.2    31     7 
19/02/2008  0      5.1    31.5   9 
20/02/2008  0      5.8    28.5   9 
21/02/2008  0      5.1    26.5   7 
22/02/2008  0      5.8    31     2 
23/02/2008  0      5.9    33.5   3 
24/02/2008  0      6.2    34.5   8.5 
25/02/2008  0      7.8    34.5   8.5 
26/02/2008  0      5.9    32.5   8.5 
27/02/2008  0      6.1    32.5   8.5 
28/02/2008  0      4.2    28.5   7.5 
29/02/2008  0      6.5    30     8.5 
01/03/2008  0      6.2    30     9 
02/03/2008  0      5.2    29.5   10 
03/03/2008  0      5.6    29.5   7 
04/03/2008  0      5.5    31.5   7 
05/03/2008  0      5.2    29.5   9 
06/03/2008  0      5.1    29.5   6.5 
07/03/2008  0      4.9    29.5   3.5 
08/03/2008  0      5.8    29.5   3.5 
09/03/2008  0      4.2    29.5   3.5 
10/03/2008  0      4      28.5   3.5 
11/03/2008  0      6      28.5   7.5 
12/03/2008  0      6.6    30     7.5 
13/03/2008  0      5.6    29.5   9.5 
14/03/2008  0      7.7    30     7.5 
15/03/2008  0      6.8    31.5   7.5 
16/03/2008  0      6.8    31     7.5 
17/03/2008  0      7.2    28.5   7.5 
18/03/2008  0      5.8    32.5   10 
19/03/2008  0      6.1    28.5   9 
20/03/2008  0      6      29.5   6.5 
21/03/2008  0      6.8    33     10.5 
22/03/2008  0      6.4    31     11 
23/03/2008  0      5.8    32     10.5 
