CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14093
NOMBRE    : MAGDALENA
ESTADO    : JALISCO
MUNICIPIO : MAGDALENA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0020.906°
LONGITUD  : -103.980°
ALTITUD   : 1,380 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      6.4    30     4.5 
02/02/2008  0      6.9    30     4 
03/02/2008  0      5.5    31     4.5 
04/02/2008  0      2.4    29     6 
05/02/2008  0      5.3    27     5 
06/02/2008  0      6.3    28     3 
07/02/2008  0      4.9    28     4 
08/02/2008  0      5.2    28     5 
09/02/2008  0      4.1    29.5   5 
10/02/2008  0      4.3    29.5   7 
11/02/2008  0      4.7    27     7 
12/02/2008  0      4.9    27     5 
13/02/2008  0      7.1    27     4 
14/02/2008  0      5.5    27.5   5 
15/02/2008  0      7.1    27     0.5 
16/02/2008  0      6      30     5 
17/02/2008  0      11.7   30     7 
18/02/2008  0      4.1    30     4 
19/02/2008  0      7.3    30     6 
20/02/2008  0      5.2    31     7 
21/02/2008  0      5      29.5   4 
22/02/2008  0      7.6    30     5 
23/02/2008  0      6.5    32     4 
24/02/2008  0      4.5    35     7 
25/02/2008  0      7.8    32     5 
26/02/2008  0      7.5    32     5 
27/02/2008  0      6.5    29     7 
28/02/2008  0      6.4    30     7 
29/02/2008  0      6.1    30     8 
01/03/2008  0      6.6    29     7 
02/03/2008  0      6.7    29     6 
03/03/2008  0      7.1    30.5   5 
04/03/2008  0      6.6    31     4 
05/03/2008  0      6.3    28     3 
06/03/2008  0      8.7    26     3 
07/03/2008  0      9.3    28     0 
08/03/2008  0      8.2    27     0 
09/03/2008  0      8      28     0 
10/03/2008  0      5.4    27     1 
11/03/2008  0      8.1    30     3 
12/03/2008  0      9      31     3 
13/03/2008  0      6.6    29     6 
14/03/2008  0      6.1    28     2 
15/03/2008  0      1      30     3 
16/03/2008  0      7.2    33     3 
17/03/2008  0      5.4    30     4 
18/03/2008  0      6.2    31     6 
19/03/2008  0      7      32     3 
20/03/2008  0      10     31     5 
21/03/2008  0      9.2    31     3 
22/03/2008  0      9.8    31     3 
23/03/2008  0      7.5    32     5 
24/03/2008  0      9.4    30     6 
25/03/2008  0      8.6    31     6 
26/03/2008  0      8.9    30     6 
27/03/2008  0      3.9    31     7 
28/03/2008  0      9.6    32     7 
29/03/2008  0      4.2    33     5 
30/03/2008  0      11.2   34     6 
31/03/2008  0      8.1    34     6 
01/04/2008  0      5.8    33     6 
02/04/2008  0      12.4   35     5 
03/04/2008  0      9.9    34     7 
04/04/2008  0      9.1    34     7 
05/04/2008  0      10.3   33     8 
06/04/2008  0      7.6    34     7.5 
07/04/2008  0      7.3    34     6 
08/04/2008  0      6.1    34     5 
09/04/2008  0      9.2    34     7 
10/04/2008  0      8.4    32     7 
11/04/2008  0      9.4    33     7 
12/04/2008  0      9.2    36     7 
13/04/2008  0      6.3    36     8 
14/04/2008  0      8.9    32     9 
15/04/2008  0      10.7   33     10 
16/04/2008  0      10.6   32     8 
17/04/2008  0      7      33     8 
18/04/2008  0      9.4    33     7 
19/04/2008  0      10.4   35     6 
20/04/2008  0      10.9   36     6 
21/04/2008  0      9.5    36     6 
22/04/2008  0      10.3   35     10 
23/04/2008  0      8.6    33     9 
24/04/2008  0      11.1   34     10 
25/04/2008  0      17.8   35     9 
26/04/2008  0      8.6    35     11 
27/04/2008  0      9.2    35     10 
28/04/2008  0      8.4    33     9 
29/04/2008  0      9.9    35     7 
30/04/2008  0      11.4   34     8 
01/05/2008  0      10.8   32     8 
02/05/2008  0      10.9   35     8 
03/05/2008  0      7.9    34     9 
04/05/2008  0      11.6   34     7 
05/05/2008  0      11.4   35     9 
06/05/2008  0      8.8    33     8 
07/05/2008  0      6.6    31     13 
08/05/2008  0      9.7    34     10.5 
09/05/2008  0      9.6    33     11.5 
10/05/2008  0      11.1   35     10 
11/05/2008  0      10.4   36     11 
12/05/2008  0      9.6    36     11 
13/05/2008  0      10.4   37     12 
14/05/2008  12.9   0.8    36     13 
15/05/2008  15.7   9.9    32     12 
16/05/2008  10.2   6.4    33     12 
17/05/2008  0      4.6    35     11 
18/05/2008  0      8.7    32     12 
19/05/2008  0      7.7    31     11 
20/05/2008  0      11.3   30     11 
21/05/2008  0      4.9    30     11 
22/05/2008  0      13.2   30     11 
23/05/2008  0      5.7    31     10 
24/05/2008  0      6.2    30     10 
25/05/2008  0      5.9    32     9 
26/05/2008  0      7      35     10 
27/05/2008  0      5.7    33     13 
28/05/2008  0      12.4   35     13 
29/05/2008  0      6.6    35     13.5 
30/05/2008  0      12.1   35     15 
31/05/2008  0      12.1   35     16 
01/06/2008  0      8.5    37     14 
02/06/2008  0      7.4    36     15.5 
03/06/2008  0      5      37     16 
04/06/2008  0      8.5    33     16 
05/06/2008  0      9.1    31     17 
06/06/2008  0      7.7    32     15 
07/06/2008  0      6.3    33     16 
08/06/2008  15.2   9.3    32     17 
09/06/2008  38.2   5      32     17 
10/06/2008  23.4   8.5    21     15 
11/06/2008  13.8   13.1   24     16 
12/06/2008  22.8   11.5   28     16 
13/06/2008  10.1   10.1   30     16 
14/06/2008  0      2.9    31     16 
15/06/2008  0      4.7    30     16 
16/06/2008  3.5    6.1    30     17 
17/06/2008  0      6.3    30     16.5 
18/06/2008  0      6.3    31     16 
19/06/2008  0      7.8    32     16 
20/06/2008  0      6.6    30     17 
21/06/2008  0      7.1    31     16 
22/06/2008  0      8.1    31     16 
23/06/2008  23.1   10.4   32     15 
24/06/2008  36.2   12.6   31     15.5 
25/06/2008  0      10.1   32     13 
26/06/2008  0      8.3    30.5   13 
27/06/2008  23.3   4.4    32     13 
28/06/2008  0      7.5    32     16 
