CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14100
NOMBRE    : MEXTICACAN
ESTADO    : JALISCO
MUNICIPIO : MEXTICACAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.265°
LONGITUD  : -102.777°
ALTITUD   : 1,750 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo   Nulo   Nulo
02/02/2008  0     Nulo   Nulo   Nulo
03/02/2008  0     Nulo   Nulo   Nulo
04/02/2008  0     Nulo   Nulo   Nulo
05/02/2008  0     Nulo   Nulo   Nulo
06/02/2008  0     Nulo   Nulo   Nulo
07/02/2008  0     Nulo   Nulo   Nulo
08/02/2008  0     Nulo   Nulo   Nulo
09/02/2008  0     Nulo   Nulo   Nulo
10/02/2008  0     Nulo   Nulo   Nulo
11/02/2008  0     Nulo   Nulo   Nulo
12/02/2008  0     Nulo   Nulo   Nulo
13/02/2008  0     Nulo   Nulo   Nulo
14/02/2008  0     Nulo   Nulo   Nulo
15/02/2008  0     Nulo   Nulo   Nulo
16/02/2008  0     Nulo   Nulo   Nulo
17/02/2008  0     Nulo   Nulo   Nulo
18/02/2008  0     Nulo   Nulo   Nulo
19/02/2008  0     Nulo   Nulo   Nulo
20/02/2008  0     Nulo   Nulo   Nulo
21/02/2008  0     Nulo   Nulo   Nulo
22/02/2008  0     Nulo   Nulo   Nulo
23/02/2008  0     Nulo   Nulo   Nulo
24/02/2008  0     Nulo   Nulo   Nulo
25/02/2008  0     Nulo   Nulo   Nulo
26/02/2008  0     Nulo   Nulo   Nulo
27/02/2008  0     Nulo   Nulo   Nulo
28/02/2008  0     Nulo   Nulo   Nulo
29/02/2008  0     Nulo   Nulo   Nulo
01/03/2008  0     Nulo   Nulo   Nulo
02/03/2008  0     Nulo   Nulo   Nulo
03/03/2008  0     Nulo   Nulo   Nulo
04/03/2008  0     Nulo   Nulo   Nulo
05/03/2008  0     Nulo   Nulo   Nulo
06/03/2008  0     Nulo   Nulo   Nulo
07/03/2008  0     Nulo   Nulo   Nulo
08/03/2008  0     Nulo   Nulo   Nulo
09/03/2008  0     Nulo   Nulo   Nulo
10/03/2008  0     Nulo   Nulo   Nulo
11/03/2008  0     Nulo   Nulo   Nulo
12/03/2008  0     Nulo   Nulo   Nulo
13/03/2008  0     Nulo   Nulo   Nulo
14/03/2008  0     Nulo   Nulo   Nulo
15/03/2008  0     Nulo   Nulo   Nulo
16/03/2008  0     Nulo   Nulo   Nulo
17/03/2008  0     Nulo   Nulo   Nulo
18/03/2008  0     Nulo   Nulo   Nulo
19/03/2008  0     Nulo   Nulo   Nulo
20/03/2008  0     Nulo   Nulo   Nulo
21/03/2008  0     Nulo   Nulo   Nulo
22/03/2008  0     Nulo   Nulo   Nulo
23/03/2008  0     Nulo   Nulo   Nulo
24/03/2008  0     Nulo   Nulo   Nulo
25/03/2008  0     Nulo   Nulo   Nulo
26/03/2008  0     Nulo   Nulo   Nulo
27/03/2008  0     Nulo   Nulo   Nulo
28/03/2008  0     Nulo   Nulo   Nulo
29/03/2008  0     Nulo   Nulo   Nulo
30/03/2008  0     Nulo   Nulo   Nulo
31/03/2008  0     Nulo   Nulo   Nulo
01/04/2008  0     Nulo   Nulo   Nulo
02/04/2008  0     Nulo   Nulo   Nulo
03/04/2008  0     Nulo   Nulo   Nulo
04/04/2008  0     Nulo   Nulo   Nulo
05/04/2008  0     Nulo   Nulo   Nulo
06/04/2008  0     Nulo   Nulo   Nulo
07/04/2008  0     Nulo   Nulo   Nulo
08/04/2008  0     Nulo   Nulo   Nulo
09/04/2008  0     Nulo   Nulo   Nulo
10/04/2008  0     Nulo   Nulo   Nulo
