CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14101
NOMBRE    : MICHOACANEJO
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.540°
LONGITUD  : -102.597°
ALTITUD   : 1,860 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    24     1 
02/02/2008  0     Nulo    25     1 
03/02/2008  0     Nulo    25     3 
04/02/2008  0     Nulo    24     3 
05/02/2008  0     Nulo    25     5 
06/02/2008  0     Nulo    24     0 
07/02/2008  0     Nulo    24     0 
08/02/2008  0     Nulo    24     2 
09/02/2008  0     Nulo    25     2 
10/02/2008  0.6   Nulo    24     3 
11/02/2008  0     Nulo    22     3 
12/02/2008  0     Nulo    23     5 
13/02/2008  0     Nulo    24     4 
14/02/2008  0     Nulo    24     4 
15/02/2008  0     Nulo    25     1 
16/02/2008  0     Nulo    27     1 
17/02/2008  0     Nulo    27     0 
18/02/2008  0     Nulo    27     2 
19/02/2008  0     Nulo    27     2 
20/02/2008  0     Nulo    27     1 
21/02/2008  0     Nulo    25     2 
22/02/2008  0     Nulo    23     4 
23/02/2008  0     Nulo    27     3 
24/02/2008  0     Nulo    27     3 
25/02/2008  0     Nulo    28     3 
26/02/2008  0     Nulo    28     4 
27/02/2008  0     Nulo    22     5 
28/02/2008  0     Nulo    24     2 
29/02/2008  0     Nulo    25     3 
01/03/2008  0     Nulo    25     4 
02/03/2008  0     Nulo    25     4 
03/03/2008  0     Nulo    25     4 
04/03/2008  0     Nulo    25     4 
05/03/2008  0     Nulo    25     5 
06/03/2008  0     Nulo    25     3 
07/03/2008  0     Nulo    23    -3 
08/03/2008  0     Nulo    21    -2 
09/03/2008  0     Nulo    23     2 
10/03/2008  0     Nulo    24     2 
11/03/2008  0     Nulo    24     4 
12/03/2008  0     Nulo    26     4 
13/03/2008  0     Nulo    25     6 
14/03/2008  0     Nulo    25     1 
15/03/2008  0     Nulo    27     1 
16/03/2008  0     Nulo    26     4 
17/03/2008  0     Nulo    24     6 
18/03/2008  0     Nulo    24     3 
19/03/2008  0     Nulo    21     1 
20/03/2008  0     Nulo    25     3 
21/03/2008  0     Nulo    26     3 
22/03/2008  0     Nulo    26     3 
23/03/2008  0     Nulo    26     7 
24/03/2008  0     Nulo    23     7 
25/03/2008  0     Nulo    26     5 
26/03/2008  0     Nulo    27     6 
27/03/2008  0     Nulo    27     6 
28/03/2008  0     Nulo    27     8 
29/03/2008  0     Nulo    28     7 
30/03/2008  0     Nulo    28     6 
31/03/2008  0     Nulo    30     6 
01/04/2008  0     Nulo    32     7 
02/04/2008  0     Nulo    31     7 
03/04/2008  0     Nulo    31     8 
04/04/2008  0     Nulo    30     9 
05/04/2008  0     Nulo    30     13 
06/04/2008  0     Nulo    28     12 
07/04/2008  0     Nulo    29     4 
08/04/2008  0     Nulo    30     4 
09/04/2008  0     Nulo    30     5 
10/04/2008  0     Nulo    29     5 
11/04/2008  0     Nulo    29     6 
12/04/2008  0     Nulo    29     6 
13/04/2008  1     Nulo    29     8 
14/04/2008  1     Nulo    28     9 
15/04/2008  0     Nulo    29     10 
16/04/2008  0     Nulo    28     9 
17/04/2008  0     Nulo    28     8 
18/04/2008  0     Nulo    28     4 
19/04/2008  0     Nulo    29     8 
20/04/2008  0     Nulo    30     9 
21/04/2008  0     Nulo    32     8 
22/04/2008  0     Nulo    32     10 
23/04/2008  0     Nulo    32     12 
24/04/2008  0     Nulo    31     9 
25/04/2008  0     Nulo    30     9 
26/04/2008  0     Nulo    31     9 
27/04/2008  0     Nulo    30     9 
28/04/2008  0     Nulo    28     9 
29/04/2008  0     Nulo    26     9 
30/04/2008  0     Nulo    29     9 
01/05/2008  0     Nulo    28     9 
02/05/2008  0     Nulo    28     9 
03/05/2008  0     Nulo    29     8 
04/05/2008  0     Nulo    30     9 
05/05/2008  0     Nulo    30     11 
06/05/2008  0     Nulo    30     9 
07/05/2008  0     Nulo    30     9 
08/05/2008  0     Nulo    32     10 
09/05/2008  0     Nulo    32     11 
10/05/2008  0     Nulo    33     12 
11/05/2008  0     Nulo    33     14 
12/05/2008  3.2   Nulo    32     14 
13/05/2008  0     Nulo    30     11 
14/05/2008  0     Nulo    30     11 
15/05/2008  2     Nulo    28     12 
16/05/2008  0     Nulo    28     12 
17/05/2008  0     Nulo    28     10 
18/05/2008  0     Nulo    28     12 
19/05/2008  0     Nulo    26     11 
20/05/2008  0     Nulo    28     10 
21/05/2008  0     Nulo    28     12 
22/05/2008  0     Nulo    27     9 
23/05/2008  0     Nulo    28     8 
24/05/2008  0     Nulo    32     10 
25/05/2008  0     Nulo    32     11 
26/05/2008  0     Nulo    32     12 
27/05/2008  0     Nulo    32     13 
28/05/2008  0     Nulo    30     12 
29/05/2008  0     Nulo    28     12 
30/05/2008  0     Nulo    29     10 
31/05/2008  0     Nulo    30     13 
01/06/2008  0     Nulo    31     10 
02/06/2008  0     Nulo    32     11 
03/06/2008  0     Nulo    32     11 
04/06/2008  0     Nulo    33     12 
05/06/2008  0     Nulo    31     15 
06/06/2008  12.3  Nulo    32     13 
07/06/2008  0.9   Nulo    28     13 
08/06/2008  3     Nulo    27     14 
09/06/2008  43.2  Nulo    24     12 
10/06/2008  8.5   Nulo    20     12 
11/06/2008  12.8  Nulo    22     13 
12/06/2008  0     Nulo    26     12 
13/06/2008  0     Nulo    28     13 
14/06/2008  0     Nulo    28     13 
15/06/2008  0     Nulo    28     15 
16/06/2008  4.5   Nulo    28     13 
17/06/2008  0     Nulo    29     12 
18/06/2008  0     Nulo    29     14 
19/06/2008  0     Nulo    30     13 
20/06/2008  0     Nulo    30     14 
21/06/2008  0     Nulo    28     12 
22/06/2008  0     Nulo    28     14 
23/06/2008  8.8   Nulo    28     12 
24/06/2008  1.8   Nulo    28     14 
25/06/2008  0     Nulo    28     14 
26/06/2008  0     Nulo    28     14 
27/06/2008  3.2   Nulo    29     14 
