CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14104
NOMBRE    : PALO VERDE
ESTADO    : JALISCO
MUNICIPIO : ZAPOTLANEJO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.640°
LONGITUD  : -102.951°
ALTITUD   : 1,730 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    26     3 
02/02/2008  0     Nulo    25.5   3 
03/02/2008  0     Nulo    24     2.5 
04/02/2008  0     Nulo    25     2.5 
05/02/2008  0     Nulo    26.5   3 
06/02/2008  0     Nulo    26     3 
07/02/2008  0     Nulo    26     3 
08/02/2008  0     Nulo    24.5   2.5 
09/02/2008  0     Nulo    26     2.5 
10/02/2008  0     Nulo    25     3 
11/02/2008  0     Nulo    24     2.5 
12/02/2008  0     Nulo    26     2.5 
13/02/2008  0     Nulo    26.5   3 
14/02/2008  0     Nulo    26     3 
15/02/2008  0     Nulo    24.5   3 
16/02/2008  0     Nulo    24.5   3 
17/02/2008  0     Nulo    24     2.5 
18/02/2008  0     Nulo    26.5   2.5 
19/02/2008  0     Nulo    26     3 
20/02/2008  0     Nulo    25     3 
21/02/2008  0     Nulo    26     3 
22/02/2008  0     Nulo    26     3 
23/02/2008  0     Nulo    25.5   3 
24/02/2008  0     Nulo    24.5   2.5 
25/02/2008  0     Nulo    26.5   2.5 
26/02/2008  0     Nulo    31.5   3 
27/02/2008  0     Nulo    28     3 
28/02/2008  0     Nulo    27.5   2.5 
29/02/2008  0     Nulo    27.5   2.5 
01/03/2008  0     Nulo    26.5   2.5 
02/03/2008  0     Nulo    25     2.5 
03/03/2008  0     Nulo    27.5   2.5 
04/03/2008  0     Nulo    26.5   3 
05/03/2008  0     Nulo    30     2.5 
06/03/2008  0     Nulo    35     5 
07/03/2008  0     Nulo    28     3 
08/03/2008  0     Nulo    30     3 
09/03/2008  0     Nulo    29     3.5 
10/03/2008  0     Nulo    29     3 
11/03/2008  0     Nulo    28     3 
12/03/2008  0     Nulo    26     3 
13/03/2008  0     Nulo    27.5   3 
14/03/2008  0     Nulo    28     3.5 
15/03/2008  0     Nulo    28     3.5 
16/03/2008  0     Nulo    29     3.5 
17/03/2008  0     Nulo    30     4.5 
18/03/2008  0     Nulo    29     4.5 
19/03/2008  0     Nulo    31     4 
20/03/2008  0     Nulo    29.5   5 
21/03/2008  0     Nulo    31     4 
22/03/2008  0     Nulo    29.5   5 
23/03/2008  0     Nulo    30     3.5 
24/03/2008  0     Nulo    31     3.5 
25/03/2008  0     Nulo    29     4.5 
26/03/2008  0     Nulo    30     3.5 
27/03/2008  0     Nulo    29.5   4 
28/03/2008  0     Nulo    28     3.5 
29/03/2008  0     Nulo    30.5   3 
30/03/2008  0     Nulo    31.5   4.5 
31/03/2008  0     Nulo    31.5   5 
01/04/2008  0     Nulo    32     5 
02/04/2008  0     Nulo    30     5 
03/04/2008  0     Nulo    32     6 
04/04/2008  0     Nulo    31.5   5 
05/04/2008  0     Nulo    31     4.5 
06/04/2008  0     Nulo    30     4 
07/04/2008  0     Nulo    29.5   4 
08/04/2008  0     Nulo    30     3 
09/04/2008  0     Nulo    33.5   3.5 
10/04/2008  0     Nulo    29.5   3.5 
11/04/2008  0     Nulo    31     4 
12/04/2008  0     Nulo    30     4 
13/04/2008  0     Nulo    31     4 
14/04/2008  0     Nulo    29     4 
15/04/2008  0     Nulo    30     4 
16/04/2008  0     Nulo    30     4 
17/04/2008  0     Nulo    31.5   4 
18/04/2008  0     Nulo    32     4.5 
19/04/2008  0     Nulo    31     5 
20/04/2008  0     Nulo    29     4.5 
21/04/2008  0     Nulo    30.5   4 
22/04/2008  0     Nulo    29.5   3.5 
23/04/2008  0     Nulo    30     3 
24/04/2008  0     Nulo    31     3 
25/04/2008  0     Nulo    31     3 
26/04/2008  0     Nulo    32     3 
27/04/2008  0     Nulo    33     4 
28/04/2008  0     Nulo    31     5 
29/04/2008  0     Nulo    32     4 
30/04/2008  0     Nulo    32     4 
01/05/2008  0     Nulo    31.5   3.5 
02/05/2008  0     Nulo    34     3.5 
03/05/2008  0     Nulo    33     6.5 
04/05/2008  0     Nulo    32     7 
