CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14112
NOMBRE    : PRESA TROJES
ESTADO    : JALISCO
MUNICIPIO : PIHUAMO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA
CVE-OMM   : Nulo
LATITUD   : 0018.967°
LONGITUD  : -103.395°
ALTITUD   : 360 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0      4.1    36     17 
02/01/2008  0      6.8    33     16 
03/01/2008  0      4.2    34     14 
04/01/2008  0      3.7    31     11.5 
05/01/2008  0      3.2    33     12 
06/01/2008  0      3.8    35     13 
07/01/2008  0      4.2    34     13.5 
08/01/2008  0      4.2    35     12 
09/01/2008  0      4.5    35     10.5 
10/01/2008  0      4      34     10.5 
11/01/2008  0      5.1    34     10.5 
12/01/2008  0      3.8    33     9.5 
13/01/2008  0      3      32     9.8 
14/01/2008  0      5.1    33     11 
15/01/2008  0      2.9    32     13.5 
16/01/2008  0      4.3    32.5   12.5 
17/01/2008  0      3.6    31     11.5 
18/01/2008  0      3.2    33     12 
19/01/2008  0      3.1    35     13 
20/01/2008  0      6.7    34     12 
21/01/2008  0      5.7    34.5   13 
22/01/2008  0      3.2    35     14 
23/01/2008  0      4.9    35     14 
24/01/2008  0      4.1    34     14 
25/01/2008  0      4.1    35     15 
26/01/2008  0      5.6    36     16 
27/01/2008  0      5.2    35     15 
28/01/2008  0      3.3    34.5   14 
29/01/2008  0      4.7    36.5   14 
30/01/2008  0      5.7    35     14.5 
31/01/2008  0      3.8    34     15 
01/02/2008  0      4.8    33     15 
02/02/2008  0      6.3    35.5   15 
03/02/2008  0      4.1    33     13 
04/02/2008  0      4.1    35.5   13 
05/02/2008  0      5.2    34     13.5 
06/02/2008  0      5.6    34.5   12.5 
07/02/2008  0      4.8    34     13 
08/02/2008  0      3.3    33.5   14 
09/02/2008  0      5.4    34     14 
10/02/2008  0      3.8    35     14.5 
11/02/2008  0      6.4    36     14.5 
12/02/2008  0      5.1    35     13 
13/02/2008  0      5.6    36     12.5 
14/02/2008  0      5.3    35     11 
15/02/2008  0      6.5    36     11 
16/02/2008  0      6.1    31.5   11 
17/02/2008  0      6.7    34     10.5 
18/02/2008  0      4.4    31.5   11.5 
19/02/2008  0      6.5    32.5   12.5 
20/02/2008  0      4.7    32     12 
21/02/2008  0      5.8    35     12 
22/02/2008  0      3.2    31     11 
23/02/2008  0      6.6    35     11.5 
24/02/2008  0      6.4    35.5   12.5 
25/02/2008  0      7.3    36.5   12.5 
26/02/2008  0      7.4    34.5   12.5 
27/02/2008  0      6.4    32.5   12 
28/02/2008  0      5.4    35     12 
29/02/2008  0      6.6    36     12.5 
01/03/2008  0      7.6    36.5   14 
02/03/2008  0      5.1    33     13 
03/03/2008  0      7.3    36     12 
04/03/2008  0      3.9    32     12.5 
05/03/2008  0      6.6    35     11 
06/03/2008  0      7.4    36     11 
07/03/2008  0      5.7    35     10.3 
08/03/2008  0      6.4    33.5   8.5 
09/03/2008  0      7.3    35     8.5 
10/03/2008  0      7.2    37     11 
11/03/2008  0      6.8    38     13.5 
12/03/2008  0      7.8    37     13.5 
13/03/2008  0      9.5    36.5   13 
14/03/2008  0      8.3    35     12 
15/03/2008  0      7.1    34.5   11.5 
16/03/2008  0      6.8    36     11 
17/03/2008  0      6.3    35.5   11.5 
18/03/2008  0      7.1    34     12 
19/03/2008  0      6      36     12 
20/03/2008  0      7.8    36     12.5 
21/03/2008  0      7.3    37     15 
22/03/2008  0      8.3    38     16 
23/03/2008  0      8.4    38     16 
24/03/2008  0      8.6    37     13.5 
25/03/2008  0      5.1    37     13.5 
26/03/2008  0      8.7    38     16 
27/03/2008  0      9.3    38     15 
28/03/2008  0      8.4    38     15 
29/03/2008  0      9.9    38     13 
30/03/2008  0      7.7    38     13 
31/03/2008  0      8.3    37.5   12.5 
01/04/2008  0      8.8    35.5   13 
02/04/2008  0      8.9    35     13.5 
03/04/2008  0      6.9    37.5   14.5 
04/04/2008  0      7.2    36     16 
05/04/2008  0      6.9    35     18 
06/04/2008  0      7.2    36     20 
07/04/2008  0      8.6    37.5   16 
08/04/2008  0      7.3    36.5   16 
09/04/2008  0      6.8    37     17 
10/04/2008  0      6.5    36.5   15 
11/04/2008  0      7      37     16 
12/04/2008  0      6.8    35     16.5 
13/04/2008  0      7.7    36.5   17 
14/04/2008  0      8.3    38     21 
15/04/2008  0      8.7    37.5   20 
16/04/2008  0      9.7    38     21 
17/04/2008  0      9.7    34     17 
18/04/2008  0      7.2    37.5   13.5 
19/04/2008  0      7.7    37     14.5 
20/04/2008  0      9.2    37.5   17 
21/04/2008  0      9.6    38     17 
22/04/2008  0      7.6    36     18 
23/04/2008  0      7      37     19 
24/04/2008  0      8.2    38     19 
25/04/2008  0      7.3    39     16 
26/04/2008  0      7.1    36     17 
27/04/2008  0      7.8    35     18.5 
28/04/2008  0      11.1   37     19 
29/04/2008  0      7.9    33     18 
30/04/2008  0      8.2    37     19 
01/05/2008  0      10     38     14 
02/05/2008  0      8.3    37     14.5 
03/05/2008  0      7      36     15 
04/05/2008  0      7.1    35     16 
05/05/2008  0      7.6    38     17 
06/05/2008  0      8      38.5   19 
07/05/2008  0      7.1    37     21.5 
08/05/2008  0      8.4    38.5   20 
09/05/2008  0      7.7    37     20.5 
10/05/2008  0      8.2    36.5   20 
11/05/2008  0      8.6    36.5   21 
12/05/2008  0      7.8    36     19 
13/05/2008  0      8      37     20 
14/05/2008  0      7.8    38     18 
15/05/2008  0      8.8    38     19 
16/05/2008  0      9      39     20 
17/05/2008  0      7.5    37.5   19 
