CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14114
NOMBRE    : PRESA LA DUQUESA
ESTADO    : JALISCO
MUNICIPIO : LAGOS DE MORENO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.224°
LONGITUD  : -101.820°
ALTITUD   : 1,950 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    25     8 
02/02/2008  0     Nulo    26     7 
03/02/2008  0     Nulo    25     4 
04/02/2008  0     Nulo    26     6 
05/02/2008  0     Nulo    26     8 
06/02/2008  0     Nulo    26     3 
07/02/2008  0     Nulo    24     3 
08/02/2008  0     Nulo    24     5 
09/02/2008  0     Nulo    25     5 
10/02/2008  1     Nulo    24     8 
11/02/2008  0     Nulo    22     10 
12/02/2008  0     Nulo    24     8 
13/02/2008  0     Nulo    25     4 
14/02/2008  0     Nulo    27     6 
15/02/2008  0     Nulo    27     4 
16/02/2008  0     Nulo    28     5 
17/02/2008  0     Nulo    28     5 
18/02/2008  0     Nulo    29     5 
19/02/2008  0     Nulo    28     5 
20/02/2008  0     Nulo    28     6 
21/02/2008  0     Nulo    27     6 
22/02/2008  0     Nulo    27     9 
23/02/2008  0     Nulo    29     5 
24/02/2008  0     Nulo    31     6 
25/02/2008  0     Nulo    30     7 
26/02/2008  0     Nulo    30     7 
27/02/2008  0     Nulo    22     5 
28/02/2008  0     Nulo    27     5 
29/02/2008  0     Nulo    27     4 
01/03/2008  0     Nulo    27     7 
02/03/2008  0     Nulo    28     9 
03/03/2008  0     Nulo    28     9 
04/03/2008  0     Nulo    28     6 
05/03/2008  0     Nulo    28     6 
06/03/2008  0     Nulo    26     7 
07/03/2008  0     Nulo    25     4 
08/03/2008  0     Nulo    23     0 
09/03/2008  0     Nulo    25     5 
10/03/2008  0     Nulo    27     5 
11/03/2008  0     Nulo    27     5 
12/03/2008  0     Nulo    29     6 
13/03/2008  0     Nulo    28     7 
14/03/2008  0     Nulo    28     4 
15/03/2008  0     Nulo    29     5 
16/03/2008  0     Nulo    30     8 
17/03/2008  0     Nulo    29     10 
18/03/2008  0     Nulo    27     12 
19/03/2008  0     Nulo    28     3 
20/03/2008  0     Nulo    27     3 
21/03/2008  0     Nulo    27     3 
22/03/2008  0     Nulo    30     7 
23/03/2008  0     Nulo    30     6 
24/03/2008  0     Nulo    24     10 
25/03/2008  0     Nulo    28     7 
26/03/2008  0     Nulo    29     7 
27/03/2008  0     Nulo    30     10 
28/03/2008  0     Nulo    31     10 
29/03/2008  0     Nulo    32     10 
30/03/2008  0     Nulo    33     9 
31/03/2008  0     Nulo    33     10 
01/04/2008  0     Nulo    34     8 
02/04/2008  0     Nulo    33     11 
03/04/2008  0     Nulo    33     13 
04/04/2008  0     Nulo    33     10 
05/04/2008  0     Nulo    31     9 
06/04/2008  0     Nulo    32     10 
07/04/2008  0     Nulo    31     10 
08/04/2008  0     Nulo    33     8 
09/04/2008  0     Nulo    33     10 
10/04/2008  0     Nulo    34     10 
11/04/2008  0     Nulo    33     8 
12/04/2008  0     Nulo    29     8 
13/04/2008  0      3.3    26     12 
14/04/2008  0      5.9    25     10 
15/04/2008  0      5.8    27     10 
16/04/2008  0      6.9    29     11 
17/04/2008  0      6.7    30     12 
18/04/2008  0      6.7    30     13 
19/04/2008  0      7.1    32     10 
20/04/2008  0      7.3    33     10 
21/04/2008  0      8.1    33     11 
22/04/2008  0      7.5    34     10 
23/04/2008  0      8.1    34     13 
24/04/2008  0      7      34     14 
25/04/2008  0      6.6    33     11 
26/04/2008  0      6.8    34     12 
27/04/2008  0      8.1    33     10 
28/04/2008  0      5.6    29     12 
29/04/2008  0      6.1    31     9 
30/04/2008  0      6.6    30     10 
01/05/2008  0      6.7    32     11 
02/05/2008  0      6.5    33     8 
03/05/2008  0      6.4    33     10 
04/05/2008  0      5.4    30     13 
05/05/2008  0      6.8    31     15 
06/05/2008  0      6.1    33     14 
07/05/2008  0      5.1    32     14 
08/05/2008  0      6.8    35     13 
09/05/2008  0      6.8    33     13 
10/05/2008  0      6.9    34     13 
11/05/2008  0      7.5    35     12 
12/05/2008  3.5    7.2    34     14 
13/05/2008  1.5    4.6    31     13 
14/05/2008  0      4.7    31     14 
15/05/2008  10     3.5    26     17 
16/05/2008  0      6.2    30     15 
17/05/2008  0      5.6    31     15 
18/05/2008  6.6    6.1    29     15 
19/05/2008  0      3.9    29     14 
20/05/2008  0      6.2    29     13 
21/05/2008  0      5.9    29     13 
22/05/2008  0      4.3    30     14 
23/05/2008  0      7.2    29     12 
24/05/2008  0      8.3    33     12 
