CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14117
NOMBRE    : VILLA PURIFICACION (DGE)
ESTADO    : JALISCO
MUNICIPIO : VILLA PURIFICACION
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.719°
LONGITUD  : -104.602°
ALTITUD   : 440 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    33     11 
02/02/2008  0     Nulo    36     12 
03/02/2008  0     Nulo    32     12 
04/02/2008  0     Nulo    30     13 
05/02/2008  0     Nulo    31     12 
06/02/2008  0     Nulo    31     10 
07/02/2008  0     Nulo    32     11 
08/02/2008  0     Nulo    32     11 
09/02/2008  0     Nulo    32     11 
10/02/2008  0     Nulo    32     12 
11/02/2008  0     Nulo    33     12 
12/02/2008  0     Nulo    32     12 
13/02/2008  0     Nulo    33     13 
14/02/2008  0     Nulo    34     10 
15/02/2008  0     Nulo    35     11 
16/02/2008  0     Nulo    33.5   12 
17/02/2008  0     Nulo    34     11 
18/02/2008  0     Nulo    32     13 
19/02/2008  0     Nulo    32.5   11 
20/02/2008  0     Nulo    33     13 
21/02/2008  0     Nulo    32     12 
22/02/2008  0     Nulo    33     11 
23/02/2008  0     Nulo    34     12 
24/02/2008  0     Nulo    36     11 
25/02/2008  0     Nulo    35     11 
26/02/2008  0     Nulo    35     14 
27/02/2008  0     Nulo    33.5   12 
28/02/2008  0     Nulo    33     11 
29/02/2008  0     Nulo    33     12 
01/03/2008  0     Nulo    33     12 
02/03/2008  0     Nulo    35     11 
03/03/2008  0     Nulo    33     12 
04/03/2008  0     Nulo    33     13 
05/03/2008  0     Nulo    35     12 
06/03/2008  0     Nulo    34     10 
07/03/2008  0     Nulo    35     12 
08/03/2008  0     Nulo    33     12 
09/03/2008  0     Nulo    36     12 
10/03/2008  0     Nulo    36     13.5 
11/03/2008  0     Nulo    35     14 
12/03/2008  0     Nulo    33     12 
13/03/2008  0     Nulo    35     14 
14/03/2008  0     Nulo    36     15 
15/03/2008  0     Nulo    35     14 
16/03/2008  0     Nulo    35     13 
17/03/2008  0     Nulo    36     14.5 
18/03/2008  0     Nulo    36     14 
19/03/2008  0     Nulo    33     14 
20/03/2008  0     Nulo    33     13 
21/03/2008  0     Nulo    34     14 
22/03/2008  0     Nulo    34     16 
23/03/2008  0     Nulo    36     16 
24/03/2008  0     Nulo    36     15 
25/03/2008  0     Nulo    34     13 
26/03/2008  0     Nulo    33.5   14 
27/03/2008  0     Nulo    35     14 
28/03/2008  0     Nulo    36     14 
29/03/2008  0     Nulo    33     12 
30/03/2008  0     Nulo    35     12 
31/03/2008  0     Nulo    35     14 
01/04/2008  0     Nulo    35     15 
02/04/2008  0     Nulo    36.5   14 
03/04/2008  0     Nulo    34     15 
04/04/2008  0     Nulo    35.5   16 
