CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14118
NOMBRE    : QUITO
ESTADO    : JALISCO
MUNICIPIO : TUXPAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0019.525°
LONGITUD  : -103.433°
ALTITUD   : 1,045 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    34     7 
02/02/2008  0     Nulo    35     7 
03/02/2008  0     Nulo    35     7 
04/02/2008  0     Nulo    35     7 
05/02/2008  0     Nulo    33     7 
06/02/2008  0     Nulo    34     6 
07/02/2008  0     Nulo    34     6 
08/02/2008  0     Nulo    35     7 
09/02/2008  0     Nulo    36     8 
10/02/2008  0     Nulo    36     9 
11/02/2008  0     Nulo    36     8 
12/02/2008  0     Nulo    35     7 
13/02/2008  0     Nulo    36     7 
14/02/2008  0     Nulo    34     5 
15/02/2008  0     Nulo    36     6 
16/02/2008  0     Nulo    36     6 
17/02/2008  0     Nulo    36     6 
18/02/2008  0     Nulo    35     6 
19/02/2008  0     Nulo    35     5 
20/02/2008  0     Nulo    36     5 
21/02/2008  0     Nulo    36     6 
22/02/2008  0     Nulo    37     5 
23/02/2008  0     Nulo    39     6 
24/02/2008  0     Nulo    39     9 
25/02/2008  0     Nulo    36     9 
26/02/2008  0     Nulo    36     8 
27/02/2008  0     Nulo    37     10 
28/02/2008  0     Nulo    35     9 
29/02/2008  0     Nulo    36     7 
01/03/2008  0     Nulo    38     9 
02/03/2008  0     Nulo    36     9 
03/03/2008  0     Nulo    36     9 
04/03/2008  0     Nulo    34     10 
05/03/2008  0     Nulo    36     8 
06/03/2008  0     Nulo    36     6 
07/03/2008  0     Nulo    35     5 
08/03/2008  0     Nulo    34     4 
09/03/2008  0     Nulo    34     5 
10/03/2008  0     Nulo    36     7 
11/03/2008  0     Nulo    38     8 
12/03/2008  0     Nulo    36     9 
13/03/2008  0     Nulo    37     9 
14/03/2008  0     Nulo    37     7 
15/03/2008  0     Nulo    37     6 
16/03/2008  0     Nulo    36     7 
17/03/2008  0     Nulo    35     7 
18/03/2008  0     Nulo    33     6 
19/03/2008  0     Nulo    37     7 
20/03/2008  0     Nulo    38     9 
21/03/2008  0     Nulo    39     10 
22/03/2008  0     Nulo    39     11 
23/03/2008  0     Nulo    37     10 
24/03/2008  0     Nulo    38     9 
25/03/2008  0     Nulo    37     10 
26/03/2008  0     Nulo    39     12 
27/03/2008  0     Nulo    39     12 
28/03/2008  0     Nulo    38     12 
29/03/2008  0     Nulo    37     10 
30/03/2008  0     Nulo    38     10 
31/03/2008  0     Nulo    39     9 
01/04/2008  0     Nulo    39     10 
02/04/2008  0     Nulo    40     10 
03/04/2008  0     Nulo    41     11 
04/04/2008  0     Nulo    38     10 
05/04/2008  0     Nulo    36     12 
06/04/2008  0     Nulo    37     12 
07/04/2008  0     Nulo    38     10 
08/04/2008  0     Nulo    37     11 
09/04/2008  0     Nulo    38     8 
10/04/2008  0     Nulo    38     9 
11/04/2008  0     Nulo    40     10 
12/04/2008  0     Nulo    40     11 
13/04/2008  0     Nulo    40     14 
14/04/2008  0     Nulo    39     16 
15/04/2008  0     Nulo    39     15 
16/04/2008  0     Nulo    39     13 
17/04/2008  0     Nulo    37     10 
18/04/2008  0     Nulo    42     10 
19/04/2008  0     Nulo    41     11 
20/04/2008  0     Nulo    40     11 
21/04/2008  0     Nulo    41     12 
22/04/2008  0     Nulo    41     13 
23/04/2008  0     Nulo    40     14 
24/04/2008  0     Nulo    39     14 
25/04/2008  0     Nulo    45     10 
26/04/2008  0     Nulo    42     11 
27/04/2008  0     Nulo    41     12 
28/04/2008  0     Nulo    41     14 
29/04/2008  0     Nulo    39     14 
30/04/2008  0     Nulo    38     12 
01/05/2008  0     Nulo    39     11 
02/05/2008  0     Nulo    39     10 
03/05/2008  0     Nulo    42     11 
04/05/2008  0     Nulo    41     13 
05/05/2008  0     Nulo    41     14 
06/05/2008  0     Nulo    40     16 
07/05/2008  0     Nulo    38     15 
08/05/2008  0     Nulo    38     14 
09/05/2008  0     Nulo    39     14 
10/05/2008  0     Nulo    39     15 
11/05/2008  0     Nulo    40     16 
12/05/2008  0     Nulo    39     17 
13/05/2008  0     Nulo    39     14 
14/05/2008  0     Nulo    40     13 
15/05/2008  0     Nulo    40     14 
16/05/2008  0     Nulo    40     15 
17/05/2008  0     Nulo    39     15 
18/05/2008  0     Nulo    40     13 
19/05/2008  0     Nulo    38     12 
20/05/2008  0     Nulo    38     13 
21/05/2008  0     Nulo    37     14 
22/05/2008  0     Nulo    35     14 
23/05/2008  0     Nulo    37     10 
24/05/2008  0     Nulo    40     11 
25/05/2008  0     Nulo    39     13 
26/05/2008  0     Nulo    40     15 
27/05/2008  0     Nulo    37     15 
28/05/2008  0     Nulo    40     15 
29/05/2008  0     Nulo    41     18 
30/05/2008  0     Nulo    39     15 
31/05/2008  3     Nulo    41     16 
01/06/2008  0     Nulo    39     16 
02/06/2008  0     Nulo    42     16 
03/06/2008  0     Nulo    40     16 
04/06/2008  0     Nulo    36     15 
05/06/2008  0     Nulo    37     15 
06/06/2008  5.2   Nulo    38     14 
07/06/2008  0     Nulo    38     15 
08/06/2008  3     Nulo    39     17 
09/06/2008  10.5  Nulo    35     19 
10/06/2008  31    Nulo    27     18 
11/06/2008  0.6   Nulo    31     15 
12/06/2008  3.5   Nulo    32     16 
13/06/2008  0     Nulo    35     17 
14/06/2008  2.5   Nulo    36     18 
15/06/2008  6.5   Nulo    36     16 
16/06/2008  0     Nulo    37     16 
17/06/2008  0.5   Nulo    38     15 
18/06/2008  0     Nulo    39     15 
19/06/2008  11.5  Nulo    38     16 
20/06/2008  0     Nulo    39     17 
21/06/2008  1.9   Nulo    38     19 
22/06/2008  7.5   Nulo    36     18 
23/06/2008  2.6   Nulo    37     16 
24/06/2008  1.7   Nulo    36     17 
25/06/2008  0     Nulo    35     15 
26/06/2008  0     Nulo    37     16 
27/06/2008  0     Nulo    36     17 
28/06/2008  2     Nulo    37     18 
29/06/2008  1.5   Nulo    38     17 
30/06/2008  13.5  Nulo    37     17 
01/07/2008  0     Nulo    29     17 
02/07/2008  17.5  Nulo    32     18 
03/07/2008  11    Nulo    32     18 
04/07/2008  2.2   Nulo    35     17 
05/07/2008  36    Nulo    37     18 
06/07/2008  48    Nulo    35     18 
07/07/2008  3.5   Nulo    30     18 
08/07/2008  8.4   Nulo    30     17 
09/07/2008  1.5   Nulo    31     17 
10/07/2008  10.5  Nulo    35     16 
