CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14122
NOMBRE    : SAN BERNARDO
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.632°
LONGITUD  : -102.391°
ALTITUD   : 1,800 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      4.9    25.5   1.5 
02/02/2008  0      4      26.5   1 
03/02/2008  0      3.4    26     1 
04/02/2008  0      5.6    25.5   1 
05/02/2008  0      5.2    25.5   1 
06/02/2008  0      4.2    26    -0.5 
07/02/2008  0      5.3    24.5   0 
08/02/2008  0      4      26     1 
09/02/2008  0      5.1    26.5   1 
10/02/2008  0      2.5    26.5   5 
11/02/2008  0      5.5    22     7 
12/02/2008  0      2.4    24.5   3.5 
13/02/2008  0      5.2    25     2.5 
14/02/2008  0      4.4    25.5   2 
15/02/2008  0      4      27     0 
16/02/2008  0      3.7    27.5   0 
17/02/2008  0      7.1    28.5  -0.5 
18/02/2008  0      5.9    28.5  -0.5 
19/02/2008  0      5.8    28     0 
20/02/2008  0      6.1    28.5   0 
21/02/2008  0      6.6    26     0.5 
22/02/2008  0      6.8    27.5   1.5 
23/02/2008  0      4.6    30     0 
24/02/2008  0      5.5    31.5   0.5 
25/02/2008  0      6.4    31     1.5 
26/02/2008  0      5.8    30     2.5 
27/02/2008  0      7.6    25.5   2.5 
28/02/2008  0      5      26.5   3.5 
29/02/2008  0      6.3    27     3.5 
01/03/2008  0      5.3    28.5   3.5 
02/03/2008  0      6      27     4.5 
03/03/2008  0      8.9    27.5   3 
04/03/2008  0      8.8    27     3 
05/03/2008  0      5.1    27.5   2.5 
06/03/2008  0      10.6   24.5   0.5 
07/03/2008  0      7.9    24.5  -1.5 
08/03/2008  0      6.6    23.5  -1.5 
09/03/2008  0      6.7    25    -1.5 
10/03/2008  0      13     26.5   0 
11/03/2008  0      6.2    27.5   1 
12/03/2008  0      5.1    27.5   3.5 
13/03/2008  0      8.4    27.5   3.5 
14/03/2008  0      8.9    29    -0.5 
15/03/2008  0      6.7    30     0 
16/03/2008  0      7.2    28.5   4 
17/03/2008  0      7.2    27.5   5 
18/03/2008  0      10.1   26     7.5 
19/03/2008  0      11.6   24     4.5 
20/03/2008  0      6.2    26.5   4 
21/03/2008  0      6.5    28.5   4.5 
22/03/2008  0      6.7    29.5   6 
23/03/2008  0      8.7    29.5   6 
24/03/2008  0      8      25.5   8.5 
25/03/2008  0      5.6    27     7 
26/03/2008  0      5.4    29.5   6.5 
27/03/2008  0      7.9    30.5   6.5 
28/03/2008  0      7.4    31     5 
29/03/2008  0      8.5    28     6 
30/03/2008  0      9.5    32     4.5 
31/03/2008  0      10.6   33.5   4.5 
01/04/2008  0      8.8    34.5   5 
02/04/2008  0      4.9    33     5.5 
03/04/2008  0      6.4    34     7 
04/04/2008  0      9.2    33     6.5 
05/04/2008  0      11.4   31     3 
06/04/2008  0      10.2   30.5   2 
07/04/2008  0      8.1    32     1.5 
08/04/2008  0      8.2    32.5   2.5 
09/04/2008  0      10.2   32.5   4 
10/04/2008  0      8.9    32.5   2.5 
11/04/2008  0      9.5    32.5   3 
12/04/2008  0      3.9    33     5 
13/04/2008  3.5    8      33     9 
14/04/2008  0      5.3    26     10 
15/04/2008  0      6.7    28     10 
16/04/2008  0      5.8    30     10 
17/04/2008  0      8.2    31.5   7 
18/04/2008  0      8.2    33     2 
19/04/2008  0      8.3    33     2.5 
20/04/2008  0      9.3    33.5   8 
21/04/2008  0      7.8    35     7 
22/04/2008  0      8.6    26     7.5 
23/04/2008  0      11.7   36     8.5 
24/04/2008  0      4.7    33.5   9 
25/04/2008  0      9.7    34     7.5 
26/04/2008  0      10.9   33.5   6.5 
27/04/2008  0      9.4    32.5   7 
28/04/2008  0      10.2   30     9 
29/04/2008  0      7.7    30     10.5 
30/04/2008  0      6.8    30.5   7 
01/05/2008  0      9.7    30.5   5.5 
02/05/2008  0      9      32.5   4.5 
03/05/2008  0      4.7    32.5   6 
04/05/2008  0      9.7    33     7 
05/05/2008  0      8.1    31.5   9.5 
06/05/2008  0      8.2    33     10.5 
07/05/2008  0      9.3    32.5   11 
08/05/2008  0      8.1    35     9 
09/05/2008  0      8.4    35.5   9 
10/05/2008  0      8.4    36.5   10.5 
11/05/2008  0      10.2   36     12.5 
12/05/2008  8.3    9.2    34.5   12.5 
13/05/2008  0      9.7    31.5   12.5 
14/05/2008  0      9.4    31.5   13 
15/05/2008  0      6.3    26     14 
16/05/2008  0      5.1    30.5   14 
17/05/2008  0      9.4    30     11 
18/05/2008  0      10     39.5   12 
19/05/2008  0      8      29     15 
20/05/2008  0      8      39.5   11 
21/05/2008  0      7.4    30     10.5 
22/05/2008  0      8.3    29.5   11 
23/05/2008  0      10.3   31     7.5 
24/05/2008  0      6.4    33     7.5 
25/05/2008  0      9.4    34     8.5 
26/05/2008  0      10.5   32     12.5 
27/05/2008  0      10.3   33.5   15.5 
28/05/2008  0      9.6    31.5   13.5 
29/05/2008  0      10.9   30.5   12 
30/05/2008  0      10     31.5   11 
31/05/2008  0      10.4   32.5   13.5 
01/06/2008  0      9      33.5   12.5 
02/06/2008  0      9.6    34     11.5 
03/06/2008  0      11.7   34     12 
04/06/2008  0      9.8    35     14 
05/06/2008  0      9.9    35     14 
06/06/2008  4.1    9.3    34     13.5 
07/06/2008  0      5.8    30     14.5 
08/06/2008  68.8   4.7    28     16 
09/06/2008  71.8   9.5    22.5   16.5 
10/06/2008  17.1   6      21.5   15 
11/06/2008  1.5    7.8    22     15 
12/06/2008  0      1.2    27.5   10.5 
13/06/2008  0      5.4    29     11 
14/06/2008  0      6.7    29     14 
15/06/2008  0      4.9    29     14.5 
16/06/2008  0      6      29.5   14 
17/06/2008  2.2    7.2    33.5   14 
18/06/2008  0      4.9    31     14.5 
19/06/2008  0      7.8    31.5   14 
20/06/2008  0      7.6    32.5   15 
21/06/2008  1.2    8.9    30     14.5 
22/06/2008  0      6.8    28.5   16 
23/06/2008  2.5    9.3    30     13 
24/06/2008  0      4.5    29.5   10 
25/06/2008  0      8.8    30     14 
26/06/2008  0      8.2    31     12.5 
27/06/2008  1.6    6.7    30.5   13.5 
28/06/2008  0      5.6    31     13.5 
29/06/2008  0      7.3    27.5   14 
30/06/2008  4.5    5.1    25     15.5 
01/07/2008  21.1   3.1    24     15 
02/07/2008  7.5    2.9    24.5   15.5 
03/07/2008  30.1   3.8    24.5   15.5 
04/07/2008  4.5    4.1    26     15.5 
05/07/2008  50.5   3.1    26     15.5 
06/07/2008  11.9   5      26     15 
07/07/2008  16.5   2.4    24.5   15 
08/07/2008  13.1   2.4    21.5   15.5 
09/07/2008  1.1    2.3    21     15.5 
10/07/2008  12.4   1.8    24     15.5 
11/07/2008  5.3    3.4    23     15.5 
12/07/2008  1.7    1.8    23     15 
13/07/2008  0      2.7    27     14 
14/07/2008  9.1    6.4    26.5   14.5 
15/07/2008  0      5      27.5   14 
16/07/2008  0      5.7    28     13.5 
17/07/2008  0      6.2    28.5   12.5 
18/07/2008  0      6.1    26.5   12.5 
19/07/2008  0      6      25     15.5 
20/07/2008  0      3.3    27.5   13.5 
21/07/2008  0      5.4    25.5   13 
22/07/2008  0      4.3    27.5   9.5 
23/07/2008  9.7    6.1    28.5   10 
24/07/2008  0      3.8    28.5   15 
25/07/2008  6.5    4      24.5   15 
26/07/2008  0      3.7    26     13.5 
27/07/2008  0      4.6    25.5   12 
28/07/2008  20.5   3.9    30.5   12 
29/07/2008  47.7   10     27     13 
30/07/2008  2.5    9.1    27     14.5 
31/07/2008  3.6    5      27     14.5 
01/08/2008  0      4.5    26     14 
02/08/2008  0      4.6    27     15 
03/08/2008  0      5.8    25     14 
04/08/2008  0      4.2    27.5   14 
05/08/2008  2.2    5.1    28     13 
06/08/2008  0      5.8    27.5   13 
07/08/2008  0      6.7    25.5   14 
08/08/2008  21.5   3      27     14 
09/08/2008  0      2.6    26     14 
10/08/2008  0      4.5    27.5   13 
11/08/2008  0      4.7    29.5   13.5 
12/08/2008  31.3   6.8    27     14.5 
13/08/2008  0      4.7    27.5   13 
14/08/2008  23.1   6.5    27.5   13.5 
15/08/2008  5.5    4.6    26.5   14 
16/08/2008  0      6      27     14 
17/08/2008  12.1   4.9    26.5   14.5 
18/08/2008  15.3   5.8    25.5   14 
19/08/2008  35.9   3.7    25     14.5 
20/08/2008  1.3    6      25     15.5 
21/08/2008  4.1    0.7    24.5   16 
22/08/2008  20.5   5.5    24.5   15 
23/08/2008  0      3      24.5   15 
24/08/2008  12.2   4.7    25     15 
25/08/2008  4.4    3.8    22.5   15 
26/08/2008  2.5    2.8    21.5   15 
27/08/2008  14.8   1.5    23     15.5 
28/08/2008  25.3   2.7    25     16.5 
29/08/2008  0      5.1    25     16 
30/08/2008  0      2.1    25     15 
31/08/2008  0      3      26     14 
01/09/2008  0      4.1    27     13 
02/09/2008  0      4      27.5   13.5 
03/09/2008  0      3.9    28     14.5 
04/09/2008  0      6.4    26.5   14 
05/09/2008  0      5      26.5   13 
06/09/2008  0      5.4    26     13.5 
07/09/2008  1.5    6.6    24.5   15 
08/09/2008  34.9   2.3    22.5   15 
09/09/2008  0      4.2    23.5   15.5 
10/09/2008  0      1.9    26.5   16 
11/09/2008  1.1    2.9    28     16.5 
12/09/2008  1.5    3.1    26     15 
13/09/2008  1.5    4.6    27     15 
14/09/2008  41.1   3      22.5   15.5 
15/09/2008  5.9    5      20.5   14 
16/09/2008  0      0.2    21.5   14.5 
17/09/2008  0      3.2    24     15 
18/09/2008  0      4.2    25     12 
19/09/2008  0      4.2    25     12 
20/09/2008  0      3.4    24.5   13 
21/09/2008  0      5.4    24.5   13 
22/09/2008  0      3.2    22.5   13 
23/09/2008  0      1.9    24.5   12 
24/09/2008  0      3.3    24.5   12.5 
25/09/2008  0      3.3    21.5   14 
26/09/2008  0      3.6    22.5   12.5 
27/09/2008  0      3.9    24.5   10.5 
28/09/2008  0      4.1    24.5   10.5 
29/09/2008  0      4.8    23.5   8.5 
30/09/2008  0      3.7    24.5   8 
01/10/2008  0      6.7    24.5   7 
02/10/2008  0      4.1    24.5   5 
