CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14123
NOMBRE    : SAN DIEGO DE ALEJANDRIA
ESTADO    : JALISCO
MUNICIPIO : SAN DIEGO DE ALEJANDRIA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.994°
LONGITUD  : -101.994°
ALTITUD   : 1,960 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      2.1    29     5 
02/02/2008  0      2.1    27     7 
03/02/2008  0      2.1    27     8 
04/02/2008  0      2.1    21     8 
05/02/2008  0      4.4    23     4 
06/02/2008  0      2.1    28     5 
07/02/2008  0      2.1    26     6 
08/02/2008  0      2      27     5 
09/02/2008  0      2      28     7 
10/02/2008  0      2      23     10 
11/02/2008  0      6.8    22     9 
12/02/2008  0      3.8    23     10 
13/02/2008  0      0.8    26     7 
14/02/2008  0      5.7    27     8 
15/02/2008  0      3.1    28     6 
16/02/2008  0      1      28     7 
17/02/2008  0      12.1   28     11 
18/02/2008  0      5.6    28     15 
19/02/2008  0      5.3    29     6 
20/02/2008  0      4.3    27     7 
21/02/2008  0      4.9    27     8 
22/02/2008  0      8.3    29     7 
23/02/2008  0      4.4    32     7 
24/02/2008  0      1      33     8 
25/02/2008  0      5.5    31     9 
26/02/2008  0      3      28     6 
27/02/2008  0      4.3    33     9 
28/02/2008  0      3.9    25     7 
29/02/2008  0      3.9    25     3 
01/03/2008  0     Nulo    27     10 
02/03/2008  0     Nulo    29     10 
03/03/2008  0     Nulo    27     10 
04/03/2008  0     Nulo    27     9 
05/03/2008  0     Nulo    27     5 
06/03/2008  0     Nulo    27     3 
07/03/2008  0      5.3    24     6 
08/03/2008  0      8.5    27     12 
09/03/2008  0      5.9    25     11 
10/03/2008  0      4.5    23     10 
11/03/2008  0      2.3    24     10 
12/03/2008  0      4.6    27     10 
13/03/2008  0      13.8   23     7 
14/03/2008  0      6.8    30     10 
15/03/2008  0      6.7    32     9 
16/03/2008  0      9.9    30     10 
17/03/2008  0      6.7    28     15 
18/03/2008  0      5.3    26     13 
19/03/2008  0      6.3    27     12 
20/03/2008  0     Nulo    27     12 
21/03/2008  0     Nulo    27     10 
22/03/2008  0     Nulo    28     12 
23/03/2008  0     Nulo    27     13 
24/03/2008  0     Nulo    26     13 
25/03/2008  0      4.5    30     12 
26/03/2008  0      16     30     11 
27/03/2008  0      7.8    31     11 
28/03/2008  0      7.6    31     12 
29/03/2008  0      14.9   31     10 
30/03/2008  0      11.8   32     10 
31/03/2008  0      11.8   32     10 
01/04/2008  0      1.8    36     10 
02/04/2008  0      12.8   34     12 
03/04/2008  0      13.1   34     12 
04/04/2008  0      5.2    35     12 
05/04/2008  0      6.9    32     10 
06/04/2008  0      6.9    31     12 
07/04/2008  0      9.9    33     12 
08/04/2008  0      9.4    33     11 
09/04/2008  0      5.5    33     12 
10/04/2008  0      10.4   33     12 
11/04/2008  0     Nulo    34     10 
12/04/2008  0     Nulo    31     13 
13/04/2008  0     Nulo    29     13 
14/04/2008  0     Nulo    27     10 
15/04/2008  0     Nulo    28     12 
16/04/2008  0     Nulo    29     12 
17/04/2008  0     Nulo    29     13 
18/04/2008  0     Nulo    33     13 
19/04/2008  0     Nulo    33     10 
20/04/2008  0      8.2    33     13 
21/04/2008  0      6.8    36     13 
22/04/2008  0      9.9    36     13 
23/04/2008  0      9.3    35     14 
24/04/2008  0      9.5    34     16 
25/04/2008  0      6.8    34     14 
26/04/2008  0     Nulo    34     12 
27/04/2008  0     Nulo    32     14 
28/04/2008  0.6   Nulo    31     15 
29/04/2008  0     Nulo    29     14 
30/04/2008  0     Nulo    29     12 
01/05/2008  0      1.8    31     13 
02/05/2008  0      12.8   31     13 
03/05/2008  0     Nulo    34     13 
04/05/2008  0     Nulo    33     14 
05/05/2008  0     Nulo    32     13 
06/05/2008  0     Nulo    32     17 
07/05/2008  0     Nulo    33     15 
08/05/2008  0     Nulo    33     16 
09/05/2008  0      10.3   34     16 
10/05/2008  0      5.8    35     15 
11/05/2008  0     Nulo    31     16 
12/05/2008  0     Nulo    31     17 
13/05/2008  0     Nulo    34     17 
14/05/2008  0     Nulo    35     16 
15/05/2008  0      6.8    37     17 
16/05/2008  0      4.1    31     13 
17/05/2008  0      2.8    37     15 
18/05/2008  0      1.4    30     15 
19/05/2008  0     Nulo    29     14 
20/05/2008  0     Nulo    30     14 
21/05/2008  0     Nulo    32     14 
22/05/2008  0      9.9    29     16 
23/05/2008  0      4.3    29     13 
24/05/2008  0      9.5    31     13 
25/05/2008  0      8.4    33     13 
26/05/2008  0      7.2    35     16 
27/05/2008  0      8.9    33     18 
28/05/2008  0      7.9    33     16 
29/05/2008  0      8.6    33     14 
30/05/2008  6     Nulo    33     12 
31/05/2008  25    Nulo    33     12 
01/06/2008  0     Nulo    33     14 
02/06/2008  0     Nulo    34     13 
03/06/2008  0     Nulo    34     13 
04/06/2008  0     Nulo    34     14 
05/06/2008  2.7   Nulo    35     16 
06/06/2008  8.7   Nulo    33     15 
07/06/2008  22.2  Nulo    33     20 
08/06/2008  0     Nulo    30     16 
09/06/2008  24.3  Nulo    27     17 
10/06/2008  18.4  Nulo    27     15 
11/06/2008  12.5  Nulo    22     15 
