CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14125
NOMBRE    : SAN GREGORIO
ESTADO    : JALISCO
MUNICIPIO : MIXTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.621°
LONGITUD  : -104.568°
ALTITUD   : 1,640 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      2.2    22     0 
02/02/2008  0      1.1    23    -2 
03/02/2008  0      1.2    24    -1 
04/02/2008  0      2.2    24    -1 
05/02/2008  0      2.3    25    -1 
06/02/2008  0      3      22    -3 
07/02/2008  0      1.2    24    -2 
08/02/2008  0      2.5    24    -1 
09/02/2008  0      2.2    25    -2 
10/02/2008  0      3.1    24    -1 
11/02/2008  0      2.5    24    -1 
12/02/2008  0      2.3    22    -1 
13/02/2008  0      1.2    23    -2 
14/02/2008  0      1.5    24    -3 
15/02/2008  0      2.2    24    -3 
16/02/2008  0      2.2    25    -2 
17/02/2008  0      3.3    25    -2 
18/02/2008  0      3.2    25    -2 
19/02/2008  0      3.2    24    -3 
20/02/2008  0      2.2    24    -4 
21/02/2008  0      2.3    25    -3 
22/02/2008  0      3.3    26    -2 
23/02/2008  0      4.2    26    -2 
24/02/2008  0      4.2    27    -2 
25/02/2008  0      5.4    27    -1 
26/02/2008  0      5.2    26    -2 
27/02/2008  0      4.2    26    -1 
28/02/2008  0      4.1    24     0 
29/02/2008  0      2      25    -1 
01/03/2008  0      3.3    26     1 
02/03/2008  0      4.3    25     1 
03/03/2008  0      3.2    24     3 
04/03/2008  0      2.1    22     1 
05/03/2008  0      1.8    26     2 
06/03/2008  0      3      25    -2 
07/03/2008  0      3.4    24    -6 
08/03/2008  0      2.2    21    -4 
09/03/2008  0      7.8    24    -4 
10/03/2008  0      2.2    26    -1 
11/03/2008  0      3.6    24    -2 
12/03/2008  0      2.3    25     0 
13/03/2008  0      3.1    25    -1 
14/03/2008  0      3.3    25    -2 
15/03/2008  0      3.3    25    -1 
16/03/2008  0      3.2    25    -2 
17/03/2008  0      3.1    26    -1 
18/03/2008  0      4.3    25    -3 
19/03/2008  0      2.1    25    -2 
20/03/2008  0      3.2    25     0 
21/03/2008  0      3.2    26    -1 
22/03/2008  0      4.2    27    -1 
23/03/2008  0      5.3    25     0 
24/03/2008  0      3.3    26     0 
25/03/2008  0      4.2    26     1 
26/03/2008  0      4.1    27     2 
27/03/2008  0      5      26     2 
28/03/2008  0      4.7    26     0 
29/03/2008  0      4.2    26     1 
30/03/2008  0      4.2    26     0 
31/03/2008  0      4.3    27     1 
01/04/2008  0      5.2    28     1 
02/04/2008  0      6.4    30     2 
03/04/2008  0      7.4    30     3 
04/04/2008  0      7.1    29     2 
05/04/2008  0      6.4    28     3 
06/04/2008  0      6.2    28     2 
07/04/2008  0      6.4    28     3 
08/04/2008  0      6.3    27     3 
09/04/2008  0      5.2    27     0 
10/04/2008  0      5.3    28     1 
11/04/2008  0      6.1    28     2 
12/04/2008  0      6.4    28     3 
13/04/2008  8.8    6.3    27     7 
14/04/2008  0      5.1    27     8 
15/04/2008  0      5.2    26     7 
16/04/2008  0      4.2    28     7 
17/04/2008  0      6.8    29     4 
18/04/2008  0      5.1    30     3 
19/04/2008  0      6.2    28     1 
20/04/2008  0      6.1    30     4 
21/04/2008  0      8.1    31     4 
22/04/2008  0      8.6    32     5 
23/04/2008  0      9.3    29     6 
24/04/2008  0      7.1    28     6 
25/04/2008  0      6.5    30     2 
26/04/2008  0      7.4    29     4 
27/04/2008  0      7.1    28     4 
28/04/2008  0      6.3    28     4 
29/04/2008  0      6.2    27     6 
30/04/2008  0      5.2    27     5 
01/05/2008  0      7.2    28     2 
02/05/2008  0      6.3    27     2 
03/05/2008  0      5.2    28     2 
04/05/2008  0      6.2    28     5 
05/05/2008  0      6.3    28     4 
06/05/2008  0      6.1    28     8 
07/05/2008  0      6.3    26     7 
08/05/2008  0      4.2    27     7 
09/05/2008  0      5.3    28     6 
10/05/2008  0      6.2    29     7 
11/05/2008  0      2.4    29     8 
12/05/2008  0      7.2    30     6 
13/05/2008  0      8.1    30     6 
14/05/2008  0      8.4    28     7 
15/05/2008  0      6.3    27     10 
16/05/2008  0      5.3    26     8 
17/05/2008  0      4.4    27     6 
18/05/2008  0      5.3    26     2 
19/05/2008  0      4.2    26     7 
20/05/2008  0      4.2    24     8 
21/05/2008  0      2.2    24     8 
22/05/2008  0      2.3    24     9 
23/05/2008  0      2.3    26     1 
24/05/2008  0      1.1    28     3 
25/05/2008  0      6.2    28     6 
26/05/2008  0      6.3    28     8 
27/05/2008  4.2    6.2    27     9 
28/05/2008  0      5.6    27     1.2 
29/05/2008  0      6.7    26     10 
30/05/2008  0      4.3    26     11 
31/05/2008  3.2    4.4    26     12 
01/06/2008  0      6.3    28     9 
02/06/2008  0      6.4    30     8 
03/06/2008  0      8.1    30     8 
04/06/2008  0      8.4    29     9 
05/06/2008  0      2.2    26     10 
06/06/2008  4.5    4.5    27     8 
07/06/2008  3.8    5.1    26     9 
08/06/2008  10.2   3.2    24     14 
09/06/2008  20.2   2.3    24     13 
10/06/2008  7.8    2.2    18     14 
11/06/2008  3.2    1.2    22     12 
12/06/2008  0      1.8    20     13 
13/06/2008  5.5    1      25     13 
14/06/2008  20.2   3.3    22     15 
15/06/2008  37.3   7.4    24     12 
16/06/2008  0      2.3    25     12 
17/06/2008  10.2   3.4    25     11 
18/06/2008  0      3.4    25     13 
19/06/2008  0      3.7    26     12 
20/06/2008  6.8    4.1    26     13 
21/06/2008  1.3    4.5    25     13 
22/06/2008  7.8    3.3    24     15 
23/06/2008  0      2.5    24     13 
24/06/2008  20.2   2.4    24     14 
25/06/2008  24.5   2.2    24     13 
26/06/2008  3.6    2.5    24     11 
27/06/2008  42.3   2.1    24     14 
28/06/2008  25.8   2.3    25     14 
29/06/2008  12.8   3.5    24     13 
30/06/2008  0      2.2    24     12 
01/07/2008  4.2    2.5    22     11 
02/07/2008  6.2    1.9    24     15 
03/07/2008  3.2    2.2    20     13 
04/07/2008  13.8   1.2    24     13 
05/07/2008  18.4   2.3    22     13 
06/07/2008  29.4   1.5    22     14 
07/07/2008  6.2    1.4    20     14 
08/07/2008  19.5   1      20     14 
09/07/2008  16.3   1.1    20     14 
10/07/2008  15.3   1.2    22     13 
11/07/2008  0      1.5    22     13 
12/07/2008  35.5   1.1    24     12 
13/07/2008  12.1   2.4    24     11 
14/07/2008  0      2.1    24     12 
15/07/2008  16.2   2.4    24     12 
16/07/2008  0      2.3    22     11 
17/07/2008  0      1.1    24     11 
18/07/2008  0      2.6    24     12 
19/07/2008  0      2.2    23     11 
20/07/2008  6.5    1.3    25     12 
21/07/2008  0      3.5    24     12 
22/07/2008  5.5    2.5    24     12 
23/07/2008  4.4    2.4    25     12 
24/07/2008  22.5   3.4    25     15 
25/07/2008  24.5   3.5    24     13 
26/07/2008  0      3.1    24     14 
27/07/2008  0      2.5    24     11 
28/07/2008  2.3    2.2    25     10 
29/07/2008  0      3.3    24     13 
30/07/2008  9.6    2.2    25     12 
31/07/2008  0      3.6    24     13 
01/08/2008  0      2.1    25     12 
02/08/2008  0      3.5    24     13 
03/08/2008  0      2.2    25     12 
04/08/2008  0.2    3.3    24     12 
05/08/2008  5.2    2.2    24     11 
06/08/2008  47.8   3      24     12 
07/08/2008  0      2.2    24     12 
08/08/2008  15.5   2.2    24     10 
09/08/2008  13.5   2.5    25     11 
10/08/2008  7.2    3.4    24     10 
11/08/2008  0      2.4    25     12 
12/08/2008  11.2   3.2    22     11 
13/08/2008  0      1.2    24     13 
14/08/2008  4.2    2.4    25     13 
15/08/2008  11     3.6    25     15 
16/08/2008  14.2   3.2    23     12 
17/08/2008  0      1.3    24     15 
18/08/2008  17.8   2.4    24     13 
19/08/2008  5.5    2.3    24     12 
20/08/2008  4.1    2.6    24     13 
21/08/2008  8.8    2.2    22     12 
22/08/2008  4.5    1.1    22     12 
23/08/2008  6.6    1.4    21     14 
24/08/2008  0      1.1    24     10 
25/08/2008  12.4   2.4    24     13 
26/08/2008  15.2   2.4    21     12 
27/08/2008  3.1    1.1    21     14 
28/08/2008  0      1.1    22     13 
29/08/2008  10.2   1.3    21     14 
30/08/2008  0      1.2    24     12 
31/08/2008  0      2.5    25     12 
01/09/2008  2.3    3.3    25     12 
02/09/2008  49.6   3.3    24     13 
03/09/2008  1.6    2.3    25     14 
04/09/2008  0      3.2    25     12 
05/09/2008  2.2    3.6    25     10 
06/09/2008  38.2   3.3    24     12 
07/09/2008  30.3   2.2    20     16 
