CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14132
NOMBRE    : TLAQUEPAQUE
ESTADO    : JALISCO
MUNICIPIO : SAN PEDRO TLAQUEPAQUE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0020.638°
LONGITUD  : -103.311°
ALTITUD   : 1,540 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0     Nulo    28     10 
02/02/2008  0     Nulo    28     10.5 
03/02/2008  0     Nulo    27     11 
04/02/2008  0     Nulo    27     10.5 
05/02/2008  0     Nulo    28     10.5 
06/02/2008  0     Nulo    28     11 
07/02/2008  0     Nulo    25     10.5 
08/02/2008  0     Nulo    26     11 
09/02/2008  0     Nulo    29     11 
10/02/2008  0     Nulo    28     11.5 
11/02/2008  0     Nulo    26     11 
12/02/2008  0     Nulo    25     11.5 
13/02/2008  0     Nulo    22.5   10.5 
14/02/2008  0     Nulo    26     10.5 
15/02/2008  0     Nulo    28     11 
16/02/2008  0     Nulo    29     10 
17/02/2008  0     Nulo    28     10 
18/02/2008  0     Nulo    28     10.5 
19/02/2008  0     Nulo    29     9.5 
20/02/2008  0     Nulo    28     10 
21/02/2008  0     Nulo    28     12 
22/02/2008  0     Nulo    29.5   11.5 
23/02/2008  0     Nulo    31     10.5 
24/02/2008  0     Nulo    33     11 
25/02/2008  0     Nulo    32     11 
26/02/2008  0     Nulo    31.5   11.5 
27/02/2008  0     Nulo    28     11 
28/02/2008  0     Nulo    28     10.5 
29/02/2008  0     Nulo    29.5   11 
01/03/2008  0     Nulo    30     13 
02/03/2008  0     Nulo    29     13.5 
03/03/2008  0     Nulo    28     11 
04/03/2008  0     Nulo    29     12 
05/03/2008  0     Nulo    27     12 
06/03/2008  0     Nulo    25     10.5 
07/03/2008  0     Nulo    25     8 
08/03/2008  0     Nulo    31     8 
09/03/2008  0     Nulo    25     8.5 
10/03/2008  0     Nulo    28     9.5 
11/03/2008  0     Nulo    29.5   9.5 
12/03/2008  0     Nulo    30     10.5 
13/03/2008  0     Nulo    28.5   12 
14/03/2008  0     Nulo    30     11 
15/03/2008  0     Nulo    32     12 
16/03/2008  0     Nulo    30     13 
17/03/2008  0     Nulo    30     14 
18/03/2008  0     Nulo    27     12 
19/03/2008  0     Nulo    28     9 
20/03/2008  0     Nulo    29     10 
21/03/2008  0     Nulo    30     11 
22/03/2008  0     Nulo    31     13 
23/03/2008  0     Nulo    30     14 
24/03/2008  0     Nulo    28     12 
25/03/2008  0     Nulo    25.5   13.5 
26/03/2008  0     Nulo    30.5   14 
27/03/2008  0     Nulo    30.5   15 
28/03/2008  0     Nulo    32     14 
29/03/2008  0     Nulo    33     11.5 
30/03/2008  0     Nulo    33     11 
31/03/2008  0     Nulo    33     15 
01/04/2008  0     Nulo    34     15 
02/04/2008  0     Nulo    35     16 
03/04/2008  0     Nulo    33     15 
04/04/2008  0     Nulo    35     15 
05/04/2008  0     Nulo    30     15 
06/04/2008  0     Nulo    30     15 
07/04/2008  0     Nulo    33     15 
08/04/2008  0     Nulo    33     15 
09/04/2008  0     Nulo    33     15.5 
10/04/2008  0     Nulo    37     14.5 
11/04/2008  0     Nulo    35     14 
12/04/2008  0     Nulo    35     15 
13/04/2008  0     Nulo    35     16.5 
14/04/2008  0     Nulo    27     16 
15/04/2008  0     Nulo    31     16 
16/04/2008  0     Nulo    32     15 
17/04/2008  0     Nulo    31     16 
18/04/2008  0     Nulo    34     14.5 
19/04/2008  0     Nulo    35     15 
20/04/2008  0     Nulo    34     17 
21/04/2008  0     Nulo    35     17 
22/04/2008  0     Nulo    30     17 
23/04/2008  0     Nulo    32     17 
24/04/2008  0     Nulo    33     18 
25/04/2008  0     Nulo    35     18 
26/04/2008  0     Nulo    34     17.5 
27/04/2008  0     Nulo    35     17 
28/04/2008  0     Nulo    33     16 
29/04/2008  0     Nulo    32     16 
30/04/2008  0     Nulo    32     16.5 
01/05/2008  0     Nulo    32     15.5 
02/05/2008  0     Nulo    33     15 
03/05/2008  0     Nulo    35     15.5 
