CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14136
NOMBRE    : SANTA ROSA
ESTADO    : JALISCO
MUNICIPIO : AMATITAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.906°
LONGITUD  : -103.726°
ALTITUD   : 1,059 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0      6      36     17.5 
02/01/2008  0      6      29.5   17.5 
03/01/2008  0      3.2    29     12 
04/01/2008  0      2.3    31.5   8 
05/01/2008  0      3.1    31     9 
06/01/2008  0      3.6    34.5   8.5 
07/01/2008  0      3.7    34     9 
08/01/2008  0      3.4    33     10 
09/01/2008  0      3.7    34     9.5 
10/01/2008  0      3.5    33     9 
11/01/2008  0      4.3    33.5   9 
12/01/2008  0      3.5    32     7.5 
13/01/2008  0      3.2    33     7 
14/01/2008  0      3.4    33     7 
15/01/2008  0      3.5    29.5   10.5 
16/01/2008  0      3.3    30     10 
17/01/2008  0      2.6    28.5   7.5 
18/01/2008  0      1.2    27.5   8 
19/01/2008  0      4.7    32.5   10 
20/01/2008  0      3.1    32.5   10 
21/01/2008  0      3.8    34     11 
22/01/2008  0      4.1    33.5   11.5 
23/01/2008  0      4      37     12.5 
24/01/2008  0      4.2    37     13.5 
25/01/2008  0      3.7    36.5   14.5 
26/01/2008  0      5      35.5   15 
27/01/2008  0      4.3    37     15 
28/01/2008  0      4.9    36     14 
29/01/2008  0      4.4    34     13.5 
30/01/2008  0      4.8    35     13 
31/01/2008  0      4.5    35     13 
01/02/2008  0      4      34.5   12 
02/02/2008  0      4.8    35     12.5 
03/02/2008  0      4.7    35     13 
04/02/2008  0      4.4    34     13.5 
05/02/2008  0      5.4    34     13.5 
06/02/2008  0      5.3    34.5   11 
07/02/2008  0      4.1    33     11.5 
08/02/2008  0      4.6    35     12 
09/02/2008  0      4.7    36     12.5 
10/02/2008  0      4.8    36     13.5 
11/02/2008  0      5.5    34.5   14 
12/02/2008  0      5.9    34.5   13.5 
13/02/2008  0      5.8    34.5   12 
14/02/2008  0      6      36     12 
15/02/2008  0      5.5    36     11.5 
16/02/2008  0      5.3    36.5   11.5 
17/02/2008  0      7.1    37.5   11.5 
18/02/2008  0      5.8    37     11 
19/02/2008  0      5.8    37     11 
20/02/2008  0      5.8    36.5   12 
21/02/2008  0      5.1    35.5   12 
22/02/2008  0      6.1    37     12 
23/02/2008  0      5.9    37     12 
24/02/2008  0      6.5    41.5   12.5 
25/02/2008  0      6.3    39     12 
26/02/2008  0      7.2    39     13.5 
27/02/2008  0      6.9    39     14 
28/02/2008  0      4.2    36.5   13.5 
29/02/2008  0      6.1    37     14 
01/03/2008  0      6.5    37     15 
02/03/2008  0      7.7    37.5   15.5 
03/03/2008  0      7.3    37     12.5 
04/03/2008  0      6.9    37     13 
05/03/2008  0      7.7    36     11 
06/03/2008  0      7.9    34     11.5 
07/03/2008  0      6.1    35.5   9 
08/03/2008  0      6.7    35     9 
09/03/2008  0      6.1    35     9.5 
10/03/2008  0      6.5    35     9.5 
11/03/2008  0      5.4    35.5   12 
12/03/2008  0      7.3    38.5   12 
13/03/2008  0      6.9    38.5   14 
14/03/2008  0      7.4    37     14 
15/03/2008  0      7.1    37.5   12 
16/03/2008  0      6.9    39     12.5 
17/03/2008  0      7.1    38     13 
18/03/2008  0      7.9    34.5   15.5 
19/03/2008  0      7      36     11 
20/03/2008  0      6.9    37     11.5 
21/03/2008  0      7.7    38.5   12 
22/03/2008  0      7.1    39     14 
23/03/2008  0      7.4    39     14.5 
24/03/2008  0      6.7    37     14 
25/03/2008  0      6.8    37     15 
26/03/2008  0      7.9    38     17 
27/03/2008  0      7.9    39     16 
28/03/2008  0      10.9   40.5   14 
29/03/2008  0      10.1   40     14.5 
30/03/2008  0      7.8    41     14.5 
31/03/2008  0      9.4    41.5   14.5 
01/04/2008  0      9.6    42     15 
02/04/2008  0      8.6    41.5   16 
03/04/2008  0      9.5    42     16.5 
04/04/2008  0      9.1    42     16 
05/04/2008  0      9.8    41     16 
06/04/2008  0      8.3    39     15.5 
07/04/2008  0      9.8    40     16.5 
08/04/2008  0      9.9    41     16.5 
09/04/2008  0      12.6   40     15.5 
10/04/2008  0      11.1   40     15 
11/04/2008  0      9      40     15.5 
12/04/2008  0      9.5    40     16.5 
13/04/2008  1.8    7      42.5   17 
14/04/2008  3      6.9    38     18 
15/04/2008  0      7.9    39     19 
16/04/2008  0      8.8    40     18 
17/04/2008  0      10.2   39.5   17.5 
18/04/2008  0      9.7    40.5   15 
19/04/2008  0      9.2    42     15.5 
20/04/2008  0      9.2    42     17 
21/04/2008  0      9.8    43.5   19 
22/04/2008  0      10.2   43     18.5 
23/04/2008  0      10.4   43     18 
24/04/2008  0      10.6   42     17.5 
25/04/2008  0      10.3   42.5   18 
26/04/2008  0      9.6    42     17.5 
27/04/2008  0      10.5   41.5   17.5 
28/04/2008  0      10.3   42.5   18 
29/04/2008  0      10.1   42     18.5 
30/04/2008  0      10.2   42.5   18.5 
01/06/2008  0      10.4   43.5   24 
02/06/2008  0      10.4   43.5   24 
03/06/2008  0      10.4   43.5   24 
04/06/2008  0      9.4    41     24.5 
05/06/2008  0      9.4    40     25 
06/06/2008  3.3    8.3    40     23 
07/06/2008  1.6    6.9    39     23 
08/06/2008  1.1    7.3    38     22.5 
09/06/2008  27.5   4.1    35     23 
10/06/2008  4.1    2      31     21.5 
11/06/2008  3.4    2.8    31.5   22 
12/06/2008  0      4.8    34     21 
13/06/2008  13.2   7.3    37.5   21 
14/06/2008  0.9    7      38     23.5 
15/06/2008  17.5   5.9    38     23 
16/06/2008  3.5    6.7    35     19 
17/06/2008  0      5.8    37     20 
18/06/2008  4.2    7.6    38.5   22 
19/06/2008  0      6.7    38     22.5 
20/06/2008  4.3    6.3    37     23 
21/06/2008  48     7      36.5   21.5 
22/06/2008  0.9    3.9    33     20.5 
23/06/2008  10.5   6.9    35.5   20.5 
24/06/2008  26.3   7.2    35     21 
25/06/2008  26.1   7      35     19 
26/06/2008  3.2    5      34     18.5 
27/06/2008  17.3   6.3    35     19 
28/06/2008  0      4.8    33.5   19.5 
29/06/2008  77.2   9.8    35     20 
30/06/2008  0      3.9    33     21 
01/07/2008  0.3    3.1    33     21 
02/07/2008  1.1    3.3    33     22 
03/07/2008  0      3.2    30     22 
04/07/2008  24.5   7.9    34.5   22 
05/07/2008  4.7    4.3    32     21 
06/07/2008  24.3   4.8    33     21 
07/07/2008  44.3   2.6    30     21.5 
08/07/2008  31.5   2.7    28.5   21.5 
