CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14139
NOMBRE    : TACOTAN
ESTADO    : JALISCO
MUNICIPIO : UNION DE TULA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.033°
LONGITUD  : -104.299°
ALTITUD   : 1,330 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/04/2013  0     Nulo    34     9 
02/04/2013  0     Nulo    36     10 
03/04/2013  0     Nulo    34     11 
04/04/2013  0     Nulo    36     10 
05/04/2013  0     Nulo    32     9 
06/04/2013  0     Nulo    34     11 
07/04/2013  0     Nulo    38     10 
08/04/2013  0     Nulo    33     12 
09/04/2013  0     Nulo    36     9 
10/04/2013  0     Nulo    37     10 
11/04/2013  0     Nulo    32     11 
12/04/2013  0     Nulo    33     9 
13/04/2013  0     Nulo    35     10 
14/04/2013  0     Nulo    34     11 
15/04/2013  0     Nulo    31     9 
16/04/2013  0     Nulo    36     10 
17/04/2013  0     Nulo    32     11 
18/04/2013  0     Nulo    34     12 
19/04/2013  0     Nulo    31     10 
20/04/2013  0     Nulo    36     9 
21/04/2013  0     Nulo    32     12 
22/04/2013  0     Nulo    33     9 
23/04/2013  0     Nulo    34     11 
24/04/2013  0     Nulo    32     12 
25/04/2013  0     Nulo    31     10 
26/04/2013  0     Nulo    36     10 
27/04/2013  0     Nulo    34     11 
28/04/2013  0     Nulo    32     9 
29/04/2013  0     Nulo    35     11 
30/04/2013  0     Nulo    35     10 
01/05/2013  0     Nulo    34     9 
02/05/2013  0     Nulo    36     11 
03/05/2013  0     Nulo    34     10 
04/05/2013  0     Nulo    36     11 
05/05/2013  0     Nulo    32     12 
06/05/2013  0     Nulo    34     10 
07/05/2013  0     Nulo    37     9 
08/05/2013  0     Nulo    33     12 
09/05/2013  0     Nulo    30     10 
10/05/2013  0     Nulo    32     9 
11/05/2013  0     Nulo    34     11 
12/05/2013  0     Nulo    36     12 
13/05/2013  0     Nulo    32     10 
14/05/2013  0     Nulo    34     9 
15/05/2013  0     Nulo    32     11 
16/05/2013  0     Nulo    34     10 
17/05/2013  0     Nulo    37     9 
18/05/2013  0     Nulo    34     12 
19/05/2013  0     Nulo    35     10 
20/05/2013  0     Nulo    32     12 
21/05/2013  0     Nulo    36     10 
22/05/2013  0     Nulo    34     12 
23/05/2013  0     Nulo    31     11 
24/05/2013  0     Nulo    33     10 
25/05/2013  0     Nulo    34     10 
26/05/2013  0     Nulo    32     11 
27/05/2013  0     Nulo    34     9 
28/05/2013  0     Nulo    32     10 
