CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14140
NOMBRE    : TALPA DE ALLENDE
ESTADO    : JALISCO
MUNICIPIO : TALPA DE ALLENDE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0020.381°
LONGITUD  : -104.822°
ALTITUD   : 1,155 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.5    29     9 
02/02/2008  0      2      28     6 
03/02/2008  0      2      30.5   5 
04/02/2008  0      4      30     5 
05/02/2008  0      3.8    29     5 
06/02/2008  0      4.2    29     5 
07/02/2008  0      5.1    28     6 
08/02/2008  0      4.1    29     9 
09/02/2008  0      4.7    29     7 
10/02/2008  0      4.1    30     7 
11/02/2008  0      6.3    31     7 
12/02/2008  0      4.4    30     6 
13/02/2008  0      4.4    29     8 
14/02/2008  0      5.4    31     4.5 
15/02/2008  0      3.7    29.5   6 
16/02/2008  0      6.4    30     5 
17/02/2008  0      5.2    30     4.5 
18/02/2008  0      6.2    29     4.5 
19/02/2008  0      6.3    30     3 
20/02/2008  0      7      29.5   5 
21/02/2008  0      5.6    30     3 
22/02/2008  0      6.1    30     5 
23/02/2008  0      5.1    34     6 
24/02/2008  0      5.2    29     4.5 
25/02/2008  0      6.7    31.5   4.5 
26/02/2008  0      6.3    31     5.5 
27/02/2008  0      6.5    30.5   5.5 
28/02/2008  0      6.3    30     3.5 
29/02/2008  0      11.3   33     5 
01/03/2008  0      7.3    33     7 
02/03/2008  0      8.7    30     7 
03/03/2008  0      6.9    30     4 
04/03/2008  0      7.7    31     7 
05/03/2008  0      7.5    33     8 
06/03/2008  0      5.4    32     8 
07/03/2008  0      7.9    32     1 
08/03/2008  0      7      31     1 
09/03/2008  0      6.2    29     3 
10/03/2008  0      5.1    30     4 
11/03/2008  0      6.3    31     4 
12/03/2008  0      5.9    35.5   5.5 
13/03/2008  0      8.1    31     5.5 
14/03/2008  0      6.2    32.5   2 
15/03/2008  0      7.3    30.5   2 
16/03/2008  0      8.7    31     4 
17/03/2008  0      7.6    28     5 
18/03/2008  0      6.1    29     7 
19/03/2008  0      6.8    30     8 
20/03/2008  0      6.2    31.5   8 
21/03/2008  0      9.1    33     3 
22/03/2008  0      8      33     6 
23/03/2008  0      7      39.5   7 
24/03/2008  0      7.9    31     5 
25/03/2008  0      8.1    30.5   7 
26/03/2008  0      5.8    31     8 
27/03/2008  0      7.9    33     8 
28/03/2008  0      8.4    33     5 
29/03/2008  0      8.6    32     8 
30/03/2008  0      8.8    32     4 
31/03/2008  0      7.7    33.5   7.5 
01/04/2008  0      9.8    35     6 
02/04/2008  0      8.4    30     7.5 
03/04/2008  0      9.2    30.5   6.5 
04/04/2008  0      9.7    31     7 
05/04/2008  0      8.4    31.5   7 
06/04/2008  0      8      30.5   7.5 
07/04/2008  0      7.8    39     7 
08/04/2008  0      8.6    33     8 
09/04/2008  0      6.8    31.5   8 
10/04/2008  0      10     33     7 
11/04/2008  0      7.4    35     6 
12/04/2008  0      8      33     9 
13/04/2008  0      8.4    33     9 
14/04/2008  0.2    8.1    33     9 
15/04/2008  0      5.4    32     8 
16/04/2008  0      5.7    34     9 
17/04/2008  0      8.6    35     8 
18/04/2008  0      8.8    37.5   6 
19/04/2008  0      8.9    37     10 
20/04/2008  0      8.8    35.5   10 
21/04/2008  0      9      38     9.5 
22/04/2008  0      11.4   38     9 
23/04/2008  0      8.9    38     8.5 
24/04/2008  0      9.5    34.5   10 
25/04/2008  0      11.6   38     11 
26/04/2008  0      8.2    37     9 
27/04/2008  0      9.5    36     8.5 
28/04/2008  0      8.2    34     9 
29/04/2008  0      10.2   33     8.5 
30/04/2008  0      9.4    32.5   10 
01/05/2008  0      9.1    33.5   10.5 
02/05/2008  0      9.8    34.5   8 
03/05/2008  0      7.4    36     8 
04/05/2008  0      11.9   35.5   9 
05/05/2008  0      7.5    33     10 
06/05/2008  0      9.2    33.5   11 
07/05/2008  0      8.5    32     13 
08/05/2008  0      6.3    33     12 
09/05/2008  0      7.7    36.5   11.5 
10/05/2008  0      8.9    37     12.5 
11/05/2008  0      11.8   36     11 
12/05/2008  0      10.4   36     12 
13/05/2008  0      8.4    35     12 
14/05/2008  0      9.5    36     11 
15/05/2008  0      10.1   37.5   11 
16/05/2008  0      4.6    36     11 
17/05/2008  0      7.2    33.5   11 
18/05/2008  0      8.8    34     11.5 
19/05/2008  0      9.4    33.5   12 
20/05/2008  0      5.8    33     12 
21/05/2008  0      8.1    32     10 
22/05/2008  0      7.1    29     10 
23/05/2008  0      6.8    29.5   9 
24/05/2008  0      6.1    33     10 
25/05/2008  0      7.8    31     11 
26/05/2008  0      8.8    31.5   16 
27/05/2008  0      7.4    31     13.5 
28/05/2008  0      8.8    30.5   14 
29/05/2008  0      8.2    32.5   17 
30/05/2008  3.6    7.8    31.5   16.5 
31/05/2008  0      6.9    32     16.5 
01/06/2008  0.6    6.2    33     17 
02/06/2008  0      7      36     17 
03/06/2008  0      10.7   34     14.5 
04/06/2008  0      10.7   33     15 
05/06/2008  0      8.9    34     18 
06/06/2008  0      9.5    39.5   17 
07/06/2008  0      10.4   35     15 
08/06/2008  0      9.2    33     18 
09/06/2008  0.5    7      31.5   17.5 
10/06/2008  8.9    6.1    21.5   19 
11/06/2008  0      1.5    34     17 
12/06/2008  0      3.9    26     18 
13/06/2008  0      4.8    33     17 
14/06/2008  2.1    8.9    32     17.5 
15/06/2008  40.1   9      34     18.5 
