CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14142
NOMBRE    : TAPALPA (SMN)
ESTADO    : JALISCO
MUNICIPIO : TAPALPA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 0019.945°
LONGITUD  : -103.758°
ALTITUD   : 2,060 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.6    22     4 
02/02/2008  0      4.4    22     4 
03/02/2008  0      4.2    23     4 
04/02/2008  0      3      22     5 
05/02/2008  0      3.8    22     4 
06/02/2008  0      3.8    23     4 
07/02/2008  0      3.3    22     3 
08/02/2008  0      3.7    22     5 
09/02/2008  2      3.1    23     5 
10/02/2008  0      2.5    22     6 
11/02/2008  0      2      23     6 
12/02/2008  0      3.5    21     4 
13/02/2008  0      3.3    23     2 
14/02/2008  0      2.9    23     2 
15/02/2008  0      5.6    23     3 
16/02/2008  0      4.4    25     4 
17/02/2008  0      4.2    24     4 
18/02/2008  0      4.7    24     4 
19/02/2008  0      3.4    23     3 
20/02/2008  0      4.8    23     2 
21/02/2008  0      4.5    24     4 
22/02/2008  0      4.2    25     4 
23/02/2008  0      4.3    22     5 
24/02/2008  0      3.9    28     5 
25/02/2008  0      4.6    25     5 
26/02/2008  0      4.4    26     4 
27/02/2008  0      5.5    26     4 
28/02/2008  0      4.4    23     6 
29/02/2008  0      4.5    23     4 
01/03/2008  0      4.2    25     6 
02/03/2008  0      3.5    23     6 
03/03/2008  0      4.4    22     3 
04/03/2008  0      4.5    24     3.5 
05/03/2008  0      4.6    23     4 
06/03/2008  0      5.6    22     3 
07/03/2008  0      4.5    22     0 
08/03/2008  0      5.7    20     2 
09/03/2008  0      6      21     2.5 
10/03/2008  0      4.9    23     4 
11/03/2008  0      4.8    24     4 
12/03/2008  0      5      24     4 
13/03/2008  0      6.8    23     5 
14/03/2008  0      3.8    25     3 
15/03/2008  0      6.8    25     4 
16/03/2008  0      5.5    24     5 
17/03/2008  0      4.5    23     4 
18/03/2008  0      5.8    21     4 
19/03/2008  0      4.8    24     2 
20/03/2008  0      5      25     4 
21/03/2008  0      5.9    25     6 
22/03/2008  0      3.3    25     7 
23/03/2008  0      6      25     7 
24/03/2008  0      6.5    25     6 
25/03/2008  0      5.1    24     6 
26/03/2008  0      5.7    25     6.5 
27/03/2008  0      4.1    25     7 
28/03/2008  0      7.6    25     7.5 
29/03/2008  0      5.7    25     6 
30/03/2008  0      5.3    25     7 
31/03/2008  0      5      28     7 
01/04/2008  0      7.6    28     7 
02/04/2008  0      5.7    29     8 
03/04/2008  0      8      30     8 
04/04/2008  0      8      29     10 
05/04/2008  0      6.3    25     8 
06/04/2008  0      5.8    25     6 
07/04/2008  0      4.8    27     8 
08/04/2008  0      6.7    27     7 
09/04/2008  0      6.5    27     5 
10/04/2008  0      6.6    27     6 
11/04/2008  0      6.4    28     7 
12/04/2008  0      6.5    28     7 
13/04/2008  12.5   6.3    26     10 
14/04/2008  0      4.9    23     11 
15/04/2008  3.5    4.3    22     9 
16/04/2008  0      4.3    25     8 
17/04/2008  0      3.3    27     9 
18/04/2008  0      3.2    28     7 
19/04/2008  0      3.2    28     6 
20/04/2008  0      4.2    28     8 
21/04/2008  0      4.3    30     9 
22/04/2008  0      6.9    31     9 
23/04/2008  0      7.8    31     10 
24/04/2008  0      7.6    30     10 
25/04/2008  0      6.9    30     8 
26/04/2008  0      7.2    29     8 
27/04/2008  0      5.2    28     8 
28/04/2008  0      5.5    28     8 
29/04/2008  0      5.4    26     9 
30/04/2008  0      5.2    25     10 
01/05/2008  0      4.9    26     6 
02/05/2008  0      6.8    26     8 
03/05/2008  0      5.8    29     8 
04/05/2008  0      7.8    29     10 
05/05/2008  0      6.6    27     10 
06/05/2008  0      4.6    26     11 
07/05/2008  0      5.5    26     10 
08/05/2008  0      5.2    29     9 
09/05/2008  0      6.1    30     10 
10/05/2008  0      5.3    30     10 
11/05/2008  8      5.6    30     12 
12/05/2008  0      5.9    26     12 
13/05/2008  0      3.2    27     10 
14/05/2008  0      6.9    27     11 
15/05/2008  2      5.8    26     12 
16/05/2008  0      4.9    25     10 
17/05/2008  0      4.8    26     10 
18/05/2008  0      4.2    27     10 
19/05/2008  0      7      24     9 
20/05/2008  0      4.7    24     10 
21/05/2008  14.5   3.4    28     8 
22/05/2008  0      7.6    21     8 
23/05/2008  0      5.7    24     6 
24/05/2008  0      4.6    28     6 
25/05/2008  0      6.8    28     9 
26/05/2008  0      6      28     12 
27/05/2008  0      4.7    27     12 
28/05/2008  0      5.2    28     12 
29/05/2008  0      4.7    27     11 
30/05/2008  0      5.2    26     12 
31/05/2008  0      4.6    26     12 
