CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14143
NOMBRE    : TECOLOTLAN (DGE)
ESTADO    : JALISCO
MUNICIPIO : TECOLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.203°
LONGITUD  : -104.049°
ALTITUD   : 1,200 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.7    29     6 
02/02/2008  0      5.5    30     5 
03/02/2008  0      3.4    30     5 
04/02/2008  0      5.5    30     5 
05/02/2008  0      3.5    30     4 
06/02/2008  0      5.5    30     5 
07/02/2008  0      3.9    29     6 
08/02/2008  0      4.3    30     6 
09/02/2008  0      4.4    30     6 
10/02/2008  0      4.5    31     6 
11/02/2008  0      5.3    30     6 
12/02/2008  0      3.5    29     7 
13/02/2008  0      6.4    30     4 
14/02/2008  0      5      30     4 
15/02/2008  0      5.5    31     3 
16/02/2008  0      5      32     3 
17/02/2008  0      6.2    32     4 
18/02/2008  0      5      31     5 
19/02/2008  0      5.8    31     3 
20/02/2008  0      5.4    31     3 
21/02/2008  0      5.1    31     3 
22/02/2008  0      5.7    33     5 
23/02/2008  0      4.1    34     5 
24/02/2008  0      1.4    36     5 
25/02/2008  0      6.1    33     7 
26/02/2008  0      6.6    35     5 
27/02/2008  0      4.7    32     4 
28/02/2008  0      6      31     7 
29/02/2008  0      6      31     5 
01/03/2008  0      6.2    32     5 
02/03/2008  0      5.5    32     7 
03/03/2008  0      5.9    31     4 
04/03/2008  0      6.4    31     5 
05/03/2008  0      7      32     6 
06/03/2008  0      4.4    30     3 
07/03/2008  0      6.1    30     4 
08/03/2008  0      6.1    31     1 
09/03/2008  0      7.1    29     5 
10/03/2008  0      6.1    31     1 
11/03/2008  0      4.3    31     4 
12/03/2008  0      8.5    33     5 
13/03/2008  0      6.9    33     6 
14/03/2008  0      6.1    32     4 
15/03/2008  0      8.3    33     4 
16/03/2008  0      6.6    32     5 
17/03/2008  0      7      30     5 
18/03/2008  0      8.5    29     5 
19/03/2008  0      6.7    31     3 
20/03/2008  0      6.2    32     5 
21/03/2008  0      7.5    33     9 
22/03/2008  0      4.7    34     8 
23/03/2008  0      7.1    33     6 
24/03/2008  0      7.2    32     6 
25/03/2008  0      5.3    31     7 
26/03/2008  0      7.2    33     9 
27/03/2008  0      7.8    33     8 
28/03/2008  0      8.7    33     6 
29/03/2008  0      8.2    34     5 
30/03/2008  0      6.1    34     6 
31/03/2008  0      8.7    36     6 
01/04/2008  0      7.9    36     7 
02/04/2008  0      8      37     8 
03/04/2008  0      10.3   37     8 
04/04/2008  0      7.5    37     9 
05/04/2008  0      7.4    35     10 
06/04/2008  0      6.6    33     10 
07/04/2008  0      8.5    35     11 
08/04/2008  0      8.1    35     11 
09/04/2008  0      7.2    34     11 
10/04/2008  0      8.7    35     9 
11/04/2008  0      7.6    35     9 
12/04/2008  0      7.6    36     9 
13/04/2008  0      6.1    35     12 
14/04/2008  0      8.1    33     16 
15/04/2008  0      5.1    34     12 
16/04/2008  0      6.4    34     10 
17/04/2008  0      7.6    35     9 
18/04/2008  0      8.3    36     8 
19/04/2008  0      9.2    37     8 
20/04/2008  0      6.9    35     11 
21/04/2008  0      9.5    38     10 
22/04/2008  0      7.4    39     11 
23/04/2008  0      9.1    38     11 
24/04/2008  0      8.5    36     11 
25/04/2008  0      7.9    37     9 
26/04/2008  0      7.9    37     9 
27/04/2008  0      11.5   37     10 
28/04/2008  0      8      37     10 
29/04/2008  0      7.3    34     10 
30/04/2008  0      8.8    34     11 
01/05/2008  0      9.6    35     10 
02/05/2008  0      8.6    34     9 
03/05/2008  0      9.6    37     8 
04/05/2008  0      7.4    37     10 
05/05/2008  0      8.5    35     13 
06/05/2008  0      5.9    36     13 
07/05/2008  0      6.2    34     14 
08/05/2008  0      7.2    36     12 
09/05/2008  0      8.5    37     12 
10/05/2008  0      7.8    38     12 
11/05/2008  0      8.4    39     15 
12/05/2008  2.7    4.6    37     14 
13/05/2008  0      8      34     12 
14/05/2008  0      8      35     12 
15/05/2008  0      6.4    33     13 
16/05/2008  0      7.6    34     14 
17/05/2008  0      5.3    34     13 
18/05/2008  0      8.3    34     12 
19/05/2008  0      7      32     13 
20/05/2008  0      6.4    33     13 
21/05/2008  0      6.9    32     12 
22/05/2008  0      8      31     12 
23/05/2008  0      7.1    33     10 
24/05/2008  0      7.1    35     10 
25/05/2008  0      7.4    36     14 
26/05/2008  0      6.5    36     14 
27/05/2008  0      8.2    35     15 
28/05/2008  0      7      35     15 
29/05/2008  0      8.4    34     15 
30/05/2008  0      4.9    35     17 
31/05/2008  2      3.4    35     16 
01/06/2008  0      7.6    36     16 
02/06/2008  0      1.9    37     15 
03/06/2008  0      6.1    37     15 
04/06/2008  0      7.9    34     15 
05/06/2008  0      6.5    34     16 
06/06/2008  1      6.8    34     17 
07/06/2008  0      7.2    34     17 
08/06/2008  9.7    8.1    34     18 
09/06/2008  33     5.2    31     17 
10/06/2008  4      3.1    24     18 
11/06/2008  0      4.3    27     16 
12/06/2008  3      3.1    28     16 
13/06/2008  2.6    3      31     15 
14/06/2008  0      5.9    31     16 
15/06/2008  28.1   9.2    31     17 
16/06/2008  0      5      30     15 
17/06/2008  0      5.1    32     15 
18/06/2008  0      6.2    34     16 
19/06/2008  3.4    2      34     17 
20/06/2008  50     13.4   33     17 
21/06/2008  93.4   8.4    29     14 
22/06/2008  23.5   6      28     14 
23/06/2008  0      3.5    29     14 
24/06/2008  0      3.8    30     16 
25/06/2008  0      5.3    30     17 
26/06/2008  0      4.6    30     17 
27/06/2008  4.1    0.6    30     17 
28/06/2008  0      4.8    29     16 
29/06/2008  4      4.3    30     16 
30/06/2008  0      4.4    29     18 
01/07/2008  2.5    2.6    28     17 
02/07/2008  0      3.2    28     15 
03/07/2008  8.1    6.7    28     16 
04/07/2008  0      3.9    29     16 
05/07/2008  97.5   3.4    28     16 
06/07/2008  9.1    2.9    27     17 
07/07/2008  1.5    3.5    25     18 
08/07/2008  19.7   2      24     17 
09/07/2008  8.3    0.4    22     16 
10/07/2008  0      2.7    26     17 
11/07/2008  0      2.5    27     17 
12/07/2008  13.9   4.4    28     14 
13/07/2008  4.2    5.4    27     14 
14/07/2008  4.4    2.2    27     16 
15/07/2008  0      2.2    28     15 
16/07/2008  0      3.9    28     15 
17/07/2008  0      3.2    27     16 
18/07/2008  0      1.4    27     14 
19/07/2008  0      2      28     15 
20/07/2008  1.5    4.8    29     14 
21/07/2008  0      3.9    28     16 
22/07/2008  0      3.6    29     16 
23/07/2008  0      3.5    29     16 
24/07/2008  28.3   8.5    29     17 
25/07/2008  1      2      26     17 
26/07/2008  1.3    2.6    27     15 
27/07/2008  0      2.1    27     15 
28/07/2008  24.8   11.2   29     14 
29/07/2008  23.1   10.3   28     15 
30/07/2008  0      3.5    28     15 
31/07/2008  0      4.9    28     15 
01/08/2008  0      3.8    28     16 
02/08/2008  0      1.8    28     16 
03/08/2008  2      2.1    28     16 
04/08/2008  0      2.6    28     16 
05/08/2008  0      3.5    29     16 
06/08/2008  12.1   6      29     17 
07/08/2008  6.7    0.9    23     16 
08/08/2008  0      2.1    27     14 
09/08/2008  0      3.6    28     14 
10/08/2008  0      4      29     15 
11/08/2008  0      2.1    28     13 
12/08/2008  0      2.5    27     15 
13/08/2008  13.4   2.7    28     15 
14/08/2008  0      3.6    29     15 
15/08/2008  0      2      29     16 
16/08/2008  4      4.2    29     17 
17/08/2008  3.3    0.3    29     17 
18/08/2008  3.3    4.3    28     17 
19/08/2008  8.9    5.1    27     17 
20/08/2008  1.6    2.2    26     16 
21/08/2008  0      2.7    27     16 
22/08/2008  8.4    3.6    29     17 
23/08/2008  0      3.3    26     17 
24/08/2008  76.5   5.1    27     14 
25/08/2008  13     6.9    27     15 
26/08/2008  27     3.3    25     15 
27/08/2008  24.5   6.5    26     16 
28/08/2008  11.3   4.6    36     15 
29/08/2008  3.9    2.7    27     16 
30/08/2008  1      3      27     17 
31/08/2008  12.2   2.7    27     17 
01/09/2008  0      2.4    28     16 
02/09/2008  8.7    6.3    29     16 
03/09/2008  0      3.5    28     16 
04/09/2008  0      3.8    28     16 
05/09/2008  0      5.6    28     16 
06/09/2008  1.4    4      29     16 
07/09/2008  0      3      29     16 
08/09/2008  41.5   5.8    27     17 
09/09/2008  29.1   6.6    24     17 
10/09/2008  1.5    4.1    26     17 
11/09/2008  0      3.8    27     17 
12/09/2008  0      3.6    28     16 
13/09/2008  18.5   8.5    28     17 
14/09/2008  35.5   4.8    25     17 
15/09/2008  3.2    2.7    22     17 
16/09/2008  0      2.7    26     15 
17/09/2008  0      6.5    28     15 
18/09/2008  0      3.1    28     15 
19/09/2008  9.8    4.6    27     15 
20/09/2008  10     4.9    27     15 
21/09/2008  0      2.7    27     16 
22/09/2008  9.1    3      26     15 
23/09/2008  0      2.2    26     15 
24/09/2008  0      2.6    27     15 
25/09/2008  0      4.4    26     16 
26/09/2008  0      2.7    26     17 
27/09/2008  0      4.1    27     15 
28/09/2008  0      4      28     14 
29/09/2008  0      5.3    27     15 
30/09/2008  0      5.3    27     13 
01/10/2008  0      4.4    27     11 
02/10/2008  0      5      27     9 
03/10/2008  0      3.9    27     9 
04/10/2008  0      3.4    28     8 
05/10/2008  0      5.3    29     13 
06/10/2008  0      2.1    27     15 
07/10/2008  0      2.7    29     15 
08/10/2008  0      6.1    28     14 
09/10/2008  0      3.4    29     14 
10/10/2008  2.6    2      29     15 
11/10/2008  25.2   5.3    25     15 
12/10/2008  0      1.7    26     16 
13/10/2008  6.1    4.6    28     15 
14/10/2008  0      4.2    27     13 
15/10/2008  11.6   3.5    27     13 
16/10/2008  0      3.8    28     13 
17/10/2008  0      3.7    28     13 
18/10/2008  0      5.3    29     15 
19/10/2008  0      5.4    28     16 
20/10/2008  0      4      29     12 
21/10/2008  0      3.1    29     13 
22/10/2008  0      3.5    29     14 
23/10/2008  0      3.3    29     11 
24/10/2008  0      2.4    23     11 
25/10/2008  0      2.2    26     14 
26/10/2008  0      3.8    29     11 
27/10/2008  0      5.3    28     12 
28/10/2008  0      1.4    22     12 
29/10/2008  0      2.8    26     11 
30/10/2008  0      2.3    27     8 
31/10/2008  0      4.8    28     9 
01/11/2008  0      4      39     9 
02/11/2008  0      4.3    29     9 
03/11/2008  0      2.3    29     9 
04/11/2008  0      5.1    29     9 
05/11/2008  0      4.1    29     8 
06/11/2008  0      4.4    29     10 
07/11/2008  0      4      29     14 
08/11/2008  0      4.5    29     11 
09/11/2008  0      3.7    28     6 
10/11/2008  0      7.1    28     9 
11/11/2008  0      4.8    29     8 
12/11/2008  0      3.8    29     7 
13/11/2008  0      3.6    28     6 
14/11/2008  0      3.6    28     6 
15/11/2008  0      3.1    29     5 
16/11/2008  0      4.6    28     6 
17/11/2008  0      4.4    27     8 
18/11/2008  0      4.9    26     6 
19/11/2008  0      2.3    26     5 
20/11/2008  0      4.4    28     3 
21/11/2008  0      4.2    26     3 
22/11/2008  0      4.4    27     4 
23/11/2008  0      3.2    29     5 
24/11/2008  0      3.2    29     6 
25/11/2008  0      3.3    29     6 
26/11/2008  0      3      30     6 
27/11/2008  0      3      30     6 
28/11/2008  0      4.7    31     7 
29/11/2008  0      2.8    26     6 
30/11/2008  0      3.5    28     5 
01/12/2008  0      1.8    28     4 
