CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14144
NOMBRE    : TENASCO
ESTADO    : JALISCO
MUNICIPIO : COLOTLAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0022.157°
LONGITUD  : -103.233°
ALTITUD   : 1,710 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      2.8    30    -4 
02/02/2008  0      3.9    28    -4 
03/02/2008  0      3.5    30    -2 
04/02/2008  0      3.4    28    -2 
05/02/2008  0      3.7    28    -1 
06/02/2008  0      3.1    28    -4 
07/02/2008  0      2.8    30    -5 
08/02/2008  0      3.4    25    -1 
09/02/2008  0      3.2    22    -2 
10/02/2008  0      2.2    15    -1 
11/02/2008  0      2.1    30     0 
12/02/2008  0      2.1    30    -1 
13/02/2008  0      2      30    -2 
14/02/2008  0      2.4    30    -1 
15/02/2008  0      2.2    27    -1 
16/02/2008  0      3.2    25     3 
17/02/2008  0      4.4    30     3 
18/02/2008  0      4.8    31    -4 
19/02/2008  0      2.9    30    -3 
20/02/2008  0      3.5    28    -3 
21/02/2008  0      4.6    28    -2 
22/02/2008  0      4.9    32    -2 
23/02/2008  0      5.5    28    -3 
24/02/2008  0      4.2    31    -1 
25/02/2008  0      4.8    32     0 
26/02/2008  0      4.8    36     1 
27/02/2008  0      5.8    28     1 
28/02/2008  0      4.4    28     0 
29/02/2008  0      4.2    21     1 
01/03/2008  0      3.6    30     0 
02/03/2008  0      5.2    28     1 
03/03/2008  0      4.2    31     1 
04/03/2008  0      2.8    30    -1 
05/03/2008  0      2.2    28     3 
06/03/2008  0      3.1    28     3 
07/03/2008  0      4.2    26     4 
08/03/2008  0      5      30     5 
09/03/2008  0      5.8    30     2 
10/03/2008  0      4.4    28     4 
11/03/2008  0      4.8    31     1 
12/03/2008  0      5.4    35     3 
13/03/2008  0      5.2    30     0 
14/03/2008  0      5.1    28     0 
15/03/2008  0      5.1    35     2 
16/03/2008  0      5.6    34     3 
17/03/2008  0      7.6    17     1 
18/03/2008  0      8.4    22     5 
19/03/2008  0      8.2    23     4 
20/03/2008  0      8.7    28     3 
21/03/2008  0      6.3    28    -1 
22/03/2008  0      5.7    31     0 
23/03/2008  0      5.7    31     3 
24/03/2008  0      6.7    30     4 
25/03/2008  0      6.1    28     3 
26/03/2008  0      6.9    33     5 
27/03/2008  0      6      33     4 
28/03/2008  0      5.8    26     2 
29/03/2008  0      6.2    30     3 
30/03/2008  0      7.5    33     3 
31/03/2008  0      8.6    36     2 
01/04/2008  0      8.8    34     2 
02/04/2008  0      5.8    40     3 
03/04/2008  0      9.8    38     5 
04/04/2008  0      6.5    36     4 
05/04/2008  0      6.5    26     4 
06/04/2008  0      6.2    36     0 
07/04/2008  0      7.6    26     0 
08/04/2008  0      8.2    26     1 
09/04/2008  0      7.6    38     2 
10/04/2008  0      7.6    35     2 
11/04/2008  0      7.9    38     2 
12/04/2008  0      6.7    36     5 
13/04/2008  2      7.6    25     6 
14/04/2008  1      6.8    20     4 
15/04/2008  0      5.4    24     4 
16/04/2008  0      2.8    22     6 
17/04/2008  0      8.2    22     7 
18/04/2008  0      4.6    21     2 
19/04/2008  0      7.8    25     5 
20/04/2008  0      7.4    38     6 
21/04/2008  0      7.8    29     5 
22/04/2008  0      8      38     6 
23/04/2008  0      7.6    39     6 
24/04/2008  0      7.6    40     7 
25/04/2008  0      8.4    40     5 
26/04/2008  0      8.2    32     6 
27/04/2008  0      8.2    37     4 
28/04/2008  0      8.2    28     7 
29/04/2008  0      6.4    30     7 
30/04/2008  0      6.2    20     7 
01/05/2008  0      6.4    30     3 
02/05/2008  0      7      28     2 
03/05/2008  0      4.1    30     3 
04/05/2008  0      8.2    30     6 
05/05/2008  0      8.9    32     7 
06/05/2008  0      6.5    36     6 
07/05/2008  0      6.2    38     6 
08/05/2008  0      6.1    30     5 
09/05/2008  0      8.1    35     6 
10/05/2008  0      7.2    38     7 
11/05/2008  0      8.4    28     8 
12/05/2008  0      8.4    40     7 
13/05/2008  0      8.4    30     8 
14/05/2008  0      7.2    30     9 
15/05/2008  0      8      30     8 
16/05/2008  0      4      38     7 
17/05/2008  0      7.8    30     8 
18/05/2008  0      6.2    30     6 
19/05/2008  2      7.7    35     9 
20/05/2008  0      5      30     5 
21/05/2008  0      6.3    30.5   5 
22/05/2008  0      7.9    30     5 
23/05/2008  0      5.9    20.5   4 
24/05/2008  0      6.1    38.5   4 
25/05/2008  0      7.1    41     4 
26/05/2008  0      8.4    38     5 
27/05/2008  0      7.4    40.5   4 
28/05/2008  0      8.7    40     1 
29/05/2008  0      8.2    30     9 
30/05/2008  0      9.4    38     9 
31/05/2008  0      7.2    38     8 
01/06/2008  0      8.8    28     9 
02/06/2008  0      7.4    36     9 
03/06/2008  0      7.1    30     8 
04/06/2008  0      8.1    36     8 
05/06/2008  3      7      41     8 
06/06/2008  0      6.6    40     10 
07/06/2008  3      6.2    38     9 
08/06/2008  80     6.2    30     10 
09/06/2008  26     5      28     11 
10/06/2008  10     5.4    22     9 
11/06/2008  19     4.4    25     9 
12/06/2008  11     6.9    26     9 
13/06/2008  2      5.4    28     10 
14/06/2008  0      6.2    26     8 
15/06/2008  0      7.1    30     9 
16/06/2008  10     4.1    32     10 
17/06/2008  4      4.5    38     10 
18/06/2008  3      4.3    38     9 
19/06/2008  0      7.6    40     9 
20/06/2008  10     6.4    25     8 
21/06/2008  40     5.1    28     9 
22/06/2008  0      4.1    32     10 
23/06/2008  0      6      20     8 
24/06/2008  0      6      29     10 
25/06/2008  0      9.4    32     9 
26/06/2008  15     8.4    38     9 
27/06/2008  0      9.8    28     10 
28/06/2008  1      8.9    22     9 
29/06/2008  0      8.4    25     9 
30/06/2008  0      5.4    25     10 
01/07/2008  10     8.6    28     9 
02/07/2008  48     6.4    20     10 
03/07/2008  46     8.2    20     9 
04/07/2008  0      8.2    20     9 
05/07/2008  10     5      28     9 
06/07/2008  2      2.4    22     9 
07/07/2008  8      5.4    25     10 
08/07/2008  26     7.5    22     10 
09/07/2008  0      7.8    26     10 
10/07/2008  0      7.8    28     9 
11/07/2008  7      6.2    25     10 
12/07/2008  0      5.4    28     9 
13/07/2008  0      7      25     9 
14/07/2008  0      5.4    28     10 
15/07/2008  0      5.2    32     9 
16/07/2008  15     7.4    32     10 
17/07/2008  0      5      28     7 
18/07/2008  20     6.6    30     10 
19/07/2008  8      5.2    27     12 
20/07/2008  0      6.2    32     8 
21/07/2008  0      7      27     10 
22/07/2008  0      5      32     6 
23/07/2008  27     6      20     10 
24/07/2008  0      6      28     7 
25/07/2008  0      6      32     9 
26/07/2008  0      6.6    32     10 
27/07/2008  3      6.4    25     9 
28/07/2008  0      6      28     7 
29/07/2008  6      6.4    28     9 
30/07/2008  0      6.2    28     9 
31/07/2008  0      6.4    32     9 
01/08/2008  30     6.6    30     10 
02/08/2008  8      8.1    25     9 
03/08/2008  0      7.4    30     8 
04/08/2008  0      6.6    32     8 
05/08/2008  0      6      28     9 
06/08/2008  6      7.6    28     8 
07/08/2008  44     6.4    20     8 
08/08/2008  0      8      28     7 
09/08/2008  20     6.6    30     9 
10/08/2008  0      7.8    30     7 
11/08/2008  0      6.8    32     8 
12/08/2008  14     7.6    20     6 
13/08/2008  11     6      25     7 
14/08/2008  11     6      28     8 
15/08/2008  0      7.6    32     9 
16/08/2008  0      7      32     10 
17/08/2008  0      7.6    28     10 
18/08/2008  40     6.4    22     9 
19/08/2008  20     6.6    30     9 
20/08/2008  32     6.8    30     9 
21/08/2008  12     6.8    30     9 
22/08/2008  0      7      20     9 
23/08/2008  0      6.8    20     9 
24/08/2008  0      6.8    30     9 
25/08/2008  12     6.2    30     10 
26/08/2008  39     7      28     9 
27/08/2008  4      6.6    28     10 
28/08/2008  20     4      28     10 
29/08/2008  0      5      29     10 
30/08/2008  0      4.8    28     9 
31/08/2008  0      6.2    28     10 
01/09/2008  0      7.8    25     7 
02/09/2008  4      6.8    32     9 
03/09/2008  0      5.2    32     9 
04/09/2008  0      7.8    28     10 
05/09/2008  0      7.2    32     10 
06/09/2008  0      7.8    32     10 
07/09/2008  0      7.2    28     10 
08/09/2008  0      5      26     9 
09/09/2008  0      6      28     8 
10/09/2008  7      6      32     9 
11/09/2008  0      5.8    32     10 
12/09/2008  0      5      28     10 
13/09/2008  38     5.2    24     9 
14/09/2008  0      5.6    28     8 
15/09/2008  0      6.8    28     9 
16/09/2008  0      5.6    26     8 
17/09/2008  0      5.8    28     7 
18/09/2008  0      6.2    28     8 
19/09/2008  0      5.6    32     9 
20/09/2008  0      7.2    28     9 
21/09/2008  0      5.2    26     8 
22/09/2008  0      5.8    28     7 
23/09/2008  5      4.2    25     9 
24/09/2008  0      5      28     8 
25/09/2008  0      4.3    28     8 
26/09/2008  0      4.2    26     8 
27/09/2008  0      4.8    26     8 
28/09/2008  0      4.2    26     8 
29/09/2008  0      4      28     8 
30/09/2008  0      4.8    28     5 
01/10/2008  0      5      22     6 
02/10/2008  0      4.8    25     6 
03/10/2008  0      4.6    26     7 
04/10/2008  0      4.4    22     0 
05/10/2008  0      4.2    33     1 
06/10/2008  0      3.4    25     1 
07/10/2008  0      4.4    30     1 
08/10/2008  0      3.2    28     5 
09/10/2008  0      4.8    28     7 
10/10/2008  0      4      24     7 
11/10/2008  13     4.8    21     7 
12/10/2008  2      4.8    28     6 
13/10/2008  9      7.2    22     9 
14/10/2008  0      5.2    28     5 
15/10/2008  0      2.8    28     8 
16/10/2008  0      6.6    26     8 
17/10/2008  0      4.8    23     7 
18/10/2008  0      4.6    15     7 
19/10/2008  0      4.2    28     7 
20/10/2008  0      4      26     4 
21/10/2008  0      4.8    24     4 
22/10/2008  0      5      26     8 
23/10/2008  0      4.2    26     4 
24/10/2008  0      3.4    22     4 
25/10/2008  0      4.2    22     3 
26/10/2008  0      4.6    28     3 
27/10/2008  0      3.4    22     3 
28/10/2008  0      3.2    22     3 
29/10/2008  0      3.8    22     2 
30/10/2008  0      4.8    23     1 
31/10/2008  0      4      23     2 
01/11/2008  0      4      22     3 
02/11/2008  0      3.6    20     4 
03/11/2008  0      3.6    28     2 
04/11/2008  0      5.8    28     0 
05/11/2008  0      5.4    26    -1 
06/11/2008  0      4.9    28     0 
07/11/2008  0      3.9    28     0 
08/11/2008  0      3.8    26     1 
09/11/2008  0      3.6    24     1 
10/11/2008  0      4.4    26     0 
11/11/2008  0      3.9    22     0 
12/11/2008  0      3.6    22     0 
13/11/2008  0      3.2    22     1 
14/11/2008  0      3.6    28     0 
15/11/2008  0      3.6    22    -2 
16/11/2008  0      3      22    -2 
17/11/2008  0      3      24    -3 
18/11/2008  0      3.8    22    -1 
19/11/2008  0      3.2    20     3 
20/11/2008  0      3      18    -3 
21/11/2008  0      3.4    20    -4 
22/11/2008  0      4.2    18     1 
23/11/2008  0      4.9    20    -1 
24/11/2008  0      4.5    22    -1 
25/11/2008  0      3.8    22    -3 
26/11/2008  0      4.6    28     1 
27/11/2008  0      3.4    22     1 
28/11/2008  0      4.6    22     3 
29/11/2008  0      4.6    22     3 
30/11/2008  0      4.6    22     4 
01/12/2008  0      5.4    18    -5 
02/12/2008  0      4.4    20    -5 
03/12/2008  0      2.4    22    -4 
04/12/2008  0      3.8    27    -6 
05/12/2008  0      3.2    28    -5 
06/12/2008  0      4      22    -5 
07/12/2008  0      3.6    22    -5 
08/12/2008  0      3      27    -3.5 
09/12/2008  0      3      22    -2 
10/12/2008  0      4.4    20    -5 
11/12/2008  0      3.6    22    -5 
12/12/2008  0      3.6    20    -5 
13/12/2008  0      3.8    20    -5 
14/12/2008  0      3      18     4 
15/12/2008  0      3.9    22     7 
16/12/2008  0      3.9    22     5 
17/12/2008  0      3.6    18     5 
18/12/2008  0      4.6    22     3 
19/12/2008  0      3      18     5 
20/12/2008  0      3.4    22     3 
21/12/2008  0      4.4    22    -1 
22/12/2008  0      3.4    18    -1 
23/12/2008  0      11     22     5 
24/12/2008  0      3.8    24     5 
25/12/2008  0      2.4    28     4 
26/12/2008  0      3.2    26     5 
27/12/2008  0      3.2    22     2 
28/12/2008  0      2.4    22     5 
29/12/2008  0      2.6    27     5 
30/12/2008  0      2      20     4 
31/12/2008  0      3      20    -2 
01/01/2009  0      3      24    -4 
02/01/2009  0      3      24     2 
03/01/2009  0      3      22    -2 
04/01/2009  0      3.4    18     3 
05/01/2009  0      3.4    24     2 
06/01/2009  0      3.2    18     3 
07/01/2009  0      2.8    22     5 
08/01/2009  0      3.2    20     5 
09/01/2009  0      2.4    20     2 
10/01/2009  0      3.6    28     2 
11/01/2009  0      3      27     0 
12/01/2009  0      2.4    25     5 
13/01/2009  0      2.6    28     0 
14/01/2009  0      3.4    20     0 
15/01/2009  0      3.6    24    -1 
16/01/2009  0      3      23    -4 
17/01/2009  0      4.4    22    -4 
18/01/2009  0      3.8    22     2 
19/01/2009  0      2.4    25     3 
20/01/2009  0      3.2    26     5 
21/01/2009  0      2.2    28     2 
22/01/2009  0      3      22     2 
23/01/2009  0      4      28     0 
24/01/2009  0      4.4    29     1 
25/01/2009  0      4.2    28     1 
26/01/2009  0      4.4    27     1 
27/01/2009  0      4      22     2 
28/01/2009  0      4.8    20    -2 
29/01/2009  0      5.2    20     2 
30/01/2009  0      5.2    22     2 
31/01/2009  0      4.8    22     1 
01/02/2009  0      4.8    18     2 
02/02/2009  0      5.6    25    -2 
03/02/2009  0      4.2    16    -1 
04/02/2009  0      5.6    28     0 
05/02/2009  0      4.8    22     7 
06/02/2009  0      5.4    25     3 
07/02/2009  0      5.2    22    -2 
08/02/2009  0      5      28    -1 
09/02/2009  0      4.4    18    -2 
10/02/2009  0      5.2    28     1 
11/02/2009  0      4.4    25     3 
12/02/2009  0      4      22     2 
13/02/2009  0      4      28     2 
14/02/2009  0      4.8    28     1 
15/02/2009  0      5.2    25     1 
16/02/2009  0      5      25    -1 
17/02/2009  0      3      30     1 
18/02/2009  0      4      26     1 
19/02/2009  0      3.2    30     1 
20/02/2009  0      4.2    28     1 
21/02/2009  0      4      30     2 
22/02/2009  0      5      28     2 
23/02/2009  0      5.8    28     2 
24/02/2009  0      5.2    28     1 
25/02/2009  0      4.8    27     1 
26/02/2009  0      5.2    30     1 
27/02/2009  0      5      30     2 
28/02/2009  0      4.4    20     3 
01/03/2009  0      5.6    30     5 
02/03/2009  0      6      30     6 
03/03/2009  0      5.8    28     5 
04/03/2009  0      5      28     5 
05/03/2009  0      5.4    22     5 
06/03/2009  0      8.8    33     6 
07/03/2009  0      5.8    32     5 
08/03/2009  0      5.4    33     6 
09/03/2009  0      4.6    24     6 
10/03/2009  0      5.4    34     4 
11/03/2009  0      6.8    32     6 
12/03/2009  0      4.8    20     5 
13/03/2009  0      4      30     4 
14/03/2009  0      5      30     5 
15/03/2009  0      5      32     6 
16/03/2009  0      5.4    30     6 
17/03/2009  0      5      31     6 
18/03/2009  0      5      30     5 
19/03/2009  0      5.8    32     6 
20/03/2009  0      5.6    30     6 
21/03/2009  0      5.8    30     6 
22/03/2009  0      6.6    31     6 
23/03/2009  0      5.6    30     5 
24/03/2009  0      5.6    31     5 
25/03/2009  0      5.4    35     5 
26/03/2009  0      7.6    28     4 
27/03/2009  0      5.4    30     4 
28/03/2009  0      5.6    31     2 
29/03/2009  0      5.4    30     5 
30/03/2009  0      5.6    32     1 
31/03/2009  0      5      32     3 
01/04/2009  0      5.2    30     5 
02/04/2009  0      6.9    30     4 
03/04/2009  0      6.9    32     5 
04/04/2009  0      5.8    34     5 
05/04/2009  0      5.2    36     6 
06/04/2009  0      6.8    34     5 
07/04/2009  0      5.2    28     6 
08/04/2009  0      5      22     5 
09/04/2009  0      4      36     3 
10/04/2009  0      5.4    24     8 
11/04/2009  0      4      28     5 
12/04/2009  0      5.6    32     4 
13/04/2009  0      6      32     6 
14/04/2009  0      7.9    28     6 
15/04/2009  0      6.8    22     4 
16/04/2009  0      6.8    28     4 
17/04/2009  0      6      32     5 
18/04/2009  0      6.4    32     6 
19/04/2009  0      6.6    35     5 
20/04/2009  0      5.4    35     6 
21/04/2009  0      4.6    28     4 
22/04/2009  0      5      34     4 
23/04/2009  0      6      32     6 
24/04/2009  0      6.4    26     5 
25/04/2009  0      5.6    30     4 
26/04/2009  0      5.4    32     6 
27/04/2009  0      6.6    34     7 
28/04/2009  0      6      30     6 
29/04/2009  0      6      36     6 
30/04/2009  0      7.4    38     7 
01/05/2009  0      6.4    37     6 
02/05/2009  0      7.6    37     7 
03/05/2009  0      7      38     6 
04/05/2009  0      6.6    38     6 
05/05/2009  0      6.4    36     7 
06/05/2009  0      6      38     7 
07/05/2009  0      7.9    38     8 
08/05/2009  0      7      21     7 
09/05/2009  1      7.4    38     8 
10/05/2009  0      7.6    30     9 
11/05/2009  0      7      38     9 
12/05/2009  30     6.4    38     8 
13/05/2009  7      8.6    26     8 
14/05/2009  0      6      28     7 
15/05/2009  4      6      22     6 
16/05/2009  0      6.4    25     5 
17/05/2009  6      6.6    24     7 
18/05/2009  0      5.6    22     6 
19/05/2009  2      4      28     7 
20/05/2009  0      6.4    28     7 
21/05/2009  0      5.4    30     7 
22/05/2009  0      7.8    32     7 
23/05/2009  0      6.8    32     8 
24/05/2009  0      6.2    34     8 
25/05/2009  0      8.8    33     8 
26/05/2009  0      6      28     7 
27/05/2009  0      6.4    30     7 
28/05/2009  0      6.6    36     5 
29/05/2009  0      7      36     7 
30/05/2009  0      7.4    36     7 
31/05/2009  0      6.8    36     7 
01/06/2009  0      7.2    32     7 
02/06/2009  0      6.6    28     7 
03/06/2009  0      6.4    32     7 
04/06/2009  0      7.6    34     8 
05/06/2009  0      8      32     8 
06/06/2009  0      7.4    26     8 
07/06/2009  0      6.6    35     8 
08/06/2009  0      6.4    36     9 
09/06/2009  0      6.6    34     8 
10/06/2009  0      7.4    34     8 
11/06/2009  0      7.6    32     8 
12/06/2009  0      6      36     8 
13/06/2009  0      7.4    36     9 
14/06/2009  0      7.6    34     9 
15/06/2009  0      6.4    28     9 
16/06/2009  0      7.6    30     8 
17/06/2009  0      6      28     8 
18/06/2009  30     6.4    22     8 
19/06/2009  10     6      22     8 
20/06/2009  24     6      24     8 
21/06/2009  0      6      28     9 
22/06/2009  0      6      32     8 
23/06/2009  0      6.4    28     8 
24/06/2009  0      7.1    28     8 
25/06/2009  0      6.6    28     8 
26/06/2009  13     7      28     8 
27/06/2009  0      6      30     8 
28/06/2009  0      7.4    30     7 
29/06/2009  0      7      22     9 
30/06/2009  0      8      22     9 
01/07/2009  2      6.6    28     9 
02/07/2009  20     6.4    22     8 
03/07/2009  0      2      28     8 
04/07/2009  3      7.6    22     8 
05/07/2009  4      6      22     7 
06/07/2009  15     5.4    22     8 
07/07/2009  15     6.6    22     7 
08/07/2009  6      6      22     7 
09/07/2009  0      6      30     7 
10/07/2009  0      5      30     7 
11/07/2009  0      6.4    28     7 
12/07/2009  0      5      32     7 
13/07/2009  0      7.2    32     8 
14/07/2009  0      6      36     8 
15/07/2009  0      6.8    22     8 
16/07/2009  0      7      22     8 
17/07/2009  0      6.6    24     8 
18/07/2009  8      6      22     8 
