CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14145
NOMBRE    : TEOCALTICHE (DGE)
ESTADO    : JALISCO
MUNICIPIO : TEOCALTICHE
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.434°
LONGITUD  : -102.574°
ALTITUD   : 1,740 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      5.4    32     5 
02/02/2008  0      7      30     2 
03/02/2008  0      6.1    29     3 
04/02/2008  0      5.8    28     3 
05/02/2008  0      4.3    29     1 
06/02/2008  0      5.6    29     1 
07/02/2008  0      5.2    30     2 
08/02/2008  0      6.3    30     0 
09/02/2008  0      6.3    31     1 
10/02/2008  0      6.6    34     2 
11/02/2008  0      7.2    28     2 
12/02/2008  0      3.8    27     5 
13/02/2008  0      2.1    30     3 
14/02/2008  0      6.6    29     4 
15/02/2008  0      4.5    30     2 
16/02/2008  0      5.3    29     2 
17/02/2008  0      4.8    32     3 
18/02/2008  0      7.2    32     2 
19/02/2008  0      7.3    31     2 
20/02/2008  0      6      31     3 
21/02/2008  0      6.4    29     4 
22/02/2008  0      4.5    33     3 
23/02/2008  0      6.8    31     2 
24/02/2008  0      5.9    35     3 
25/02/2008  0      7.1    35     2 
26/02/2008  0      7.3    36     4 
27/02/2008  0      7.4    30     6 
28/02/2008  0      5.6    29     4 
29/02/2008  0      5.1    32     5 
01/03/2008  0      6.1    31     5 
02/03/2008  0      6      33     6 
03/03/2008  0      6.7    30     6 
04/03/2008  0      5.4    29     6 
05/03/2008  0      4.5    29     4 
06/03/2008  0      7      22     3 
07/03/2008  0      7      29    -1 
08/03/2008  0      6.3    31     1 
09/03/2008  0      6.8    28     2 
10/03/2008  0      5.1    30     2 
11/03/2008  0      5.7    30     4 
12/03/2008  0      5.3    29     5 
13/03/2008  0      5      32     5 
14/03/2008  0      8.9    34     2 
15/03/2008  0      9.2    32     3 
16/03/2008  0      8.7    34     4 
17/03/2008  0      9.3    30     4 
18/03/2008  0      8.9    28     6 
19/03/2008  0      9.2    30     4 
20/03/2008  0      6.2    30     4 
21/03/2008  0      6      34     5 
22/03/2008  0      6.2    35     6 
23/03/2008  0      7.2    34     6 
24/03/2008  0      6.8    30     6 
25/03/2008  0      5.6    31     7 
26/03/2008  0      7.3    34     8 
27/03/2008  0      6.8    33     9 
28/03/2008  0      7.9    33     8 
29/03/2008  0      8.4    35     9 
30/03/2008  0      8.7    35     9 
31/03/2008  0      9.5    36     9 
01/04/2008  0      8.8    38     8 
02/04/2008  0      8.9    37     8 
03/04/2008  0      6.8    38     9 
04/04/2008  0      9.1    37     9 
05/04/2008  0      9.6    36     6 
06/04/2008  0      8.6    34     5 
07/04/2008  0      8.2    36     6 
08/04/2008  0      10.1   35     6 
09/04/2008  0      9.4    35     6 
10/04/2008  0      9.3    34     7 
11/04/2008  0      9.2    35     7 
12/04/2008  0      9.2    34     8 
13/04/2008  4.5    8.9    35     7 
14/04/2008  0      6.8    30     8 
15/04/2008  0      5.1    32     9 
16/04/2008  0      5.1    33     9 
17/04/2008  0      7.5    36     9 
18/04/2008  0      9.2    37     5 
19/04/2008  0      7.6    38     5 
20/04/2008  0      8.1    36     7 
21/04/2008  0      7.4    38     7 
22/04/2008  0      8.4    40     10 
23/04/2008  0      9.6    38     11 
24/04/2008  0      8.2    36     11 
25/04/2008  0      7.7    37     10 
26/04/2008  0      8.1    38     10 
27/04/2008  0      8.4    36     9 
28/04/2008  0      7.3    36     10 
29/04/2008  1      7.2    33     10 
30/04/2008  0      6      34     9 
01/05/2008  0      6.3    33     9 
02/05/2008  0      5.9    33     8 
03/05/2008  0      5.7    35     7 
04/05/2008  0      6.4    36     8 
05/05/2008  0      7.2    35     8 
06/05/2008  0      6.5    37     11 
07/05/2008  0      7.3    33     12 
08/05/2008  0      5.5    37     11 
09/05/2008  0      8.3    32     12 
10/05/2008  0      7.9    38     12 
11/05/2008  0      8.1    40     11 
12/05/2008  0      9.1    38     12 
13/05/2008  0      6.3    36     11 
14/05/2008  0      6      36     12 
15/05/2008  0      8.3    31     14 
16/05/2008  0      4.4    33     14 
17/05/2008  0      8      34     12 
18/05/2008  0      8.2    34     11 
19/05/2008  0      7.6    31     13 
20/05/2008  0      7.5    32     11 
21/05/2008  0      7.1    32     12 
22/05/2008  0      8.4    32     10 
23/05/2008  0      8.2    33     10 
24/05/2008  0      7.2    35     10 
25/05/2008  0      8.4    38     10 
26/05/2008  0      8.4    37     11 
27/05/2008  0      7.3    37     10 
28/05/2008  0      8.7    36     12 
29/05/2008  0      7.5    35     13 
30/05/2008  0      7.3    36     12 
31/05/2008  0      7.5    38     12 
01/06/2008  0      8.3    36     11 
02/06/2008  0      6.6    38     13 
03/06/2008  0      8      32     13 
04/06/2008  0      7.4    38     13 
05/06/2008  0      7.6    36     13 
06/06/2008  4      6.4    38     14 
07/06/2008  6      7.4    36     14 
08/06/2008  0      6      34     14 
09/06/2008  44.5   5.2    28     15 
10/06/2008  7      3.1    23     14 
11/06/2008  1.5    1.9    26     14 
12/06/2008  0      1.9    27     13 
13/06/2008  0      2.1    28     11 
14/06/2008  0      2.5    26     10 
15/06/2008  0      1.9    33     11 
16/06/2008  1      6      32     12 
17/06/2008  0      4.8    33     13 
18/06/2008  0      4.9    35     13 
19/06/2008  0      5.5    34     14 
20/06/2008  3.5    6.3    36     15 
21/06/2008  2      7.2    35     15 
22/06/2008  0      6.5    33     14 
23/06/2008  0      5      34     14 
24/06/2008  4      6.2    32     14 
25/06/2008  0      5.3    33     14 
26/06/2008  2.5    4.2    33     13 
27/06/2008  0      5.7    32     13 
28/06/2008  3      3.5    34     13 
29/06/2008  5      6.1    34     14 
30/06/2008  11     6.6    29     13 
01/07/2008  17.5   3.6    29     13 
02/07/2008  24.5   3.7    27     14 
03/07/2008  2.5    3.6    27     13 
04/07/2008  30     3.2    28     14 
05/07/2008  17     3.6    27     14 
06/07/2008  10     3      27     15 
07/07/2008  22.5   3      25     14 
08/07/2008  21.5   3      25     14 
09/07/2008  2      2.6    21     14 
10/07/2008  2.5    1.5    25     13 
11/07/2008  6      1.3    26     13 
12/07/2008  14     2.7    25     14 
13/07/2008  1      2.1    29     14 
14/07/2008  15     6.2    30     12 
15/07/2008  3      6.4    30     13 
16/07/2008  0      3.9    31     13 
17/07/2008  0      4.8    31     13 
18/07/2008  0      4.2    29     13 
19/07/2008  0      4.1    29     14 
20/07/2008  0      3.8    30     12 
21/07/2008  0      3.6    31     10 
22/07/2008  0      4.3    31     10 
23/07/2008  1      4.7    30     10 
24/07/2008  1.5    3.7    32     13 
25/07/2008  0      4.8    30     14 
26/07/2008  1      3.4    28     13 
27/07/2008  0      3      31     14 
28/07/2008  0      3.8    33     11 
29/07/2008  0      6.7    31     12 
30/07/2008  0      6.2    31     13 
31/07/2008  2.5    4.8    31     13 
01/08/2008  5.5    4.2    31     13 
02/08/2008  0      4.1    30     13 
03/08/2008  6      3.9    31     13 
04/08/2008  0      4      32     13 
05/08/2008  0      4.2    33     13 
06/08/2008  24.5   5.1    33     13 
07/08/2008  0      5.5    26     14 
08/08/2008  0      1.5    30     12 
09/08/2008  0      4.1    28     13 
10/08/2008  0      3.7    32     12 
11/08/2008  0      5.2    33     13 
12/08/2008  2.5    5.6    32     13 
13/08/2008  0      4.9    31     13 
14/08/2008  0      4.7    32     13 
15/08/2008  2      4.3    31     14 
16/08/2008  0      4.5    31     13 
17/08/2008  0      4.8    31     14 
18/08/2008  12.5   4.3    28     14 
19/08/2008  7      3.8    30     14 
20/08/2008  11     6.2    26     14 
21/08/2008  15     1.4    28     14 
22/08/2008  10     3.4    27     13 
23/08/2008  0      2.7    27     13 
24/08/2008  8.5    3.1    30     14 
25/08/2008  32.5   3.8    27     13 
26/08/2008  32     1.1    23     13 
27/08/2008  2.5    2.8    23     14 
28/08/2008  12     2.1    25     14 
29/08/2008  1      2.8    27     13 
30/08/2008  2.5    3.4    28     14 
31/08/2008  2.5    3.4    28     14 
01/09/2008  0      3.4    31     12 
02/09/2008  6.5    3.8    32     13 
03/09/2008  0      4      33     14 
04/09/2008  0      5.1    32     14 
05/09/2008  0      5.2    31     13 
06/09/2008  0      5.7    29     13 
07/09/2008  0      3.1    30     12 
08/09/2008  6.5    4.5    27     13 
09/09/2008  8.5    0.9    29     15 
10/09/2008  0      3.5    30     15 
11/09/2008  0      3.1    29     15 
12/09/2008  0      3.2    30     13 
13/09/2008  0      4.1    29     13 
14/09/2008  26.5   3.4    29     14 
15/09/2008  1      3.2    22     13 
16/09/2008  0      1.1    27     13 
17/09/2008  0      3.4    28     14 
18/09/2008  0      3.5    31     12 
19/09/2008  0      4.2    31     12 
20/09/2008  0      5.1    29     14 
21/09/2008  0      3.8    32     12 
22/09/2008  0      5.2    26     12 
23/09/2008  0      2.1    27     12 
24/09/2008  0      2.4    28     12 
25/09/2008  0      3.5    26     14 
26/09/2008  0      2.8    27     12 
27/09/2008  0      3.4    29     10 
28/09/2008  0      3.9    30     11 
29/09/2008  0      5.2    31     8 
30/09/2008  0      5.4    31     8 
01/10/2008  0      5.9    31     6 
02/10/2008  0      6.7    30     5 
03/10/2008  0      4.8    31     5 
