CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14146
NOMBRE    : TEOCUITATLAN
ESTADO    : JALISCO
MUNICIPIO : TEOCUITATLAN DE CORONA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.094°
LONGITUD  : -103.376°
ALTITUD   : 1,370 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/02/2008  0      3.6    29.5   9.5 
02/02/2008  0      4.1    30     8 
03/02/2008  0      5.2    28     8 
04/02/2008  0      4.1    29     8 
05/02/2008  0      5      30     8 
06/02/2008  0      5.4    30     8 
07/02/2008  0      3.8    27.5   7 
08/02/2008  0      3.3    28.5   7.5 
09/02/2008  0      4.7    23     9 
10/02/2008  0      3.4    27     8.5 
11/02/2008  0      4.5    27     8.5 
12/02/2008  0      3.1    28.5   9.5 
13/02/2008  0      4      30     8.5 
14/02/2008  0      5.7    29.5   8.5 
15/02/2008  0      5.5    31.5   6.5 
16/02/2008  0      6.2    32     7 
17/02/2008  0      6.5    31.5   8.5 
18/02/2008  0      6      32.5   8.5 
19/02/2008  0      5.9    31.5   7.5 
20/02/2008  0      5.8    30.5   7.5 
21/02/2008  0      5.2    31.5   8 
22/02/2008  0      5.7    32     8 
23/02/2008  0      5.1    32.5   8.5 
24/02/2008  0      5.1    33.5   9 
25/02/2008  0      6.8    33.5   8.5 
26/02/2008  0      5.9    33     9 
27/02/2008  0      5.7    28     9.5 
28/02/2008  0      4.3    31     10 
29/02/2008  0      5.8    30.5   9.5 
01/03/2008  0      5.2    30.5   9.5 
02/03/2008  0      7.5    31     9 
03/03/2008  0      7.6    31     9 
04/03/2008  0      7      30.5   9.5 
05/03/2008  0      6      31     8.5 
06/03/2008  0      6.8    29.5   8.5 
07/03/2008  0      6.4    27     6.5 
08/03/2008  0      6.6    29     6.5 
09/03/2008  0      5.2    31     6.5 
10/03/2008  0      7      31.5   7.5 
