CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14156
NOMBRE    : TUXCUECA
ESTADO    : JALISCO
MUNICIPIO : TUXCUECA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.154°
LONGITUD  : -103.184°
ALTITUD   : 1,530 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0      4.7    22     10 
02/01/2008  0      5.4    22     10 
03/01/2008  0      3.2    15     6 
04/01/2008  0      1.9    16     5 
05/01/2008  0      0.6    21     6 
06/01/2008  0      2.8    21     7 
07/01/2008  0      3      21     8 
08/01/2008  0      2.6    21     8 
09/01/2008  0      2.6    23     8 
10/01/2008  0      4.9    24     8 
11/01/2008  0      4.1    22     8 
12/01/2008  0      2.1    20     8 
13/01/2008  0      2.2    21     8 
14/01/2008  0      2.5    22     11 
15/01/2008  0      2.5    23     11 
16/01/2008  0      4.6    22     8 
17/01/2008  0      1.8    21     8 
18/01/2008  0      3.8    22     10 
19/01/2008  0      0.9    20     10 
20/01/2008  0      1.4    18     10 
21/01/2008  0      2.4    21     8 
22/01/2008  0      0.2    22     8 
23/01/2008  0      2.1    23     11 
24/01/2008  0      2.2    24     11 
25/01/2008  0      2.7    24     11 
26/01/2008  0      2.2    24     11 
27/01/2008  0      2.6    24     11 
28/01/2008  0      3.4    23     11 
29/01/2008  0      3.4    24     11 
30/01/2008  0      5.4    25     11 
31/01/2008  0      2.8    25     11 
01/02/2008  0      3.8    23     12 
02/02/2008  0      3.8    24     11 
03/02/2008  0      2      23     11 
04/02/2008  0      4.1    24     11 
05/02/2008  0      4.4    24     11 
06/02/2008  0      4      23     11 
07/02/2008  0      3.3    23     10 
08/02/2008  3      3.3    22     11 
09/02/2008  0      2.2    22     10 
10/02/2008  0      2.3    22     10 
11/02/2008  1.5    2.8    22     11 
12/02/2008  0      3.4    25     11 
13/02/2008  0      4.4    22     10 
14/02/2008  0      3.5    25     10 
15/02/2008  0      4.4    25     10 
16/02/2008  0      4.4    24     11 
17/02/2008  0      4      26     11 
18/02/2008  0      4.6    26     11 
19/02/2008  0      5.8    25     11 
20/02/2008  0      4.3    26     11 
21/02/2008  0      4.5    25     11 
22/02/2008  0      4.6    26     11 
23/02/2008  0      4.2    26     11 
24/02/2008  0      5.1    28     11 
25/02/2008  0      4.5    28     11 
26/02/2008  0      7.2    29     13 
27/02/2008  0      5.5    24     13 
28/02/2008  0      5.6    24     11 
29/02/2008  0      3.9    24     11 
01/03/2008  0      7.8    26     11 
02/03/2008  0      5.2    23     11 
03/03/2008  0      6.3    27     11 
04/03/2008  0      5.6    27     11 
05/03/2008  0      6.8    27     12 
06/03/2008  0      6.2    26     12 
07/03/2008  0      6.8    23     8 
08/03/2008  0      6.6    23     8 
09/03/2008  0      7.3    28     8 
10/03/2008  0      5.8    24     10 
11/03/2008  0      5.7    27     11 
12/03/2008  0      7.4    28     11 
13/03/2008  0      7.1    29     11 
14/03/2008  0      7.5    29     11 
15/03/2008  0      8.1    29     12 
16/03/2008  0      6.1    30     12 
17/03/2008  0      8.3    26     12 
18/03/2008  0      7.9    29     11 
19/03/2008  0      6.1    24     11 
20/03/2008  0      6.4    28     11 
21/03/2008  0      6      30     11 
22/03/2008  0      6.8    30     11 
23/03/2008  0      7.9    30     12 
24/03/2008  0      7      30     12 
25/03/2008  0      5.7    28     11 
26/03/2008  0      5.4    29     11 
27/03/2008  0      6.8    30     12 
28/03/2008  0      8.7    31     12 
29/03/2008  0      7.6    31     12 
30/03/2008  0      8.4    33     12 
31/03/2008  0      6.6    30     12 
01/04/2008  0      7.7    30     13 
02/04/2008  0      7.6    30     14 
03/04/2008  0      8.9    30     16 
04/04/2008  0      11.7   32     15 
05/04/2008  0      5.3    31     15 
06/04/2008  0      8.7    29     14 
07/04/2008  0      7.3    29     15 
08/04/2008  0      8.6    30     16 
09/04/2008  0      8.8    31     16 
10/04/2008  0      6.7    31     16 
11/04/2008  0      7.7    30     16 
12/04/2008  0      7.9    31     16 
13/04/2008  39     8.5    31     15 
14/04/2008  0      5.6    27     16 
15/04/2008  0      4.5    28     14 
16/04/2008  0      8.6    28     14 
17/04/2008  0      8.9    30     14 
18/04/2008  0      6.8    30     14 
19/04/2008  0      8.1    28     16 
20/04/2008  0      7.2    30     16 
21/04/2008  0      7.7    31     17 
22/04/2008  0      8.4    31     15 
23/04/2008  0      7.1    32     17 
24/04/2008  0      9.5    32     16 
25/04/2008  0      7.9    31     16 
26/04/2008  0      7.9    31     16 
27/04/2008  0      8.1    29     17 
28/04/2008  0      8.6    29     17 
29/04/2008  0      6.7    28     18 
30/04/2008  0      7.2    28     17 
01/05/2008  0      8.3    32     11 
02/05/2008  0      7.7    30     11.5 
03/05/2008  0      6.7    30     17 
04/05/2008  0      5.3    31     17 
05/05/2008  0      7.8    30     17 
06/05/2008  0      7.6    30     17 
07/05/2008  0      5.7    30     17 
08/05/2008  0      9.4    32     17 
09/05/2008  0      7.6    32     17 
10/05/2008  0      7.1    33     17 
11/05/2008  0      6.2    34     17.5 
12/05/2008  0      7.1    33     17 
