CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14157
NOMBRE    : UNION DE SAN ANTONIO
ESTADO    : JALISCO
MUNICIPIO : UNION DE SAN ANTONIO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0021.131°
LONGITUD  : -102.005°
ALTITUD   : 1,917 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA      mm     mm     °C     °C 
01/01/2008  0     Nulo    26     6 
02/01/2008  0     Nulo    21     6 
03/01/2008  0     Nulo    21     4 
04/01/2008  0     Nulo    21     4 
05/01/2008  0     Nulo    22     3 
06/01/2008  0     Nulo    25     4 
07/01/2008  0     Nulo    26     4 
08/01/2008  0     Nulo    26     5 
09/01/2008  0     Nulo    26     4 
10/01/2008  0     Nulo    25     4 
11/01/2008  0     Nulo    25     5 
12/01/2008  0     Nulo    25     4 
13/01/2008  0     Nulo    24     5 
14/01/2008  0     Nulo    24     4 
15/01/2008  0     Nulo    22     5 
16/01/2008  0     Nulo    21     4 
17/01/2008  0     Nulo    22     5 
18/01/2008  0     Nulo    22     5 
19/01/2008  0     Nulo    21     5 
20/01/2008  0     Nulo    22     5 
21/01/2008  0     Nulo    21     6 
22/01/2008  0     Nulo    22     7 
23/01/2008  0     Nulo    24     6 
24/01/2008  0     Nulo    23     6 
25/01/2008  0     Nulo    25     4 
26/01/2008  0     Nulo    23     5 
27/01/2008  0     Nulo    22     4 
28/01/2008  0     Nulo    22     6 
29/01/2008  0     Nulo    22     6 
30/01/2008  0     Nulo    24     6 
31/01/2008  0     Nulo    24     6 
01/02/2008  0     Nulo    26     7 
02/02/2008  0     Nulo    23     6 
03/02/2008  0     Nulo    21     7 
04/02/2008  0     Nulo    25     6 
05/02/2008  0     Nulo    26     5 
06/02/2008  0     Nulo    26     5 
07/02/2008  0     Nulo    26     5 
08/02/2008  0     Nulo    27     6 
09/02/2008  0     Nulo    27     6 
10/02/2008  0.5   Nulo    25     6 
11/02/2008  0     Nulo    24     6 
12/02/2008  0     Nulo    25     6 
13/02/2008  0     Nulo    25     4 
14/02/2008  0     Nulo    24     6 
15/02/2008  0     Nulo    23     6 
16/02/2008  0     Nulo    21     5 
17/02/2008  0     Nulo    24     6 
18/02/2008  0     Nulo    26     6 
19/02/2008  0     Nulo    28     6 
20/02/2008  0     Nulo    28     7 
21/02/2008  0     Nulo    27     6 
22/02/2008  0     Nulo    21     5 
23/02/2008  0     Nulo    30     5 
24/02/2008  0     Nulo    31     7 
25/02/2008  0     Nulo    32     6 
26/02/2008  0     Nulo    31     6 
27/02/2008  0     Nulo    32     4 
28/02/2008  0     Nulo    26     4 
29/02/2008  0     Nulo    28     5 
01/03/2008  0     Nulo    27     6 
02/03/2008  0     Nulo    26     5 
03/03/2008  0     Nulo    27     0.5 
04/03/2008  0     Nulo    26     4 
05/03/2008  0     Nulo    27     3 
06/03/2008  0     Nulo    24     5 
07/03/2008  0     Nulo    25     6 
08/03/2008  0     Nulo    24     6 
09/03/2008  0     Nulo    24     6 
10/03/2008  0     Nulo    26     7 
11/03/2008  0     Nulo    23     6 
12/03/2008  0     Nulo    29     6 
13/03/2008  0     Nulo    24     7 
14/03/2008  0     Nulo    24     7 
15/03/2008  0     Nulo    24     7 
16/03/2008  0     Nulo    24     7 
17/03/2008  0     Nulo    25     7 
18/03/2008  0     Nulo    26     7 
19/03/2008  0     Nulo    27     6 
20/03/2008  0     Nulo    27     6 
21/03/2008  0     Nulo    28     7 
22/03/2008  0     Nulo    29     6 
23/03/2008  0     Nulo    29     8 
24/03/2008  0     Nulo    28     9 
25/03/2008  0     Nulo    29     9 
26/03/2008  0     Nulo    30     8 
27/03/2008  0     Nulo    32     8 
28/03/2008  0     Nulo    30     8 
29/03/2008  0     Nulo    30     9 
30/03/2008  0     Nulo    31     9 
31/03/2008  0     Nulo    31     9 
01/04/2008  0     Nulo    34     9 
02/04/2008  0     Nulo    34     9 
03/04/2008  0     Nulo    34     10 
04/04/2008  0     Nulo    36     12 
05/04/2008  0     Nulo    35     11 
06/04/2008  0     Nulo    30     10 
07/04/2008  0     Nulo    31     9 
08/04/2008  0     Nulo    32     9 
09/04/2008  0     Nulo    31     8 
10/04/2008  0      12     31     9 
11/04/2008  0      6.3    31     8 
12/04/2008  0      6.8    32     8 
13/04/2008  24.9   7.3    25     9 
14/04/2008  0.3    1.8    24     8 
15/04/2008  0      8.3    29     8 
16/04/2008  0      7.2    29     7 
17/04/2008  0      7.2    29     7 
18/04/2008  0      7.7    30     9 
19/04/2008  0      9.5    31     8 
20/04/2008  0      11.6   28     9 
21/04/2008  0      7.6    33     11 
22/04/2008  0      2.3    34     11 
23/04/2008  0      7.7    33     10 
24/04/2008  0      7      33     12 
25/04/2008  0      8.9    33     11 
26/04/2008  0      8.7    32     12 
27/04/2008  0      1.6    30     12 
28/04/2008  0      5.7    29     12 
29/04/2008  0      4.4    29     12 
30/04/2008  0      9.2    29     11 
01/05/2008  0      5.9    33     12 
02/05/2008  0      6.6    34     13 
03/05/2008  0      9      32     14 
04/05/2008  0      8.8    32     14 
05/05/2008  0      14.7   31     11 
06/05/2008  0      3.8    32     14 
07/05/2008  0      10.9   30     13 
08/05/2008  0      8.8    33     11 
09/05/2008  0      9.4    35     13 
10/05/2008  0      7      35     15 
11/05/2008  3.8    1.3    35     14 
12/05/2008  11.6   5.3    32     13 
13/05/2008  0      9.4    31     11 
14/05/2008  0      1.8    30     13 
15/05/2008  0      5.7    28     10 
16/05/2008  0      6.6    29     8 
17/05/2008  0      6.4    29     9 
18/05/2008  0      10.7   28     11 
19/05/2008  0      4.4    28     8 
20/05/2008  0      5.3    28     10 
21/05/2008  0      5.8    28     13 
22/05/2008  0      9.5    28     15 
23/05/2008  0      7.8    29     16 
24/05/2008  0      6.8    31     16 
25/05/2008  0      9.7    34     13 
26/05/2008  0      13.4   32     10 
27/05/2008  0      7.4    32     12 
28/05/2008  0      5.7    31     14 
29/05/2008  0      5.8    30     16 
30/05/2008  0      6.3    32     16 
31/05/2008  0      11.3   32     14 
01/06/2008  0      7.9    32     12 
02/06/2008  0      11.2   33     11 
03/06/2008  0      7      33     11 
04/06/2008  0      10     34     13 
05/06/2008  21.3   1.7    31     12 
06/06/2008  2.8    3.5    34     14 
07/06/2008  26.9   3.4    29     14 
08/06/2008  0      3.2    26     11 
09/06/2008  32.6   7.3    26     10 
10/06/2008  16.1   11.3   26     8 
11/06/2008  7.8    8.6    21     9 
12/06/2008  1.2    2.8    26     9 
13/06/2008  11     5.8    27     11 
14/06/2008  8      3.7    26     10 
15/06/2008  0      7.3    28     12 
16/06/2008  23.8   17.6   27     14 
17/06/2008  13.5   6.2    26     15 
18/06/2008  0      8.7    29     15 
19/06/2008  0      5.6    30     13 
20/06/2008  0      6.5    30     13 
21/06/2008  1.5    4      28     12 
22/06/2008  0      6.2    29     13 
23/06/2008  0      6      29     14 
24/06/2008  0      6.5    29     14 
25/06/2008  0      7.3    30     14 
26/06/2008  0      4.9    29     15 
27/06/2008  3.4    5.1    30     16 
28/06/2008  16.9   14.6   29     15 
29/06/2008  0      7.8    27     15 
30/06/2008  11.4   9.5    27     11 
01/07/2008  11     2.8    25     14 
02/07/2008  17.8   3.2    25     14 
03/07/2008  21.3   3.6    23     13 
04/07/2008  20.4   3.6    25     13 
05/07/2008  20     2      25     12 
06/07/2008  42     0.9    24     13 
07/07/2008  7.8    0.9    22     13 
08/07/2008  53.8   5.5    22     13 
09/07/2008  10.3   1      24     13 
10/07/2008  0      0.6    24     12 
11/07/2008  10.7   14     24     13 
12/07/2008  28.1   7.3    23     14 
13/07/2008  0.7    0.7    26     14 
14/07/2008  0      7.7    26     14 
15/07/2008  0      9.3    22     15 
16/07/2008  0      2.4    22     15 
17/07/2008  20     9.6    28     14 
18/07/2008  35.2   9.6    28     14 
19/07/2008  0      6.3    27     12 
20/07/2008  0      2.9    23     14 
21/07/2008  0      2.9    27     11 
22/07/2008  0      11.4   27     12 
23/07/2008  0      8.7    28     12 
24/07/2008  5.3    10.6   29     12 
25/07/2008  0      1.2    32     12 
26/07/2008  6.1    6.1    28     14 
27/07/2008  0      4.2    24     11 
28/07/2008  4.4    6      28     13 
29/07/2008  4.2    2.1    27     13 
30/07/2008  3.7    4.6    28     13 
31/07/2008  2.3    4.8    26     14 
01/08/2008  0.6    4.7    27     13 
02/08/2008  10     5.8    28     14 
03/08/2008  13.1   6      26     14 
04/08/2008  0      4.9    26     14 
05/08/2008  0      3.5    27     14 
06/08/2008  3.2    3.4    27     14 
07/08/2008  19.2   9.5    27     12 
08/08/2008  0      2.9    27     14 
09/08/2008  0      4.3    24     14 
10/08/2008  0      7.6    26     14 
11/08/2008  6.3    5.4    29     14 
12/08/2008  2.2    4.2    28     13 
13/08/2008  0      8.4    28     13 
14/08/2008  44.2   5.2    28     14 
15/08/2008  3.9    12.1   27     14 
16/08/2008  22.9   4.8    26     14 
17/08/2008  0      6      26     13 
18/08/2008  24.3   7.8    26     12 
19/08/2008  2.7    0.5    28     13 
20/08/2008  0      1.5    24     13 
21/08/2008  4.4    1.8    25     12 
22/08/2008  6.7    2.3    26     14 
23/08/2008  2.4    2.3    27     14 
24/08/2008  34.9   4.2    26     12 
25/08/2008  22.3   6.2    24     13 
26/08/2008  11.7   11.7   29     9 
27/08/2008  2.4    2.4    23     11 
28/08/2008  2.1    2.9    25     14 
29/08/2008  1.8    3.5    25     14 
30/08/2008  1.6    6      26     13 
31/08/2008  0      8.9    26     12 
01/09/2008  0      6.4    28     12 
02/09/2008  12.2   3.3    28     14 
03/09/2008  0      5.6    27     14 
04/09/2008  0      7.4    27     15 
05/09/2008  0      6.5    28     16 
06/09/2008  0      1.7    26     14 
07/09/2008  0      5.6    25     14 
08/09/2008  44.9   3.6    23     13 
09/09/2008  12     7.1    26     12 
10/09/2008  1.7    2      26     13 
11/09/2008  0      5.1    25     12 
12/09/2008  0      0.3    22     14 
13/09/2008  2.9    4.5    27     12 
14/09/2008  34.8   4.2    24     13 
15/09/2008  1.9    1.4    21     14 
16/09/2008  0.3    1.7    24     14 
17/09/2008  0      6      24     13 
18/09/2008  0      6.6    23     13 
19/09/2008  3.3    0.5    26     14 
20/09/2008  0      2.7    26     15 
21/09/2008  0      3.9    24     15 
22/09/2008  0      5.4    28     13 
23/09/2008  0      4.1    24     14 
24/09/2008  0.9    3.9    25     9 
25/09/2008  0      3.5    25     9 
26/09/2008  0      5      24     9 
27/09/2008  0      4.4    21     8 
28/09/2008  0      4      26     10 
29/09/2008  0      4.7    25     10 
30/09/2008  8      7      25     10 
01/10/2008  0      2.9    25     8 
02/10/2008  0      8.1    25     3 
03/10/2008  0      4      24     4 
04/10/2008  0      5.1    21     6 
05/10/2008  0      4.9    26     6 
