CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14160
NOMBRE    : VALLE DE JUAREZ (DGE)
ESTADO    : JALISCO
MUNICIPIO : VALLE DE JUAREZ
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 019.933°
LONGITUD  : -102.944°
ALTITUD   : 1,960 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/06/2010  0      7.2    30     12 
02/06/2010  0      7.2    32     13 
03/06/2010  0      8.1    33     12 
04/06/2010  0      9.1    31     12 
05/06/2010  4      8.4    30     14 
06/06/2010  0      6.8    33     14 
07/06/2010  0      7.8    32     14 
08/06/2010  2      8      31     15 
09/06/2010  10     8.2    33     15 
10/06/2010  11     3.8    33     12 
11/06/2010  5      1      32     14 
12/06/2010  26     6.4    26     16 
13/06/2010  1      5.4    26     15 
14/06/2010  6      2.4    27     10 
15/06/2010  0      6.2    29     13 
16/06/2010  10     6.4    26     15 
17/06/2010  4      7.1    27     7 
18/06/2010  0      2      29     14 
19/06/2010  3      4.2    25     16 
20/06/2010  3      2.7    26     14 
21/06/2010  3      3.3    28     15 
22/06/2010  2      3.8    26     16 
23/06/2010  0      5      26     13 
24/06/2010  0      2.6    23     15 
25/06/2010  0      2.8    27     16 
26/06/2010  1      3.3    27     16 
27/06/2010  20     5.1    25     15 
28/06/2010  0      4.3    27     14 
29/06/2010  0      4      28     15 
30/06/2010  0      3.2    28     12 
01/07/2010  92     4      30     10 
02/07/2010  17     2.2    20     15 
03/07/2010  7      1.4    26     15 
04/07/2010  1      2.7    20     15 
05/07/2010  3      0.3    26     15 
06/07/2010  3      1.1    24     13 
07/07/2010  7      6.2    24     15 
08/07/2010  18     1.9    21     14 
09/07/2010  0      4      23     12 
10/07/2010  0      4      24     13 
11/07/2010  0      2.8    26     13 
12/07/2010  35     4.6    26     15 
13/07/2010  4      0.9    25     14 
14/07/2010  12     2      32     14 
15/07/2010  0      3.8    23     14 
16/07/2010  5      6.5    24     15 
17/07/2010  0      3      25     15 
18/07/2010  0      4.7    25     14 
19/07/2010  2      5.1    26     15 
20/07/2010  15     2.7    25     16 
21/07/2010  6      4.9    24     15 
22/07/2010  2      3.8    24     14 
23/07/2010  30     1.6    24     15 
24/07/2010  3      4      27     15 
25/07/2010  6      2.2    24     16 
26/07/2010  20     4.6    25     14 
27/07/2010  0      5      24     14 
28/07/2010  12     0.9    23     15 
29/07/2010  0      4.3    24     15 
30/07/2010  46     3.8    24     15 
31/07/2010  13     4.4    25     15 
01/08/2010  0      5.8    23     14 
02/08/2010  0      1.2    26     15 
03/08/2010  2      3.5    25     12 
04/08/2010  1      4.2    24     13 
05/08/2010  0      4.2    24     15 
06/08/2010  0      1      22     15 
07/08/2010  0      3.4    25     15 
08/08/2010  3      4.1    26     13 
09/08/2010  5      1.2    27     15 
10/08/2010  11     5      26     15 
11/08/2010  2      2.3    25     15 
12/08/2010  9      2.8    25     16 
13/08/2010  12     7.5    22     15 
14/08/2010  2      1.5    26     14 
15/08/2010  0      2.7    23     15 
16/08/2010  0      3.2    24     14 
17/08/2010  3      2.7    24     15 
18/08/2010  11     3.6    25     14 
