CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14164
NOMBRE    : VILLA GUERRERO
ESTADO    : JALISCO
MUNICIPIO : VILLA GUERRERO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.983°
LONGITUD  : -103.600°
ALTITUD   : 1,785 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      4.9    28     5.5 
02/01/2008  0      3.4    26     4 
03/01/2008  0      3      20     0 
04/01/2008  0      4.6    23     0 
05/01/2008  0      2.8    25     1 
06/01/2008  0      5.2    26.5   4 
07/01/2008  0      3.4    26.5   5 
08/01/2008  0      5.2    26     4 
09/01/2008  0      8      26     4.5 
10/01/2008  0      5.5    25.5   4 
11/01/2008  0      3.1    25     5.5 
12/01/2008  0      4.4    25     0.5 
13/01/2008  0      3.1    26     0 
14/01/2008  0      2.7    26     1 
15/01/2008  0      5.5    26     2 
16/01/2008  0      3.2    25     1 
17/01/2008  0      4.7    26.5   1.5 
18/01/2008  0      4.1    26.5   2.5 
19/01/2008  0      2.4    26.5   0.5 
20/01/2008  0      4.1    23     1 
21/01/2008  0      6.8    24     5 
22/01/2008  0      6.8    24.5   6 
23/01/2008  0      2.5    26.5   6.5 
24/01/2008  0      4.1    29     9.5 
25/01/2008  0      9.9    28     9 
26/01/2008  0      5.7    28.5   9 
27/01/2008  0      4.6    27.5   7.5 
28/01/2008  0      4.8    27     8 
29/01/2008  0      4.3    27.5   6.5 
30/01/2008  0      5.2    25     6 
31/01/2008  0      5.2    25     4 
01/02/2008  0      4.6    27     2 
02/02/2008  0      4.8    26.5   6 
03/02/2008  0      5      25.5   5.5 
04/02/2008  0      5.1    26.5   4.5 
05/02/2008  0      4.5    25     5 
06/02/2008  0      4.9    25.5   6 
07/02/2008  0      5      25.5   4 
08/02/2008  0      5.2    25     5.5 
09/02/2008  0.5    5.4    27     6.5 
10/02/2008  0      4.5    28.5   9 
11/02/2008  0      4.3    25.5   4 
12/02/2008  0      4.5    26     5 
13/02/2008  0      6.6    26     3.5 
14/02/2008  0      6.6    26     4 
15/02/2008  0      6      26     4 
16/02/2008  0      5.5    28     3 
17/02/2008  0      5.5    28     3 
18/02/2008  0      7.1    28     4 
19/02/2008  0      5.8    29     5 
20/02/2008  0      6.1    28     6 
21/02/2008  0      6.5    27     5.5 
22/02/2008  0      6.5    26.5   3 
23/02/2008  0      4.7    24.5   3.5 
24/02/2008  0      7.3    32     4 
25/02/2008  0      6.9    32     7.5 
26/02/2008  0      6.9    32     7.5 
27/02/2008  0      6.4    32     6.5 
28/02/2008  0      5.2    27     7 
29/02/2008  0      5.2    28     6 
01/06/2008  0      5.4    35.5   12 
02/06/2008  0      8.5    36     15 
03/06/2008  0      11.6   36     15 
04/06/2008  0      9      37     15 
05/06/2008  0      8.8    37     14 
06/06/2008  0      5.1    35     16 
07/06/2008  0      5      36     13.5 
08/06/2008  23     10.6   29.5   14.5 
09/06/2008  41     7.7    30     12 
10/06/2008  17     7.3    27.5   16 
11/06/2008  14.4   8.5    23     15 
12/06/2008  0      5.3    22     15 
13/06/2008  3.5    5      29     15.5 
14/06/2008  3.5    7.7    31     16 
15/06/2008  1.8    6.2    32     14.5 
16/06/2008  0      1.9    31     15 
17/06/2008  3.3    2.8    27.5   16 
18/06/2008  9.8    9.7    32     14 
19/06/2008  0      5.8    32     12 
20/06/2008  0      5.6    32     14 
21/06/2008  8.6    6.2    30     14 
22/06/2008  9      4.7    31     15.5 
23/06/2008  0      7.8    29     15 
24/06/2008  0      6.5    29     15.5 
25/06/2008  0      6.8    30     15.5 
26/06/2008  0      9.1    32     15 
27/06/2008  1.2   Nulo    32     16 
28/06/2008 Nulo   Nulo   Nulo   Nulo
12/08/2008  15    Nulo   Nulo   Nulo
13/08/2008  7.3   Nulo   Nulo   Nulo
