CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14165
NOMBRE    : VILLA OBREGON
ESTADO    : JALISCO
MUNICIPIO : CAÑADAS DE OBREGON
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.148°
LONGITUD  : -102.689°
ALTITUD   : 1,850 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.8    24     1 
02/01/2008  0      4.2    18     4 
03/01/2008  0      3.3    19    -1 
04/01/2008  0      2.9    22     2 
05/01/2008  0      2.5    24     1 
06/01/2008  0      4.3    25     3 
07/01/2008  0      5.4    25     2 
08/01/2008  0      4.2    25     4 
09/01/2008  0      4.7    25     3 
10/01/2008  0      4.6    23     3 
11/01/2008  0      5      24     3 
12/01/2008  0      3.8    24     1 
13/01/2008  0      4      24    -1 
14/01/2008  0      3.9    24     6 
15/01/2008  0      5.8    21     10 
16/01/2008  0      4.8    20     3 
17/01/2008  0      3.9    21     1 
18/01/2008  0      5.1    20     2 
19/01/2008  0.8    1.4    23     2 
20/01/2008  0      4.4    22     2 
21/01/2008  0      7.4    24     4 
22/01/2008  0      3.8    26     4 
23/01/2008  0      4.5    24     6 
24/01/2008  0      4.4    28     6 
25/01/2008  0      5.2    27     7 
26/01/2008  0      5.4    28     7 
27/01/2008  0      5.4    27     4 
28/01/2008  0      4.8    27     4 
29/01/2008  0      4.8    25     4 
30/01/2008  0      4.9    25     8 
31/01/2008  0      6.8    26     6 
01/02/2008  0      4      26     3 
02/02/2008  0      9.9    24     7 
03/02/2008  0      3.6    26     7 
04/02/2008  0      5.1    25     7 
05/02/2008  0      6.5    25     6 
06/02/2008  0      6.5    25     3 
07/02/2008  0      5.2    25     7 
08/02/2008  0      5.8    25     2 
09/02/2008  0      1.4    25     4 
10/02/2008  0      4.7    25     6 
11/02/2008  0      4.3    23     7 
12/02/2008  0      6.3    24     8 
13/02/2008  0      5.3    25     5 
14/02/2008  0      5.9    25     7 
15/02/2008  0      12.3   26     10 
16/02/2008  0      6.6    27     6 
17/02/2008  0      7      26     6 
18/02/2008  0      7.4    28     3 
19/02/2008  0      7.9    27     7 
20/02/2008  0      6.3    27     4 
21/02/2008  0      6.7    25     7 
22/02/2008  0      6.4    27     7 
23/02/2008  0      5.7    31     3 
24/02/2008  0      1.2    32     4 
25/02/2008  0      6      31     6 
26/02/2008  0      7.8    31     8 
27/02/2008  0      4.7    26     7 
28/02/2008  0      4.2    25     3 
29/02/2008  0      7      25     7 
01/03/2008  0      5      28     6 
02/03/2008  0      6.7    26     11 
03/03/2008  0      8.4    25     10 
04/03/2008  0      6.9    26     10 
05/03/2008  0      9.4    25     8 
06/03/2008  0      8.8    23     6 
07/03/2008  0      4.4    24     2 
08/03/2008  0      7      24     1 
09/03/2008  0      7.1    24     3 
10/03/2008  0      6.5    26     6 
11/03/2008  0      4.6    25     7 
12/03/2008  0      6.5    27     7 
13/03/2008  0      8.6    26     9 
14/03/2008  0      7.5    28     4 
15/03/2008  0      7.7    31     7 
16/03/2008  0      9.3    28     10 
17/03/2008  0      8.3    27     7 
18/03/2008  0      9.8    25     9 
19/03/2008  0      5.7    25     4 
20/03/2008  0      6      27     4 
21/03/2008  0      6.4    29     4 
22/03/2008  0      6.9    29     8 
23/03/2008  0      7.4    28     10 
24/03/2008  0      6.4    28     8 
25/03/2008  0      7.8    27     6 
26/03/2008  0      6.7    29     10 
27/03/2008  0      9.5    29     12 
28/03/2008  0      10.6   29     12 
29/03/2008  0      9.8    30     13 
30/03/2008  0      10     31     10 
31/03/2008  0      6.8    32     10 
01/04/2008  0      7.3    33     9 
02/04/2008  0      7.3    33     8 
03/04/2008  0      8.5    33     11 
04/04/2008  0      10.6   33     12 
05/04/2008  0      5.1    32     10 
06/04/2008  0      4.4    32     11 
07/04/2008  0      16.7   32     10 
08/04/2008  0      10.9   31     8 
09/04/2008  0      9.9    31     11 
10/04/2008  0      9      31     11 
11/04/2008  0      9.2    32     11 
12/04/2008  0      8.1    31     11 
13/04/2008  14.5   4      30     14 
14/04/2008  0      6.3    26     11 
15/04/2008  0      5.4    28     12 
16/04/2008  0      9.1    29     11 
17/04/2008  0      8.4    30     11 
18/04/2008  0      7.8    32     16 
19/04/2008  0      6.6    32     8 
20/04/2008  0      4.4    32     13 
21/04/2008  0      8.2    34     14 
22/04/2008  0      11.9   34     14 
23/04/2008  0      9.7    33     12 
24/04/2008  0      11.7   32     16 
25/04/2008  0      11.2   32     14 
26/04/2008  0      9.7    32     13 
27/04/2008  0      8.3    31     13 
28/04/2008  0      8.7    30     11 
29/04/2008  0      9.2    30     12 
30/04/2008  0      10.6   30     14 
01/05/2008  0      10.5   29     12 
02/05/2008  0      10.8   29     11 
03/05/2008  0      7.6    28     11 
04/05/2008  0      8.7    33     11 
05/05/2008  0      8.7    32     16 
06/05/2008  0      8.6    32     15 
07/05/2008  0      8.5    29     15 
08/05/2008  0      10.5   33     15 
09/05/2008  0      10     33     14 
10/05/2008  0      8.7    35     14 
11/05/2008  0      10.1   32     17 
12/05/2008  0      6.9    33     17 
13/05/2008  0      9.1    32     13 
14/05/2008  0      10.1   31     16 
15/05/2008  0      11.1   28     17 
16/05/2008  0      8.8    29     15 
17/05/2008  0      8.4    29     13 
18/05/2008  0      9      30     13 
19/05/2008  0      7.5    28     14 
20/05/2008  0      8.8    29     14 
21/05/2008  0      8.7    28     14 
22/05/2008  0      9.8    28     11 
23/05/2008  0      8.9    30     12 
24/05/2008  0      8      33     12 
25/05/2008  0      10.5   33     14 
26/05/2008  0      8.8    32     16 
27/05/2008  0      9.1    34     15 
28/05/2008  0      11.6   32     13 
29/05/2008  0      7.1    31     12 
30/05/2008  0      9.3    31     10 
31/05/2008  0      9.3    33     15 
01/06/2008  0      9.4    33     13 
02/06/2008  0      9.7    34     12 
03/06/2008  0      9.7    33     11 
04/06/2008  0      10     36     16 
05/06/2008  0      11.3   32     7 
06/06/2008  24.1   6.4    34     15 
07/06/2008  31.8   6.3    30     15 
08/06/2008  15.7   5.1    29     16 
09/06/2008  38.4  Nulo    26     16 
