CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14167
NOMBRE    : YAHUALICA DE GONZALEZ GALLO (SMN)
ESTADO    : JALISCO
MUNICIPIO : YAHUALICA DE GONZALEZ GALLO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 021.182°
LONGITUD  : -102.891°
ALTITUD   : 1,800 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0     Nulo    28     3 
02/01/2008  0     Nulo    28     3 
03/01/2008  0     Nulo    28     3 
04/01/2008  0     Nulo    28     2 
05/01/2008  0     Nulo    28     2 
06/01/2008  0     Nulo    28     1 
07/01/2008  0     Nulo    28     1 
08/01/2008  0     Nulo    29     1 
09/01/2008  0     Nulo    28     1 
10/01/2008  0     Nulo    28     2 
11/01/2008  0     Nulo    28     2 
12/01/2008  0     Nulo    29     2 
13/01/2008  0     Nulo    29     2 
14/01/2008  0     Nulo    28     2 
15/01/2008  0     Nulo    28     3 
16/01/2008  0     Nulo    28     3 
17/01/2008  0     Nulo    28     5 
18/01/2008  0     Nulo    28     4 
19/01/2008  0     Nulo    28     2 
20/01/2008  0     Nulo    28     2 
21/01/2008  0     Nulo    28     1 
22/01/2008  0     Nulo    28     1 
23/01/2008  0     Nulo    28     1 
24/01/2008  0     Nulo    28     1 
25/01/2008  0     Nulo    28     2 
26/01/2008  0     Nulo    29     2 
27/01/2008  0     Nulo    29     2 
28/01/2008  0     Nulo    29     2 
29/01/2008  0     Nulo    29     1 
30/01/2008  0     Nulo    29     1 
31/01/2008  0     Nulo    29     1 
01/02/2008  0     Nulo    26     2 
02/02/2008  0     Nulo    26     2 
03/02/2008  0     Nulo    26     2 
04/02/2008  0     Nulo    26     2 
05/02/2008  0     Nulo    26     2 
06/02/2008  0     Nulo    26     2 
07/02/2008  0     Nulo    26     3 
08/02/2008  0     Nulo    26     2 
09/02/2008  0     Nulo    26     2 
10/02/2008  0     Nulo    26     2 
11/02/2008  0     Nulo    26     2 
12/02/2008  0     Nulo    24     2 
13/02/2008  0     Nulo    25     2 
14/02/2008  0     Nulo    25     3 
15/02/2008  0     Nulo    25     3 
16/02/2008  0     Nulo    25     3 
17/02/2008  0     Nulo    25     3 
18/02/2008  0     Nulo    25     3 
19/02/2008  0     Nulo    25     3 
20/02/2008  0     Nulo    24     2 
21/02/2008  0     Nulo    24     2 
22/02/2008  0     Nulo    25     2 
23/02/2008  0     Nulo    25     1 
24/02/2008  0     Nulo    25     1 
25/02/2008  0     Nulo    25     2 
26/02/2008  0     Nulo    25     2 
27/02/2008  0     Nulo    25     2 
28/02/2008  0     Nulo    25     2 
29/02/2008  0     Nulo    25     1 
01/03/2008  0     Nulo    29     6 
02/03/2008  0     Nulo    29     6 
03/03/2008  0     Nulo    29     7 
04/03/2008  0     Nulo    29     7 
05/03/2008  0     Nulo    29     8 
06/03/2008  0     Nulo    29     8 
07/03/2008  0     Nulo    29     7 
08/03/2008  0     Nulo    29     6 
09/03/2008  0     Nulo    29     6 
10/03/2008  0     Nulo    28     6 
11/03/2008  0     Nulo    28     5 
12/03/2008  0     Nulo    28     5 
13/03/2008  0     Nulo    28     5 
14/03/2008  0     Nulo    28     5 
15/03/2008  0     Nulo    29     5 
16/03/2008  0     Nulo    29     6 
17/03/2008  0     Nulo    28     6 
18/03/2008  0     Nulo    28     4 
19/03/2008  0     Nulo    28     3 
20/03/2008  0     Nulo    28     4 
