CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14168
NOMBRE    : ZACOALCO DE TORRES
ESTADO    : JALISCO
MUNICIPIO : ZACOALCO DE TORRES
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.228°
LONGITUD  : -103.569°
ALTITUD   : 1,350 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0     Nulo    29     9 
02/01/2008  0     Nulo    26     9 
03/01/2008  0     Nulo    31     9 
04/01/2008  0     Nulo    32     7 
05/01/2008  0     Nulo    32     7 
06/01/2008  0     Nulo    34     8 
07/01/2008  0     Nulo    33     7 
08/01/2008  0     Nulo    34     6 
09/01/2008  0     Nulo    30     7 
10/01/2008  0     Nulo    34     7 
11/01/2008  0     Nulo    31     8 
12/01/2008  0     Nulo    29     8 
13/01/2008  0     Nulo    37     5 
14/01/2008  0     Nulo    32     7 
15/01/2008  0     Nulo    25     11 
16/01/2008  0     Nulo    25     7 
17/01/2008  0     Nulo    31     7 
18/01/2008  0     Nulo    24     11 
19/01/2008  0     Nulo    25     10 
20/01/2008  0     Nulo    29     10 
21/01/2008  0     Nulo    26     9 
22/01/2008  0     Nulo    29     9 
23/01/2008  0     Nulo    29     10 
24/01/2008  0     Nulo    29     11 
25/01/2008  0     Nulo    29     13 
26/01/2008  0     Nulo    29     17 
27/01/2008  0     Nulo    29     12 
28/01/2008  0     Nulo    27     11 
29/01/2008  0     Nulo    27     11 
30/01/2008  0     Nulo    29     10 
31/01/2008  0     Nulo    22     10 
01/02/2008  0     Nulo    18     10.5 
02/02/2008  0     Nulo    28     9 
03/02/2008  0     Nulo    27     10 
04/02/2008  0     Nulo    28     11 
05/02/2008  0     Nulo    29     9 
06/02/2008  0     Nulo    29     8 
07/02/2008  0     Nulo    27     9 
08/02/2008  0     Nulo    29     10 
09/02/2008  0     Nulo    28     10 
10/02/2008  0     Nulo    28     10 
11/02/2008  0     Nulo    28     10 
12/02/2008  0     Nulo    28     9 
13/02/2008  0     Nulo    29     9 
14/02/2008  0     Nulo    29     8 
15/02/2008  0     Nulo    30     8 
16/02/2008  0     Nulo    29     9 
17/02/2008  0     Nulo    30     11 
18/02/2008  0     Nulo    30     10 
19/02/2008  0     Nulo    30     10 
20/02/2008  0     Nulo    30     10 
21/02/2008  0     Nulo    30     10 
22/02/2008  0     Nulo    30     10 
23/02/2008  0     Nulo    32     9 
24/02/2008  0     Nulo    33     10 
25/02/2008  0     Nulo    33     13 
26/02/2008  0     Nulo    32     10 
27/02/2008  0     Nulo    29     10 
28/02/2008  0     Nulo    29     11 
29/02/2008  0     Nulo    30     9 
01/03/2008  0     Nulo    30     11 
02/03/2008  0     Nulo    31     11 
03/03/2008  0     Nulo    30     9 
04/03/2008  0     Nulo    30     14 
05/03/2008  0     Nulo    30     10 
06/03/2008  0     Nulo    30     9 
07/03/2008  0     Nulo    28     6 
08/03/2008  0     Nulo    27     7 
09/03/2008  0     Nulo    29     7 
10/03/2008  0     Nulo    30     8 
11/03/2008  0     Nulo    30     10 
12/03/2008  0     Nulo    29     10 
13/03/2008  0     Nulo    32     12 
14/03/2008  0     Nulo    32     9 
15/03/2008  0     Nulo    31     11 
16/03/2008  0     Nulo    32     11 
17/03/2008  0     Nulo    32     11 
18/03/2008  0     Nulo    30     8 
19/03/2008  0     Nulo    29     11 
20/03/2008  0     Nulo    30     12 
21/03/2008  0     Nulo    32     11 
22/03/2008  0     Nulo    32     12 
23/03/2008  0     Nulo    32     11 
24/03/2008  0     Nulo    30     13 
25/03/2008  0     Nulo    30     12 
26/03/2008  0     Nulo    32     12 
27/03/2008  0     Nulo    33     12 
28/03/2008  0     Nulo    33     11 
29/03/2008  0     Nulo    33     12 
30/03/2008  0     Nulo    34     11 
31/03/2008  0     Nulo    31     12 
01/04/2008  0     Nulo    36     11 
02/04/2008  0     Nulo    36     14 
03/04/2008  13    Nulo    35     12 
04/04/2008  0     Nulo    36     14 
05/04/2008  0     Nulo    33     14 
06/04/2008  0     Nulo    33     14 
07/04/2008  0     Nulo    33     13 
08/04/2008  0     Nulo    34     14 
09/04/2008  0     Nulo    34     14 
10/04/2008  0     Nulo    34     14 
11/04/2008  0     Nulo    34     12 
12/04/2008  0     Nulo    34     15 
13/04/2008  0     Nulo    30     18 
14/04/2008  0     Nulo    30     16 
15/04/2008  0     Nulo    32     16 
16/04/2008  0     Nulo    34     15 
17/04/2008  0     Nulo    32     13 
18/04/2008  0     Nulo    34     11 
19/04/2008  0     Nulo    35     15 
20/04/2008  0     Nulo    30     15 
21/04/2008  0     Nulo    32     13 
22/04/2008  0     Nulo    37     14 
23/04/2008  0     Nulo    36     12 
24/04/2008  0     Nulo    31     18 
25/04/2008  0     Nulo    35     15 
26/04/2008  0     Nulo    35     16 
27/04/2008  0     Nulo    34     14 
28/04/2008  0     Nulo    34     16 
29/04/2008  0     Nulo    34     19 
30/04/2008  0     Nulo    33     16 
01/05/2008  0     Nulo    34     14 
02/05/2008  0     Nulo    34     12 
03/05/2008  0     Nulo    34     15 
04/05/2008  0     Nulo    35     15 
05/05/2008  0     Nulo    34     18 
06/05/2008  0     Nulo    34     17 
07/05/2008  0     Nulo    32     18 
08/05/2008  0     Nulo    38     16 
09/05/2008  0     Nulo    35     17 
10/05/2008  0     Nulo    36     16 
11/05/2008  0     Nulo    37     19 
12/05/2008  2     Nulo    34     20 
13/05/2008  0     Nulo    32     15 
14/05/2008  0     Nulo    33     10 
15/05/2008  0     Nulo    27     16 
16/05/2008  0     Nulo    32     16 
17/05/2008  0     Nulo    32     16 
18/05/2008  0     Nulo    32     15 
19/05/2008  0     Nulo    29     16 
20/05/2008  0     Nulo    30     15 
21/05/2008  0     Nulo    29     14 
22/05/2008  0     Nulo    29     13 
23/05/2008  0     Nulo    31     12 
24/05/2008  0     Nulo    32     15 
25/05/2008  0     Nulo    35     18 
26/05/2008  0     Nulo    34     18 
27/05/2008  0     Nulo    35     18 
28/05/2008  0     Nulo    33     19 
29/05/2008  0     Nulo    32     19 
30/05/2008  0     Nulo    34     19 
31/05/2008  0     Nulo    33     19 
01/07/2008  0     Nulo    27     19 
02/07/2008  20    Nulo    28     18 
03/07/2008  0     Nulo    28     19 
04/07/2008  0     Nulo    30     18 
05/07/2008  20    Nulo    29     19 
06/07/2008  20    Nulo    25     19 
07/07/2008  8     Nulo    26     18 
08/07/2008  0     Nulo    25     19 
09/07/2008  0     Nulo    22     18 
10/07/2008  11    Nulo    25     17 
11/07/2008  0     Nulo    26     17 
12/07/2008  0     Nulo    28     17 
13/07/2008  9     Nulo    28     17 
14/07/2008  9     Nulo    29     17 
15/07/2008  0     Nulo    20     17 
16/07/2008  0     Nulo    29     17 
17/07/2008  0     Nulo    29     18 
18/07/2008  0     Nulo    28     17 
19/07/2008  0     Nulo    25     19 
20/07/2008  0     Nulo    29     18 
21/07/2008  0     Nulo    29     19 
22/07/2008  0     Nulo    30     17 
23/07/2008  0     Nulo    30     19 
24/07/2008  0     Nulo    31     19 
25/07/2008  0     Nulo    27     18 
26/07/2008  0     Nulo    28     17 
27/07/2008  0     Nulo    28     18 
28/07/2008  0     Nulo    29     17 
29/07/2008  9     Nulo    30     18 
30/07/2008  0     Nulo    28     17 
31/07/2008  0     Nulo    28     18 
01/08/2008  0     Nulo    30     18 
02/08/2008  0     Nulo    26     19 
03/08/2008  0     Nulo    28     17 
04/08/2008  0     Nulo    29     18 
05/08/2008  0     Nulo    29     18 
06/08/2008  0     Nulo    30     18 
07/08/2008  0     Nulo    29     20 
08/08/2008  0     Nulo    27     17 
09/08/2008  0     Nulo    29     16 
10/08/2008  0     Nulo    30     20 
11/08/2008  0     Nulo    30     19 
12/08/2008  0     Nulo    23     19 
13/08/2008  0     Nulo    28     17 
14/08/2008  0     Nulo    30     18 
15/08/2008  0     Nulo    29     18 
16/08/2008  0     Nulo    29     19 
17/08/2008  20    Nulo    30     19 
18/08/2008  0     Nulo    27     20 
19/08/2008  0     Nulo    30     18 
20/08/2008  0     Nulo    27     19 
21/08/2008  0     Nulo    29     17 
22/08/2008  0     Nulo    26     19 
23/08/2008  0     Nulo    25     13 
24/08/2008  7     Nulo    28     16 
25/08/2008  2     Nulo    29     16 
26/08/2008  6     Nulo    25     19 
27/08/2008  0     Nulo    26     19 
28/08/2008  0     Nulo    26     18 
29/08/2008  0     Nulo    28     18 
30/08/2008  0     Nulo    25     18 
31/08/2008  0     Nulo    26     19 
01/09/2008  0     Nulo    29     17 
02/09/2008  5     Nulo    29     19 
03/09/2008  0     Nulo    28     19 
04/09/2008  0     Nulo    29     18 
05/09/2008  0     Nulo    29     18 
06/09/2008  0     Nulo    29     19 
07/09/2008  0     Nulo    26     19 
08/09/2008  0     Nulo    28     18 
09/09/2008  0     Nulo    28     18 
10/09/2008  7     Nulo    28     20 
11/09/2008  0     Nulo    28     18 
12/09/2008  0     Nulo    28     18 
13/09/2008  0     Nulo    29     18 
14/09/2008  0     Nulo    25     18 
15/09/2008  0     Nulo    21     18 
16/09/2008  0     Nulo    25     16 
17/09/2008  0     Nulo    27     18 
18/09/2008  0     Nulo    22     16 
19/09/2008  0     Nulo    27     18 
20/09/2008  0     Nulo    27     18 
21/09/2008  0     Nulo    27     19 
22/09/2008  0     Nulo    26     18 
23/09/2008  14    Nulo    27     19 
24/09/2008  0     Nulo    28     17 
25/09/2008  0     Nulo    26     19 
26/09/2008  0     Nulo    27     21 
27/09/2008  0     Nulo    29     17 
28/09/2008  0     Nulo    29     18 
29/09/2008  0     Nulo    27     16 
30/09/2008  0     Nulo    27     16 
01/10/2008  0     Nulo    28     9 
02/10/2008  0     Nulo    27     12 
