CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14169
NOMBRE    : ZAPOPAN
ESTADO    : JALISCO
MUNICIPIO : ZAPOPAN
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.720°
LONGITUD  : -103.392°
ALTITUD   : 1,560 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0     Nulo    25.5   9 
02/01/2008  0     Nulo    19.5   8 
03/01/2008  0     Nulo    21     4 
04/01/2008  0     Nulo    24     5 
05/01/2008  0     Nulo    25     6 
06/01/2008  0     Nulo    26     7 
07/01/2008  0     Nulo    26.5   8 
08/01/2008  0     Nulo    26     7.5 
09/01/2008  0     Nulo    25.5   7.5 
10/01/2008  0     Nulo    24.5   7.5 
11/01/2008  0     Nulo    25     8 
12/01/2008  0     Nulo    24     7.5 
13/01/2008  0     Nulo    25     5.5 
14/01/2008  0     Nulo    24.5   8.5 
15/01/2008  0     Nulo    22.5   11 
16/01/2008  0     Nulo    22     8 
17/01/2008  0     Nulo    21     7 
18/01/2008  0     Nulo    20     8.5 
19/01/2008  0     Nulo    23     7 
20/01/2008  0     Nulo    25     7.5 
21/01/2008  0     Nulo    25     8 
22/01/2008  0     Nulo    26.5   9.5 
23/01/2008  0     Nulo    24     11 
24/01/2008  0     Nulo    27.5   11 
25/01/2008  0     Nulo    28.5   11.5 
26/01/2008  0     Nulo    28.5   12 
27/01/2008  0     Nulo    28.5   11.5 
28/01/2008  0     Nulo    27     11.5 
29/01/2008  0     Nulo    25.5   10.5 
30/01/2008  0     Nulo    26.5   10.5 
31/01/2008  0     Nulo    26.5   10 
01/02/2008  0     Nulo    27     10.5 
02/02/2008  0     Nulo    26     10 
03/02/2008  0     Nulo    26     10 
04/02/2008  0     Nulo    26     10 
05/02/2008  0     Nulo    26     9.5 
06/02/2008  0     Nulo    25     10 
07/02/2008  0     Nulo    26     10 
08/02/2008  0     Nulo    27     9.5 
09/02/2008  0     Nulo    28     10 
10/02/2008  0     Nulo    25.5   10.5 
11/02/2008  0     Nulo    25     11 
12/02/2008  0     Nulo    27     9 
13/02/2008  0     Nulo    27     10 
14/02/2008  0     Nulo    27.5   9 
15/02/2008  0     Nulo    27.5   9 
16/02/2008  0     Nulo    28     9 
17/02/2008  0     Nulo    28     9.5 
18/02/2008  0     Nulo    28     9 
19/02/2008  0     Nulo    29     9 
20/02/2008  0     Nulo    28     9 
21/02/2008  0     Nulo    27.5   9.5 
22/02/2008  0     Nulo    29     10 
23/02/2008  0     Nulo    30.5   10 
24/02/2008  0     Nulo    33     10 
25/02/2008  0     Nulo    31     12.5 
26/02/2008  0     Nulo    30.5   11.5 
27/02/2008  0     Nulo    29     12 
28/02/2008  0     Nulo    27.5   11.5 
29/02/2008  0     Nulo    27.5   11 
01/03/2008  0     Nulo    28     12 
02/03/2008  0     Nulo    28.5   11 
03/03/2008  0     Nulo    27     9.5 
04/03/2008  0     Nulo    27.5   11.5 
05/03/2008  0     Nulo    27     9.5 
06/03/2008  0     Nulo    24.5   9 
07/03/2008  0     Nulo    24.5   6 
08/03/2008  0     Nulo    25.5   9 
09/03/2008  0     Nulo    25.5   8.5 
10/03/2008  0     Nulo    26.5   8 
11/03/2008  0     Nulo    27     10.5 
12/03/2008  0     Nulo    29     11.5 
13/03/2008  0     Nulo    28     12 
14/03/2008  0     Nulo    29     10 
15/03/2008  0     Nulo    30     10 
16/03/2008  0     Nulo    30     11 
17/03/2008  0     Nulo    27.5   11.5 
18/03/2008  0     Nulo    26     9 
19/03/2008  0     Nulo    26     7.5 
20/03/2008  0     Nulo    28     10 
21/03/2008  0     Nulo    29.5   11.5 
22/03/2008  0     Nulo    30     12.5 
23/03/2008  0     Nulo    30     12.5 
24/03/2008  0     Nulo    28.5   12.5 
25/03/2008  0     Nulo    28     12.5 
26/03/2008  0     Nulo    30     13 
27/03/2008  0     Nulo    30     12 
28/03/2008  0     Nulo    31.5   12 
29/03/2008  0     Nulo    31.5   12 
30/03/2008  0     Nulo    32.5   12.5 
31/03/2008  0     Nulo    32.5   13 
01/04/2008  0     Nulo    33.5   13 
02/04/2008  0     Nulo    34     13.5 
03/04/2008  0     Nulo    32.5   14 
04/04/2008  0     Nulo    32.5   14 
05/04/2008  0     Nulo    32     13 
06/04/2008  0     Nulo    32     12.5 
07/04/2008  0     Nulo    31     12 
08/04/2008  0     Nulo    32     13.5 
09/04/2008  0     Nulo    31     12.5 
10/04/2008  0     Nulo    32.5   12 
11/04/2008  0     Nulo    32.5   13.5 
12/04/2008  0     Nulo    33.5   14 
13/04/2008  0     Nulo    30     14.5 
14/04/2008  0     Nulo    34     13.5 
15/04/2008  0     Nulo    30     14 
16/04/2008  0     Nulo    30.5   14 
17/04/2008  0     Nulo    30     14.5 
18/04/2008  0     Nulo    32     12.5 
19/04/2008  0     Nulo    34     14.5 
20/04/2008  0     Nulo    34     15 
21/04/2008  0     Nulo    34.5   15.5 
22/04/2008  0     Nulo    34     16 
23/04/2008  0     Nulo    34     15 
24/04/2008  0     Nulo    33     16 
25/04/2008  0     Nulo    33.5   15 
26/04/2008  0     Nulo    34     15 
27/04/2008  0     Nulo    34     15 
28/04/2008  0     Nulo    32.5   15 
29/04/2008  0     Nulo    30     17 
30/04/2008  0     Nulo    30     15.5 
01/05/2008  0     Nulo    30     13.5 
02/05/2008  0     Nulo    31.5   13 
03/05/2008  0     Nulo    33     13.5 
04/05/2008  0     Nulo    33.5   14 
05/05/2008  0     Nulo    33     15 
06/05/2008  0     Nulo    32     16.5 
07/05/2008  0     Nulo    30     17 
08/05/2008  0     Nulo    33     16 
09/05/2008  0     Nulo    33     16.5 
10/05/2008  0     Nulo    35     17 
11/05/2008  0     Nulo    36     18 
12/05/2008  0     Nulo    34     19 
13/05/2008  0     Nulo    33     17 
14/05/2008  0     Nulo    31.5   17 
15/05/2008  2.5   Nulo    28     18 
16/05/2008  0     Nulo    29.5   16 
17/05/2008  0     Nulo    30.5   15.5 
18/05/2008  0     Nulo    30     15 
19/05/2008  0     Nulo    31     14.5 
20/05/2008  0     Nulo    29     14 
21/05/2008  0     Nulo    29     15 
22/05/2008  0     Nulo    29     13 
23/05/2008  0     Nulo    29.5   13 
24/05/2008  0     Nulo    33     13 
25/05/2008  0     Nulo    34.5   14.5 
26/05/2008  0     Nulo    33     17 
27/05/2008  0     Nulo    34     16 
28/05/2008  0     Nulo    33     17.5 
29/05/2008  0     Nulo    31.5   17 
30/05/2008  0     Nulo    32.5   18 
31/05/2008  0     Nulo    32.5   17 
01/06/2008  0     Nulo    34     17.5 
02/06/2008  0     Nulo    34     18 
03/06/2008  0     Nulo    34     19 
04/06/2008  0     Nulo    33     18 
05/06/2008  0     Nulo    31     17 
06/06/2008  0     Nulo    31.5   16 
07/06/2008  42    Nulo    32     17.5 
08/06/2008  38    Nulo    30     15.5 
09/06/2008  8.5   Nulo    23     17 
10/06/2008  48    Nulo    21     16 
11/06/2008  44    Nulo    23.5   16 
12/06/2008  0     Nulo    26     15.5 
13/06/2008  5.5   Nulo    28     16 
14/06/2008  0     Nulo    30     16 
15/06/2008  22    Nulo    29.5   17.5 
16/06/2008  40    Nulo    28.5   15.5 
17/06/2008  4.3   Nulo    30     16.5 
18/06/2008  1     Nulo    31     17 
19/06/2008  0     Nulo    31     17.5 
20/06/2008  56    Nulo    32     18.5 
21/06/2008  27.5  Nulo    29     15.5 
22/06/2008  27.5  Nulo    28     15 
23/06/2008  7     Nulo    28.5   13.5 
24/06/2008  13.5  Nulo    28     16 
25/06/2008  2     Nulo    28.5   15 
26/06/2008  7.5   Nulo    29     16.5 
27/06/2008  20.5  Nulo    29     15 
28/06/2008  0     Nulo    28.5   14.5 
29/06/2008  17    Nulo    28     16 
30/06/2008  3     Nulo    28     16.5 
01/07/2008  5     Nulo    25     16 
02/07/2008  0     Nulo    26     17 
03/07/2008  1.5   Nulo    26.5   18 
04/07/2008  54    Nulo    26.5   17 
05/07/2008  17.5  Nulo    26.5   15.5 
06/07/2008  10.5  Nulo    26     16 
07/07/2008  25.5  Nulo    24     16.5 
08/07/2008  47.5  Nulo    22.5   16 
09/07/2008  10.5  Nulo    22     16.5 
10/07/2008  11.5  Nulo    24.5   16 
11/07/2008  0     Nulo    26     15.5 
12/07/2008  0     Nulo    26     16 
13/07/2008  0     Nulo    25.5   16.5 
14/07/2008  0     Nulo    26     17 
15/07/2008  21.5  Nulo    28     17 
16/07/2008  0     Nulo    28     15 
17/07/2008  0     Nulo    29     16.5 
18/07/2008  15.5  Nulo    27     16 
19/07/2008  5     Nulo    25.5   15.5 
20/07/2008  15.3  Nulo    26.5   14.5 
21/07/2008  0     Nulo    27     16 
22/07/2008  0     Nulo    28     16 
23/07/2008  3     Nulo    28.5   17.5 
24/07/2008  21.5  Nulo    28.5   17 
25/07/2008  2.5   Nulo    27     15.5 
26/07/2008  8     Nulo    27     16 
27/07/2008  0     Nulo    26     14.5 
28/07/2008  0     Nulo    28     15 
29/07/2008  7.5   Nulo    27     16.5 
30/07/2008  0     Nulo    27     15.5 
31/07/2008  32.5  Nulo    27     16 
01/08/2008  0     Nulo    28.5   15.5 
02/08/2008  0     Nulo    26.5   16.5 
03/08/2008  3.5   Nulo    25.5   15.5 
04/08/2008  7.4   Nulo    26     16.5 
05/08/2008  11    Nulo    28     17 
06/08/2008  19.5  Nulo    27.5   16.5 
07/08/2008  0     Nulo    24.5   15 
08/08/2008  1     Nulo    26.5   16.5 
09/08/2008  0     Nulo    27.5   15 
10/08/2008  0     Nulo    28     16.5 
11/08/2008  16    Nulo    29     17 
12/08/2008  0     Nulo    27.5   17 
13/08/2008  0     Nulo    29     16.5 
14/08/2008  0     Nulo    28     17.5 
15/08/2008  20    Nulo    28     17 
16/08/2008  0     Nulo    28.5   17 
17/08/2008  0     Nulo    23.5   17.5 
18/08/2008  0     Nulo    27.5   17.5 
19/08/2008  0     Nulo    25.5   17 
20/08/2008  17    Nulo    24     17.5 
21/08/2008  32    Nulo    25     16.5 
22/08/2008  0     Nulo    26.5   16.5 
23/08/2008  0     Nulo    26     16.5 
24/08/2008  7     Nulo    26     15.5 
25/08/2008  3     Nulo    27.5   17 
26/08/2008  16.5  Nulo    24     17 
27/08/2008  4     Nulo    24     16.5 
28/08/2008  18.5  Nulo    24.5   17 
29/08/2008  14.5  Nulo    25.5   17 
30/08/2008  31    Nulo    26     17 
31/08/2008  0     Nulo    26     16 
01/09/2008  0     Nulo    28     15 
02/09/2008  33.5  Nulo    29     15.5 
03/09/2008  6.3   Nulo    29     16 
04/09/2008  0     Nulo    29     16 
05/09/2008  0     Nulo    27.5   16.5 
06/09/2008  0     Nulo    28     17 
07/09/2008  10.8  Nulo    26.5   14.5 
08/09/2008  3     Nulo    26.5   17.5 
09/09/2008  24    Nulo    26     17 
10/09/2008  16.2  Nulo    26     17 
11/09/2008  0     Nulo    26     17 
12/09/2008  0     Nulo    27.5   16.5 
13/09/2008  14    Nulo    28     17.5 
14/09/2008  9.3   Nulo    28     15.5 
15/09/2008  12    Nulo    20     16 
16/09/2008  5     Nulo    25     16 
17/09/2008  0     Nulo    26.5   16.5 
18/09/2008  34.7  Nulo    27     16.5 
19/09/2008  25.7  Nulo    27     15 
20/09/2008  10    Nulo    26     15.5 
21/09/2008  11    Nulo    24.5   15.5 
22/09/2008  0     Nulo    27     16.5 
23/09/2008  6     Nulo    25     16.5 
24/09/2008  0     Nulo    23     17 
