CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14179
NOMBRE    : OJUELOS DE JALISCO (DGE)
ESTADO    : JALISCO
MUNICIPIO : OJUELOS DE JALISCO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 021.866°
LONGITUD  : -101.593°
ALTITUD   : 2,220 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      5      23     1 
02/01/2008  0      5.5    20    -3 
03/01/2008  0      6      11    -5 
04/01/2008  0      5.5    19    -3 
05/01/2008  0      5      22    -3 
06/01/2008  0      2      22     0 
07/01/2008  0      5      21     3 
08/01/2008  0      6      21     4 
09/01/2008  0      6      21     0 
10/01/2008  0      4      19     1 
11/01/2008  0      7      21     1 
12/01/2008  0      6      20    -2 
13/01/2008  0      5      20     1 
14/01/2008  0      5      18     3 
15/01/2008  0      2      18     4 
16/01/2008  0      7      17     3 
17/01/2008  0      5      19     2 
18/01/2008  0      5      17     1 
19/01/2008  0      5      18     0 
20/01/2008  0      5      16    -1 
21/01/2008  0      1      20     1 
22/01/2008  0      5      22     1 
23/01/2008  0      4      24     2 
24/01/2008  0      6      24     2 
25/01/2008  0      4      25     2 
26/01/2008  0      2      22     5 
27/01/2008  0      6      21     2 
28/01/2008  0      5      20     2 
29/01/2008  0      6      21     2 
30/01/2008  0      4.5    22     3 
31/01/2008  0      7      23     4 
01/02/2008  0      8      21     5 
02/02/2008  0      3      23     4 
03/02/2008  0      7      22     1 
04/02/2008  0      5      21     3 
05/02/2008  0      8      21     4 
06/02/2008  0      8      21     1 
07/02/2008  0      8      21     1 
08/02/2008  0      6      19     1 
09/02/2008  0      7      22     2 
10/02/2008  5      5      20     2 
11/02/2008  0      5      19     5 
12/02/2008  0      6      20     4 
13/02/2008  0      7      21     2 
14/02/2008  0      5      22     3 
15/02/2008  0      5      24     3 
16/02/2008  0      1      23     4 
17/02/2008  0      8      23     4 
18/02/2008  0      7      25     3 
19/02/2008  0      1      24     2 
20/02/2008  0      5      23     3 
21/02/2008  0      1      22     4 
22/02/2008  0      7      23     5 
23/02/2008  0      7      26     3 
24/02/2008  0      6      27     4 
25/02/2008  0      7      28     4 
26/02/2008  0      7      25     5 
27/02/2008  0      1      17     5 
28/02/2008  0      7      22     0 
29/02/2008  0      5      23     2 
01/03/2008  0      8      23     5 
02/03/2008  0      5      23     4 
03/03/2008  0      9      23     5 
04/03/2008  0      8      22     2 
05/03/2008  0      8      22     2 
06/03/2008  0      1      19     5 
07/03/2008  0      1      19     0 
08/03/2008  0      7      20    -3 
09/03/2008  0      7      20    -3 
10/03/2008  0      5.2    23    -2 
11/03/2008  0      4      22     3 
12/03/2008  0      6      24     3 
13/03/2008  0      1.1    22     4 
14/03/2008  0      9      25     3 
15/03/2008  0      7      26     2 
16/03/2008  0      7      25     4 
17/03/2008  0      1.1    24     4 
18/03/2008  0      1.1    22     7 
19/03/2008  0      4.7    21    -2 
20/03/2008  0      7      23     0 
21/03/2008  0      8      24     2 
22/03/2008  0      5      25     4 
23/03/2008  0      7      25     4 
24/03/2008  0      9      23     6 
25/03/2008  0      4      24     5 
26/03/2008  0      6      25     4 
27/03/2008  0      8      25     6 
28/03/2008  0      1.1    27     8 
29/03/2008  0      8      27     7 
30/03/2008  0      1      28     8 
31/03/2008  0      1.2    29     8 
01/04/2008  0      9      30     6 
02/04/2008  0      7      29     6 
03/04/2008  0      9      29     9 
04/04/2008  0      11     28     8 
05/04/2008  0      10     26     7 
06/04/2008  0      10     26     7 
07/04/2008  0      10     27     5 
08/04/2008  0      10     28     7 
09/04/2008  0      11     27     8 
10/04/2008  0      12     27     6 
11/04/2008  0      11     29     7 
12/04/2008  5      10     26     9 
13/04/2008  1      7.5    19     8 
14/04/2008  0      5      20     5 
15/04/2008  0      6      24     5 
16/04/2008  0      6      21     5.5 
17/04/2008  0      9      26     7 
18/04/2008  0      10     28     6 
19/04/2008  0      9      29     6 
20/04/2008  0      9      29     7 
21/04/2008  0      11     31     9 
22/04/2008  0      10     31     10 
23/04/2008  0      10     31     10 
24/04/2008  0      11     29     11 
25/04/2008  0      12     29     8 
26/04/2008  0      13     29     8 
27/04/2008  0      11     29     8 
28/04/2008  0.5    10     24     8 
29/04/2008  0      5      26     6 
30/04/2008  0      12     27     6 
01/05/2008  0      12     26     8 
02/05/2008  0      11     27     9 
03/05/2008  0      10     29     6 
04/05/2008  0      11     26     7 
05/05/2008  0      6      27     13 
06/05/2008  0      6      30     10 
07/05/2008  0      7      28     10 
08/05/2008  0      1.1    31     10 
09/05/2008  0      8      31     11 
10/05/2008  0      9      31     11 
11/05/2008  0      9      32     12 
12/05/2008  2      12     29     12 
13/05/2008  2      3      28     9 
14/05/2008  1      8      27     9 
15/05/2008  3      6      21     12 
16/05/2008  0      6      21     10 
17/05/2008  0      8      26     10 
18/05/2008  0      7      25     10 
19/05/2008  0      6      24     10 
20/05/2008  0      7      24     7 
21/05/2008  0      6      25     8 
22/05/2008  0      1      25     8 
23/05/2008  0      1.2    26     8 
24/05/2008  0      9      29     9 
25/05/2008  0      1      29     9 
26/05/2008  0      9      29     11 
27/05/2008  0      7      27     11 
28/05/2008  0      9      26     9 
29/05/2008  0      9      25     8 
30/05/2008  0      9      27     7 
31/05/2008  0      10     27     9 
01/06/2008  0      10     28     9 
02/06/2008  0      10     28     9 
03/06/2008  0      10     28     9 
04/06/2008  0      10     30     10 
05/06/2008  0      11     35     11 
06/06/2008  0      9      29     12 
07/06/2008  2      10     25     11 
08/06/2008  2      5      21     12 
09/06/2008  0      1      23     10 
10/06/2008  27     4      22     10 
11/06/2008  17     4      19     11 
12/06/2008  0      11     24     10 
13/06/2008  0      5      26     10 
14/06/2008  0      8      25     10 
15/06/2008  0      8      25     11 
16/06/2008  0      5      27     9 
17/06/2008  0      7      28     10 
18/06/2008  0      8      27     11 
19/06/2008  0      8      27     12 
20/06/2008  1      10     28     10 
21/06/2008  0      8      25     10 
22/06/2008  0      7      24     10 
23/06/2008  0      7      26     9 
24/06/2008  0      6      24     9 
25/06/2008  0      8      25     10 
26/06/2008  0      8      26     8 
27/06/2008  0      7      26     9 
28/06/2008  0      7      26     10 
29/06/2008  0      8      22     11 
30/06/2008  0      7      22     11 
01/07/2008  41     7      21     11 
02/07/2008  7     Nulo    22     11 
