CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14187
NOMBRE    : TEQUILA
ESTADO    : JALISCO
MUNICIPIO : TEQUILA
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 020.883°
LONGITUD  : -103.837°
ALTITUD   : 1,180 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      2.3    29     9 
02/01/2008  0      3.9    26     10 
03/01/2008  0      3.7    24     9 
04/01/2008  0      3.5    27     8 
05/01/2008  0      2.8    30     8 
06/01/2008  0      3.2    30     8 
07/01/2008  0      1.9    30     8 
08/01/2008  0      4.3    29     9 
09/01/2008  0      1.2    30     9 
10/01/2008  0      3      28     8 
11/01/2008  0      3.6    29     9 
12/01/2008  0      3      28     7 
13/01/2008  0      2      27     6 
14/01/2008  0      4      28     7 
15/01/2008  0      3.8    27     10 
16/01/2008  0      4.1    26     8 
17/01/2008  0      4.2    27     6 
18/01/2008  0      1.5    27     7 
19/01/2008  0      3.7    28     8 
20/01/2008  0      1.5    28     8 
21/01/2008  0      2      29     9 
22/01/2008  0      3.6    30     10 
23/01/2008  0      3.4    32     11 
24/01/2008  0      3.8    32     12 
25/01/2008  0      4.7    32     12 
26/01/2008  0      3.9    32     13 
27/01/2008  0      3.9    33     12 
28/01/2008  0      3.2    32     12 
29/01/2008  0      3.9    30     11 
30/01/2008  0      3.7    30     11 
31/01/2008  0      4.5    31     10 
01/02/2008  0      4.6    30     11 
02/02/2008  0      2.6    31     10 
03/02/2008  0      3.8    30     10 
04/02/2008  0      4.5    30     11 
05/02/2008  0      3.1    30     10 
06/02/2008  0      3.5    31     9 
07/02/2008  0      5      28     9 
08/02/2008  0      5.3    29     10 
09/02/2008  0      4.9    30     10 
10/02/2008  0      4.4    31     10 
11/02/2008  0      2.7    29     11 
12/02/2008  0      4.5    30     11 
13/02/2008  0      4.2    30     10 
14/02/2008  0      4.2    32     10 
15/02/2008  0      5.6    31     9 
16/02/2008  0      5.4    32     10 
17/02/2008  0      4.4    32     10 
18/02/2008  0      3.5    32     9 
19/02/2008  0      2.9    33     10 
20/02/2008  0      5.8    30     10 
21/02/2008  0      4.6    30     11 
22/02/2008  0      4.3    32     10 
23/02/2008  0      4.6    32     9 
24/02/2008  0      4.8    36     10 
25/02/2008  0      5.2    35     10 
26/02/2008  0      4.9    35     11 
27/02/2008  0      6      31     11 
28/02/2008  0      4.7    32     12 
29/02/2008  0      5.3    32     12 
01/03/2008  0      5.2    33     11 
02/03/2008  0      5      33     12 
03/03/2008  0      5.9    32     10 
