CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14189
NOMBRE    : TIZAPAN EL ALTO (DGE)
ESTADO    : JALISCO
MUNICIPIO : TIZAPAN EL ALTO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 020.158°
LONGITUD  : -103.043°
ALTITUD   : 1,550 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      5.4    23     8.5 
02/01/2008  0      5.4    18     8 
03/01/2008  0      3.2    17     5 
04/01/2008  0      0.1    19.5   3 
05/01/2008  0      4.8    22     5 
06/01/2008  0      2.7    21     8.5 
07/01/2008  0      5.3    20.5   8.5 
08/01/2008  0      4.9    20.5   7.5 
09/01/2008  0      4      21     7.5 
10/01/2008  0      4.2    24.5   8 
11/01/2008  0      4.3    25     8.5 
12/01/2008  0      4.2    24     9 
13/01/2008  0      5.8    25     6 
14/01/2008  0      4.4    25     8 
15/01/2008  0      5.2    25.5   9 
16/01/2008  0      6.3    22.5   9.5 
17/01/2008  0      4.5    23     9 
18/01/2008  0      3.8    25     10 
19/01/2008  0      3.6    24     9.5 
20/01/2008  0      3.2    25     9 
21/01/2008  0      4.1    25     8 
22/01/2008  0      5.1    25     9.5 
23/01/2008  0      3.2    25.5   10 
24/01/2008  0      3.9    27     9.5 
25/01/2008  0      3.8    27     11 
26/01/2008  0      2.9    28     11 
27/01/2008  0      4.1    24     11.5 
28/01/2008  0      4.8    28     11 
29/01/2008  0      4.9    25     10 
30/01/2008  0      6.5    27     10 
31/01/2008  0      4.8    26     10 
01/02/2008  0      5.4    26     10 
02/02/2008  0      4.1    25     10.5 
03/02/2008  0      4.5    26     10 
04/02/2008  0      7.8    25.5   9 
